strategy_id,sector_id,label_en,label_zh,governance_group,strategy_return,annualized_return,benchmark_return,excess_return,max_drawdown,sharpe,information_ratio,strategy_volatility,benchmark_volatility,daily_count,comparison_window_start,comparison_window_end,comparison_window_policy,benchmark_type,benchmark_id,is_directly_comparable_to_v57f,order_health_status,eligible_for_core,can_promote_to_v57f,exclusion_reason,allowed_next_action,blocked_action,next_gate,source_summary_path
dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f,enhanced_etf_basket,V57f enhanced ETF basket,V57f 红利低波现金流增强 ETF,current_best,0.8141640295,0.142729785679,0.510118790618,0.304045238882,0.117489093536,0.931741186808,0.444317629718,0.156386938548,0.176298334201,1125,2021-10-08,2026-05-31,"basket local daily window; platform confirmation only, not acceptance evidence",same_pool_equal_weight_total_return_proxy,v57f_same_pool_equal_weight,yes,pass,yes,already_current_frozen_mainline,,Wait for 2026-10-08 clean paper signal or JoinQuant exports for daily attribution.,"Do not tune, accept, or mark platform_replication_passed from local performance alone.",wait_until_2026_10_08_or_joinquant_exports_for_daily_attribution,local_daily_backtests_v57f_etf\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f\summary.json
bank_high_dividend_sustainability_v3,bank,Bank V3 sleeve,银行 V3 袖子,core_sleeve,0.5794044831,0.0983308098613,0.251612903226,0.327791579874,0.172381368702,0.656671394579,0.610509489465,0.163146875778,0.168858458255,1228,2021-05-01,2026-05-31,single sleeve local daily window; not a full ETF replacement,sector_or_etf_proxy,bank_sector_proxy,no,unknown,yes,already_in_core_refresh_only,Single sleeve result cannot replace the frozen basket by return ranking.,"Refresh PIT panel, dividends, order health and paper signal without tuning.",Do not change frozen V57f sleeve logic from this comparison.,core_sleeve_refresh_only,local_daily_backtests_v3_formal_candidate_extended_202604\bank_high_dividend_sustainability_v3\summary.json
utilities_demand_state_v51f,utilities_electricity,Utilities / electricity V5.1f sleeve,公共服务/电力 V5.1f 袖子,core_sleeve,2.30703062415,0.278188227319,0.158557857197,2.14847276695,0.267657194824,1.13713443811,1.41831997856,0.241685984245,0.166008908296,1228,2021-05-06,2026-05-29,"single sleeve local daily window; golden template, not a full ETF replacement",sector_benchmark,utilities_sector_proxy,no,pass,yes,already_in_core_refresh_only,Golden sleeve evidence is useful as a template but not directly comparable to the basket.,Keep as golden template and refresh paper-trading inputs.,Do not use high single-sleeve return to retune V57f.,golden_template_refresh_only,local_daily_backtests_utilities_v51f\utilities_demand_state_v51f\summary.json
highway_dividend_reviewed_operating_v54h_repaired_2021,highway_infrastructure,Highway infrastructure V5.4h sleeve,高速公路运营 V5.4h 袖子,core_sleeve,1.06612321625,0.160576443993,0.581040769,0.48508244725,0.149103739985,0.936480063284,0.653669667192,0.175520628701,0.186681227681,1228,2021-05-06,2026-05-29,single sleeve local daily window; not a full ETF replacement,sector_benchmark,highway_transport_proxy,no,unknown,yes,already_in_core_refresh_only,"Single sleeve, shorter governance history than V57f.",Refresh local daily and order-health evidence only.,Do not promote by return ranking or tune V57f.,core_sleeve_refresh_only,local_daily_backtests_highway_v54h_repaired_2021_final\highway_dividend_reviewed_operating_v54h_repaired_2021\summary.json
port_rail_cashflow_value_operating_diagnostic_v55j_reviewed_business_sources,port_rail_infrastructure,Port / rail infrastructure V5.5j sleeve,港口/铁路基础设施 V5.5j 袖子,core_sleeve,0.7122873498,0.116690103317,0.176946410516,0.535340939284,0.204556045624,0.658929237674,0.349374932575,0.196935802406,0.241400935951,1228,2021-05-01,2026-05-31,single sleeve local daily window; not a full ETF replacement,sector_benchmark,port_rail_transport_proxy,no,unknown,yes,already_in_core_refresh_only,Pending platform/paper maturity; single sleeve cannot replace V57f.,Refresh local daily and order-health evidence only.,Do not promote by return ranking or tune V57f.,core_sleeve_refresh_only,local_daily_backtests_port_rail_v55j_reviewed_business_sources\port_rail_cashflow_value_operating_diagnostic_v55j_reviewed_business_sources\summary.json
gas_water_v57b_text_debt_state_guard_v59b,gas_water_operators,Gas / water V5.9b observation sleeve,燃气/水务 V5.9b 观察袖子,observation,0.76488527675,0.123644977238,0.326942339,0.43794293775,0.243936523994,0.717243817674,0.367104614796,0.186983134962,0.217349591185,1228,2021-05-01,2026-05-31,observation sleeve local daily window; not direct V57f comparison,sector_benchmark,gas_water_sector_proxy,no,pass,no,no,"Rank 1 observation sleeve, but core inclusion still requires separate PM gate and clean paper evidence.",Paper tracking only; refresh future signal when the clean window arrives.,Do not add to frozen V57f or optimize by 2021-2026 return.,wait_for_next_clean_forward_rebalance_signal,local_daily_backtests_v59b_gas_water_state_guard_repaired_2021_07\gas_water_v57b_text_debt_state_guard_v59b\summary.json
insurance_pev_value_v53g,insurance,Insurance V5.3g observation sleeve,保险 V5.3g 观察袖子,observation,0.29887860315,0.0551290998471,-0.0302430546138,0.329121657764,0.341961599089,0.327511242876,0.764936216051,0.301549247365,0.244834170934,1228,2021-05-01,2026-05-31,specialist small-sample local daily window; not direct V57f comparison,sector_benchmark,insurance_sector_proxy,no,unknown,no,no,Insurance needs specialist EV/NBV/P/EV and has small-sample concentration risk.,Platform attribution or paper tracking only; no return tuning.,Do not add to core ETF without specialist-data PM approval.,export_joinquant_daily_transaction_position_log_for_attribution,local_daily_backtests_insurance_v53g\insurance_pev_value_v53g\summary.json
dividend_low_vol_sector_neutral_equal_sleeve_etf_v58_telecom_overlay,telecom_operators,Telecom overlay observation sleeve,电信运营商观察袖子,observation,0.801175475,0.140892038723,0.514483059675,0.286692415325,0.111063005287,0.949981352217,0.400234672466,0.150772587723,0.175062804023,1125,2021-10-08,2026-05-31,overlay basket window; sample is too small for direct replacement comparison,same_pool_or_overlay_proxy,telecom_overlay_proxy,no,unknown,no,no,Telecom sample is small and overlay construction is not the same contract as V57f.,Observation/paper tracking only.,Do not promote to V57f from overlay return.,small_sample_observation_only,local_daily_backtests_v58_telecom_overlay_matched\dividend_low_vol_sector_neutral_equal_sleeve_etf_v58_telecom_overlay\dividend_low_vol_sector_neutral_equal_sleeve_etf_v58_telecom_overlay\summary.json
home_appliances_ocf_quality_v5a5c,home_appliances,Home appliances V5a.5e observation sleeve,家电 V5a.5e 观察袖子,observation,1.0637364558,0.160301193565,-0.0333915615516,1.09712801735,0.301816763754,0.751955877267,0.879771203147,0.234206785047,0.175372308432,1228,2021-05-01,2026-05-31,observation sleeve local daily window; high return is not promotion evidence,sector_benchmark,home_appliances_sector_proxy,no,pass,no,no,Observation candidate; promotion queue does not allow core inclusion yet.,Paper tracking and source-state review.,Do not add to V57f or retune V57f weights from this result.,pm_review_for_observation_sleeve_or_paper_tracking,local_daily_backtests_home_appliances_v5a5e\home_appliances_ocf_quality_v5a5c\summary.json
oil_gas_state_conditioned_ocf_v58g,oil_gas_pipeline_integrated,Oil / gas V5.8g observation sleeve,油气管道/综合能源 V5.8g 观察袖子,observation,0.99792370835,0.152609819253,0.862127544447,0.135796163903,0.217818405173,0.713590663443,0.0714931622243,0.239008616944,0.244919352992,1228,2021-05-01,2026-05-31,cycle/state-conditioned local daily window; not direct V57f comparison,sector_benchmark,oil_gas_sector_proxy,no,pass,no,no,External state and platform/paper event are pending; high return is not core evidence.,Wait for external platform or forward event; no tuning.,Do not add to V57f by historical return.,external_event_or_platform_export_wait,validation_daily_v58h_oil_gas_sector_benchmark\oil_gas_state_conditioned_ocf_v58g\summary.json
