trade_date,code,side,amount,price,value,commission,target_amount,reason
2021-10-08,000421.XSHE,buy,13500,5.25,70875.0,21.2625,13500,
2021-10-08,000429.XSHE,buy,9500,7.42,70490.0,21.147,9500,
2021-10-08,000539.XSHE,buy,13600,5.21,70856.0,21.2568,13600,
2021-10-08,000543.XSHE,buy,15400,4.6,70840.0,21.252,15400,
2021-10-08,000900.XSHE,buy,16300,4.34,70742.0,21.2226,16300,
2021-10-08,001872.XSHE,buy,4000,17.42,69680.0,20.904,4000,
2021-10-08,002040.XSHE,buy,11500,6.15,70725.0,21.217499999999998,11500,
2021-10-08,002807.XSHE,buy,18400,3.85,70840.0,21.252,18400,
2021-10-08,600017.XSHG,buy,25500,2.78,70890.0,21.267,25500,
2021-10-08,600033.XSHG,buy,24900,2.85,70965.0,21.289499999999997,24900,
2021-10-08,600035.XSHG,buy,22000,3.22,70840.0,21.252,22000,
2021-10-08,600106.XSHG,buy,26000,2.73,70980.0,21.293999999999997,26000,
2021-10-08,600368.XSHG,buy,17500,4.05,70875.0,21.2625,17500,
2021-10-08,600377.XSHG,buy,8100,8.73,70713.0,21.2139,8100,
2021-10-08,600617.XSHG,buy,12700,5.57,70739.0,21.2217,12700,
2021-10-08,600928.XSHG,buy,16100,4.4,70840.0,21.252,16100,
2021-10-08,600969.XSHG,buy,8700,8.09,70383.0,21.1149,8700,
2021-10-08,601006.XSHG,buy,11200,6.29,70448.0,21.1344,11200,
2021-10-08,601018.XSHG,buy,17800,3.99,71022.0,21.3066,17800,
2021-10-08,601077.XSHG,buy,18300,3.87,70821.0,21.246299999999998,18300,
2021-10-08,601288.XSHG,buy,24000,2.95,70800.0,21.24,24000,
2021-10-08,601326.XSHG,buy,24000,2.96,71040.0,21.311999999999998,24000,
2021-10-08,601333.XSHG,buy,30100,2.36,71036.0,21.310799999999997,30100,
2021-10-08,601398.XSHG,buy,15200,4.66,70832.0,21.249599999999997,15200,
2021-10-08,601985.XSHG,buy,9700,7.3,70810.0,21.243,9700,
2021-10-08,601988.XSHG,buy,23300,3.05,71065.0,21.319499999999998,23300,
2021-10-08,601991.XSHG,buy,19500,3.64,70980.0,21.293999999999997,19500,
2021-10-08,603323.XSHG,buy,13600,5.2,70720.0,21.215999999999998,13600,
2022-01-04,000543.XSHE,sell,15400,5.6,86240.0,25.871999999999996,0,
2022-01-04,600106.XSHG,sell,26000,4.5,117000.0,35.099999999999994,0,
2022-01-04,601333.XSHG,sell,30100,2.25,67725.0,20.3175,0,
2022-01-04,601991.XSHG,sell,19500,3.28,63959.99999999999,19.187999999999995,0,
2022-01-04,603323.XSHG,sell,13600,4.88,66368.0,19.9104,0,
2022-01-04,001872.XSHE,sell,4000,17.05,68200.0,20.459999999999997,0,
2022-01-04,000539.XSHE,sell,13600,6.24,84864.0,25.4592,0,
2022-01-04,601985.XSHG,sell,1000,8.32,8320.0,5.0,8700,
2022-01-04,601326.XSHG,sell,24000,2.78,66720.0,20.016,0,
2022-01-04,000421.XSHE,buy,1100,4.95,5445.0,5.0,14600,
2022-01-04,000429.XSHE,buy,300,7.35,2205.0,5.0,9800,
2022-01-04,000755.XSHE,buy,15700,4.61,72377.0,21.713099999999997,15700,
2022-01-04,000900.XSHE,buy,700,4.24,2968.0,5.0,17000,
2022-01-04,002040.XSHE,buy,100,6.2,620.0,5.0,11600,
2022-01-04,002807.XSHE,buy,400,3.85,1540.0,5.0,18800,
2022-01-04,002893.XSHE,buy,8100,8.89,72009.0,21.6027,8100,
2022-01-04,003816.XSHE,buy,22900,3.15,72135.0,21.6405,22900,
2022-01-04,600017.XSHG,buy,200,2.81,562.0,5.0,25700,
2022-01-04,600033.XSHG,buy,700,2.82,1974.0,5.0,25600,
2022-01-04,600035.XSHG,buy,900,3.16,2844.0,5.0,22900,
2022-01-04,600368.XSHG,buy,200,4.09,818.0,5.0,17700,
2022-01-04,600377.XSHG,buy,300,8.62,2585.9999999999995,5.0,8400,
2022-01-04,600617.XSHG,buy,4400,4.23,18612.000000000004,5.583600000000001,17100,
2022-01-04,600717.XSHG,buy,17000,4.24,72080.0,21.624,17000,
2022-01-04,600928.XSHG,buy,700,4.3,3010.0,5.0,16800,
2022-01-04,600969.XSHG,buy,200,8.05,1610.0000000000002,5.0,8900,
2022-01-04,601006.XSHG,buy,100,6.4,640.0,5.0,11300,
2022-01-04,601008.XSHG,buy,18700,3.87,72369.0,21.7107,18700,
2022-01-04,601018.XSHG,buy,300,3.98,1194.0,5.0,18100,
2022-01-04,601077.XSHG,buy,500,3.85,1925.0,5.0,18800,
2022-01-04,601229.XSHG,buy,10100,7.14,72114.0,21.6342,10100,
2022-01-04,601288.XSHG,buy,600,2.94,1764.0,5.0,24600,
2022-01-04,601368.XSHG,buy,13400,5.4,72360.0,21.708,13400,
2022-01-04,601398.XSHG,buy,400,4.64,1855.9999999999998,5.0,15600,
2022-01-04,601880.XSHG,buy,41800,1.73,72314.0,21.6942,41800,
2022-01-04,601988.XSHG,buy,300,3.06,918.0,5.0,23600,
2022-04-01,601018.XSHG,sell,18100,3.93,71133.0,21.339899999999997,0,
2022-04-01,600368.XSHG,sell,17700,4.27,75578.99999999999,22.673699999999993,0,
2022-04-01,000429.XSHE,sell,600,7.91,4746.0,5.0,9200,
2022-04-01,002893.XSHE,sell,8100,8.36,67716.0,20.314799999999998,0,
2022-04-01,600969.XSHG,sell,8900,8.1,72090.0,21.627,0,
2022-04-01,601288.XSHG,sell,800,3.07,2456.0,5.0,23800,
2022-04-01,601880.XSHG,sell,41800,1.72,71896.0,21.5688,0,
2022-04-01,600377.XSHG,sell,8400,8.4,70560.0,21.168,0,
2022-04-01,600017.XSHG,sell,25700,2.87,73759.0,22.127699999999997,0,
2022-04-01,600617.XSHG,sell,17100,4.34,74214.0,22.2642,0,
2022-04-01,000900.XSHE,sell,17000,4.24,72080.0,21.624,0,
2022-04-01,601006.XSHG,sell,700,6.84,4788.0,5.0,10600,
2022-04-01,601368.XSHG,sell,13400,5.66,75844.0,22.7532,0,
2022-04-01,600035.XSHG,sell,22900,3.34,76486.0,22.9458,0,
2022-04-01,002807.XSHE,sell,1500,4.21,6315.0,5.0,17300,
2022-04-01,600928.XSHG,sell,16800,3.92,65856.0,19.7568,0,
2022-04-01,601077.XSHG,sell,400,3.96,1584.0,5.0,18400,
2022-04-01,601398.XSHG,sell,200,4.75,950.0,5.0,15400,
2022-04-01,000755.XSHE,sell,15700,4.44,69708.0,20.912399999999998,0,
2022-04-01,600033.XSHG,sell,500,2.91,1455.0,5.0,25100,
2022-04-01,601008.XSHG,sell,18700,4.16,77792.0,23.3376,0,
2022-04-01,002040.XSHE,sell,11600,6.53,75748.0,22.7244,0,
2022-04-01,601988.XSHG,sell,1200,3.26,3911.9999999999995,5.0,22400,
2022-04-01,000582.XSHE,buy,9800,7.42,72716.0,21.814799999999998,9800,
2022-04-01,001872.XSHE,buy,4700,15.49,72803.0,21.840899999999998,4700,
2022-04-01,002267.XSHE,buy,11600,6.29,72964.0,21.8892,11600,
2022-04-01,003816.XSHE,buy,3900,2.72,10608.0,5.0,26800,
2022-04-01,600012.XSHG,buy,9400,7.74,72756.0,21.8268,9400,
2022-04-01,600350.XSHG,buy,13600,5.36,72896.0,21.868799999999997,13600,
2022-04-01,600681.XSHG,buy,14100,5.16,72756.0,21.8268,14100,
2022-04-01,600717.XSHG,buy,200,4.25,850.0,5.0,17200,
2022-04-01,600795.XSHG,buy,28900,2.53,73117.0,21.9351,28900,
2022-04-01,600886.XSHG,buy,7800,9.29,72462.0,21.738599999999998,7800,
2022-04-01,601228.XSHG,buy,22600,3.23,72998.0,21.899399999999996,22600,
2022-04-01,601229.XSHG,buy,900,6.6,5940.0,5.0,11000,
2022-04-01,601298.XSHG,buy,13100,5.55,72705.0,21.8115,13100,
2022-04-01,601326.XSHG,buy,26400,2.77,73128.0,21.938399999999998,26400,
2022-04-01,601939.XSHG,buy,11700,6.24,73008.0,21.902399999999997,11700,
2022-04-01,601985.XSHG,buy,400,7.98,3192.0,5.0,9100,
2022-07-01,600795.XSHG,sell,9700,3.92,38024.0,11.4072,19200,
2022-07-01,600886.XSHG,sell,700,10.54,7377.999999999999,5.0,7100,
2022-07-01,601228.XSHG,sell,22600,3.69,83394.0,25.018199999999997,0,
2022-07-01,600717.XSHG,sell,17200,4.01,68972.0,20.691599999999998,0,
2022-07-01,000421.XSHE,sell,14600,4.78,69788.0,20.9364,0,
2022-07-01,002267.XSHE,sell,11600,7.01,81316.0,24.394799999999996,0,
2022-07-01,002807.XSHE,sell,17300,4.55,78715.0,23.6145,0,
2022-07-01,600681.XSHG,sell,14100,4.45,62745.0,18.8235,0,
2022-07-01,601229.XSHG,sell,11000,6.55,72050.0,21.615,0,
2022-07-01,000582.XSHE,sell,9800,7.76,76048.0,22.8144,0,
2022-07-01,000429.XSHE,buy,100,8.09,809.0,5.0,9300,
2022-07-01,000755.XSHE,buy,18200,4.14,75348.0,22.6044,18200,
2022-07-01,000883.XSHE,buy,14700,5.1,74970.0,22.491,14700,
2022-07-01,001872.XSHE,buy,100,15.56,1556.0,5.0,4800,
2022-07-01,002608.XSHE,buy,11600,6.49,75284.0,22.585199999999997,11600,
2022-07-01,003816.XSHE,buy,100,2.8,280.0,5.0,26900,
2022-07-01,600012.XSHG,buy,700,7.46,5222.0,5.0,10100,
2022-07-01,600017.XSHG,buy,24700,3.04,75088.0,22.5264,24700,
2022-07-01,600033.XSHG,buy,2100,2.77,5817.0,5.0,27200,
2022-07-01,600035.XSHG,buy,23000,3.27,75210.0,22.563,23000,
2022-07-01,600350.XSHG,buy,700,5.26,3682.0,5.0,14300,
2022-07-01,601000.XSHG,buy,29100,2.59,75369.0,22.610699999999998,29100,
2022-07-01,601006.XSHG,buy,800,6.61,5288.0,5.0,11400,
2022-07-01,601018.XSHG,buy,19200,3.91,75072.0,22.5216,19200,
2022-07-01,601077.XSHG,buy,1900,3.7,7030.0,5.0,20300,
2022-07-01,601169.XSHG,buy,16600,4.54,75364.0,22.609199999999998,16600,
2022-07-01,601288.XSHG,buy,1100,3.02,3322.0,5.0,24900,
2022-07-01,601298.XSHG,buy,600,5.48,3288.0000000000005,5.0,13700,
2022-07-01,601326.XSHG,buy,200,2.83,566.0,5.0,26600,
2022-07-01,601398.XSHG,buy,400,4.77,1907.9999999999998,5.0,15800,
2022-07-01,601825.XSHG,buy,12000,6.28,75360.0,22.607999999999997,12000,
2022-07-01,601939.XSHG,buy,700,6.07,4249.0,5.0,12400,
2022-07-01,601985.XSHG,buy,1800,6.88,12384.0,5.0,10900,
2022-07-01,601988.XSHG,buy,700,3.26,2282.0,5.0,23100,
2022-07-01,601991.XSHG,buy,31100,2.42,75262.0,22.578599999999998,31100,
2022-10-10,601000.XSHG,sell,29100,2.58,75078.0,22.5234,0,
2022-10-10,600795.XSHG,sell,800,4.06,3247.9999999999995,5.0,18400,
2022-10-10,600886.XSHG,sell,7100,10.74,76254.0,22.876199999999997,0,
2022-10-10,601018.XSHG,sell,19200,3.65,70080.0,21.023999999999997,0,
2022-10-10,600350.XSHG,sell,600,5.43,3258.0,5.0,13700,
2022-10-10,002608.XSHE,sell,11600,5.82,67512.0,20.2536,0,
2022-10-10,601006.XSHG,sell,300,6.7,2010.0,5.0,11100,
2022-10-10,601991.XSHG,sell,31100,3.33,103563.0,31.068899999999996,0,
2022-10-10,601298.XSHG,sell,100,5.49,549.0,5.0,13600,
2022-10-10,601985.XSHG,sell,10900,5.85,63764.99999999999,19.129499999999997,0,
2022-10-10,000755.XSHE,sell,3900,5.2,20280.0,6.084,14300,
2022-10-10,000883.XSHE,sell,14700,4.39,64532.99999999999,19.359899999999996,0,
2022-10-10,000027.XSHE,buy,13300,5.61,74613.0,22.383899999999997,13300,
2022-10-10,000429.XSHE,buy,900,7.31,6579.0,5.0,10200,
2022-10-10,000598.XSHE,buy,14900,4.99,74351.0,22.3053,14900,
2022-10-10,001872.XSHE,buy,300,14.61,4383.0,5.0,5100,
2022-10-10,003816.XSHE,buy,1300,2.64,3432.0,5.0,28200,
2022-10-10,600008.XSHG,buy,28600,2.61,74646.0,22.3938,28600,
2022-10-10,600012.XSHG,buy,1000,6.67,6670.0,5.0,11100,
2022-10-10,600017.XSHG,buy,2300,2.76,6347.999999999999,5.0,27000,
2022-10-10,600033.XSHG,buy,300,2.71,813.0,5.0,27500,
2022-10-10,600035.XSHG,buy,300,3.2,960.0,5.0,23300,
2022-10-10,600717.XSHG,buy,18700,3.99,74613.0,22.383899999999997,18700,
2022-10-10,600719.XSHG,buy,16900,4.42,74698.0,22.409399999999998,16900,
2022-10-10,600803.XSHG,buy,3900,18.92,73788.0,22.1364,3900,
2022-10-10,601008.XSHG,buy,19200,3.88,74496.0,22.348799999999997,19200,
2022-10-10,601077.XSHG,buy,500,3.58,1790.0,5.0,20800,
2022-10-10,601169.XSHG,buy,1500,4.11,6165.000000000001,5.0,18100,
2022-10-10,601288.XSHG,buy,1300,2.85,3705.0,5.0,26200,
2022-10-10,601326.XSHG,buy,1200,2.68,3216.0,5.0,27800,
2022-10-10,601398.XSHG,buy,1300,4.35,5654.999999999999,5.0,17100,
2022-10-10,601825.XSHG,buy,2000,5.3,10600.0,5.0,14000,
2022-10-10,601939.XSHG,buy,1100,5.5,6050.0,5.0,13500,
2022-10-10,601988.XSHG,buy,1100,3.08,3388.0,5.0,24200,
2023-01-03,601169.XSHG,sell,18100,4.32,78192.0,23.4576,0,
2023-01-03,600795.XSHG,sell,18400,4.27,78567.99999999999,23.570399999999992,0,
2023-01-03,000429.XSHE,sell,400,7.92,3168.0,5.0,9800,
2023-01-03,600350.XSHG,sell,100,5.71,571.0,5.0,13600,
2023-01-03,600008.XSHG,sell,28600,2.84,81224.0,24.367199999999997,0,
2023-01-03,600012.XSHG,sell,500,7.3,3650.0,5.0,10600,
2023-01-03,600017.XSHG,sell,27000,2.81,75870.0,22.761,0,
2023-01-03,000027.XSHE,sell,13300,6.17,82061.0,24.618299999999998,0,
2023-01-03,600803.XSHG,sell,3900,16.08,62711.99999999999,18.813599999999997,0,
2023-01-03,600035.XSHG,sell,400,3.39,1356.0,5.0,22900,
2023-01-03,001872.XSHE,sell,5100,14.45,73695.0,22.1085,0,
2023-01-03,601825.XSHG,sell,900,5.9,5310.0,5.0,13100,
2023-01-03,000598.XSHE,sell,14900,4.91,73159.0,21.947699999999998,0,
2023-01-03,601326.XSHG,sell,27800,2.73,75894.0,22.768199999999997,0,
2023-01-03,600033.XSHG,sell,700,2.9,2030.0,5.0,26800,
2023-01-03,601008.XSHG,sell,19200,4.83,92736.0,27.8208,0,
2023-01-03,600719.XSHG,sell,16900,5.15,87035.0,26.1105,0,
2023-01-03,000755.XSHE,buy,200,5.33,1066.0,5.0,14500,
2023-01-03,000905.XSHE,buy,10700,7.23,77361.0,23.208299999999998,10700,
2023-01-03,002039.XSHE,buy,5100,15.22,77622.0,23.286599999999996,5100,
2023-01-03,003816.XSHE,buy,600,2.7,1620.0,5.0,28800,
2023-01-03,600018.XSHG,buy,14500,5.36,77720.0,23.316,14500,
2023-01-03,600098.XSHG,buy,14000,5.55,77700.0,23.31,14000,
2023-01-03,600283.XSHG,buy,6300,12.17,76671.0,23.001299999999997,6300,
2023-01-03,600461.XSHG,buy,11200,6.92,77504.0,23.251199999999997,11200,
2023-01-03,600717.XSHG,buy,300,4.08,1224.0,5.0,19000,
2023-01-03,600886.XSHG,buy,7100,10.84,76964.0,23.089199999999998,7100,
2023-01-03,601000.XSHG,buy,28200,2.75,77550.0,23.264999999999997,28200,
2023-01-03,601006.XSHG,buy,500,6.68,3340.0,5.0,11600,
2023-01-03,601077.XSHG,buy,1200,3.53,4236.0,5.0,22000,
2023-01-03,601288.XSHG,buy,500,2.91,1455.0,5.0,26700,
2023-01-03,601298.XSHG,buy,200,5.6,1120.0,5.0,13800,
2023-01-03,601398.XSHG,buy,800,4.34,3472.0,5.0,17900,
2023-01-03,601880.XSHG,buy,48000,1.62,77760.0,23.328,48000,
2023-01-03,601939.XSHG,buy,300,5.62,1686.0,5.0,13800,
2023-01-03,601985.XSHG,buy,12900,6.01,77529.0,23.258699999999997,12900,
2023-01-03,601988.XSHG,buy,300,3.17,951.0,5.0,24500,
2023-01-03,601997.XSHG,buy,14100,5.5,77550.0,23.264999999999997,14100,
2023-04-03,601000.XSHG,sell,28200,3.1,87420.0,26.226,0,
2023-04-03,601997.XSHG,sell,14100,5.51,77691.0,23.307299999999998,0,
2023-04-03,600886.XSHG,sell,7100,10.87,77177.0,23.1531,0,
2023-04-03,601939.XSHG,sell,200,5.93,1186.0,5.0,13600,
2023-04-03,600350.XSHG,sell,500,6.14,3070.0,5.0,13100,
2023-04-03,002039.XSHE,sell,5100,14.83,75633.0,22.689899999999998,0,
2023-04-03,600012.XSHG,sell_skipped,1600,8.93,0.0,0.0,9000,paused
2023-04-03,600098.XSHG,sell,300,5.89,1767.0,5.0,13700,
2023-04-03,601006.XSHG,sell,400,7.2,2880.0,5.0,11200,
2023-04-03,600461.XSHG,sell,11200,7.19,80528.0,24.158399999999997,0,
2023-04-03,601077.XSHG,sell,100,3.68,368.0,5.0,21900,
2023-04-03,601298.XSHG,sell,1100,6.34,6974.0,5.0,12700,
2023-04-03,003816.XSHE,sell,28800,2.86,82368.0,24.710399999999996,0,
2023-04-03,601985.XSHG,sell,200,6.37,1274.0,5.0,12700,
2023-04-03,601288.XSHG,sell,700,3.11,2177.0,5.0,26000,
2023-04-03,000905.XSHE,sell,10700,7.21,77147.0,23.144099999999998,0,
2023-04-03,601988.XSHG,sell,600,3.38,2028.0,5.0,23900,
2023-04-03,000429.XSHE,buy,800,7.58,6064.0,5.0,10600,
2023-04-03,000755.XSHE,buy,100,5.52,552.0,5.0,14600,
2023-04-03,001872.XSHE,buy,4700,16.96,79712.0,23.9136,4700,
2023-04-03,600017.XSHG,buy,28800,2.8,80640.0,24.191999999999997,28800,
2023-04-03,600018.XSHG,buy,100,5.54,554.0,5.0,14600,
2023-04-03,600033.XSHG,buy,1000,2.9,2900.0,5.0,27800,
2023-04-03,600035.XSHG,buy,200,3.49,698.0,5.0,23100,
2023-04-03,600168.XSHG,buy,13300,6.06,80598.0,24.179399999999998,13300,
2023-04-03,600283.XSHG,buy,200,12.37,2474.0,5.0,6500,
2023-04-03,600377.XSHG,buy,9700,8.34,80898.0,24.269399999999997,9700,
2023-04-03,600617.XSHG,buy,19800,4.08,80784.0,24.2352,19800,
2023-04-03,600681.XSHG,buy,18500,4.35,80475.0,24.1425,18500,
2023-04-03,600717.XSHG,buy,800,4.07,3256.0,5.0,19800,
2023-04-03,600956.XSHG,buy,8600,9.35,80410.0,24.122999999999998,8600,
2023-04-03,601169.XSHG,buy,18300,4.41,80703.0,24.2109,18300,
2023-04-03,601398.XSHG,buy,200,4.46,892.0,5.0,18100,
2023-04-03,601825.XSHG,buy,900,5.76,5184.0,5.0,14000,
2023-04-03,601880.XSHG,buy,2200,1.61,3542.0,5.0,50200,
2023-04-04,600350.XSHG,sell,200,6.25,1250.0,5.0,12900,
2023-04-04,600012.XSHG,sell_skipped,1600,8.93,0.0,0.0,9000,paused
2023-04-04,600017.XSHG,sell,300,2.84,852.0,5.0,28500,
2023-04-04,600617.XSHG,sell,100,4.11,411.00000000000006,5.0,19700,
2023-04-04,600098.XSHG,sell,100,5.95,595.0,5.0,13600,
2023-04-04,600168.XSHG,sell,100,6.12,612.0,5.0,13200,
2023-04-04,601985.XSHG,sell,100,6.4,640.0,5.0,12600,
2023-04-04,600033.XSHG,sell,200,2.93,586.0,5.0,27600,
2023-04-04,001872.XSHE,buy,100,16.82,1682.0,5.0,4800,
2023-04-04,600018.XSHG,buy,200,5.48,1096.0,5.0,14800,
2023-04-04,600681.XSHG,buy,100,4.34,434.0,5.0,18600,
2023-04-04,601077.XSHG,buy,200,3.66,732.0,5.0,22100,
2023-04-04,601288.XSHG,buy,100,3.1,310.0,5.0,26100,
2023-04-04,601298.XSHG,buy,100,6.33,633.0,5.0,12800,
2023-04-04,601398.XSHG,buy,100,4.45,445.0,5.0,18200,
2023-04-04,601880.XSHG,buy,100,1.61,161.0,5.0,50300,
2023-04-04,601988.XSHG,buy,100,3.37,337.0,5.0,24000,
2023-04-06,601939.XSHG,sell,100,6.04,604.0,5.0,13500,
2023-04-06,600350.XSHG,sell,100,6.38,638.0,5.0,12800,
2023-04-06,600012.XSHG,sell_skipped,1600,8.93,0.0,0.0,9000,paused
2023-04-06,600098.XSHG,sell,100,6.04,604.0,5.0,13500,
2023-04-06,600035.XSHG,sell,100,3.55,355.0,5.0,23000,
2023-04-06,001872.XSHE,sell,300,17.93,5379.0,5.0,4500,
2023-04-06,601298.XSHG,sell,100,6.43,643.0,5.0,12700,
2023-04-06,601398.XSHG,sell,100,4.51,451.0,5.0,18100,
2023-04-06,601985.XSHG,sell,300,6.63,1989.0,5.0,12300,
2023-04-06,600018.XSHG,sell,100,5.55,555.0,5.0,14700,
2023-04-06,601288.XSHG,sell,200,3.15,630.0,5.0,25900,
2023-04-06,601988.XSHG,sell,100,3.42,342.0,5.0,23900,
2023-04-06,000755.XSHE,buy,300,5.47,1641.0,5.0,14900,
2023-04-06,600017.XSHG,buy,300,2.84,852.0,5.0,28800,
2023-04-06,600033.XSHG,buy,100,2.95,295.0,5.0,27700,
2023-04-06,600168.XSHG,buy,200,6.08,1216.0,5.0,13400,
2023-04-06,600283.XSHG,buy,100,12.26,1226.0,5.0,6600,
2023-04-06,600617.XSHG,buy,300,4.08,1224.0,5.0,20000,
2023-04-06,600681.XSHG,buy,300,4.32,1296.0,5.0,18900,
2023-04-06,600956.XSHG,buy,200,9.29,1857.9999999999998,5.0,8800,
2023-04-06,601077.XSHG,buy,100,3.68,368.0,5.0,22200,
2023-04-06,601825.XSHG,buy,100,5.78,578.0,5.0,14100,
2023-04-06,601880.XSHG,buy,500,1.61,805.0,5.0,50800,
2023-04-07,000429.XSHE,sell,100,7.71,771.0,5.0,10500,
2023-04-07,600377.XSHG,sell,100,8.49,849.0,5.0,9600,
2023-04-07,600012.XSHG,sell_skipped,1600,8.93,0.0,0.0,9000,paused
2023-04-07,601825.XSHG,sell,100,5.8,580.0,5.0,14000,
2023-04-07,601077.XSHG,sell,100,3.68,368.0,5.0,22100,
2023-04-07,601398.XSHG,sell,100,4.52,451.99999999999994,5.0,18000,
2023-04-07,601288.XSHG,sell,400,3.19,1276.0,5.0,25500,
2023-04-07,601988.XSHG,sell,200,3.44,688.0,5.0,23700,
2023-04-07,000755.XSHE,buy,200,5.4,1080.0,5.0,15100,
2023-04-07,600017.XSHG,buy,100,2.82,282.0,5.0,28900,
2023-04-07,600033.XSHG,buy,100,2.93,293.0,5.0,27800,
2023-04-07,600617.XSHG,buy,100,4.05,405.0,5.0,20100,
2023-04-07,600717.XSHG,buy,100,4.09,409.0,5.0,19900,
2023-04-07,600956.XSHG,buy,100,9.14,914.0,5.0,8900,
2023-04-07,601298.XSHG,buy,200,6.3,1260.0,5.0,12900,
2023-04-07,601880.XSHG,buy,100,1.6,160.0,5.0,50900,
2023-04-10,601939.XSHG,sell,100,6.06,606.0,5.0,13400,
2023-04-10,600717.XSHG,sell,100,4.1,409.99999999999994,5.0,19800,
2023-04-10,600012.XSHG,sell_skipped,1600,8.93,0.0,0.0,9000,paused
2023-04-10,600017.XSHG,sell,100,2.82,282.0,5.0,28800,
2023-04-10,600617.XSHG,sell,200,4.08,816.0,5.0,19900,
2023-04-10,600098.XSHG,sell,100,6.07,607.0,5.0,13400,
2023-04-10,600283.XSHG,sell,100,12.38,1238.0,5.0,6500,
2023-04-10,600956.XSHG,sell,100,9.2,919.9999999999999,5.0,8800,
2023-04-10,600168.XSHG,sell,100,6.08,608.0,5.0,13300,
2023-04-10,601398.XSHG,sell,100,4.53,453.0,5.0,17900,
2023-04-10,000755.XSHE,sell,200,5.45,1090.0,5.0,14900,
2023-04-10,600681.XSHG,sell,200,4.34,868.0,5.0,18700,
2023-04-10,001872.XSHE,buy,100,17.48,1748.0,5.0,4600,
2023-04-10,600018.XSHG,buy,100,5.48,548.0,5.0,14800,
2023-04-10,600033.XSHG,buy,100,2.91,291.0,5.0,27900,
2023-04-10,600035.XSHG,buy,300,3.49,1047.0,5.0,23300,
2023-04-10,601006.XSHG,buy,100,7.2,720.0,5.0,11300,
2023-04-10,601169.XSHG,buy,100,4.42,442.0,5.0,18400,
2023-04-10,601288.XSHG,buy,100,3.17,317.0,5.0,25600,
2023-04-10,601298.XSHG,buy,100,6.25,625.0,5.0,13000,
2023-04-10,601985.XSHG,buy,100,6.56,656.0,5.0,12400,
2023-04-11,601169.XSHG,sell,100,4.42,442.0,5.0,18300,
2023-04-11,601939.XSHG,sell,100,6.07,607.0,5.0,13300,
2023-04-11,601880.XSHG,sell,500,1.61,805.0,5.0,50400,
2023-04-11,600012.XSHG,sell_skipped,1600,8.93,0.0,0.0,9000,paused
