trade_date,strategy_return,benchmark_return,excess_return,strategy_nav,benchmark_nav,excess_nav,portfolio_value,cash,invested_value,cash_weight,selected_count,holding_count,buy_turnover,sell_turnover,commission,dividend_cash,corporate_action_share_value,benchmark_constituent_count,rebalance
2021-10-08,-0.000626414300000433,0.0,-0.000626414300000433,0.9993735856999996,1.0,0.9993735856999996,1998747.1713999992,16643.171399999148,1982104.0,0.008326801727675057,28,28,1982762.0,0.0,594.8286,0.0,0.0,0,1
2021-10-11,-0.0010696700566197315,-0.015819417688734034,0.014749747632114302,0.9983045856999996,0.9841805823112659,1.0141140938792756,1996609.1713999992,16643.171399999148,1979966.0,0.008335718195829556,0,28,0.0,0.0,0.0,0.0,0.0,201,0
2021-10-12,-0.022813678636996793,-0.01515995785052897,-0.007653720786467822,0.9755295856999996,0.9692604461661182,1.0063523477591019,1951059.1713999992,16643.171399999148,1934416.0,0.008530326319143206,0,28,0.0,0.0,0.0,0.0,0.0,201,0
2021-10-13,-0.019927125004672197,-0.030525850683934624,0.010598725679262427,0.9560900856999996,0.9396729465126074,1.0170184002296823,1912180.1713999992,16643.171399999148,1895537.0,0.008703767379730687,0,28,0.0,0.0,0.0,0.0,0.0,201,0
2021-10-14,-0.002023344901211588,-0.004030917484482752,0.002007572583271164,0.9541555856999996,0.9358852024028144,1.0190601384866655,1908311.1713999992,16643.171399999148,1891668.0,0.008721413807890238,0,28,0.0,0.0,0.0,0.0,0.0,201,0
2021-10-15,-0.011323100930205054,-0.011212178000039937,-0.00011092293016511795,0.9433515856999996,0.9253918909258706,1.0189471013500901,1886703.1713999992,16643.171399999148,1870060.0,0.008821298258405608,0,28,0.0,0.0,0.0,0.0,0.0,201,0
2021-10-18,0.016875998558042227,0.019668993343306046,-0.0027929947852638193,0.9592715856999996,0.943593417868441,1.0161011874095596,1918543.1713999992,16643.171399999148,1901900.0,0.00867490064758579,0,28,0.0,0.0,0.0,0.0,0.0,201,0
2021-10-19,0.001240524599852133,0.003324494570527402,-0.002083969970675269,0.9604615856999996,0.94673038906293,1.0139836630478305,1920923.1713999992,16643.171399999148,1904280.0,0.008664152553206666,0,28,0.0,0.0,0.0,0.0,0.0,201,0
2021-10-20,0.0035253882616577137,0.007798603562473192,-0.004273215300815478,0.9638475856999995,0.9541135640477776,1.0096506925441175,1927695.1713999992,16643.171399999148,1911052.0,0.008633715354441622,0,28,0.0,0.0,0.0,0.0,0.0,201,0
2021-10-21,-0.005499832212735312,-0.004530224056215051,-0.0009696081565202606,0.9585465856999995,0.9497912158275672,1.0086717269973904,1917093.1713999992,16643.171399999148,1900450.0,0.008681461938464424,0,28,0.0,0.0,0.0,0.0,0.0,201,0
2021-10-22,-0.015164625503709672,-0.02106928706456589,0.005904661560856218,0.9440105856999995,0.9297797920498931,1.0146275921713144,1888021.1713999992,16643.171399999148,1871378.0,0.008815140238950794,0,28,0.0,0.0,0.0,0.0,0.0,201,0
2021-10-25,0.004800793623134458,0.012601213326828474,-0.007800419703694016,0.9485425856999995,0.9414961455564881,1.0067130711094296,1897085.1713999992,16643.171399999148,1880442.0,0.008773022767194435,0,28,0.0,0.0,0.0,0.0,0.0,201,0
2021-10-26,-0.002025212182310554,0.0006140746918744854,-0.0026392868741850393,0.9466215856999995,0.9420742945119718,1.00405606651478,1893243.1713999992,16643.171399999148,1876600.0,0.008790826055214026,0,28,0.0,0.0,0.0,0.0,0.0,201,0
2021-10-27,-0.0026050536320449957,0.0011461862058039145,-0.00375123983784891,0.9441555856999996,0.9431540870731839,1.000289611398636,1888311.1713999992,16643.171399999148,1871668.0,0.008813786441595774,0,28,0.0,0.0,0.0,0.0,0.0,201,0
2021-10-28,-0.008911137239909661,-0.014737242855207808,0.005826105615298147,0.9357420856999996,0.9292545962421046,1.0061174043205299,1871484.1713999992,16643.171399999148,1854841.0,0.008893033483445873,0,28,0.0,0.0,0.0,0.0,0.0,201,0
2021-10-29,-0.0007240242908314043,-0.00047367814790780764,-0.00025034614292359666,0.9350645856999996,0.9288144286460218,1.00586552670903,1870129.1713999992,16643.171399999148,1853486.0,0.008899476920912306,0,28,0.0,0.0,0.0,0.0,0.0,201,0
2021-11-01,-0.0014175491407448781,0.0031734994339729285,-0.004591048574717807,0.9337390856999996,0.9317620207095959,1.0012475492162747,1867478.1713999992,16643.171399999148,1850835.0,0.008912110275175104,0,28,0.0,0.0,0.0,0.0,0.0,201,0
2021-11-02,-0.01905832182944256,-0.027143127939151687,0.008084806109709127,0.9159435856999996,0.9064710849726328,1.0093424415195098,1831887.1713999992,16643.171399999148,1815244.0,0.009085260085794362,0,28,0.0,0.0,0.0,0.0,0.0,201,0
2021-11-03,0.004321226832955105,0.006839861107437159,-0.002518634274482054,0.9199015856999995,0.9126712212917535,1.0068002770516093,1839803.1713999992,16643.171399999148,1823160.0,0.009046169535263122,0,28,0.0,0.0,0.0,0.0,0.0,201,0
