trade_date,code,side,amount,price,value,commission,target_amount,reason
2021-10-08,000421.XSHE,buy,13200,5.35,70620.0,21.185999999999996,13200,
2021-10-08,000429.XSHE,buy,9700,7.31,70907.0,21.2721,9700,
2021-10-08,000539.XSHE,buy,14300,4.94,70642.0,21.1926,14300,
2021-10-08,000543.XSHE,buy,16200,4.37,70794.0,21.2382,16200,
2021-10-08,000900.XSHE,buy,16200,4.38,70956.0,21.2868,16200,
2021-10-08,001872.XSHE,buy,4000,17.37,69480.0,20.843999999999998,4000,
2021-10-08,002040.XSHE,buy,11500,6.15,70725.0,21.217499999999998,11500,
2021-10-08,002807.XSHE,buy,18200,3.89,70798.0,21.2394,18200,
2021-10-08,600017.XSHG,buy,25100,2.83,71033.0,21.3099,25100,
2021-10-08,600033.XSHG,buy,24600,2.88,70848.0,21.254399999999997,24600,
2021-10-08,600035.XSHG,buy,21700,3.27,70959.0,21.287699999999997,21700,
2021-10-08,600106.XSHG,buy,25600,2.77,70912.0,21.2736,25600,
2021-10-08,600368.XSHG,buy,17300,4.1,70930.0,21.278999999999996,17300,
2021-10-08,600377.XSHG,buy,8000,8.85,70800.0,21.24,8000,
2021-10-08,600617.XSHG,buy,12600,5.62,70812.0,21.243599999999997,12600,
2021-10-08,600928.XSHG,buy,15900,4.45,70755.0,21.226499999999998,15900,
2021-10-08,600969.XSHG,buy,9000,7.86,70740.0,21.221999999999998,9000,
2021-10-08,601006.XSHG,buy,11200,6.32,70784.0,21.2352,11200,
2021-10-08,601018.XSHG,buy,17600,4.02,70751.99999999999,21.225599999999993,17600,
2021-10-08,601077.XSHG,buy,18100,3.91,70771.0,21.231299999999997,18100,
2021-10-08,601288.XSHG,buy,24000,2.96,71040.0,21.311999999999998,24000,
2021-10-08,601326.XSHG,buy,23400,3.03,70902.0,21.270599999999998,23400,
2021-10-08,601333.XSHG,buy,29700,2.39,70983.0,21.2949,29700,
2021-10-08,601398.XSHG,buy,15000,4.71,70650.0,21.194999999999997,15000,
2021-10-08,601985.XSHG,buy,9900,7.12,70488.0,21.1464,9900,
2021-10-08,601988.XSHG,buy,23100,3.07,70917.0,21.2751,23100,
2021-10-08,601991.XSHG,buy,21100,3.36,70896.0,21.2688,21100,
2021-10-08,603323.XSHG,buy,13400,5.29,70886.0,21.2658,13400,
2022-01-04,000543.XSHE,sell,16200,5.42,87804.0,26.341199999999997,0,
2022-01-04,600106.XSHG,sell,25600,4.67,119552.0,35.86559999999999,0,
2022-01-04,600969.XSHG,sell,100,8.12,811.9999999999999,5.0,8900,
2022-01-04,601333.XSHG,sell,29700,2.3,68310.0,20.493,0,
2022-01-04,601991.XSHG,sell,21100,3.09,65199.0,19.5597,0,
2022-01-04,603323.XSHG,sell,13400,4.91,65794.0,19.7382,0,
2022-01-04,001872.XSHE,sell,4000,17.31,69240.0,20.772,0,
2022-01-04,000539.XSHE,sell,14300,5.79,82797.0,24.8391,0,
2022-01-04,601985.XSHG,sell,1000,8.16,8160.0,5.0,8900,
2022-01-04,601326.XSHG,sell,23400,2.83,66222.0,19.8666,0,
2022-01-04,000421.XSHE,buy,1300,5.0,6500.0,5.0,14500,
2022-01-04,000429.XSHE,buy,100,7.4,740.0,5.0,9800,
2022-01-04,000755.XSHE,buy,15500,4.68,72540.0,21.761999999999997,15500,
2022-01-04,000900.XSHE,buy,800,4.28,3424.0,5.0,17000,
2022-01-04,002807.XSHE,buy,500,3.88,1940.0,5.0,18700,
2022-01-04,002893.XSHE,buy,7900,9.18,72522.0,21.7566,7900,
2022-01-04,003816.XSHE,buy,23100,3.14,72534.0,21.760199999999998,23100,
2022-01-04,600017.XSHG,buy,200,2.87,574.0,5.0,25300,
2022-01-04,600033.XSHG,buy,700,2.87,2009.0,5.0,25300,
2022-01-04,600035.XSHG,buy,800,3.23,2584.0,5.0,22500,
2022-01-04,600377.XSHG,buy,300,8.74,2622.0,5.0,8300,
2022-01-04,600617.XSHG,buy,4400,4.28,18832.0,5.6495999999999995,17000,
2022-01-04,600717.XSHG,buy,17100,4.25,72675.0,21.8025,17100,
2022-01-04,600928.XSHG,buy,800,4.34,3472.0,5.0,16700,
2022-01-04,601008.XSHG,buy,18400,3.94,72496.0,21.7488,18400,
2022-01-04,601018.XSHG,buy,400,4.04,1616.0,5.0,18000,
2022-01-04,601077.XSHG,buy,700,3.87,2709.0,5.0,18800,
2022-01-04,601229.XSHG,buy,10100,7.17,72417.0,21.725099999999998,10100,
2022-01-04,601288.XSHG,buy,700,2.94,2058.0,5.0,24700,
2022-01-04,601368.XSHG,buy,13000,5.56,72280.0,21.683999999999997,13000,
2022-01-04,601398.XSHG,buy,500,4.67,2335.0,5.0,15500,
2022-01-04,601880.XSHG,buy,41100,1.77,72747.0,21.824099999999998,41100,
2022-01-04,601988.XSHG,buy,600,3.07,1842.0,5.0,23700,
2022-04-01,601018.XSHG,sell,18000,4.12,74160.0,22.247999999999998,0,
2022-04-01,600368.XSHG,sell,17300,4.3,74390.0,22.316999999999997,0,
2022-04-01,000429.XSHE,sell,500,7.91,3955.0,5.0,9300,
2022-04-01,002893.XSHE,sell,7900,8.22,64938.00000000001,19.4814,0,
2022-04-01,600969.XSHG,sell,8900,7.95,70755.0,21.226499999999998,0,
2022-04-01,601288.XSHG,sell,600,3.08,1848.0,5.0,24100,
2022-04-01,601880.XSHG,sell,41100,1.78,73158.0,21.9474,0,
2022-04-01,600377.XSHG,sell,8300,8.53,70799.0,21.2397,0,
2022-04-01,600717.XSHG,sell,700,4.51,3157.0,5.0,16400,
2022-04-01,600017.XSHG,sell,25300,3.0,75900.0,22.77,0,
2022-04-01,600617.XSHG,sell,17000,4.29,72930.0,21.878999999999998,0,
2022-04-01,000900.XSHE,sell,17000,4.28,72760.0,21.828,0,
2022-04-01,601006.XSHG,sell,500,6.88,3440.0,5.0,10700,
2022-04-01,601368.XSHG,sell,13000,5.66,73580.0,22.073999999999998,0,
2022-04-01,600035.XSHG,sell,22500,3.39,76275.0,22.882499999999997,0,
2022-04-01,002807.XSHE,sell,2600,4.59,11934.0,5.0,16100,
2022-04-01,600928.XSHG,sell,16700,4.05,67635.0,20.290499999999998,0,
2022-04-01,601077.XSHG,sell,500,4.04,2020.0,5.0,18300,
2022-04-01,000755.XSHE,sell,15500,4.46,69130.0,20.738999999999997,0,
2022-04-01,600033.XSHG,sell,200,2.95,590.0,5.0,25100,
2022-04-01,601008.XSHG,sell,18400,4.57,84088.0,25.226399999999998,0,
2022-04-01,002040.XSHE,sell,11500,6.9,79350.0,23.804999999999996,0,
2022-04-01,601988.XSHG,sell,1200,3.29,3948.0,5.0,22500,
2022-04-01,000421.XSHE,buy,100,5.06,505.99999999999994,5.0,14600,
2022-04-01,000582.XSHE,buy,9600,7.7,73920.0,22.176,9600,
2022-04-01,001872.XSHE,buy,4600,15.98,73508.0,22.0524,4600,
2022-04-01,002267.XSHE,buy,11700,6.32,73944.0,22.1832,11700,
2022-04-01,003816.XSHE,buy,3900,2.74,10686.0,5.0,27000,
2022-04-01,600012.XSHG,buy,9200,7.99,73508.0,22.0524,9200,
2022-04-01,600350.XSHG,buy,13400,5.51,73834.0,22.150199999999998,13400,
2022-04-01,600681.XSHG,buy,14300,5.19,74217.0,22.265099999999997,14300,
2022-04-01,600795.XSHG,buy,29000,2.56,74240.0,22.272,29000,
2022-04-01,600886.XSHG,buy,7900,9.38,74102.0,22.2306,7900,
2022-04-01,601228.XSHG,buy,22200,3.34,74148.0,22.2444,22200,
2022-04-01,601229.XSHG,buy,900,6.74,6066.0,5.0,11000,
2022-04-01,601298.XSHG,buy,13000,5.71,74230.0,22.269,13000,
2022-04-01,601326.XSHG,buy,25900,2.86,74074.0,22.222199999999997,25900,
2022-04-01,601939.XSHG,buy,11700,6.3,73710.0,22.113,11700,
2022-04-01,601985.XSHG,buy,300,7.99,2397.0,5.0,9200,
2022-07-01,600795.XSHG,sell,10200,3.98,40596.0,12.178799999999999,18800,
2022-07-01,600886.XSHG,sell,900,10.7,9630.0,5.0,7000,
2022-07-01,601228.XSHG,sell,22200,3.63,80586.0,24.1758,0,
2022-07-01,000429.XSHE,sell,200,8.25,1650.0,5.0,9100,
2022-07-01,600717.XSHG,sell,16400,3.99,65436.0,19.630799999999997,0,
2022-07-01,000421.XSHE,sell,14600,4.75,69350.0,20.805,0,
2022-07-01,002267.XSHE,sell,11700,6.93,81081.0,24.324299999999997,0,
2022-07-01,002807.XSHE,sell,16100,4.45,71645.0,21.493499999999997,0,
2022-07-01,003816.XSHE,sell,200,2.8,560.0,5.0,26800,
2022-07-01,600681.XSHG,sell,14300,4.44,63492.00000000001,19.0476,0,
2022-07-01,601229.XSHG,sell,11000,6.55,72050.0,21.615,0,
2022-07-01,000582.XSHE,sell,9600,7.68,73728.0,22.118399999999998,0,
2022-07-01,000755.XSHE,buy,18300,4.09,74847.0,22.454099999999997,18300,
2022-07-01,000883.XSHE,buy,14400,5.19,74736.0,22.420799999999996,14400,
2022-07-01,001872.XSHE,buy,200,15.41,3082.0,5.0,4800,
2022-07-01,002608.XSHE,buy,11400,6.54,74556.0,22.366799999999998,11400,
2022-07-01,600012.XSHG,buy,700,7.51,5257.0,5.0,9900,
2022-07-01,600017.XSHG,buy,24800,3.02,74896.0,22.468799999999998,24800,
2022-07-01,600033.XSHG,buy,2000,2.77,5540.0,5.0,27100,
2022-07-01,600035.XSHG,buy,23000,3.26,74980.0,22.494,23000,
2022-07-01,600350.XSHG,buy,900,5.25,4725.0,5.0,14300,
2022-07-01,601000.XSHG,buy,29100,2.58,75078.0,22.5234,29100,
2022-07-01,601006.XSHG,buy,600,6.61,3966.0,5.0,11300,
2022-07-01,601018.XSHG,buy,19300,3.89,75077.0,22.5231,19300,
2022-07-01,601077.XSHG,buy,2100,3.68,7728.0,5.0,20400,
2022-07-01,601169.XSHG,buy,16500,4.54,74910.0,22.473,16500,
2022-07-01,601288.XSHG,buy,800,3.01,2408.0,5.0,24900,
2022-07-01,601298.XSHG,buy,700,5.48,3836.0000000000005,5.0,13700,
2022-07-01,601326.XSHG,buy,700,2.82,1974.0,5.0,26600,
2022-07-01,601398.XSHG,buy,200,4.77,953.9999999999999,5.0,15700,
2022-07-01,601825.XSHG,buy,11800,6.31,74458.0,22.3374,11800,
2022-07-01,601939.XSHG,buy,600,6.08,3648.0,5.0,12300,
2022-07-01,601985.XSHG,buy,1500,6.97,10455.0,5.0,10700,
2022-07-01,601988.XSHG,buy,500,3.26,1630.0,5.0,23000,
2022-07-01,601991.XSHG,buy,30600,2.45,74970.0,22.491,30600,
2022-10-10,601000.XSHG,sell,29100,2.6,75660.0,22.697999999999997,0,
2022-10-10,600795.XSHG,sell,900,4.15,3735.0000000000005,5.0,17900,
2022-10-10,600886.XSHG,sell,7000,10.73,75110.0,22.532999999999998,0,
2022-10-10,601018.XSHG,sell,19300,3.62,69866.0,20.959799999999998,0,
2022-10-10,600350.XSHG,sell,900,5.52,4968.0,5.0,13400,
2022-10-10,002608.XSHE,sell,11400,5.75,65550.0,19.665,0,
2022-10-10,601006.XSHG,sell,300,6.71,2013.0,5.0,11000,
2022-10-10,601991.XSHG,sell,30600,3.34,102204.0,30.661199999999997,0,
2022-10-10,601298.XSHG,sell,100,5.45,545.0,5.0,13600,
2022-10-10,601985.XSHG,sell,10700,5.86,62702.0,18.810599999999997,0,
2022-10-10,000755.XSHE,sell,3500,4.99,17465.0,5.2395,14800,
2022-10-10,000883.XSHE,sell,14400,4.37,62928.0,18.8784,0,
2022-10-10,000027.XSHE,buy,13300,5.56,73948.0,22.184399999999997,13300,
2022-10-10,000429.XSHE,buy,1000,7.3,7300.0,5.0,10100,
2022-10-10,000598.XSHE,buy,15000,4.95,74250.0,22.275,15000,
2022-10-10,001872.XSHE,buy,200,14.76,2952.0,5.0,5000,
2022-10-10,003816.XSHE,buy,1100,2.66,2926.0,5.0,27900,
2022-10-10,600008.XSHG,buy,28400,2.61,74124.0,22.237199999999998,28400,
2022-10-10,600012.XSHG,buy,1100,6.75,7425.0,5.0,11000,
2022-10-10,600017.XSHG,buy,2200,2.75,6050.0,5.0,27000,
2022-10-10,600035.XSHG,buy,500,3.16,1580.0,5.0,23500,
2022-10-10,600717.XSHG,buy,18400,4.02,73967.99999999999,22.190399999999993,18400,
2022-10-10,600719.XSHG,buy,17200,4.3,73960.0,22.188,17200,
2022-10-10,600803.XSHG,buy,3700,19.87,73519.0,22.055699999999998,3700,
2022-10-10,601008.XSHG,buy,19400,3.83,74302.0,22.290599999999998,19400,
2022-10-10,601077.XSHG,buy,100,3.62,362.0,5.0,20500,
2022-10-10,601169.XSHG,buy,1500,4.12,6180.0,5.0,18000,
2022-10-10,601288.XSHG,buy,900,2.87,2583.0,5.0,25800,
2022-10-10,601326.XSHG,buy,1300,2.66,3458.0,5.0,27900,
2022-10-10,601398.XSHG,buy,1300,4.36,5668.0,5.0,17000,
2022-10-10,601825.XSHG,buy,2000,5.35,10700.0,5.0,13800,
2022-10-10,601939.XSHG,buy,1100,5.52,6071.999999999999,5.0,13400,
2022-10-10,601988.XSHG,buy,1200,3.07,3684.0,5.0,24200,
2023-01-03,601169.XSHG,sell,18000,4.29,77220.0,23.165999999999997,0,
2023-01-03,600795.XSHG,sell,17900,4.34,77686.0,23.305799999999998,0,
2023-01-03,000429.XSHE,sell,100,7.76,776.0,5.0,10000,
2023-01-03,600350.XSHG,sell,100,5.83,583.0,5.0,13300,
2023-01-03,600008.XSHG,sell,28400,2.88,81792.0,24.537599999999998,0,
2023-01-03,600012.XSHG,sell,500,7.33,3665.0,5.0,10500,
2023-01-03,600017.XSHG,sell,27000,2.82,76140.0,22.842,0,
2023-01-03,000027.XSHE,sell,13300,6.17,82061.0,24.618299999999998,0,
