trade_date,code,amount,net_cash_per_share,dividend_cash
2022-04-25,600681.XSHG,13800,0.2,2760.0
2022-05-13,002807.XSHE,16300,0.144,2347.2
2022-05-17,001872.XSHE,4600,0.344,1582.3999999999999
2022-05-20,000582.XSHE,9600,0.1472,1413.12
2022-05-27,601228.XSHG,21800,0.0456,994.08
2022-06-15,600350.XSHG,13200,0.32,4224.0
2022-06-21,002267.XSHE,11500,0.24,2760.0
2022-06-23,600717.XSHG,16400,0.0808,1325.12
2022-06-29,601077.XSHG,18200,0.202,3676.4
2022-06-29,600033.XSHG,24700,0.12,2964.0
2022-06-30,000421.XSHE,14100,0.08,1128.0
2022-07-07,003816.XSHE,26100,0.0672,1753.9199999999998
2022-07-07,000429.XSHE,9100,0.456,4149.6
2022-07-07,601006.XSHG,11300,0.384,4339.2
2022-07-08,601939.XSHG,12300,0.2912,3581.76
2022-07-12,601398.XSHG,15700,0.23464,3683.848
2022-07-15,601169.XSHG,16600,0.244,4050.4
2022-07-15,601288.XSHG,24900,0.16544,4119.456
2022-07-15,601988.XSHG,22900,0.1768,4048.7200000000003
2022-07-15,000883.XSHE,14500,0.12,1740.0
2022-07-15,601985.XSHG,10500,0.12,1260.0
2022-07-19,601326.XSHG,26400,0.0448,1182.72
2022-07-20,600012.XSHG,10100,0.44,4444.0
2022-07-29,600886.XSHG,6900,0.1308,902.52
2022-08-26,601298.XSHG,13600,0.20512,2789.632
2023-04-25,600681.XSHG,18600,0.12,2232.0
2023-05-31,600017.XSHG,28400,0.032,908.8000000000001
2023-06-15,600350.XSHG,12600,0.32,4032.0
2023-06-16,600035.XSHG,22700,0.112,2542.4
2023-06-19,600956.XSHG,8600,0.1544,1327.8400000000001
2023-06-20,600717.XSHG,19500,0.0616,1201.2
2023-06-28,601825.XSHG,13900,0.2736,3803.04
2023-06-28,600098.XSHG,13300,0.16,2128.0
2023-06-28,001872.XSHE,4500,0.36,1620.0
2023-06-29,601077.XSHG,21900,0.21712,4754.928
2023-07-05,601880.XSHG,54600,0.01392,760.032
2023-07-06,600908.XSHG,16000,0.16,2560.0
2023-07-13,601006.XSHG,11400,0.384,4377.6
2023-07-14,002267.XSHE,10800,0.24,2592.0
2023-07-14,601985.XSHG,12100,0.136,1645.6000000000001
2023-07-14,000429.XSHE,10900,0.3424,3732.16
2023-07-19,600012.XSHG,8200,0.44,3608.0
2023-07-26,600377.XSHG,8600,0.368,3164.7999999999997
2023-07-28,600033.XSHG,27400,0.12,3288.0
2023-08-11,600018.XSHG,16200,0.112,1814.4
2023-08-16,000883.XSHE,18600,0.048,892.8000000000001
2024-05-10,002807.XSHE,24000,0.152,3648.0
2024-05-14,000690.XSHE,18000,0.24,4320.0
2024-05-15,600018.XSHG,16800,0.1376,2311.68
2024-05-28,600020.XSHG,24300,0.1192,2896.56
2024-06-07,603323.XSHG,20100,0.144,2894.3999999999996
2024-06-07,600035.XSHG,21000,0.152,3192.0
2024-06-13,000900.XSHE,23900,0.12,2868.0
2024-06-14,601187.XSHG,17400,0.248,4315.2
2024-06-14,600017.XSHG,32800,0.052,1705.6
2024-06-18,000027.XSHE,12600,0.112,1411.2
2024-06-20,600717.XSHG,20800,0.0816,1697.2800000000002
2024-06-25,600350.XSHG,11000,0.336,3696.0000000000005
2024-06-27,601229.XSHG,13500,0.368,4968.0
2024-06-27,600033.XSHG,27400,0.096,2630.4
2024-06-28,601077.XSHG,19800,0.2308,4569.84
2024-06-28,601816.XSHG,18100,0.08928,1615.968
2024-07-05,600908.XSHG,18100,0.16,2896.0
2024-07-05,600795.XSHG,16500,0.056,924.0
2024-07-10,601169.XSHG,16700,0.256,4275.2
2024-07-11,600011.XSHG,10200,0.16,1632.0
2024-07-12,601939.XSHG,13000,0.32,4160.0
2024-07-15,000429.XSHE,9400,0.4376,4113.44
2024-07-16,601398.XSHG,16800,0.24512,4118.016
2024-07-17,601326.XSHG,30500,0.0664,2025.2
2024-07-18,600000.XSHG,11700,0.2568,3004.5599999999995
2024-07-26,600377.XSHG,7600,0.376,2857.6
2024-08-08,000883.XSHE,16200,0.072,1166.3999999999999
2024-08-23,601991.XSHG,31900,0.006,191.4
2024-10-21,000905.XSHE,16500,0.0424,699.6
2024-10-25,600681.XSHG,29500,0.072,2124.0
2024-10-31,600795.XSHG,19900,0.072,1432.8
2024-12-20,600033.XSHG,29100,0.04,1164.0
2025-01-22,601818.XSHG,28800,0.0832,2396.16
2025-04-25,601988.XSHG,19900,0.09728,1935.872
2025-04-30,002807.XSHE,24600,0.16,3936.0
2025-05-09,601008.XSHG,28800,0.048,1382.4
2025-05-14,000828.XSHE,10800,0.26,2808.0
2025-05-16,601018.XSHG,30100,0.0864,2600.6400000000003
2025-05-29,000900.XSHE,26600,0.12,3192.0
2025-06-04,000791.XSHE,16400,0.144,2361.6
