trade_date,code,side,amount,price,value,commission,target_amount,reason
2021-10-08,000421.XSHE,buy,4500,5.25,23625.0,7.0874999999999995,4500,
2021-10-08,000429.XSHE,buy,3100,7.42,23002.0,6.900599999999999,3100,
2021-10-08,000539.XSHE,buy,4500,5.21,23445.0,7.033499999999999,4500,
2021-10-08,000543.XSHE,buy,5100,4.6,23460.0,7.037999999999999,5100,
2021-10-08,000900.XSHE,buy,5400,4.34,23436.0,7.030799999999999,5400,
2021-10-08,001872.XSHE,buy,1300,17.42,22646.000000000004,6.7938,1300,
2021-10-08,002040.XSHE,buy,3800,6.15,23370.0,7.010999999999999,3800,
2021-10-08,002807.XSHE,buy,6100,3.85,23485.0,7.0455,6100,
2021-10-08,600017.XSHG,buy,8500,2.78,23630.0,7.0889999999999995,8500,
2021-10-08,600033.XSHG,buy,8300,2.85,23655.0,7.0965,8300,
2021-10-08,600035.XSHG,buy,7300,3.22,23506.0,7.051799999999999,7300,
2021-10-08,600106.XSHG,buy,8600,2.73,23478.0,7.043399999999999,8600,
2021-10-08,600368.XSHG,buy,5800,4.05,23490.0,7.047,5800,
2021-10-08,600377.XSHG,buy,2700,8.73,23571.0,7.071299999999999,2700,
2021-10-08,600617.XSHG,buy,4200,5.57,23394.0,7.018199999999999,4200,
2021-10-08,600928.XSHG,buy,5300,4.4,23320.000000000004,6.996,5300,
2021-10-08,600969.XSHG,buy,2900,8.09,23461.0,7.0383,2900,
2021-10-08,601006.XSHG,buy,3700,6.29,23273.0,6.9818999999999996,3700,
2021-10-08,601018.XSHG,buy,5900,3.99,23541.0,7.0623,5900,
2021-10-08,601077.XSHG,buy,6100,3.87,23607.0,7.0821,6100,
2021-10-08,601288.XSHG,buy,8000,2.95,23600.0,7.079999999999999,8000,
2021-10-08,601326.XSHG,buy,8000,2.96,23680.0,7.103999999999999,8000,
2021-10-08,601333.XSHG,buy,10000,2.36,23600.0,7.079999999999999,10000,
2021-10-08,601398.XSHG,buy,5000,4.66,23300.0,6.989999999999999,5000,
2021-10-08,601985.XSHG,buy,3200,7.3,23360.0,7.007999999999999,3200,
2021-10-08,601988.XSHG,buy,7700,3.05,23485.0,7.0455,7700,
2021-10-08,601991.XSHG,buy,6500,3.64,23660.0,7.097999999999999,6500,
2021-10-08,603323.XSHG,buy,4500,5.2,23400.0,7.02,4500,
2021-10-11,000421.XSHE,buy,5800,5.34,30972.0,9.291599999999999,10300,
2021-10-11,000429.XSHE,buy,4300,7.35,31605.0,9.481499999999999,7400,
2021-10-11,000539.XSHE,buy,6400,5.02,32127.999999999996,9.638399999999997,10900,
2021-10-11,000543.XSHE,buy_skipped,6400,4.81,0.0,0.0,11500,high_limit
2021-10-11,000900.XSHE,buy,7200,4.39,31607.999999999996,9.482399999999998,12600,
2021-10-11,001872.XSHE,buy,1800,17.42,31356.000000000004,9.4068,3100,
2021-10-11,002040.XSHE,buy,5200,6.13,31876.0,9.5628,9000,
2021-10-11,002807.XSHE,buy,8100,3.9,31590.0,9.476999999999999,14200,
2021-10-11,600017.XSHG,buy,11000,2.84,31240.0,9.372,19500,
2021-10-11,600033.XSHG,buy,10800,2.89,31212.0,9.3636,19100,
2021-10-11,600035.XSHG,buy,9400,3.31,31114.0,9.3342,16700,
