trade_date,code,amount,net_cash_per_share,dividend_cash
2022-04-25,600681.XSHG,13900,0.2,2780.0
2022-05-13,002807.XSHE,16300,0.144,2347.2
2022-05-17,001872.XSHE,4500,0.344,1547.9999999999998
2022-05-20,000582.XSHE,9500,0.1472,1398.3999999999999
2022-05-27,601228.XSHG,21800,0.0456,994.08
2022-06-15,600350.XSHG,13200,0.32,4224.0
2022-06-21,002267.XSHE,11600,0.24,2784.0
2022-06-23,600717.XSHG,16200,0.0808,1308.96
2022-06-29,601077.XSHG,18100,0.202,3656.2000000000003
2022-06-29,600033.XSHG,24800,0.12,2976.0
2022-06-30,000421.XSHE,14500,0.08,1160.0
2022-07-07,003816.XSHE,26400,0.0672,1774.08
2022-07-07,000429.XSHE,8900,0.456,4058.4
2022-07-07,601006.XSHG,11200,0.384,4300.8
2022-07-08,601939.XSHG,12100,0.2912,3523.52
2022-07-12,601398.XSHG,15500,0.23464,3636.9199999999996
2022-07-15,601169.XSHG,16300,0.244,3977.2
2022-07-15,601288.XSHG,24600,0.16544,4069.824
2022-07-15,601988.XSHG,22700,0.1768,4013.36
2022-07-15,000883.XSHE,14200,0.12,1704.0
2022-07-15,601985.XSHG,10600,0.12,1272.0
2022-07-19,601326.XSHG,26300,0.0448,1178.24
2022-07-20,600012.XSHG,9800,0.44,4312.0
2022-07-29,600886.XSHG,6900,0.1308,902.52
2022-08-26,601298.XSHG,13500,0.20512,2769.12
2023-04-25,600681.XSHG,18300,0.12,2196.0
2023-05-31,600017.XSHG,28000,0.032,896.0
2023-06-15,600350.XSHG,12700,0.32,4064.0
2023-06-16,600035.XSHG,22700,0.112,2542.4
2023-06-19,600956.XSHG,8500,0.1544,1312.4
2023-06-20,600717.XSHG,19400,0.0616,1195.04
2023-06-28,601825.XSHG,13700,0.2736,3748.32
2023-06-28,600098.XSHG,13300,0.16,2128.0
2023-06-28,001872.XSHE,4700,0.36,1692.0
2023-06-29,601077.XSHG,21700,0.21712,4711.504
2023-07-05,601880.XSHG,54400,0.01392,757.248
2023-07-06,600908.XSHG,15900,0.16,2544.0
2023-07-13,601006.XSHG,11400,0.384,4377.6
2023-07-14,002267.XSHE,10700,0.24,2568.0
2023-07-14,601985.XSHG,12000,0.136,1632.0000000000002
2023-07-14,000429.XSHE,10900,0.3424,3732.16
2023-07-19,600012.XSHG,8100,0.44,3564.0
2023-07-26,600377.XSHG,8600,0.368,3164.7999999999997
2023-07-28,600033.XSHG,27200,0.12,3264.0
2023-08-11,600018.XSHG,16200,0.112,1814.4
2023-08-16,000883.XSHE,18500,0.048,888.0
2024-05-10,002807.XSHE,23600,0.152,3587.2
2024-05-14,000690.XSHE,17900,0.24,4296.0
2024-05-15,600018.XSHG,16800,0.1376,2311.68
2024-05-28,600020.XSHG,24300,0.1192,2896.56
2024-06-07,603323.XSHG,19800,0.144,2851.2
2024-06-07,600035.XSHG,20800,0.152,3161.6
2024-06-13,000900.XSHE,24200,0.12,2904.0
2024-06-14,601187.XSHG,17200,0.248,4265.6
2024-06-14,600017.XSHG,32700,0.052,1700.3999999999999
2024-06-18,000027.XSHE,12600,0.112,1411.2
2024-06-20,600717.XSHG,20800,0.0816,1697.2800000000002
2024-06-25,600350.XSHG,11100,0.336,3729.6000000000004
2024-06-27,601229.XSHG,13400,0.368,4931.2
2024-06-27,600033.XSHG,27200,0.096,2611.2000000000003
2024-06-28,601077.XSHG,19600,0.2308,4523.68
2024-06-28,601816.XSHG,17900,0.08928,1598.112
2024-07-05,600908.XSHG,18100,0.16,2896.0
2024-07-05,600795.XSHG,16400,0.056,918.4
2024-07-10,601169.XSHG,16800,0.256,4300.8
2024-07-11,600011.XSHG,10100,0.16,1616.0
2024-07-12,601939.XSHG,13100,0.32,4192.0
2024-07-15,000429.XSHE,9400,0.4376,4113.44
2024-07-16,601398.XSHG,17000,0.24512,4167.04
2024-07-17,601326.XSHG,30600,0.0664,2031.84
2024-07-18,600000.XSHG,11900,0.2568,3055.9199999999996
2024-07-26,600377.XSHG,7600,0.376,2857.6
2024-08-08,000883.XSHE,16100,0.072,1159.1999999999998
2024-08-23,601991.XSHG,31800,0.006,190.8
2024-10-21,000905.XSHE,16000,0.0424,678.4
2024-10-25,600681.XSHG,28100,0.072,2023.1999999999998
