trade_date,code,side,amount,price,value,commission,target_amount,reason
2021-10-11,000421.XSHE,buy,13300,5.34,71022.0,21.3066,13300,
2021-10-11,000429.XSHE,buy,9600,7.35,70560.0,21.168,9600,
2021-10-11,000539.XSHE,buy,14100,5.02,70782.0,21.234599999999997,14100,
2021-10-11,000543.XSHE,buy_skipped,14700,4.81,0.0,0.0,14700,high_limit
2021-10-11,000900.XSHE,buy,16100,4.39,70679.0,21.203699999999998,16100,
2021-10-11,001872.XSHE,buy,4000,17.42,69680.0,20.904,4000,
2021-10-11,002040.XSHE,buy,11500,6.13,70495.0,21.1485,11500,
2021-10-11,002807.XSHE,buy,18200,3.9,70980.0,21.293999999999997,18200,
2021-10-11,600017.XSHG,buy,25000,2.84,71000.0,21.299999999999997,25000,
2021-10-11,600033.XSHG,buy,24500,2.89,70805.0,21.2415,24500,
2021-10-11,600035.XSHG,buy,21400,3.31,70834.0,21.2502,21400,
2021-10-11,600106.XSHG,buy,25300,2.8,70840.0,21.252,25300,
2021-10-11,600368.XSHG,buy,17300,4.09,70757.0,21.227099999999997,17300,
2021-10-11,600377.XSHG,buy,8000,8.84,70720.0,21.215999999999998,8000,
2021-10-11,600617.XSHG,buy,12200,5.79,70638.0,21.191399999999998,12200,
2021-10-11,600928.XSHG,buy,15900,4.46,70914.0,21.274199999999997,15900,
2021-10-11,600969.XSHG,buy,8900,7.98,71022.0,21.3066,8900,
2021-10-11,601006.XSHG,buy,11200,6.3,70560.0,21.168,11200,
2021-10-11,601018.XSHG,buy,17700,4.01,70977.0,21.2931,17700,
2021-10-11,601077.XSHG,buy,18100,3.91,70771.0,21.231299999999997,18100,
2021-10-11,601288.XSHG,buy,24000,2.96,71040.0,21.311999999999998,24000,
2021-10-11,601326.XSHG,buy,23300,3.05,71065.0,21.319499999999998,23300,
2021-10-11,601333.XSHG,buy,29700,2.39,70983.0,21.2949,29700,
2021-10-11,601398.XSHG,buy,15000,4.72,70800.0,21.24,15000,
2021-10-11,601985.XSHG,buy,9900,7.15,70785.0,21.2355,9900,
2021-10-11,601988.XSHG,buy,23000,3.08,70840.0,21.252,23000,
2021-10-11,601991.XSHG,buy,20700,3.42,70794.0,21.2382,20700,
2021-10-11,603323.XSHG,buy,13400,5.27,70618.0,21.185399999999998,13400,
2022-01-05,600368.XSHG,sell,200,4.19,838.0000000000001,5.0,17100,
2022-01-05,600106.XSHG,sell,25300,4.68,118404.0,35.5212,0,
2022-01-05,600969.XSHG,sell,100,8.17,817.0,5.0,8800,
2022-01-05,600017.XSHG,sell,100,2.88,288.0,5.0,24900,
2022-01-05,601333.XSHG,sell,29700,2.33,69201.0,20.760299999999997,0,
2022-01-05,601006.XSHG,sell,100,6.46,646.0,5.0,11100,
2022-01-05,601991.XSHG,sell,20700,3.04,62928.0,18.8784,0,
2022-01-05,603323.XSHG,sell,13400,4.91,65794.0,19.7382,0,
2022-01-05,001872.XSHE,sell,4000,17.38,69520.0,20.855999999999998,0,
2022-01-05,000539.XSHE,sell,14100,5.75,81075.0,24.322499999999998,0,
2022-01-05,601985.XSHG,sell,1100,8.09,8899.0,5.0,8800,
2022-01-05,601326.XSHG,sell,23300,2.83,65939.0,19.781699999999997,0,
2022-01-05,002040.XSHE,sell,100,6.27,627.0,5.0,11400,
2022-01-05,000421.XSHE,buy,1000,5.0,5000.0,5.0,14300,
2022-01-05,000429.XSHE,buy,100,7.39,739.0,5.0,9700,
2022-01-05,000755.XSHE,buy,15300,4.69,71757.0,21.527099999999997,15300,
2022-01-05,000900.XSHE,buy,600,4.28,2568.0,5.0,16700,
2022-01-05,002807.XSHE,buy,300,3.87,1161.0,5.0,18500,
2022-01-05,002893.XSHE,buy,7800,9.17,71526.0,21.4578,7800,
2022-01-05,003816.XSHE,buy,22900,3.13,71677.0,21.5031,22900,
2022-01-05,600033.XSHG,buy,400,2.88,1152.0,5.0,24900,
2022-01-05,600035.XSHG,buy,800,3.23,2584.0,5.0,22200,
2022-01-05,600377.XSHG,buy,200,8.72,1744.0000000000002,5.0,8200,
2022-01-05,600617.XSHG,buy,4500,4.28,19260.0,5.778,16700,
2022-01-05,600717.XSHG,buy,16900,4.24,71656.0,21.496799999999997,16900,
2022-01-05,600928.XSHG,buy,600,4.34,2604.0,5.0,16500,
2022-01-05,601008.XSHG,buy,18000,3.98,71640.0,21.491999999999997,18000,
2022-01-05,601077.XSHG,buy,400,3.87,1548.0,5.0,18500,
2022-01-05,601229.XSHG,buy,10000,7.17,71700.0,21.509999999999998,10000,
2022-01-05,601288.XSHG,buy,400,2.94,1176.0,5.0,24400,
2022-01-05,601368.XSHG,buy,12900,5.57,71853.0,21.555899999999998,12900,
2022-01-05,601398.XSHG,buy,400,4.66,1864.0,5.0,15400,
2022-01-05,601880.XSHG,buy,40800,1.76,71808.0,21.542399999999997,40800,
2022-01-05,601988.XSHG,buy,400,3.07,1228.0,5.0,23400,
2022-04-06,601018.XSHG,sell,17700,4.14,73278.0,21.9834,0,
2022-04-06,600368.XSHG,sell,17100,4.32,73872.0,22.161599999999996,0,
2022-04-06,000429.XSHE,sell,500,7.9,3950.0,5.0,9200,
2022-04-06,002893.XSHE,sell,7800,8.26,64428.0,19.3284,0,
2022-04-06,600969.XSHG,sell,8800,7.89,69432.0,20.8296,0,
2022-04-06,601288.XSHG,sell,600,3.07,1842.0,5.0,23800,
2022-04-06,601880.XSHG,sell,40800,1.77,72216.0,21.6648,0,
2022-04-06,600377.XSHG,sell,8200,8.5,69700.0,20.909999999999997,0,
2022-04-06,600717.XSHG,sell,700,4.5,3150.0,5.0,16200,
2022-04-06,600017.XSHG,sell,24900,2.97,73953.0,22.185899999999997,0,
2022-04-06,600617.XSHG,sell,16700,4.24,70808.0,21.242399999999996,0,
2022-04-06,000900.XSHE,sell,16700,4.25,70975.0,21.292499999999997,0,
2022-04-06,601006.XSHG,sell,500,6.87,3435.0,5.0,10600,
2022-04-06,601368.XSHG,sell,12900,5.65,72885.0,21.865499999999997,0,
2022-04-06,600035.XSHG,sell,22200,3.4,75480.0,22.644,0,
2022-04-06,002807.XSHE,sell,2200,4.46,9812.0,5.0,16300,
2022-04-06,600928.XSHG,sell,16500,4.03,66495.0,19.9485,0,
2022-04-06,601077.XSHG,sell,400,4.02,1607.9999999999998,5.0,18100,
2022-04-06,601398.XSHG,sell,100,4.78,478.0,5.0,15300,
2022-04-06,000755.XSHE,sell,15300,4.44,67932.0,20.3796,0,
2022-04-06,600033.XSHG,sell,100,2.94,294.0,5.0,24800,
2022-04-06,601008.XSHG,sell,18000,4.77,85859.99999999999,25.757999999999992,0,
2022-04-06,002040.XSHE,sell,11400,6.86,78204.0,23.461199999999998,0,
2022-04-06,601988.XSHG,sell,1200,3.28,3935.9999999999995,5.0,22200,
2022-04-06,000421.XSHE,buy,200,5.04,1008.0,5.0,14500,
2022-04-06,000582.XSHE,buy,9500,7.68,72960.0,21.887999999999998,9500,
2022-04-06,001872.XSHE,buy,4500,15.98,71910.0,21.572999999999997,4500,
2022-04-06,002267.XSHE,buy,11600,6.29,72964.0,21.8892,11600,
2022-04-06,003816.XSHE,buy,3800,2.73,10374.0,5.0,26700,
2022-04-06,600012.XSHG,buy,9200,7.9,72680.0,21.804,9200,
2022-04-06,600350.XSHG,buy,13200,5.51,72732.0,21.819599999999998,13200,
2022-04-06,600681.XSHG,buy,13900,5.24,72836.0,21.8508,13900,
2022-04-06,600795.XSHG,buy,28500,2.56,72960.0,21.887999999999998,28500,
2022-04-06,600886.XSHG,buy,7800,9.37,73086.0,21.9258,7800,
2022-04-06,601228.XSHG,buy,21800,3.34,72812.0,21.8436,21800,
2022-04-06,601229.XSHG,buy,800,6.71,5368.0,5.0,10800,
2022-04-06,601298.XSHG,buy,12800,5.69,72832.0,21.8496,12800,
2022-04-06,601326.XSHG,buy,25500,2.86,72930.0,21.878999999999998,25500,
2022-04-06,601939.XSHG,buy,11600,6.28,72848.0,21.8544,11600,
2022-04-06,601985.XSHG,buy,300,7.95,2385.0,5.0,9100,
2022-07-04,600795.XSHG,sell,9800,3.96,38808.0,11.642399999999999,18700,
2022-07-04,600886.XSHG,sell,900,10.7,9630.0,5.0,6900,
2022-07-04,601228.XSHG,sell,21800,3.64,79352.0,23.8056,0,
2022-07-04,000429.XSHE,sell,300,8.26,2478.0,5.0,8900,
2022-07-04,600717.XSHG,sell,16200,3.99,64638.0,19.391399999999997,0,
2022-07-04,000421.XSHE,sell,14500,4.76,69020.0,20.706,0,
2022-07-04,002267.XSHE,sell,11600,6.95,80620.0,24.185999999999996,0,
2022-07-04,002807.XSHE,sell,16300,4.47,72861.0,21.8583,0,
2022-07-04,003816.XSHE,sell,300,2.81,843.0,5.0,26400,
