trade_date,code,sub_industry,approved_gas_water_business_tag,selected_flag,low_pb_baseline_flag,future_return,future_return_minus_universe_mean,future_return_minus_low_pb_mean,price_return,dividend_return,total_return,factor_visible_date,gas_water_visible_date,gas_water_financial_evidence_visible_date,low_price_to_book_safe,dividend_yield,interest_coverage_safe,debt_pressure_safe,capex_burden_safe,direct_receivables_to_revenue,direct_receivables_to_assets,direct_collection_cash_to_revenue,direct_interest_bearing_debt_to_assets,direct_net_debt_to_assets
2026-01-05,000407.XSHE,gas,core_gas_operator,False,False,-0.04703476483,-0.09616155091935899,-0.0492824000156,-0.04703476483,,-0.04703476483,2026-01-05,2025-08-20,2026-01-05,1.4301,0.8485,3.904836014,0.4421721565,0.1697151,0.5558049211,0.08123467455,1.185680611,0.2133294212,0.1349370046
2026-01-05,000421.XSHE,gas,core_gas_operator,False,False,-0.0293255132,-0.07845229928935898,-0.0315731483856,-0.0293255132,,-0.0293255132,2026-01-05,2025-08-22,2026-01-05,1.4085,0.8733,16.76594372,0.6212786174,0.7560248396,0.1117442097,0.03278642632,0.3252134788,0.194672831,0.04328879671
2026-01-05,000593.XSHE,gas,core_gas_operator,False,False,0.4311759344,0.382049148310641,0.4289282992144,0.4311759344,,0.4311759344,2026-01-05,2025-08-16,2026-01-05,4.4994,0.0,0.6334113622,0.4984417424,2.273582822,0.5115545784,0.1092870077,1.01772604,0.2681871222,0.2042939019
2026-01-05,000598.XSHE,water,core_water_operator,False,True,-0.05848787447,-0.10761466055935899,-0.0607355096556,-0.05848787447,,-0.05848787447,2026-01-05,2025-08-28,2026-01-05,1.112,2.5761,9.370283769,0.5765815311,0.3716587153,2.576346279,0.1229305878,1.083507901,0.3176384213,0.2345692552
2026-01-05,000669.XSHE,gas,core_gas_operator,False,False,0.7108843537,0.6617575676106411,0.7086367185144,0.7108843537,,0.7108843537,2026-01-05,2025-08-29,2026-01-05,,0.0,,0.966642388,0.2686627798,0.1034490215,0.01159592619,1.113792546,0.4947555621,0.4570166017
2026-01-05,001299.XSHE,gas,core_gas_operator,True,False,0.03434343434,-0.014783351749358992,0.0320957991544,0.03434343434,,0.03434343434,2026-01-05,2025-08-27,2026-01-05,2.7188,5.6844,20.85483145,0.2562350396,2.710842473,0.172440897,0.01380393044,1.082455701,0.001556216497,-0.1053528587
2026-01-05,002259.XSHE,gas,core_gas_operator,False,False,0.2572115385,0.208084752410641,0.2549639033144,0.2572115385,,0.2572115385,2026-01-05,2025-08-29,2026-01-05,11.5281,0.0,6.395355776,0.6990937973,0.004683473432,0.01652520594,0.004426189287,1.133499461,0.1545801948,-0.2329396959
2026-01-05,002267.XSHE,gas,core_gas_operator,True,False,0.0339673913,-0.015159394789358994,0.0317197561144,0.0339673913,,0.0339673913,2026-01-05,2025-08-26,2026-01-05,1.2809,4.6174,,0.507001254,0.784083701,0.08511748799,0.006745328533,1.197144587,0.2782687548,0.2252287058
2026-01-05,002700.XSHE,gas,core_gas_operator,True,False,-0.03735632184,-0.08648310792935898,-0.039603957025599996,-0.03735632184,,-0.03735632184,2026-01-05,2025-08-21,2026-01-05,2.1107,0.9456,88.06180687,0.1282453987,0.3140884644,0.2338899857,0.02169153657,1.206543791,0.0002392814085,-0.136354504
2026-01-05,002911.XSHE,gas,core_gas_operator,False,False,0.2127476314,0.163620845310641,0.2104999962144,0.2127476314,,0.2127476314,2026-01-05,2024-03-27,2026-01-05,3.2928,3.9708,25.59749913,0.5442553673,999.0,0.1223576433,0.04744822368,1.177727825,0.1960119056,0.03668325771
