signal_date,code,actual_weight_after_rebalance,amount_after_rebalance,start_close,end_date,end_close,net_dividend_per_share_period,close_plus_dividend_return,approx_weighted_contribution
2026-01-05,002700.XSHE,0.1026565751900209,37900,6.98,2026-03-31,6.76,0.0,-0.03151862464183386,-0.003235594060430463
2026-01-05,601158.XSHG,0.0989196153912748,56900,4.48,2026-03-31,4.52,0.0,0.008928571428571175,0.0008832108517077856
2026-01-05,600681.XSHG,0.099034479368474,58400,4.37,2026-03-31,4.42,0.0,0.011441647597253857,0.001133117612911587
2026-01-05,601199.XSHG,0.098876153345848,45500,5.6,2026-03-31,5.73,0.0,0.023214285714285854,0.0022953392741000564
2026-01-05,001299.XSHE,0.0965912915291277,18800,13.24,2026-03-31,13.63,0.0,0.02945619335347427,0.0028452117595437866
2026-01-05,002267.XSHE,0.0991268362150059,33700,7.58,2026-03-31,7.82,0.0,0.0316622691292876,0.0031385805661743294
2026-01-05,600461.XSHG,0.1006417989413096,27300,9.5,2026-03-31,9.86,0.0,0.0378947368421052,0.0038137944861969895
2026-01-05,600008.XSHG,0.099683305618059,84500,3.04,2026-03-31,3.13,0.032,0.04013157894736841,0.004000448449145788
2026-01-05,605368.XSHG,0.0999654208593559,32900,7.83,2026-03-31,8.21,0.0,0.048531289910600295,0.004851450820760572
2026-01-05,600803.XSHG,0.0977150958465907,12200,20.64,2026-03-31,22.18,0.0,0.0746124031007751,0.0072907581203367
2026-04-01,605368.XSHG,0.1006520314379296,32100,8.3,2026-05-29,6.94,0.0,-0.16385542168674705,-0.016492381054889677
2026-04-01,600681.XSHG,0.0992806885932061,60000,4.38,2026-05-29,3.74,0.0,-0.1461187214611871,-0.014506767283025537
2026-04-01,600803.XSHG,0.098543261256319,11900,21.92,2026-05-29,19.55,0.0,-0.10812043795620441,-0.01065454056466588
2026-04-01,002267.XSHE,0.0992202437295269,33500,7.84,2026-05-29,7.43,0.0,-0.05229591836734693,-0.005188813766467604
2026-04-01,001299.XSHE,0.0988537967434713,19100,13.7,2026-05-29,12.67,0.4,-0.04598540145985397,-0.004545831529079333
2026-04-01,600008.XSHG,0.0990895317118204,83800,3.13,2026-05-29,3.15,0.0,0.006389776357827559,0.0006331599470403941
2026-04-01,601199.XSHG,0.098709484631437,45600,5.73,2026-05-29,5.88,0.0,0.02617801047120416,0.002584017922288924
2026-04-01,002700.XSHE,0.0985009498517435,38800,6.72,2026-05-29,6.97,0.0,0.03720238095238093,0.0036644698605559317
2026-04-01,603080.XSHG,0.10029011781665,12200,21.76,2026-05-29,22.24,0.416,0.04117647058823515,0.004129593086567926
2026-04-01,600461.XSHG,0.09945522313708,26700,9.86,2026-05-29,10.49,0.0,0.0638945233265722,0.006354644074681601
