trade_date,strategy_return,benchmark_return,excess_return,strategy_nav,benchmark_nav,cash_weight,dividend_cash,buy_turnover,sell_turnover,window_type
2026-03-23,-0.0372561232293872,-0.0364108993798253,-0.0008452238495618,1.3063385454999958,1.3884724549999992,0.0077315681565029,0.0,0.0,0.0,worst_daily_strategy_return
2026-03-04,-0.0367905686797418,-0.0374027503482805,0.0006121816685387,1.387652045499996,1.4829180479999984,0.0072785144754072,0.0,0.0,0.0,worst_daily_strategy_return
2026-04-03,-0.033622881193505,-0.0356370478319357,0.0020141666384306,1.2837027319999956,1.3470549579999993,0.0076343469213713,0.0,0.0,0.0,worst_daily_strategy_return
2026-05-21,-0.0266875379571922,-0.0301320623341945,0.0034445243770022,1.2812147319999954,1.378947315,0.0106307175993353,0.0,0.0,0.0,worst_daily_strategy_return
2026-04-29,-0.0249929743666913,-0.0020734203898318,-0.0229195539768595,1.2879757319999956,1.4225069109999997,0.0105749135341628,7640.0,0.0,0.0,worst_daily_strategy_return
2026-03-05,-0.0181911597232607,-0.0135746112383953,-0.0046165484848654,1.362409045499996,1.4627880119999983,0.0074133723152825,0.0,0.0,0.0,worst_daily_strategy_return
2026-02-02,-0.0180872220681158,-0.0239491798954717,0.0058619578273558,1.2914760454999958,1.371354957999998,0.0078205442022657,0.0,0.0,0.0,worst_daily_strategy_return
2026-04-15,-0.0165609982095992,-0.010811837740756,-0.0057491604688432,1.3202882319999956,1.3689367429999997,0.0074227973577819,0.0,0.0,0.0,worst_daily_strategy_return
2026-03-10,-0.013469925811652,-0.0045814664515301,-0.0088884593601219,1.3466905454999958,1.4490199579999985,0.0074999008003358,0.0,0.0,0.0,worst_daily_strategy_return
2026-03-30,-0.0129887491561636,-0.0120379651027028,-0.0009507840534608,1.339698545499996,1.430767926999999,0.0075390434168387,0.0,0.0,0.0,worst_daily_strategy_return
2026-03-31,-0.0122475313980998,-0.0209383970905856,0.0086908656924857,1.323290545499996,1.4008099399999994,0.0076325229817038,0.0,0.0,0.0,worst_daily_strategy_return
2026-01-27,-0.012034682405637,-0.0128754127019574,0.0008407302963203,1.3061845454999956,1.408068422999998,0.007732479713373,0.0,0.0,0.0,worst_daily_strategy_return
2026-04-30,-0.0116504524325928,-0.011856905488173,0.0002064530555802,1.2729702319999956,1.4056403809999996,0.0106995683462299,0.0,0.0,0.0,worst_daily_strategy_return
2026-03-17,-0.0112249015362803,-0.0123707158745434,0.0011458143382631,1.3428520454999957,1.4404133129999988,0.0075213390290063,0.0,0.0,0.0,worst_daily_strategy_return
2026-02-12,-0.0110127050676086,-0.0052174329203502,-0.0057952721472583,1.301712045499996,1.3734111329999985,0.0077590474290499,0.0,0.0,0.0,worst_daily_strategy_return
