trade_date,row_count,embedded_value_rows,new_business_value_rows,price_to_embedded_value_rows,embedded_value_coverage_ratio,new_business_value_coverage_ratio,price_to_embedded_value_coverage_ratio,covered_codes
2016-04-01,4,0,0,0,0.0,0.0,0.0,
2016-07-01,4,0,0,0,0.0,0.0,0.0,
2016-10-10,4,0,0,0,0.0,0.0,0.0,
2017-01-03,4,0,0,0,0.0,0.0,0.0,
2017-04-05,2,0,0,0,0.0,0.0,0.0,
2017-07-03,2,0,0,0,0.0,0.0,0.0,
2017-10-09,2,0,0,0,0.0,0.0,0.0,
2018-01-02,2,0,0,0,0.0,0.0,0.0,
2018-04-02,4,0,0,0,0.0,0.0,0.0,
2018-07-02,4,0,0,0,0.0,0.0,0.0,
2018-10-08,4,0,0,0,0.0,0.0,0.0,
2019-01-02,4,0,0,0,0.0,0.0,0.0,
2019-04-01,4,0,0,0,0.0,0.0,0.0,
2019-07-01,4,0,0,0,0.0,0.0,0.0,
2019-10-08,4,0,0,0,0.0,0.0,0.0,
2020-01-02,4,0,0,0,0.0,0.0,0.0,
2020-04-01,5,0,0,0,0.0,0.0,0.0,
2020-07-01,5,0,0,0,0.0,0.0,0.0,
2020-10-09,5,0,0,0,0.0,0.0,0.0,
2021-01-04,5,0,0,0,0.0,0.0,0.0,
2021-04-01,5,0,0,0,0.0,0.0,0.0,
2021-07-01,5,0,0,0,0.0,0.0,0.0,
2021-10-08,5,0,0,0,0.0,0.0,0.0,
2022-01-04,5,0,0,0,0.0,0.0,0.0,
2022-04-01,5,0,0,0,0.0,0.0,0.0,
2022-07-01,5,0,0,0,0.0,0.0,0.0,
2022-10-10,5,0,0,0,0.0,0.0,0.0,
2023-01-03,5,0,0,0,0.0,0.0,0.0,
2023-04-03,5,0,0,0,0.0,0.0,0.0,
2023-07-03,5,0,0,0,0.0,0.0,0.0,
2023-10-09,5,0,0,0,0.0,0.0,0.0,
2024-01-02,5,0,0,0,0.0,0.0,0.0,
2024-04-01,5,0,0,0,0.0,0.0,0.0,
2024-07-01,5,0,0,0,0.0,0.0,0.0,
2024-10-08,5,0,0,0,0.0,0.0,0.0,
2025-01-02,5,0,0,0,0.0,0.0,0.0,
2025-04-01,5,5,5,5,1.0,1.0,1.0,601318.XSHG;601319.XSHG;601336.XSHG;601601.XSHG;601628.XSHG
2025-07-01,5,5,5,5,1.0,1.0,1.0,601318.XSHG;601319.XSHG;601336.XSHG;601601.XSHG;601628.XSHG
2025-10-09,5,5,5,5,1.0,1.0,1.0,601318.XSHG;601319.XSHG;601336.XSHG;601601.XSHG;601628.XSHG
2026-01-05,5,5,5,5,1.0,1.0,1.0,601318.XSHG;601319.XSHG;601336.XSHG;601601.XSHG;601628.XSHG
2026-04-01,5,5,5,5,1.0,1.0,1.0,601318.XSHG;601319.XSHG;601336.XSHG;601601.XSHG;601628.XSHG
