trade_date,code,company_name,insurance_subgroup,is_core_insurance_numeric,close,price_adjustment,next_trade_date,price_return,dividend_return,total_return,future_return,return_source,low_price_to_book,low_price_to_earnings,price_to_earnings,market_cap,dividend_yield,return_on_equity_ttm,profit_growth_yoy,operating_cash_flow_yield,asset_liability_ratio,earned_premium,solvency_adequacy_ratio,net_investment_rate_of_return,total_investment_rate_of_return,comprehensive_cost_ratio,compensation_rate,insurance_indicator_pubDate,insurance_indicator_statDate,insurance_indicator_staleness_days,insurance_indicator_status,bond_proxy_252d_return,bond_proxy_63d_return,equity_252d_return,equity_63d_return,factor_visible_date,factor_visibility_source,universe_visible_date,universe_source,external_state_visible_date,external_state_source,ev_nbv_status,gov_bond_10y_yield,gov_bond_1y_yield,gov_bond_10y_1y_spread,gov_bond_10y_yield_change_252d,gov_bond_10y_yield_change_63d,v53b_scoring_policy,v53d_panel_policy,ev_nbv_rolling_status,embedded_value,embedded_value_visible_date,embedded_value_report_period,embedded_value_source_url,new_business_value,new_business_value_visible_date,new_business_value_report_period,new_business_value_source_url,price_to_embedded_value,price_to_new_business_value,embedded_value_yoy,new_business_value_yoy,ev_nbv_repair_status
2016-04-01,601318.XSHG,????,insurance_group,1,21.72,pre_adjusted_price,2016-07-01,0.007826887661,,0.007826887661,0.007826887661,jqdata_pre_adjusted_total_return,1.7457,10.7652,10.7652,5835.0531,1.3471,1.79,-5.22,-0.0607518035,0.9132094018,,204.9,5.8,7.8,95.6,1.8,2016-03-16,2015-12-31,16,fresh_or_latest_visible,0.05757705479,0.01670470276,-0.1898183814,-0.1615627117,2016-04-01,jqdatasdk.get_fundamentals(date=trade_date); insurance_indicator_latest_pubDate_lte_trade_date,2016-04-01,formal_core_insurance_review_v53_test1,2016-04-01;2016-03-31,chinabond_10y_via_akshare;joinquant_000300,deferred_enhancement_not_required_for_test1,2.8419,2.0861,0.7558,-0.7078,0.0401,low_pb_plus_dividend_only;roe_and_profit_growth_not_used_as_positive_quality_factors,common_sample_low_pb_total_investment_solvency,enhancement_only_not_in_rolling_core_model,,,,,,,,,,,,,ev_nbv_missing_or_not_yet_visible
2016-04-01,601628.XSHG,????,life_insurance,1,20.02,pre_adjusted_price,2016-07-01,-0.1133866134,,-0.1133866134,-0.1133866134,jqdata_pre_adjusted_total_return,2.1529,19.5252,19.5252,6775.0498,1.6688,0.28,-79.11,-0.08313149056,0.8667597919,3.62301e+11,359.02,4.45,6.39,,,2016-03-24,2015-12-31,8,fresh_or_latest_visible,0.05757705479,0.01670470276,-0.1898183814,-0.1615627117,2016-04-01,jqdatasdk.get_fundamentals(date=trade_date); insurance_indicator_latest_pubDate_lte_trade_date,2016-04-01,formal_core_insurance_review_v53_test1,2016-04-01;2016-03-31,chinabond_10y_via_akshare;joinquant_000300,deferred_enhancement_not_required_for_test1,2.8419,2.0861,0.7558,-0.7078,0.0401,low_pb_plus_dividend_only;roe_and_profit_growth_not_used_as_positive_quality_factors,common_sample_low_pb_total_investment_solvency,enhancement_only_not_in_rolling_core_model,,,,,,,,,,,,,ev_nbv_missing_or_not_yet_visible
2016-04-01,601601.XSHG,????,insurance_group,1,18.73,pre_adjusted_price,2016-07-01,0.025093433,,0.025093433,0.025093433,jqdata_pre_adjusted_total_return,1.7922,13.4795,13.4795,2389.6494,1.8961,2.07,28.56,0.06942022407,0.853133054,1.89376e+11,299,5.2,7.3,99.8,4.2,2016-03-28,2015-12-31,4,fresh_or_latest_visible,0.05757705479,0.01670470276,-0.1898183814,-0.1615627117,2016-04-01,jqdatasdk.get_fundamentals(date=trade_date); insurance_indicator_latest_pubDate_lte_trade_date,2016-04-01,formal_core_insurance_review_v53_test1,2016-04-01;2016-03-31,chinabond_10y_via_akshare;joinquant_000300,deferred_enhancement_not_required_for_test1,2.8419,2.0861,0.7558,-0.7078,0.0401,low_pb_plus_dividend_only;roe_and_profit_growth_not_used_as_positive_quality_factors,common_sample_low_pb_total_investment_solvency,enhancement_only_not_in_rolling_core_model,,,,,,,,,,,,,ev_nbv_missing_or_not_yet_visible
2016-04-01,601336.XSHG,????,life_insurance,1,31.04,pre_adjusted_price,2016-07-01,0.0112757732,,0.0112757732,0.0112757732,jqdata_pre_adjusted_total_return,2.1656,14.5622,14.5622,1252.498,0.523,-0.08,-153.09,0.0135249717,0.9124364176,1.1122e+11,227.43,4.9,7.5,,9.3,2016-03-30,2015-12-31,2,fresh_or_latest_visible,0.05757705479,0.01670470276,-0.1898183814,-0.1615627117,2016-04-01,jqdatasdk.get_fundamentals(date=trade_date); insurance_indicator_latest_pubDate_lte_trade_date,2016-04-01,formal_core_insurance_review_v53_test1,2016-04-01;2016-03-31,chinabond_10y_via_akshare;joinquant_000300,deferred_enhancement_not_required_for_test1,2.8419,2.0861,0.7558,-0.7078,0.0401,low_pb_plus_dividend_only;roe_and_profit_growth_not_used_as_positive_quality_factors,common_sample_low_pb_total_investment_solvency,enhancement_only_not_in_rolling_core_model,,,,,,,,,,,,,ev_nbv_missing_or_not_yet_visible
2016-07-01,601318.XSHG,????,insurance_group,1,21.89,pre_adjusted_price,2016-10-10,0.09319323892,,0.09319323892,0.09319323892,jqdata_pre_adjusted_total_return,1.6919,10.7075,10.7075,5882.5817,1.3362,6.07,4.25,0.2027545107,0.9120549999,,204.9,5.8,7.8,95.6,1.8,2016-03-16,2015-12-31,107,fresh_or_latest_visible,0.06101258665,0.001435525577,-0.3603309976,0.005903534147,2016-07-01,jqdatasdk.get_fundamentals(date=trade_date); insurance_indicator_latest_pubDate_lte_trade_date,2016-07-01,formal_core_insurance_review_v53_test1,2016-07-01;2016-06-30,chinabond_10y_via_akshare;joinquant_000300,deferred_enhancement_not_required_for_test1,2.8411,2.3901,0.451,-0.7442,0.0076,low_pb_plus_dividend_only;roe_and_profit_growth_not_used_as_positive_quality_factors,common_sample_low_pb_total_investment_solvency,enhancement_only_not_in_rolling_core_model,,,,,,,,,,,,,ev_nbv_missing_or_not_yet_visible
2016-07-01,601628.XSHG,????,life_insurance,1,17.75,pre_adjusted_price,2016-10-10,0.04338028169,,0.04338028169,0.04338028169,jqdata_pre_adjusted_total_return,1.8719,21.2708,21.2708,5887.5381,2.0163,1.65,-56.63,0.0006012699943,0.8748459427,3.62301e+11,359.02,4.45,6.39,,,2016-03-24,2015-12-31,99,fresh_or_latest_visible,0.06101258665,0.001435525577,-0.3603309976,0.005903534147,2016-07-01,jqdatasdk.get_fundamentals(date=trade_date); insurance_indicator_latest_pubDate_lte_trade_date,2016-07-01,formal_core_insurance_review_v53_test1,2016-07-01;2016-06-30,chinabond_10y_via_akshare;joinquant_000300,deferred_enhancement_not_required_for_test1,2.8411,2.3901,0.451,-0.7442,0.0076,low_pb_plus_dividend_only;roe_and_profit_growth_not_used_as_positive_quality_factors,common_sample_low_pb_total_investment_solvency,enhancement_only_not_in_rolling_core_model,,,,,,,,,,,,,ev_nbv_missing_or_not_yet_visible
2016-07-01,601601.XSHG,????,insurance_group,1,19.2,pre_adjusted_price,2016-10-10,0.1333333333,,0.1333333333,0.1333333333,jqdata_pre_adjusted_total_return,1.8499,16.3036,16.3036,2449.4586,1.8498,1.65,-54.89,0.06532055696,0.8573104902,1.89376e+11,299,5.2,7.3,99.8,4.2,2016-03-28,2015-12-31,95,fresh_or_latest_visible,0.06101258665,0.001435525577,-0.3603309976,0.005903534147,2016-07-01,jqdatasdk.get_fundamentals(date=trade_date); insurance_indicator_latest_pubDate_lte_trade_date,2016-07-01,formal_core_insurance_review_v53_test1,2016-07-01;2016-06-30,chinabond_10y_via_akshare;joinquant_000300,deferred_enhancement_not_required_for_test1,2.8411,2.3901,0.451,-0.7442,0.0076,low_pb_plus_dividend_only;roe_and_profit_growth_not_used_as_positive_quality_factors,common_sample_low_pb_total_investment_solvency,enhancement_only_not_in_rolling_core_model,,,,,,,,,,,,,ev_nbv_missing_or_not_yet_visible
2016-07-01,601336.XSHG,????,life_insurance,1,31.39,pre_adjusted_price,2016-10-10,0.0366358713,,0.0366358713,0.0366358713,jqdata_pre_adjusted_total_return,2.2132,18.1731,18.1731,1266.8479,0.5171,3.47,-44.99,0.03808665536,0.9138723228,1.1122e+11,227.43,4.9,7.5,,9.3,2016-03-30,2015-12-31,93,fresh_or_latest_visible,0.06101258665,0.001435525577,-0.3603309976,0.005903534147,2016-07-01,jqdatasdk.get_fundamentals(date=trade_date); insurance_indicator_latest_pubDate_lte_trade_date,2016-07-01,formal_core_insurance_review_v53_test1,2016-07-01;2016-06-30,chinabond_10y_via_akshare;joinquant_000300,deferred_enhancement_not_required_for_test1,2.8411,2.3901,0.451,-0.7442,0.0076,low_pb_plus_dividend_only;roe_and_profit_growth_not_used_as_positive_quality_factors,common_sample_low_pb_total_investment_solvency,enhancement_only_not_in_rolling_core_model,,,,,,,,,,,,,ev_nbv_missing_or_not_yet_visible
2016-10-10,601318.XSHG,????,insurance_group,1,23.93,pre_adjusted_price,2017-01-03,0.03134141245,,0.03134141245,0.03134141245,jqdata_pre_adjusted_total_return,1.7379,10.4839,10.4839,6324.9635,1.5896,5.64,31.15,-0.08422815627,0.9113771418,,204.9,5.8,7.8,95.6,1.8,2016-03-16,2015-12-31,208,fresh_or_latest_visible,0.05380429594,0.01168534795,-0.01661603567,0.03141208547,2016-10-10,jqdatasdk.get_fundamentals(date=trade_date); insurance_indicator_latest_pubDate_lte_trade_date,2016-10-10,formal_core_insurance_review_v53_test1,2016-10-10;2016-09-30,chinabond_10y_via_akshare;joinquant_000300,deferred_enhancement_not_required_for_test1,2.676,2.16,0.516,-0.541,-0.1467,low_pb_plus_dividend_only;roe_and_profit_growth_not_used_as_positive_quality_factors,common_sample_low_pb_total_investment_solvency,enhancement_only_not_in_rolling_core_model,,,,,,,,,,,,,ev_nbv_missing_or_not_yet_visible
2016-10-10,601628.XSHG,????,life_insurance,1,18.52,pre_adjusted_price,2017-01-03,0.1614470842,,0.1614470842,0.1614470842,jqdata_pre_adjusted_total_return,2.0819,45.1654,45.1654,6144.7469,1.9319,1.67,-72.72,-0.02202531748,0.881517362,3.62301e+11,359.02,4.45,6.39,,,2016-03-24,2015-12-31,200,fresh_or_latest_visible,0.05380429594,0.01168534795,-0.01661603567,0.03141208547,2016-10-10,jqdatasdk.get_fundamentals(date=trade_date); insurance_indicator_latest_pubDate_lte_trade_date,2016-10-10,formal_core_insurance_review_v53_test1,2016-10-10;2016-09-30,chinabond_10y_via_akshare;joinquant_000300,deferred_enhancement_not_required_for_test1,2.676,2.16,0.516,-0.541,-0.1467,low_pb_plus_dividend_only;roe_and_profit_growth_not_used_as_positive_quality_factors,common_sample_low_pb_total_investment_solvency,enhancement_only_not_in_rolling_core_model,,,,,,,,,,,,,ev_nbv_missing_or_not_yet_visible
