trade_date,code,company_name,insurance_subgroup,is_core_insurance_numeric,close,price_adjustment,next_trade_date,price_return,dividend_return,total_return,future_return,return_source,low_price_to_book,low_price_to_earnings,price_to_earnings,market_cap,dividend_yield,return_on_equity_ttm,profit_growth_yoy,operating_cash_flow_yield,asset_liability_ratio,earned_premium,solvency_adequacy_ratio,net_investment_rate_of_return,total_investment_rate_of_return,comprehensive_cost_ratio,compensation_rate,insurance_indicator_pubDate,insurance_indicator_statDate,insurance_indicator_staleness_days,insurance_indicator_status,bond_proxy_252d_return,bond_proxy_63d_return,equity_252d_return,equity_63d_return,factor_visible_date,factor_visibility_source,universe_visible_date,universe_source,external_state_visible_date,external_state_source,ev_nbv_status,gov_bond_10y_yield,gov_bond_1y_yield,gov_bond_10y_1y_spread,gov_bond_10y_yield_change_252d,gov_bond_10y_yield_change_63d,v53b_scoring_policy,v53d_panel_policy,ev_nbv_rolling_status,embedded_value,embedded_value_visible_date,embedded_value_report_period,embedded_value_source_url,new_business_value,new_business_value_visible_date,new_business_value_report_period,new_business_value_source_url,price_to_embedded_value,price_to_new_business_value,embedded_value_yoy,new_business_value_yoy,ev_nbv_repair_status
2021-04-01,601318.XSHG,????,insurance_group,1,60.5,pre_adjusted_price,2021-07-01,-0.1669421488,,-0.1669421488,-0.1669421488,jqdata_pre_adjusted_total_return,1.8986,10.1174,10.1174,14477.9512,2.6344,5.44,96.61,0.03298947437,0.8963141814,7.57599e+11,236.4,5.1,6.2,99.1,1.7,2021-02-04,2020-12-31,56,fresh_or_latest_visible,0.001169945038,0.006711522999,0.3883385676,0.009667961328,2021-04-01,jqdatasdk.get_fundamentals(date=trade_date); insurance_indicator_latest_pubDate_lte_trade_date,2021-04-01,formal_core_insurance_review_v53_test1,2021-04-01;2021-03-31,chinabond_10y_via_akshare;joinquant_000300,deferred_enhancement_not_required_for_test1,3.1887,2.577,0.6117,0.612,0.0182,low_pb_plus_dividend_only;roe_and_profit_growth_not_used_as_positive_quality_factors,common_sample_low_pb_total_investment_solvency,enhancement_only_not_in_rolling_core_model,824574,2021-02-04,2020-12-31,https://pdf.dfcfw.com/pdf/H2_AN202102031458294620_1.pdf,49575,2021-02-04,2020-12-31,https://pdf.dfcfw.com/pdf/H2_AN202102031458294620_1.pdf,1.755809812096913,29.204137569339384,,,ev_nbv_pit_visible
2021-04-01,601628.XSHG,????,life_insurance,1,28.86,pre_adjusted_price,2021-07-01,0.0343035343,,0.0343035343,0.0343035343,jqdata_pre_adjusted_total_return,2.0223,18.1054,18.1054,9101.235,2.2671,0.74,358.2,0.07153534658,0.8925477553,6.04666e+11,268.92,4.34,5.3,,1.09,2021-03-26,2020-12-31,6,fresh_or_latest_visible,0.001169945038,0.006711522999,0.3883385676,0.009667961328,2021-04-01,jqdatasdk.get_fundamentals(date=trade_date); insurance_indicator_latest_pubDate_lte_trade_date,2021-04-01,formal_core_insurance_review_v53_test1,2021-04-01;2021-03-31,chinabond_10y_via_akshare;joinquant_000300,deferred_enhancement_not_required_for_test1,3.1887,2.577,0.6117,0.612,0.0182,low_pb_plus_dividend_only;roe_and_profit_growth_not_used_as_positive_quality_factors,common_sample_low_pb_total_investment_solvency,enhancement_only_not_in_rolling_core_model,1072140,2021-03-25,2020-12-31,https://www.e-chinalife.com/c/2021-03-25/518248.shtml,58373,2021-03-25,2020-12-31,https://www.e-chinalife.com/c/2021-03-25/518248.shtml,0.8488849403995746,15.591514912716496,,,ev_nbv_pit_visible
2021-04-01,601601.XSHG,????,insurance_group,1,31.61,pre_adjusted_price,2021-07-01,-0.2002530845,,-0.2002530845,-0.2002530845,jqdata_pre_adjusted_total_return,1.7142,15.0073,15.0073,3689.4009,2.8738,2.36,4.33,0.07098171413,0.8753051941,3.31639e+11,288,4.7,5.9,99,1.2,2021-03-29,2020-12-31,3,fresh_or_latest_visible,0.001169945038,0.006711522999,0.3883385676,0.009667961328,2021-04-01,jqdatasdk.get_fundamentals(date=trade_date); insurance_indicator_latest_pubDate_lte_trade_date,2021-04-01,formal_core_insurance_review_v53_test1,2021-04-01;2021-03-31,chinabond_10y_via_akshare;joinquant_000300,deferred_enhancement_not_required_for_test1,3.1887,2.577,0.6117,0.612,0.0182,low_pb_plus_dividend_only;roe_and_profit_growth_not_used_as_positive_quality_factors,common_sample_low_pb_total_investment_solvency,enhancement_only_not_in_rolling_core_model,341348,2021-03-29,2020-12-31,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=7919969&stockid=601601,17841,2021-03-29,2020-12-31,https://pdf.dfcfw.com/pdf/H2_AN202103281477689349_1.pdf,1.0808327278905985,20.679339162602993,,,ev_nbv_pit_visible
2021-04-01,601336.XSHG,????,life_insurance,1,40.37,pre_adjusted_price,2021-07-01,-0.05746841714,,-0.05746841714,-0.05746841714,jqdata_pre_adjusted_total_return,1.4998,10.6677,10.6677,1524.8344,2.8846,3.26,105.01,0.07587053388,0.8987630131,1.56398e+11,277.84,4.6,5.5,,1.5,2021-03-25,2020-12-31,7,fresh_or_latest_visible,0.001169945038,0.006711522999,0.3883385676,0.009667961328,2021-04-01,jqdatasdk.get_fundamentals(date=trade_date); insurance_indicator_latest_pubDate_lte_trade_date,2021-04-01,formal_core_insurance_review_v53_test1,2021-04-01;2021-03-31,chinabond_10y_via_akshare;joinquant_000300,deferred_enhancement_not_required_for_test1,3.1887,2.577,0.6117,0.612,0.0182,low_pb_plus_dividend_only;roe_and_profit_growth_not_used_as_positive_quality_factors,common_sample_low_pb_total_investment_solvency,enhancement_only_not_in_rolling_core_model,240604,2021-03-24,2020-12-31,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=6973572&stockid=601336,9182,2021-03-24,2020-12-31,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=6973572&stockid=601336,0.633752722315506,16.606778479634066,,,ev_nbv_pit_visible
2021-04-01,601319.XSHG,????,pnc_insurance_group,1,5.13,pre_adjusted_price,2021-07-01,-0.003898635478,,-0.003898635478,-0.003898635478,jqdata_pre_adjusted_total_return,1.2992,13.0894,13.0894,2626.905,2.5591,0.67,29.08,0.05816731096,0.7824416688,5.20751e+11,305,5,5.8,98.9,11.8,2021-03-24,2020-12-31,8,fresh_or_latest_visible,0.001169945038,0.006711522999,0.3883385676,0.009667961328,2021-04-01,jqdatasdk.get_fundamentals(date=trade_date); insurance_indicator_latest_pubDate_lte_trade_date,2021-04-01,formal_core_insurance_review_v53_test1,2021-04-01;2021-03-31,chinabond_10y_via_akshare;joinquant_000300,deferred_enhancement_not_required_for_test1,3.1887,2.577,0.6117,0.612,0.0182,low_pb_plus_dividend_only;roe_and_profit_growth_not_used_as_positive_quality_factors,common_sample_low_pb_total_investment_solvency,enhancement_only_not_in_rolling_core_model,117244,2021-03-24,2020-12-31,https://www.picc.com.cn/jttzzgx/dqbg/202203/P020220824457483662955.pdf,6132,2021-03-24,2020-12-31,https://pdf.dfcfw.com/pdf/H2_AN202103231475530982_1.pdf,2.240545358397871,42.839285714285715,,,ev_nbv_pit_visible
2021-07-01,601318.XSHG,????,insurance_group,1,50.4,pre_adjusted_price,2021-10-08,-0.1956349206,,-0.1956349206,-0.1956349206,jqdata_pre_adjusted_total_return,1.5331,8.2063,8.2063,11838.2843,3.3752,3.55,8.83,0.05479848123,0.8969641295,7.57599e+11,236.4,5.1,6.2,99.1,1.7,2021-02-04,2020-12-31,147,fresh_or_latest_visible,0.008579344287,0.0148054573,0.3012701236,0.03692941034,2021-07-01,jqdatasdk.get_fundamentals(date=trade_date); insurance_indicator_latest_pubDate_lte_trade_date,2021-07-01,formal_core_insurance_review_v53_test1,2021-07-01;2021-06-30,chinabond_10y_via_akshare;joinquant_000300,deferred_enhancement_not_required_for_test1,3.0778,2.4293,0.6485,0.2239,-0.1109,low_pb_plus_dividend_only;roe_and_profit_growth_not_used_as_positive_quality_factors,common_sample_low_pb_total_investment_solvency,enhancement_only_not_in_rolling_core_model,824574,2021-02-04,2020-12-31,https://pdf.dfcfw.com/pdf/H2_AN202102031458294620_1.pdf,49575,2021-02-04,2020-12-31,https://pdf.dfcfw.com/pdf/H2_AN202102031458294620_1.pdf,1.4356848869840668,23.879544730206756,,,ev_nbv_pit_visible
2021-07-01,601628.XSHG,????,life_insurance,1,29.85,pre_adjusted_price,2021-10-08,-0.0405360134,,-0.0405360134,-0.0405360134,jqdata_pre_adjusted_total_return,2.0122,15.2381,15.2381,9412.1468,2.1922,6.23,67.33,0.1713020456,0.8937479656,6.04666e+11,268.92,4.34,5.3,,1.09,2021-03-26,2020-12-31,97,fresh_or_latest_visible,0.008579344287,0.0148054573,0.3012701236,0.03692941034,2021-07-01,jqdatasdk.get_fundamentals(date=trade_date); insurance_indicator_latest_pubDate_lte_trade_date,2021-07-01,formal_core_insurance_review_v53_test1,2021-07-01;2021-06-30,chinabond_10y_via_akshare;joinquant_000300,deferred_enhancement_not_required_for_test1,3.0778,2.4293,0.6485,0.2239,-0.1109,low_pb_plus_dividend_only;roe_and_profit_growth_not_used_as_positive_quality_factors,common_sample_low_pb_total_investment_solvency,enhancement_only_not_in_rolling_core_model,1072140,2021-03-25,2020-12-31,https://www.e-chinalife.com/c/2021-03-25/518248.shtml,58373,2021-03-25,2020-12-31,https://www.e-chinalife.com/c/2021-03-25/518248.shtml,0.8778841196112448,16.12414438182036,,,ev_nbv_pit_visible
2021-07-01,601601.XSHG,????,insurance_group,1,25.28,pre_adjusted_price,2021-10-08,-0.001186708861,,-0.001186708861,-0.001186708861,jqdata_pre_adjusted_total_return,1.2748,11.4077,11.4077,2822.6082,4.7716,3.91,2.31,0.1277364673,0.8755462096,3.31639e+11,288,4.7,5.9,99,1.2,2021-03-29,2020-12-31,94,fresh_or_latest_visible,0.008579344287,0.0148054573,0.3012701236,0.03692941034,2021-07-01,jqdatasdk.get_fundamentals(date=trade_date); insurance_indicator_latest_pubDate_lte_trade_date,2021-07-01,formal_core_insurance_review_v53_test1,2021-07-01;2021-06-30,chinabond_10y_via_akshare;joinquant_000300,deferred_enhancement_not_required_for_test1,3.0778,2.4293,0.6485,0.2239,-0.1109,low_pb_plus_dividend_only;roe_and_profit_growth_not_used_as_positive_quality_factors,common_sample_low_pb_total_investment_solvency,enhancement_only_not_in_rolling_core_model,341348,2021-03-29,2020-12-31,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=7919969&stockid=601601,17841,2021-03-29,2020-12-31,https://pdf.dfcfw.com/pdf/H2_AN202103281477689349_1.pdf,0.8269004652143853,15.82090802085085,,,ev_nbv_pit_visible
2021-07-01,601336.XSHG,????,life_insurance,1,38.05,pre_adjusted_price,2021-10-08,-0.05203679369,,-0.05203679369,-0.05203679369,jqdata_pre_adjusted_total_return,1.3854,9.0046,9.0046,1437.4871,3.0599,6.14,36.02,0.1811703215,0.8961084076,1.56398e+11,277.84,4.6,5.5,,1.5,2021-03-25,2020-12-31,98,fresh_or_latest_visible,0.008579344287,0.0148054573,0.3012701236,0.03692941034,2021-07-01,jqdatasdk.get_fundamentals(date=trade_date); insurance_indicator_latest_pubDate_lte_trade_date,2021-07-01,formal_core_insurance_review_v53_test1,2021-07-01;2021-06-30,chinabond_10y_via_akshare;joinquant_000300,deferred_enhancement_not_required_for_test1,3.0778,2.4293,0.6485,0.2239,-0.1109,low_pb_plus_dividend_only;roe_and_profit_growth_not_used_as_positive_quality_factors,common_sample_low_pb_total_investment_solvency,enhancement_only_not_in_rolling_core_model,240604,2021-03-24,2020-12-31,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=6973572&stockid=601336,9182,2021-03-24,2020-12-31,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=6973572&stockid=601336,0.5974493774002094,15.655490089305161,,,ev_nbv_pit_visible
2021-07-01,601319.XSHG,????,pnc_insurance_group,1,5.11,pre_adjusted_price,2021-10-08,-0.09784735812,,-0.09784735812,-0.09784735812,jqdata_pre_adjusted_total_return,1.258,11.3429,11.3429,2613.6378,2.5721,4.9,40.18,0.08875751644,0.7901224704,5.20751e+11,305,5,5.8,98.9,11.8,2021-03-24,2020-12-31,99,fresh_or_latest_visible,0.008579344287,0.0148054573,0.3012701236,0.03692941034,2021-07-01,jqdatasdk.get_fundamentals(date=trade_date); insurance_indicator_latest_pubDate_lte_trade_date,2021-07-01,formal_core_insurance_review_v53_test1,2021-07-01;2021-06-30,chinabond_10y_via_akshare;joinquant_000300,deferred_enhancement_not_required_for_test1,3.0778,2.4293,0.6485,0.2239,-0.1109,low_pb_plus_dividend_only;roe_and_profit_growth_not_used_as_positive_quality_factors,common_sample_low_pb_total_investment_solvency,enhancement_only_not_in_rolling_core_model,117244,2021-03-24,2020-12-31,https://www.picc.com.cn/jttzzgx/dqbg/202203/P020220824457483662955.pdf,6132,2021-03-24,2020-12-31,https://pdf.dfcfw.com/pdf/H2_AN202103231475530982_1.pdf,2.2292294701647846,42.62292563600783,,,ev_nbv_pit_visible
