sector,code,company_name,report_period,field,value,unit,source_type,source_title,source_url,publish_date,visible_date,pit_status,missing_reason,original_announcement_checked,review_status,notes,numeric_value,pit_usable,issue_count,issues
insurance,601318.XSHG,Ping An Insurance,2024-12-31,embedded_value,835093,CNY million,fxbaogao_annual_report_pdf_reviewed,中国平安2024年年度报告,https://www.fxbaogao.com/view?id=4738198,2025-03-20,2025-03-20,pit_usable,not_missing,true,reviewed,Life and health insurance embedded value; paragraph page 64; EV scope is life_plus_health.,835093,true,0,
insurance,601318.XSHG,Ping An Insurance,2024-12-31,new_business_value,28534,CNY million,fxbaogao_annual_report_pdf_reviewed,中国平安2024年年度报告,https://www.fxbaogao.com/view?id=4738198,2025-03-20,2025-03-20,pit_usable,not_missing,true,reviewed,Life and health insurance NBV; paragraph page 35; EV/NBV scope is life_plus_health.,28534,true,0,
insurance,601628.XSHG,China Life Insurance,2024-12-31,embedded_value,1401146,CNY million,fxbaogao_annual_report_pdf_reviewed,中国人寿2024年年度报告,https://www.fxbaogao.com/view?id=4747083,2025-03-27,2025-03-27,pit_usable,not_missing,true,reviewed,Company embedded value from annual report operating indicators table; visual reviewed page 12.,1401146,true,0,
insurance,601628.XSHG,China Life Insurance,2024-12-31,new_business_value,33709,CNY million,fxbaogao_annual_report_pdf_reviewed,中国人寿2024年年度报告,https://www.fxbaogao.com/view?id=4747083,2025-03-27,2025-03-27,pit_usable,not_missing,true,reviewed,One-year new business value using 2024 economic assumptions; visual reviewed page 12.,33709,true,0,
insurance,601601.XSHG,CPIC,2024-12-31,embedded_value,421837,CNY million,fxbaogao_annual_report_pdf_reviewed,中国太保2024年年度报告,https://www.fxbaogao.com/view?id=4747193,2025-03-27,2025-03-27,pit_usable,not_missing,true,reviewed,CPIC Life embedded value,421837,true,0,
insurance,601601.XSHG,CPIC,2024-12-31,new_business_value,13258,CNY million,fxbaogao_annual_report_pdf_reviewed,中国太保2024年年度报告,https://www.fxbaogao.com/view?id=4747193,2025-03-27,2025-03-27,pit_usable,not_missing,true,reviewed,CPIC Life one-year NBV; visual reviewed page 22; scope=life_only.,13258,true,0,
insurance,601319.XSHG,PICC Group,2024-12-31,embedded_value,149848,CNY million,fxbaogao_annual_report_pdf_reviewed,中国人保2024年年度报告,https://www.fxbaogao.com/view?id=4748784,2025-03-28,2025-03-28,pit_usable,not_missing,true,reviewed,Derived as PICC Life EV 119731 plus PICC Health EV 30117; visual reviewed pages 56 and 62; scope=life_plus_health.,149848,true,0,
insurance,601319.XSHG,PICC Group,2024-12-31,new_business_value,11537,CNY million,fxbaogao_annual_report_pdf_reviewed,中国人保2024年年度报告,https://www.fxbaogao.com/view?id=4748784,2025-03-28,2025-03-28,pit_usable,not_missing,true,reviewed,Derived as PICC Life NBV 5024 plus PICC Health NBV 6513; visual reviewed pages 56 and 62; scope=life_plus_health.,11537,true,0,
insurance,601336.XSHG,New China Life Insurance,2024-12-31,embedded_value,258448,CNY million,official_annual_report_pdf_reviewed,新华保险2024年年度报告,https://static-cdn.newchinalife.com/ncl/pdf/20250327/c9418a2b-53f7-4a74-aef2-6efb4f785f6f.pdf,2025-03-28,2025-03-28,pit_usable,not_missing,true,reviewed,Company embedded value at 2024 year-end; exact value 2584.48 RMB 100m converted to CNY million.,258448,true,0,
insurance,601336.XSHG,New China Life Insurance,2024-12-31,new_business_value,6253,CNY million,official_annual_report_pdf_reviewed,新华保险2024年年度报告,https://static-cdn.newchinalife.com/ncl/pdf/20250327/c9418a2b-53f7-4a74-aef2-6efb4f785f6f.pdf,2025-03-28,2025-03-28,pit_usable,not_missing,true,reviewed,One-year new business value at 2024 year-end; exact value 62.53 RMB 100m converted to CNY million.,6253,true,0,
