sector,code,company_name,report_period,field,value,unit,source_type,source_title,source_url,publish_date,visible_date,pit_status,missing_reason,original_announcement_checked,review_status,notes,numeric_value,pit_usable,issue_count,issues
insurance,601318.XSHG,Ping An Insurance,2021-12-31,embedded_value,876490,CNY million,official_annual_report_pdf_reviewed,Ping An Insurance 2021 Annual Report,https://www.pingan.cn/app_upload/images/info/upload/40ad02d7-97ba-406d-a394-df529129a73b.pdf,2022-03-18,2022-03-18,pit_usable,not_missing,true,reviewed,Life and health insurance scope; annual report EV section reviewed. EV.,876490,true,0,
insurance,601318.XSHG,Ping An Insurance,2021-12-31,new_business_value,37898,CNY million,official_annual_report_pdf_reviewed,Ping An Insurance 2021 Annual Report,https://www.pingan.cn/app_upload/images/info/upload/40ad02d7-97ba-406d-a394-df529129a73b.pdf,2022-03-18,2022-03-18,pit_usable,not_missing,true,reviewed,Life and health insurance scope; annual report EV section reviewed. NBV.,37898,true,0,
insurance,601318.XSHG,Ping An Insurance,2022-12-31,embedded_value,874786,CNY million,official_annual_report_pdf_reviewed,Ping An Insurance 2022 Annual Report,https://doc.irasia.com/listco/cn/pingan/announcement/sca230316y.pdf,2023-03-16,2023-03-16,pit_usable,not_missing,true,reviewed,Life and health insurance scope; annual report EV section reviewed. EV.,874786,true,0,
insurance,601318.XSHG,Ping An Insurance,2022-12-31,new_business_value,28820,CNY million,official_annual_report_pdf_reviewed,Ping An Insurance 2022 Annual Report,https://doc.irasia.com/listco/cn/pingan/announcement/sca230316y.pdf,2023-03-16,2023-03-16,pit_usable,not_missing,true,reviewed,Life and health insurance scope; annual report EV section reviewed. NBV.,28820,true,0,
insurance,601318.XSHG,Ping An Insurance,2023-12-31,embedded_value,830974,CNY million,official_annual_report_pdf_reviewed,Ping An Insurance 2023 Annual Report,https://www.pingan.com/app_upload/images/info/upload/55e017c8-da54-42f5-81cc-b4ff9586b461.pdf,2024-03-22,2024-03-22,pit_usable,not_missing,true,reviewed,"Life and health insurance scope; current/latest economic assumption values used, comparable-assumption values kept out of factor. EV.",830974,true,0,
insurance,601318.XSHG,Ping An Insurance,2023-12-31,new_business_value,31080,CNY million,official_annual_report_pdf_reviewed,Ping An Insurance 2023 Annual Report,https://www.pingan.com/app_upload/images/info/upload/55e017c8-da54-42f5-81cc-b4ff9586b461.pdf,2024-03-22,2024-03-22,pit_usable,not_missing,true,reviewed,"Life and health insurance scope; current/latest economic assumption values used, comparable-assumption values kept out of factor. NBV.",31080,true,0,
insurance,601628.XSHG,China Life Insurance,2021-12-31,embedded_value,1203008,CNY million,official_annual_report_pdf_reviewed,China Life Insurance 2021 Annual Report,https://www.e-chinalife.com/upload/resources/file/2022/03/25/51774.pdf,2022-03-25,2022-03-25,pit_usable,not_missing,true,reviewed,Company embedded value and one-year new business value; RMB million. EV.,1203008,true,0,
insurance,601628.XSHG,China Life Insurance,2021-12-31,new_business_value,44780,CNY million,official_annual_report_pdf_reviewed,China Life Insurance 2021 Annual Report,https://www.e-chinalife.com/upload/resources/file/2022/03/25/51774.pdf,2022-03-25,2022-03-25,pit_usable,not_missing,true,reviewed,Company embedded value and one-year new business value; RMB million. NBV.,44780,true,0,
insurance,601628.XSHG,China Life Insurance,2022-12-31,embedded_value,1230519,CNY million,official_annual_report_pdf_reviewed,China Life Insurance 2022 Annual Report Summary,https://file.finance.sina.com.cn/211.154.219.97%3A9494/MRGG/CNSESH_STOCK/2023/2023-3/2023-03-30/8927129.PDF,2023-03-30,2023-03-30,pit_usable,not_missing,true,reviewed,Company embedded value and one-year new business value; RMB million. EV.,1230519,true,0,
insurance,601628.XSHG,China Life Insurance,2022-12-31,new_business_value,36004,CNY million,official_annual_report_pdf_reviewed,China Life Insurance 2022 Annual Report Summary,https://file.finance.sina.com.cn/211.154.219.97%3A9494/MRGG/CNSESH_STOCK/2023/2023-3/2023-03-30/8927129.PDF,2023-03-30,2023-03-30,pit_usable,not_missing,true,reviewed,Company embedded value and one-year new business value; RMB million. NBV.,36004,true,0,
insurance,601628.XSHG,China Life Insurance,2023-12-31,embedded_value,1260567,CNY million,official_annual_report_pdf_reviewed,China Life Insurance 2023 Annual Report / Results,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0327/2024032701552_c.pdf,2024-03-28,2024-03-28,pit_usable,not_missing,true,reviewed,Company embedded value and one-year new business value using 2023 economic assumptions; RMB million. EV.,1260567,true,0,
insurance,601628.XSHG,China Life Insurance,2023-12-31,new_business_value,36860,CNY million,official_annual_report_pdf_reviewed,China Life Insurance 2023 Annual Report / Results,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0327/2024032701552_c.pdf,2024-03-28,2024-03-28,pit_usable,not_missing,true,reviewed,Company embedded value and one-year new business value using 2023 economic assumptions; RMB million. NBV.,36860,true,0,
insurance,601601.XSHG,CPIC,2021-12-31,embedded_value,376643,CNY million,official_annual_report_pdf_reviewed,CPIC 2021 Annual Report,https://www.cpic.com.cn/upload/resources/file/2022/03/31/65112.pdf,2022-03-28,2022-03-28,pit_usable,not_missing,true,reviewed,CPIC life business scope; group EV excluded for P/EV harmonization. EV.,376643,true,0,
