sector,code,company_name,report_period,field,value,unit,source_type,source_title,source_url,publish_date,visible_date,pit_status,missing_reason,original_announcement_checked,review_status,notes
insurance,601318.XSHG,Ping An Insurance,2024-12-31,embedded_value,835093,CNY million,fxbaogao_annual_report_pdf_reviewed,中国平安2024年年度报告,https://www.fxbaogao.com/view?id=4738198,2025-03-20,2025-03-20,pit_usable,not_missing,true,reviewed,Life and health insurance embedded value; paragraph page 64; EV scope is life_plus_health.
insurance,601318.XSHG,Ping An Insurance,2024-12-31,new_business_value,28534,CNY million,fxbaogao_annual_report_pdf_reviewed,中国平安2024年年度报告,https://www.fxbaogao.com/view?id=4738198,2025-03-20,2025-03-20,pit_usable,not_missing,true,reviewed,Life and health insurance NBV; paragraph page 35; EV/NBV scope is life_plus_health.
insurance,601628.XSHG,China Life Insurance,2024-12-31,embedded_value,1401146,CNY million,fxbaogao_annual_report_pdf_reviewed,中国人寿2024年年度报告,https://www.fxbaogao.com/view?id=4747083,2025-03-27,2025-03-27,pit_usable,not_missing,true,reviewed,Company embedded value from annual report operating indicators table; visual reviewed page 12.
insurance,601628.XSHG,China Life Insurance,2024-12-31,new_business_value,33709,CNY million,fxbaogao_annual_report_pdf_reviewed,中国人寿2024年年度报告,https://www.fxbaogao.com/view?id=4747083,2025-03-27,2025-03-27,pit_usable,not_missing,true,reviewed,One-year new business value using 2024 economic assumptions; visual reviewed page 12.
insurance,601601.XSHG,CPIC,2024-12-31,embedded_value,421837,CNY million,fxbaogao_annual_report_pdf_reviewed,中国太保2024年年度报告,https://www.fxbaogao.com/view?id=4747193,2025-03-27,2025-03-27,pit_usable,not_missing,true,reviewed,CPIC Life embedded value, not group EV; visual reviewed page 22; common-sample P/EV must label scope=life_only.
insurance,601601.XSHG,CPIC,2024-12-31,new_business_value,13258,CNY million,fxbaogao_annual_report_pdf_reviewed,中国太保2024年年度报告,https://www.fxbaogao.com/view?id=4747193,2025-03-27,2025-03-27,pit_usable,not_missing,true,reviewed,CPIC Life one-year NBV; visual reviewed page 22; scope=life_only.
insurance,601319.XSHG,PICC Group,2024-12-31,embedded_value,149848,CNY million,fxbaogao_annual_report_pdf_reviewed,中国人保2024年年度报告,https://www.fxbaogao.com/view?id=4748784,2025-03-28,2025-03-28,pit_usable,not_missing,true,reviewed,Derived as PICC Life EV 119731 plus PICC Health EV 30117; visual reviewed pages 56 and 62; scope=life_plus_health.
insurance,601319.XSHG,PICC Group,2024-12-31,new_business_value,11537,CNY million,fxbaogao_annual_report_pdf_reviewed,中国人保2024年年度报告,https://www.fxbaogao.com/view?id=4748784,2025-03-28,2025-03-28,pit_usable,not_missing,true,reviewed,Derived as PICC Life NBV 5024 plus PICC Health NBV 6513; visual reviewed pages 56 and 62; scope=life_plus_health.
insurance,601336.XSHG,New China Life Insurance,2024-12-31,embedded_value,258448,CNY million,official_annual_report_pdf_reviewed,新华保险2024年年度报告,https://static-cdn.newchinalife.com/ncl/pdf/20250327/c9418a2b-53f7-4a74-aef2-6efb4f785f6f.pdf,2025-03-28,2025-03-28,pit_usable,not_missing,true,reviewed,Company embedded value at 2024 year-end; exact value 2584.48 RMB 100m converted to CNY million.
insurance,601336.XSHG,New China Life Insurance,2024-12-31,new_business_value,6253,CNY million,official_annual_report_pdf_reviewed,新华保险2024年年度报告,https://static-cdn.newchinalife.com/ncl/pdf/20250327/c9418a2b-53f7-4a74-aef2-6efb4f785f6f.pdf,2025-03-28,2025-03-28,pit_usable,not_missing,true,reviewed,One-year new business value at 2024 year-end; exact value 62.53 RMB 100m converted to CNY million.
insurance,601318.XSHG,Ping An Insurance,2025-12-31,embedded_value,928630,CNY million,eastmoney_annual_report_pdf_reviewed,中国平安2025年年度报告,https://www.fxbaogao.com/view?id=5319837,2026-03-27,2026-03-27,pit_usable,not_missing,true,reviewed,Life and health insurance embedded value; previous reviewed seed kept, fxbaogao annual report cross-check available.
insurance,601318.XSHG,Ping An Insurance,2025-12-31,new_business_value,36897,CNY million,eastmoney_annual_report_pdf_reviewed,中国平安2025年年度报告,https://www.fxbaogao.com/view?id=5319837,2026-03-27,2026-03-27,pit_usable,not_missing,true,reviewed,Life and health insurance new business value from reviewed seed; scope=life_plus_health.
insurance,601628.XSHG,China Life Insurance,2025-12-31,embedded_value,1467876,CNY million,eastmoney_annual_report_pdf_reviewed,中国人寿2025年年度报告,https://www.fxbaogao.com/view?id=5317641,2026-03-26,2026-03-26,pit_usable,not_missing,true,reviewed,Company embedded value from annual report operating highlights.
insurance,601628.XSHG,China Life Insurance,2025-12-31,new_business_value,45752,CNY million,eastmoney_annual_report_pdf_reviewed,中国人寿2025年年度报告,https://www.fxbaogao.com/view?id=5317641,2026-03-26,2026-03-26,pit_usable,not_missing,true,reviewed,One-year new business value from annual report operating highlights.
insurance,601601.XSHG,CPIC,2025-12-31,embedded_value,465479,CNY million,eastmoney_annual_report_pdf_reviewed,中国太保2025年年度报告,https://www.fxbaogao.com/view?id=5319672,2026-03-27,2026-03-27,pit_usable,not_missing,true,reviewed,Life business embedded value, replacing group EV 613365 to harmonize with NBV. 2025 annual report scope includes CPIC Life and CPIC Life Hong Kong.
insurance,601601.XSHG,CPIC,2025-12-31,new_business_value,18609,CNY million,eastmoney_annual_report_pdf_reviewed,中国太保2025年年度报告,https://www.fxbaogao.com/view?id=5319672,2026-03-27,2026-03-27,pit_usable,not_missing,true,reviewed,CPIC Life one-year NBV from reviewed seed.
insurance,601336.XSHG,New China Life Insurance,2025-12-31,embedded_value,287840,CNY million,eastmoney_annual_report_pdf_reviewed,新华保险2025年年度报告,https://www.fxbaogao.com/view?id=5321623,2026-03-28,2026-03-28,pit_usable,not_missing,true,reviewed,Embedded value from annual report major operating indicators.
insurance,601336.XSHG,New China Life Insurance,2025-12-31,new_business_value,9842,CNY million,eastmoney_annual_report_pdf_reviewed,新华保险2025年年度报告,https://www.fxbaogao.com/view?id=5321623,2026-03-28,2026-03-28,pit_usable,not_missing,true,reviewed,One-year new business value from reviewed seed.
insurance,601319.XSHG,PICC Group,2025-12-31,embedded_value,159518,CNY million,eastmoney_hk_results_pdf_reviewed,中国人保2025年年度报告,https://www.fxbaogao.com/view?id=5319619,2026-03-27,2026-03-27,pit_usable,not_missing,true,reviewed,Derived as PICC Life EV 124149 plus PICC Health EV 35369 because group P&C business does not disclose embedded value.
insurance,601319.XSHG,PICC Group,2025-12-31,new_business_value,15616,CNY million,eastmoney_hk_results_pdf_reviewed,中国人保2025年年度报告,https://www.fxbaogao.com/view?id=5319619,2026-03-27,2026-03-27,pit_usable,not_missing,true,reviewed,Derived as PICC Life NBV 8229 plus PICC Health NBV 7387 because group P&C business does not disclose NBV.
