industry,card_id,metric_name,preferred_source,state_tag,frequency,allowed_use,pit_visible_date_required,can_trigger_trade,can_change_weight
bank,BANK_REPORT_CARD_001,net_interest_margin,NFRA quarterly table,bank_nim_pressure_watch,quarterly,industry_state_only,True,False,False
bank,BANK_REPORT_CARD_001,NPL_ratio,NFRA quarterly table and company annual/interim reports,bank_asset_quality_deterioration_watch,quarterly/semiannual,industry_and_company_state,True,False,False
bank,BANK_REPORT_CARD_001,provision_coverage,NFRA quarterly table and company reports,bank_asset_quality_deterioration_watch,quarterly/semiannual,industry_and_company_state,True,False,False
bank,BANK_BOOK_CARD_003,CET1_tier1_capital_adequacy,company reports with notice_date,bank_capital_buffer_weak_watch,semiannual/annual,company_state,True,False,False
bank,BANK_BOOK_CARD_003,payout_ratio_cash_dividend,dividend plans and annual reports,bank_dividend_sustainability_support,annual,company_state,True,False,False
utilities_electricity,POWER_REPORT_CARD_001,capacity_payment_rate,NDRC/provincial policy table with publish_date,power_tariff_support_watch,policy_event,policy_state,True,False,False
utilities_electricity,POWER_BOOK_CARD_002,coal_price_fuel_spread,coal price index plus company fuel cost disclosure,power_fuel_cost_pressure_watch,daily/monthly/semiannual,industry_and_company_state,True,False,False
utilities_electricity,POWER_REPORT_CARD_002,utilization_hours_by_power_type,NEA/CEC/company reports,power_utilization_state,monthly/annual,industry_and_company_state,True,False,False
utilities_electricity,POWER_BOOK_CARD_005,hydro_inflow_reservoir_state,hydrology and company disclosures with visible_date,hydro_water_stress_watch,monthly/seasonal,subindustry_state,True,False,False
utilities_electricity,POWER_BOOK_CARD_004,spot_market_and_contract_state,policy documents and provincial market notices,power_market_reform_watch,policy_event/monthly,policy_state,True,False,False
