period_start,period_end_exclusive,trading_days,candidate_count,selected_count,selected_codes,strategy_return,benchmark_return,excess_return,ending_strategy_nav,avg_cash_weight,buy_turnover,sell_turnover,commission,dividend_cash,trade_count,dividend_event_count,strategy_max_drawdown,strategy_max_drawdown_start,strategy_max_drawdown_end
2022-01-04,2022-04-01,58,22,8,601008.XSHG;601006.XSHG;000905.XSHE;601000.XSHG;600717.XSHG;001872.XSHE;600017.XSHG;600125.XSHG,0.0215609110,-0.0462046205,0.0584661981,1.0215609110000006,0.0059643839,1987260.00,0.00,596.18,0.00,8,0,0.17434820519602234,2022-03-03,2022-03-15
2022-04-01,2022-07-01,59,23,8,601006.XSHG;601000.XSHG;600717.XSHG;001872.XSHE;600125.XSHG;601298.XSHG;000507.XSHE;601333.XSHG,0.0034994288,0.0207612457,-0.0272267736,1.025135790700001,0.0109831169,799379.00,798969.00,487.16,27273.92,11,4,0.11561174754091741,2022-04-06,2022-04-26
2022-07-01,2022-10-10,65,23,8,601000.XSHG;600017.XSHG;001872.XSHE;601006.XSHG;601326.XSHG;601298.XSHG;601008.XSHG;601018.XSHG,-0.0276691658,-0.1296610169,0.1152509197,0.9967711385500012,0.0156540244,1073581.00,1047173.00,645.74,28401.44,12,3,0.07124756764110163,2022-09-06,2022-09-30
2022-10-10,2023-01-03,60,23,8,600717.XSHG;601008.XSHG;601006.XSHG;000905.XSHE;601000.XSHG;601298.XSHG;600017.XSHG;000507.XSHE,0.0622684871,0.0389483934,0.0143427152,1.0588385693000013,0.0051925279,772034.00,743476.00,464.14,0.00,11,0,0.08753947878505797,2022-12-08,2022-12-23
2023-01-03,2023-04-03,59,23,8,601006.XSHG;601000.XSHG;600717.XSHG;001872.XSHE;000905.XSHE;601326.XSHG;600279.XSHG;601298.XSHG,0.0761067308,0.1265229616,-0.0503379086,1.1394233112500016,0.0057933528,831280.00,833737.00,510.52,0.00,11,0,0.03253292050121792,2023-03-17,2023-03-30
2023-04-03,2023-07-03,59,23,8,601006.XSHG;601000.XSHG;600717.XSHG;001872.XSHE;601298.XSHG;600018.XSHG;000507.XSHE;600125.XSHG,0.0592822057,0.0091514143,0.0425708472,1.2069708384000024,0.0090065422,867480.00,869075.00,527.09,30918.15,11,5,0.1551566990305131,2023-05-08,2023-06-26
2023-07-03,2023-10-09,64,23,8,601006.XSHG;000507.XSHE;601000.XSHG;601018.XSHG;601326.XSHG;600018.XSHG;600717.XSHG;001872.XSHE,0.0062778725,-0.0651277824,0.0689638160,1.2145480474500019,0.0148171009,689729.00,660163.00,411.26,27191.68,10,3,0.06701866126033174,2023-08-01,2023-09-08
2023-10-09,2024-01-02,60,23,8,600717.XSHG;000507.XSHE;001872.XSHE;600279.XSHG;601000.XSHG;601298.XSHG;601326.XSHG;601006.XSHG,-0.0395324334,-0.1313932981,0.1010933302,1.166534007700001,0.0061017776,644266.00,617024.00,394.08,0.00,10,0,0.06531136807258808,2023-10-09,2023-10-23
2024-01-02,2024-04-01,58,23,8,601006.XSHG;000507.XSHE;001872.XSHE;000905.XSHE;601326.XSHG;600717.XSHG;601000.XSHG;600017.XSHG,0.0441274250,0.0426395939,-0.0040960538,1.218010149600001,0.0057448096,617555.00,617307.00,384.72,0.00,10,0,0.08503292450036926,2024-01-15,2024-01-22
2024-04-01,2024-07-01,59,23,8,601006.XSHG;000507.XSHE;001872.XSHE;601008.XSHG;600018.XSHG;001213.XSHE;601298.XSHG;600717.XSHG,0.0284184622,0.0000000000,0.0237392635,1.2526241249999992,0.0088582425,1243015.00,1245179.00,753.57,20695.52,12,5,0.05642344233939278,2024-05-13,2024-06-06
2024-07-01,2024-10-08,64,23,8,000507.XSHE;601008.XSHG;601018.XSHG;601006.XSHG;600018.XSHG;600717.XSHG;601326.XSHG;600017.XSHG,0.1321664340,0.0934761441,0.0265718151,1.4181789887999998,0.0118794009,1044699.00,1023084.00,622.56,19818.28,11,2,0.10634954480029846,2024-08-01,2024-09-11
2024-10-08,2025-01-02,61,23,8,600717.XSHG;000905.XSHE;600017.XSHG;001872.XSHE;601000.XSHG;600279.XSHG;601326.XSHG;601006.XSHG,0.0011732368,-0.0062333037,-0.0081490384,1.4198428485999999,0.0090463381,1600076.00,1586944.00,960.49,7648.21,12,2,0.06504913513156396,2024-10-08,2024-10-09
2025-01-02,2025-04-01,57,23,8,600717.XSHG;000905.XSHE;001872.XSHE;601006.XSHG;000507.XSHE;601333.XSHG;601326.XSHG;600017.XSHG,-0.0221794565,-0.0654121864,0.0434495201,1.3883515059500002,0.0061071928,778773.00,768992.00,473.69,0.00,10,0,0.04526515023517719,2025-01-27,2025-02-25
2025-04-01,2025-07-01,60,23,8,000905.XSHE;601008.XSHG;601006.XSHG;001872.XSHE;600717.XSHG;601880.XSHG;601333.XSHG;000582.XSHE,0.0949425161,0.0210930010,0.0704073328,1.5201650911500004,0.0067314058,1092313.00,1091664.00,663.31,23722.48,11,5,0.08925331895513733,2025-05-19,2025-06-19
2025-07-01,2025-10-09,66,22,8,601018.XSHG;601333.XSHG;000582.XSHE;600717.XSHG;001872.XSHE;600125.XSHG;601298.XSHG;601880.XSHG,0.0630262687,0.1089201878,-0.0499148459,1.615975424649999,0.0097175920,1335242.00,1313868.00,794.73,23919.40,11,4,0.03592867484835127,2025-07-24,2025-07-31
2025-10-09,2026-01-05,60,22,8,600017.XSHG;600717.XSHG;001872.XSHE;601000.XSHG;601333.XSHG;601018.XSHG;601326.XSHG;601880.XSHG,-0.0273714518,0.0042337003,-0.0345871533,1.5717438311499983,0.0072898802,1266883.00,1245785.00,754.19,6108.00,11,2,0.08239005955815537,2025-10-23,2025-12-30
