period_start,period_end_exclusive,trading_days,candidate_count,selected_count,selected_codes,strategy_return,benchmark_return,excess_return,avg_cash_weight,buy_turnover,sell_turnover,commission,dividend_cash,trade_count,dividend_event_count,max_drawdown,max_drawdown_start,max_drawdown_end
2021-05-06,2021-07-01,39,22,8,601006.XSHG;601326.XSHG;601000.XSHG;001872.XSHE;600017.XSHG;600018.XSHG;600125.XSHG;600717.XSHG,-0.0095557319,0.0000000000,-0.0095557319,0.0128608366,1987946.00,0.00,596.38,24995.92,8,4,0.04632751661311152,2021-05-12,2021-06-23
2021-07-01,2021-10-08,64,22,8,601006.XSHG;601000.XSHG;600017.XSHG;001872.XSHE;601326.XSHG;600018.XSHG;600717.XSHG;600125.XSHG,0.0883245424,0.2184024267,-0.1160778904,0.0189068703,76913.00,52954.00,56.01,28710.08,8,4,0.05557023646065007,2021-09-23,2021-09-29
2021-10-08,2022-01-04,61,22,8,601006.XSHG;600017.XSHG;001872.XSHE;600717.XSHG;601018.XSHG;601000.XSHG;601333.XSHG;002040.XSHE,0.0069080459,0.0058091286,-0.0041951915,0.0092441902,883541.00,857460.00,528.29,11640.00,11,1,0.08087769608178674,2021-10-08,2021-11-29
2022-01-04,2022-04-01,58,22,8,601008.XSHG;601006.XSHG;000905.XSHE;601000.XSHG;600717.XSHG;001872.XSHE;600017.XSHG;600125.XSHG,0.0255743644,-0.0462046205,0.0626344003,0.0060790188,823991.00,811808.00,509.64,0.00,11,0,0.17432287849590955,2022-03-03,2022-03-15
2022-04-01,2022-07-01,59,23,8,601006.XSHG;601000.XSHG;600717.XSHG;001872.XSHE;600125.XSHG;601298.XSHG;000507.XSHE;601333.XSHG,0.0034650815,0.0207612457,-0.0272663898,0.0115336496,869601.00,870124.00,528.60,29703.76,11,4,0.11554256566221233,2022-04-06,2022-04-26
2022-07-01,2022-10-10,65,23,8,601000.XSHG;600017.XSHG;001872.XSHE;601006.XSHG;601326.XSHG;601298.XSHG;601008.XSHG;601018.XSHG,-0.0276474756,-0.1296610169,0.1152725467,0.0161511920,1169344.00,1140491.00,702.11,30931.42,12,3,0.07122055199766697,2022-09-06,2022-09-30
2022-10-10,2023-01-03,60,23,8,600717.XSHG;601008.XSHG;601006.XSHG;000905.XSHE;601000.XSHG;601298.XSHG;600017.XSHG;000507.XSHE,0.0622627208,0.0389483934,0.0143337002,0.0055543603,840766.00,809350.00,503.41,0.00,11,0,0.08751900698231463,2022-12-08,2022-12-23
2023-01-03,2023-04-03,59,23,8,601006.XSHG;601000.XSHG;600717.XSHG;001872.XSHE;000905.XSHE;601326.XSHG;600279.XSHG;601298.XSHG,0.0762058329,0.1265229616,-0.0502508110,0.0055996928,906958.00,908344.00,554.41,0.00,11,0,0.03246826761572508,2023-03-17,2023-03-30
2023-04-03,2023-07-03,59,23,8,601006.XSHG;601000.XSHG;600717.XSHG;001872.XSHE;601298.XSHG;600018.XSHG;000507.XSHE;600125.XSHG,0.0592827734,0.0091514143,0.0425693167,0.0092542439,944755.00,947619.00,573.09,33694.84,11,5,0.15513118757469369,2023-05-08,2023-06-26
2023-07-03,2023-10-09,64,23,8,601006.XSHG;000507.XSHE;601000.XSHG;601018.XSHG;601326.XSHG;600018.XSHG;600717.XSHG;001872.XSHE,0.0062603243,-0.0651277824,0.0689470244,0.0142956866,753414.00,719124.00,447.09,29654.96,10,3,0.06706249418123922,2023-08-01,2023-09-08
2023-10-09,2024-01-02,60,23,8,600717.XSHG;000507.XSHE;001872.XSHE;600279.XSHG;601000.XSHG;601298.XSHG;601326.XSHG;601006.XSHG,-0.0395361107,-0.1313932981,0.1010905616,0.0056036483,701961.00,672379.00,427.37,0.00,10,0,0.06536079507322734,2023-10-09,2023-10-23
2024-01-02,2024-04-01,58,23,8,601006.XSHG;000507.XSHE;001872.XSHE;000905.XSHE;601326.XSHG;600717.XSHG;601000.XSHG;600017.XSHG,0.0440725352,0.0426395939,-0.0041449664,0.0055956983,673608.00,674224.00,417.05,0.00,10,0,0.08505725947640763,2024-01-15,2024-01-22
2024-04-01,2024-07-01,59,23,8,601006.XSHG;000507.XSHE;001872.XSHE;601008.XSHG;600018.XSHG;001213.XSHE;601298.XSHG;600717.XSHG,0.0283597114,0.0000000000,0.0236802589,0.0090252441,1353479.00,1356682.00,819.94,22548.32,12,5,0.05642241520524738,2024-05-13,2024-06-06
2024-07-01,2024-10-08,64,23,8,000507.XSHE;601008.XSHG;601018.XSHG;601006.XSHG;600018.XSHG;600717.XSHG;601326.XSHG;600017.XSHG,0.1321555284,0.0934761441,0.0265612307,0.0119423750,1138049.00,1114214.00,677.24,21594.23,11,2,0.10633998920246512,2024-08-01,2024-09-11
2024-10-08,2025-01-02,61,23,8,600717.XSHG;000905.XSHE;600017.XSHG;001872.XSHE;601000.XSHG;600279.XSHG;601326.XSHG;601006.XSHG,0.0011141866,-0.0062333037,-0.0082042781,0.0087977643,1743745.00,1728494.00,1045.30,8331.57,12,2,0.0650616803885139,2024-10-08,2024-10-09
2025-01-02,2025-04-01,57,23,8,600717.XSHG;000905.XSHE;001872.XSHE;601006.XSHG;000507.XSHE;601333.XSHG;601326.XSHG;600017.XSHG,-0.0221845381,-0.0654121864,0.0434445509,0.0060746713,847956.00,837966.00,514.35,0.00,10,0,0.04524544237978467,2025-01-27,2025-02-25
2025-04-01,2025-07-01,60,23,8,000905.XSHE;601008.XSHG;601006.XSHG;001872.XSHE;600717.XSHG;601880.XSHG;601333.XSHG;000582.XSHE,0.0949325209,0.0210930010,0.0703942165,0.0071452661,1189741.00,1190493.00,721.56,25795.60,11,5,0.08926445329119903,2025-05-19,2025-06-19
2025-07-01,2025-10-09,66,22,8,601018.XSHG;601333.XSHG;000582.XSHE;600717.XSHG;001872.XSHE;600125.XSHG;601298.XSHG;601880.XSHG,0.0630452297,0.1089201878,-0.0498978142,0.0096872308,1455964.00,1431255.00,866.17,26066.67,11,4,0.03593038910486601,2025-07-24,2025-07-31
2025-10-09,2026-01-05,60,22,8,600017.XSHG;600717.XSHG;001872.XSHE;601000.XSHG;601333.XSHG;601018.XSHG;601326.XSHG;601880.XSHG,-0.0273802707,0.0042337003,-0.0345955743,0.0070796796,1380985.00,1357355.00,821.50,6654.48,11,2,0.08240613499921812,2025-10-23,2025-12-30
