trade_date,next_trade_date,strategy_return,benchmark_return,excess_return,strategy_nav,benchmark_nav,excess_nav,selected_count,date_security_count,cash_weight,benchmark_source,selected_codes,portfolio_value,cash,invested_value,buy_turnover,sell_turnover,commission,dividend_cash,defensive_state,effective_target_exposure,experiment_layer
2024-09-30,,0.07046651372683588,0.09454191033138404,-0.02407539660454816,1.545196954099999,1.1354903943377135,1.243358368279988,0,23,0.011836649076656072,516970.XSHG,,3090393.908199999,36579.90819999907,3053814.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2025-04-09,,0.059114396394162716,0.022817460317460236,0.03629693607670248,1.6204266356499983,1.0424671385237592,1.3928393627791822,0,23,0.00559768362876914,516970.XSHG,,3240853.2712999987,18141.271299998916,3222712.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2021-12-03,,0.05440458717780028,0.030042918454935563,0.024361668722864716,1.0884646589000007,1.2133468149646112,0.8849026683231852,0,23,0.012025800555829127,516970.XSHG,,2176929.3178,26179.31779999996,2150750.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2025-05-19,,0.050453866259972946,0.002849002849002913,0.04760486341097003,1.7894760356499984,1.0677451971688552,1.5016959268650478,0,23,0.006377864482467824,516970.XSHG,,3578952.071299999,22826.071299998915,3556126.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2023-05-04,,0.047004592234551446,0.016788321167883202,0.030216271066668243,1.457054122550001,1.408493427704751,0.9771056452754959,0,23,0.005409629215560768,516970.XSHG,,2914108.2450999995,15764.245099999476,2898344.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2022-02-25,,0.04589795903962357,-0.00496277915632759,0.05086073819595116,1.1374133364500003,1.2163801820020215,0.9116785917070873,0,23,0.005928659559282695,516970.XSHG,,2274826.6728999997,13486.67289999983,2261340.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2025-03-18,,0.04548876068867225,0.0009132420091324533,0.044575518679539794,1.5716774174499983,1.108190091001009,1.2727695999016397,0,23,0.005761625986006464,516970.XSHG,,3143354.8348999987,18110.834899998892,3125244.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2022-03-03,,0.0428826628878074,0.014827018121911006,0.028055644765896393,1.24113083645,1.2457027300303332,0.9712838794389564,0,23,0.005433219650949811,516970.XSHG,,2482261.6728999997,13486.67289999983,2468775.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2025-04-08,,0.04095560439857926,0.03703703703703698,0.00391856736154228,1.5299826356499986,1.019211324570271,1.3440543094263186,0,23,0.005928587317689315,516970.XSHG,,3059965.2712999987,18141.271299998916,3041824.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2022-02-07,,0.03912941565768491,0.07245155855096863,-0.033322142893283724,1.1084168364500002,1.28715874620829,0.8401593207298422,0,23,0.006083754981201158,516970.XSHG,,2216833.6728999997,13486.67289999983,2203347.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
