trade_date,next_trade_date,strategy_return,benchmark_return,excess_return,strategy_nav,benchmark_nav,excess_nav,selected_count,date_security_count,cash_weight,benchmark_source,selected_codes,portfolio_value,cash,invested_value,buy_turnover,sell_turnover,commission,dividend_cash,defensive_state,effective_target_exposure,experiment_layer
2024-10-09,,-0.0650616803885139,-0.09385665529010234,0.028794974901588444,1.470003806249999,1.0738119312436794,1.2457840315402953,0,23,0.00689917006124724,516970.XSHG,,2940007.612499999,20283.61249999897,2919724.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2022-03-15,,-0.06324109810863732,-0.0675438596491228,0.004302761540485478,1.02477333645,1.0748230535894836,0.9290845762344395,0,23,0.006580319969448124,516970.XSHG,,2049546.6729,13486.67289999983,2036060.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2025-04-07,,-0.05805408139720736,-0.0830188679245284,0.024964786527321037,1.4697866356499985,0.9828109201213328,1.3388080997034522,0,23,0.006171396194515032,516970.XSHG,,2939573.2712999987,18141.271299998916,2921432.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2022-04-25,,-0.04974252327743289,-0.048586572438162445,-0.0011559508392704476,1.0478760385999992,1.0889787664307378,0.9317622327611688,0,23,0.006432572510204084,516970.XSHG,,2095752.0771999997,13481.077199999825,2082271.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2024-01-22,,-0.04832953271878482,-0.03503184713375784,-0.013297685585026975,1.1964127694499995,0.919110212335692,1.2118017612880259,0,23,0.006087589196618051,516970.XSHG,,2392825.5388999996,14566.538899999403,2378259.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2026-03-23,,-0.043842254519847024,-0.039024390243902474,-0.00481786427594455,1.7715160928499991,1.1951466127401378,1.3036985764846916,0,23,0.005732148237876209,516970.XSHG,,3543032.185699999,20309.18569999894,3522723.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2025-04-15,,-0.039917214048281746,-0.004835589941973084,-0.03508162410630866,1.6181001356499984,1.0404448938321513,1.3935165731226637,0,23,0.005605731963155504,516970.XSHG,,3236200.2712999987,18141.271299998916,3218059.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2025-05-23,,-0.039887084329625844,-0.010476190476190639,-0.029410893853435205,1.6682850356499985,1.0505561172901898,1.4231425847095818,0,23,0.0068411784593828085,516970.XSHG,,3336570.071299999,22826.071299998915,3313744.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2022-09-26,,-0.03726133280083532,-0.025139664804469386,-0.012121667996365937,1.1016710776499987,1.0586450960566223,0.999984262448739,0,23,0.020224346542279212,516970.XSHG,,2203342.1552999998,44561.15529999958,2158781.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2022-03-08,,-0.036623967210897224,-0.021364009860312283,-0.01525995735058494,1.12641233645,1.2042467138523758,0.9123132254351003,0,23,0.005986561254515561,516970.XSHG,,2252824.6728999997,13486.67289999983,2239338.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
