trade_date,code,amount,net_cash_per_share,dividend_cash
2022-04-22,003000.XSHE,24800,0.12,2976.0
2022-05-13,600298.XSHG,5100,0.4,2040.0
2022-06-06,603696.XSHG,25000,0.1,2500.0
2022-06-14,002695.XSHE,19000,0.048,912.0
2022-06-22,002557.XSHE,4000,0.68,2720.0
2022-07-04,002956.XSHE,14300,0.2144,3065.92
2022-07-26,600873.XSHG,20100,0.32,6432.0
2022-11-11,002650.XSHE,46200,0.0704,3252.48
2023-05-22,600298.XSHG,6800,0.4,2720.0
2023-05-29,603057.XSHG,10100,0.6,6060.0
2023-06-14,603517.XSHG,6400,0.144,921.5999999999999
2023-06-16,002507.XSHE,11100,0.304,3374.4
2023-06-20,002557.XSHE,6600,0.8,5280.0
2023-06-27,300908.XSHE,6400,0.8,5120.0
2023-07-04,605339.XSHG,12800,0.24,3072.0
2023-07-21,300783.XSHE,13500,0.12896,1740.9599999999998
2024-05-24,603057.XSHG,11500,0.64,7360.0
2024-05-31,603719.XSHG,13400,0.18,2412.0
2024-06-06,002820.XSHE,23900,0.16,3824.0
2024-06-14,002557.XSHE,6100,0.8,4880.0
2024-06-24,603696.XSHG,26800,0.06,1608.0
2024-06-28,300973.XSHE,6700,0.4,2680.0
2024-08-22,000716.XSHE,51700,0.04,2068.0
2024-09-06,603697.XSHG,32000,0.128,4096.0
2024-10-16,603517.XSHG,13000,0.24,3120.0
2024-12-02,300973.XSHE,5600,0.16,896.0
2025-01-17,002557.XSHE,8700,0.24,2088.0
2025-01-21,300972.XSHE,3100,0.16,496.0
2025-04-28,603866.XSHG,45000,0.104,4680.0
2025-04-30,300783.XSHE,9400,0.1,940.0
2025-05-16,002695.XSHE,22500,0.088,1979.9999999999998
2025-05-20,300972.XSHE,2800,0.32,896.0
2025-05-22,603057.XSHG,13200,0.416,5491.2
2025-06-13,600298.XSHG,7400,0.44,3256.0
2025-06-20,002557.XSHE,9900,0.8,7920.0
2025-07-03,002956.XSHE,12700,0.33408,4242.816
2025-10-28,001219.XSHE,21700,0.08,1736.0
2025-12-02,300973.XSHE,7100,0.16,1136.0
2026-05-15,603697.XSHG,28900,0.152,4392.8
2026-05-18,002956.XSHE,10900,0.43072,4694.848
