trade_date,order_health_status,selected_count,selected_codes,executed_order_count,buy_order_count,sell_order_count,skipped_order_count,buy_skipped_count,sell_skipped_count,buy_turnover,sell_turnover,holding_count_after_rebalance,cash_weight_after_rebalance,portfolio_value_after_rebalance,diagnosis
2022-01-04,normal_ordered,8,000716.XSHE;002557.XSHE;002695.XSHE;002847.XSHE;600873.XSHG;603043.XSHG;603777.XSHG;603886.XSHG,8,8,0,0,0,0,1977461.0,0,8,0.01069253456037707,2052437.7617000001,At least one order executed and holdings exist after rebalance.
2022-04-01,normal_ordered,8,000716.XSHE;002557.XSHE;002650.XSHE;002695.XSHE;003000.XSHE;600298.XSHG;603696.XSHG;603777.XSHG,11,6,5,0,0,0,914669.0,907506.0,8,0.008235752348827804,1728459.1616000002,At least one order executed and holdings exist after rebalance.
2022-07-01,normal_ordered,8,002695.XSHE;002956.XSHE;003000.XSHE;300783.XSHE;600186.XSHG;600873.XSHG;603517.XSHG;603777.XSHG,13,6,7,0,0,0,1167668.0,1170738.0,8,0.008951420210190386,1854188.6215000001,At least one order executed and holdings exist after rebalance.
2022-10-10,normal_ordered,8,002650.XSHE;002695.XSHE;600872.XSHG;603043.XSHG;603697.XSHG;603777.XSHG;603866.XSHG;603886.XSHG,14,7,7,0,0,0,1310017.0,1308958.0,8,0.008671697623209839,1700808.9005,At least one order executed and holdings exist after rebalance.
2023-01-03,normal_ordered,8,002557.XSHE;002956.XSHE;003000.XSHE;300908.XSHE;603043.XSHG;603697.XSHG;603719.XSHG;603886.XSHG,12,7,5,0,0,0,1316569.0,1321755.0,8,0.009447508209177783,2025918.8853,At least one order executed and holdings exist after rebalance.
2023-04-03,normal_ordered,8,002507.XSHE;002557.XSHE;002956.XSHE;300908.XSHE;600298.XSHG;603057.XSHG;603517.XSHG;605339.XSHG,13,7,6,0,0,0,1469978.0,1471066.0,8,0.0086876427253358,2226738.1051000003,At least one order executed and holdings exist after rebalance.
2023-07-03,normal_ordered,8,000716.XSHE;002582.XSHE;002695.XSHE;002820.XSHE;300783.XSHE;603517.XSHG;603719.XSHG;605339.XSHG,14,8,6,0,0,0,1546543.0,1545694.0,8,0.008463788571353626,2075521.7775,At least one order executed and holdings exist after rebalance.
2023-10-09,normal_ordered,8,000716.XSHE;002495.XSHE;002557.XSHE;300908.XSHE;603057.XSHG;603719.XSHG;603886.XSHG;605339.XSHG,13,7,6,0,0,0,1236330.0,1234997.0,8,0.008012516406340686,1933132.2539000001,At least one order executed and holdings exist after rebalance.
2024-01-02,normal_ordered,8,002557.XSHE;002956.XSHE;600298.XSHG;603043.XSHG;603317.XSHG;603719.XSHG;603866.XSHG;603886.XSHG,13,7,6,0,0,0,1242742.0,1244383.0,8,0.00835735631927224,1959941.9331,At least one order executed and holdings exist after rebalance.
2024-04-01,normal_ordered,8,000716.XSHE;002557.XSHE;002820.XSHE;002956.XSHE;300973.XSHE;603057.XSHG;603696.XSHG;603719.XSHG,13,7,6,0,0,0,1116364.0,1114504.0,8,0.007652672903833292,1809503.5387,At least one order executed and holdings exist after rebalance.
2024-07-01,normal_ordered,8,000716.XSHE;002557.XSHE;002650.XSHE;002695.XSHE;300783.XSHE;600186.XSHG;603517.XSHG;603697.XSHG,14,8,6,0,0,0,1098224.0,1097250.0,8,0.008427314385762047,1449249.2793,At least one order executed and holdings exist after rebalance.
2024-10-08,normal_ordered,8,002495.XSHE;002847.XSHE;300972.XSHE;300973.XSHE;600305.XSHG;603057.XSHG;603517.XSHG;603886.XSHG,12,5,7,3,3,0,943861.0,1647221.0,5,0.39683968412362386,1801220.9547000001,At least one order executed and holdings exist after rebalance.
2025-01-02,normal_ordered,8,002557.XSHE;002695.XSHE;003000.XSHE;300972.XSHE;600298.XSHG;603043.XSHG;603057.XSHG;603886.XSHG,10,7,3,0,0,0,1250370.0,557214.0,8,0.010652448244971711,1980528.4771000005,At least one order executed and holdings exist after rebalance.
2025-04-01,normal_ordered,8,002557.XSHE;002695.XSHE;002956.XSHE;300783.XSHE;300972.XSHE;600298.XSHG;603057.XSHG;603866.XSHG,11,6,5,0,0,0,783658.0,780591.0,8,0.008794917002737719,1996293.2333000004,At least one order executed and holdings exist after rebalance.
2025-07-01,normal_ordered,8,002557.XSHE;002650.XSHE;002695.XSHE;002956.XSHE;300972.XSHE;603517.XSHG;603719.XSHG;603866.XSHG,11,6,5,0,0,0,1051972.0,1061631.0,8,0.011634410834321237,2284787.1524000005,At least one order executed and holdings exist after rebalance.
2025-10-09,normal_ordered,8,001219.XSHE;003000.XSHE;300973.XSHE;600186.XSHG;603057.XSHG;603517.XSHG;603866.XSHG;603886.XSHG,14,8,6,0,0,0,1740661.0,1731777.0,8,0.0072963315646991855,2282274.2295000004,At least one order executed and holdings exist after rebalance.
2026-01-05,normal_ordered,8,001219.XSHE;002557.XSHE;002582.XSHE;003000.XSHE;600298.XSHG;603043.XSHG;603697.XSHG;603886.XSHG,13,6,7,0,0,0,1464876.0,1464226.0,8,0.0064698989635321716,2336876.3539000005,At least one order executed and holdings exist after rebalance.
2026-04-01,normal_ordered,8,001219.XSHE;002557.XSHE;002956.XSHE;002991.XSHE;003000.XSHE;300973.XSHE;603697.XSHG;603866.XSHG,12,6,6,0,0,0,1122183.0,1126481.0,8,0.0085426264197158,2193418.5553000006,At least one order executed and holdings exist after rebalance.
