trade_date,code,side,amount,price,value,commission,target_amount,reason
2022-01-04,000716.XSHE,buy,73100,3.4,248540.0,74.562,73100,
2022-01-04,600873.XSHG,buy,32400,7.66,248184.0,74.45519999999999,32400,
2022-01-04,603886.XSHG,buy,10500,23.68,248640.0,74.592,10500,
2022-01-04,603043.XSHG,buy,10200,24.19,246738.0,74.0214,10200,
2022-01-04,002557.XSHE,buy,4000,60.98,243920.0,73.17599999999999,4000,
2022-01-04,002695.XSHE,buy,15200,16.32,248064.0,74.41919999999999,15200,
2022-01-04,002847.XSHE,buy,2900,84.51,245079.00000000003,73.5237,2900,
2022-01-04,603777.XSHG,buy,16400,15.14,248296.0,74.4888,16400,
2022-04-01,000716.XSHE,sell,9800,3.4,33320.0,9.995999999999999,63300,
2022-04-01,600873.XSHG,sell,32400,9.05,293220.0,87.966,0,
2022-04-01,603886.XSHG,sell,10500,18.53,194565.0,58.369499999999995,0,
2022-04-01,603043.XSHG,sell,10200,20.98,213996.0,64.19879999999999,0,
2022-04-01,002847.XSHE,sell,2900,59.45,172405.0,51.7215,0,
2022-04-01,603777.XSHG,buy,1100,12.28,13508.0,5.0,17500,
2022-04-01,003000.XSHE,buy,24800,8.68,215264.0,64.5792,24800,
2022-04-01,002695.XSHE,buy,3800,11.28,42864.0,12.8592,19000,
2022-04-01,600298.XSHG,buy,5100,41.68,212568.0,63.770399999999995,5100,
2022-04-01,002650.XSHE,buy,47300,4.55,215215.0,64.5645,47300,
2022-04-01,603696.XSHG,buy,25000,8.61,215250.0,64.57499999999999,25000,
2022-07-01,000716.XSHE,sell,63300,3.45,218385.0,65.51549999999999,0,
2022-07-01,002557.XSHE,sell,4000,56.8,227200.0,68.16,0,
2022-07-01,002695.XSHE,sell,300,12.38,3714.0000000000005,5.0,18700,
2022-07-01,603777.XSHG,sell,1100,14.11,15521.0,5.0,16400,
2022-07-01,600298.XSHG,sell,5100,48.78,248778.0,74.6334,0,
2022-07-01,002650.XSHE,sell,47300,4.3,203390.0,61.016999999999996,0,
2022-07-01,603696.XSHG,sell,25000,10.15,253750.0,76.125,0,
2022-07-01,300783.XSHE,buy,9200,25.02,230184.0,69.0552,9200,
2022-07-01,003000.XSHE,buy,1200,8.92,10704.0,5.0,26000,
2022-07-01,600873.XSHG,buy,20000,11.6,232000.0,69.6,20000,
2022-07-01,600186.XSHG,buy,87700,2.65,232405.0,69.72149999999999,87700,
2022-07-01,603517.XSHG,buy,4000,57.5,230000.0,69.0,4000,
2022-07-01,002956.XSHE,buy,14300,16.25,232375.0,69.71249999999999,14300,
2022-10-10,603777.XSHG,sell,500,13.65,6825.0,5.0,15900,
2022-10-10,003000.XSHE,sell,26000,12.11,314860.0,94.458,0,
2022-10-10,300783.XSHE,sell,9200,18.09,166428.0,49.928399999999996,0,
2022-10-10,600873.XSHG,sell,20000,10.15,203000.0,60.89999999999999,0,
2022-10-10,600186.XSHG,sell,87700,2.73,239421.0,71.82629999999999,0,
2022-10-10,603517.XSHG,sell,4000,49.99,199960.0,59.98799999999999,0,
2022-10-10,002956.XSHE,sell,14300,12.48,178464.0,53.539199999999994,0,
2022-10-10,002650.XSHE,buy,45700,4.75,217075.0,65.12249999999999,45700,
2022-10-10,603886.XSHG,buy,12300,17.6,216480.00000000003,64.944,12300,
2022-10-10,002695.XSHE,buy,1200,10.9,13080.0,5.0,19900,
2022-10-10,603043.XSHG,buy,10000,21.55,215500.0,64.64999999999999,10000,
2022-10-10,603697.XSHG,buy,20600,10.53,216918.0,65.07539999999999,20600,
2022-10-10,603866.XSHG,buy,16300,13.28,216464.0,64.9392,16300,
2022-10-10,600872.XSHG,buy,6500,33.0,214500.0,64.35,6500,
2023-01-03,002695.XSHE,sell,19900,13.8,274620.0,82.386,0,
2023-01-03,603777.XSHG,sell,15900,21.7,345030.0,103.50899999999999,0,
2023-01-03,002650.XSHE,sell,45700,4.64,212047.99999999997,63.61439999999999,0,
2023-01-03,603866.XSHG,sell,16300,15.39,250857.0,75.2571,0,
2023-01-03,600872.XSHG,sell,6500,36.8,239199.99999999997,71.75999999999999,0,
2023-01-03,603886.XSHG,buy,900,19.6,17640.0,5.292,13200,
2023-01-03,603697.XSHG,buy,400,12.35,4940.0,5.0,21000,
2023-01-03,002557.XSHE,buy,5200,49.6,257920.0,77.37599999999999,5200,
2023-01-03,002956.XSHE,buy,17500,14.79,258824.99999999997,77.64749999999998,17500,
2023-01-03,603719.XSHG,buy,7000,36.86,258020.0,77.40599999999999,7000,
2023-01-03,300908.XSHE,buy,6800,38.18,259624.0,77.88719999999999,6800,
2023-01-03,003000.XSHE,buy,22000,11.8,259600.00000000003,77.88,22000,
2023-04-03,603886.XSHG,sell,13200,20.28,267696.0,80.30879999999999,0,
2023-04-03,603043.XSHG,sell,10000,29.39,293900.0,88.16999999999999,0,
2023-04-03,603697.XSHG,sell,21000,14.4,302400.0,90.72,0,
2023-04-03,603719.XSHG,sell,7000,34.57,241990.0,72.597,0,
2023-04-03,300908.XSHE,sell,500,43.76,21880.0,6.563999999999999,6300,
2023-04-03,003000.XSHE,sell,22000,15.6,343200.0,102.96,0,
2023-04-03,002557.XSHE,buy,1400,42.35,59290.0,17.787,6600,
2023-04-03,002956.XSHE,buy,1000,15.11,15110.0,5.0,18500,
2023-04-03,600298.XSHG,buy,6700,41.66,279122.0,83.7366,6700,
2023-04-03,603057.XSHG,buy,10000,27.82,278200.0,83.46,10000,
2023-04-03,605339.XSHG,buy,10700,26.08,279056.0,83.71679999999999,10700,
2023-04-03,603517.XSHG,buy,6400,43.65,279360.0,83.80799999999999,6400,
2023-04-03,002507.XSHE,buy,11000,25.44,279840.0,83.952,11000,
2023-07-03,002557.XSHE,sell,6600,41.66,274956.0,82.48679999999999,0,
