trade_date,code,amount,net_cash_per_share,dividend_cash
2021-07-26,600336.XSHG,34900,0.096,3350.4
2022-04-08,000651.XSHE,6200,0.8,4960.0
2022-05-10,002242.XSHE,12400,0.8,9920.0
2022-06-10,000016.XSHE,36700,0.04,1468.0
2022-06-16,000404.XSHE,41200,0.12,4944.0
2022-06-24,000521.XSHE,54900,0.04,2196.0
2022-06-24,002035.XSHE,36800,0.08,2944.0
2022-08-03,600060.XSHG,18200,0.0696,1266.7199999999998
2023-02-27,000651.XSHE,7200,0.8,5760.0
2023-04-28,002519.XSHE,52000,0.08,4160.0
2023-05-29,002614.XSHE,33600,0.24,8064.0
2023-06-05,605555.XSHG,13000,0.4,5200.0
2023-06-28,605365.XSHG,15800,0.24,3792.0
2023-07-03,603112.XSHG,25300,0.1448,3663.4400000000005
2023-08-09,000651.XSHE,8100,0.8,6480.0
2023-08-11,600060.XSHG,12000,0.5152,6182.4
2024-05-23,002242.XSHE,31000,0.12,3720.0
2024-05-28,300625.XSHE,24600,0.48,11808.0
2024-05-29,002614.XSHE,45800,0.24,10992.0
2024-06-06,605555.XSHG,17200,0.28,4816.000000000001
2024-06-17,600336.XSHG,63400,0.008,507.2
2024-06-26,000404.XSHE,44700,0.2,8940.0
2024-06-26,002035.XSHE,53100,0.24,12744.0
2024-07-04,688696.XSHG,3900,0.24,936.0
2024-07-12,002723.XSHE,48600,0.0152,738.72
2024-10-11,002543.XSHE,33400,0.16,5344.0
2024-11-01,600336.XSHG,51800,0.016,828.8000000000001
2025-05-27,001268.XSHE,18800,0.36,6768.0
2025-05-27,603303.XSHG,31600,0.592,18707.2
2025-05-29,002614.XSHE,50900,0.08,4072.0
2025-06-03,601956.XSHG,76200,0.08,6096.0
2025-06-11,002705.XSHE,25100,0.36,9036.0
2025-06-18,600619.XSHG,30100,0.0104,313.03999999999996
2025-08-08,600060.XSHG,17000,0.704,11968.0
2025-08-29,000651.XSHE,8700,1.6,13920.0
2025-09-23,603303.XSHG,32400,0.5128,16614.72
2026-01-23,000651.XSHE,9700,0.8,7760.0
2026-05-19,688696.XSHG,4100,0.94752,3884.8320000000003
2026-05-22,002668.XSHE,41800,0.163032,6814.7376
