trade_date,code,side,amount,price,value,commission,target_amount,reason
2021-07-01,600854.XSHG,buy,56800,3.5,198800.0,59.63999999999999,56800,
2021-07-01,601956.XSHG,buy,25500,7.8,198900.0,59.669999999999995,25500,
2021-07-01,003023.XSHE,buy,6500,30.2,196300.0,58.88999999999999,6500,
2021-07-01,600336.XSHG,buy,34900,5.69,198581.0,59.574299999999994,34900,
2021-07-01,002418.XSHE,buy,50500,3.94,198970.0,59.690999999999995,50500,
2021-07-01,002543.XSHE,buy,26700,7.45,198915.0,59.674499999999995,26700,
2021-07-01,603578.XSHG,buy,13700,14.49,198513.0,59.55389999999999,13700,
2021-07-01,000333.XSHE,buy,2700,71.3,192510.0,57.75299999999999,2700,
2021-07-01,300475.XSHE,buy,8100,24.51,198531.0,59.55929999999999,8100,
2021-07-01,002429.XSHE,buy,33200,5.98,198536.0,59.56079999999999,33200,
2021-10-08,600854.XSHG,sell,1700,3.41,5797.0,5.0,55100,
2021-10-08,601956.XSHG,sell,25500,6.88,175440.0,52.632,0,
2021-10-08,003023.XSHE,sell,6500,26.27,170755.0,51.226499999999994,0,
2021-10-08,600336.XSHG,sell,34900,6.0,209400.0,62.81999999999999,0,
2021-10-08,002418.XSHE,sell,50500,3.46,174730.0,52.419,0,
2021-10-08,002543.XSHE,sell,26700,8.27,220809.0,66.2427,0,
2021-10-08,603578.XSHG,sell,13700,15.5,212350.0,63.70499999999999,0,
2021-10-08,000333.XSHE,sell,2700,70.2,189540.0,56.861999999999995,0,
2021-10-08,300475.XSHE,sell,8100,18.76,151956.0,45.5868,0,
2021-10-08,002429.XSHE,sell,33200,4.99,165668.0,49.700399999999995,0,
2021-10-08,000404.XSHE,buy,47800,3.93,187854.0,56.356199999999994,47800,
2021-10-08,000521.XSHE,buy,56900,3.3,187770.0,56.330999999999996,56900,
2021-10-08,603551.XSHG,buy,18500,10.13,187405.0,56.22149999999999,18500,
2021-10-08,002668.XSHE,buy,32300,5.8,187340.0,56.202,32300,
2021-10-08,000921.XSHE,buy,15500,12.05,186775.0,56.03249999999999,15500,
2021-10-08,002011.XSHE,buy,27700,6.77,187529.0,56.2587,27700,
2021-10-08,600619.XSHG,buy,22700,8.24,187048.0,56.114399999999996,22700,
2021-10-08,002290.XSHE,buy,21900,8.57,187683.0,56.304899999999996,21900,
2021-10-08,603355.XSHG,buy,7200,25.96,186912.0,56.07359999999999,7200,
2022-01-04,600854.XSHG,sell,17800,6.18,110004.0,33.0012,37300,
2022-01-04,603551.XSHG,sell,18500,10.25,189625.0,56.887499999999996,0,
2022-01-04,000921.XSHE,sell,300,15.17,4551.0,5.0,15200,
2022-01-04,002011.XSHE,sell,27700,13.3,368410.0,110.523,0,
2022-01-04,002290.XSHE,sell,21900,7.62,166878.0,50.063399999999994,0,
2022-01-04,603355.XSHG,sell,7200,29.14,209808.0,62.94239999999999,0,
2022-01-04,000521.XSHE,buy,5800,3.68,21344.0,6.403199999999999,62700,
2022-01-04,600839.XSHG,buy,69500,3.32,230740.0,69.222,69500,
2022-01-04,000404.XSHE,buy,1100,4.72,5192.0,5.0,48900,
2022-01-04,002668.XSHE,buy,9400,5.53,51982.0,15.594599999999998,41700,
2022-01-04,000651.XSHE,buy,6200,37.03,229586.0,68.8758,6200,
2022-01-04,002035.XSHE,buy,36200,6.37,230594.0,69.17819999999999,36200,
2022-01-04,600619.XSHG,buy,5600,8.14,45584.0,13.675199999999998,28300,
2022-01-04,002676.XSHE,buy,52600,4.39,230913.99999999997,69.27419999999998,52600,
2022-04-01,600854.XSHG,sell,37300,5.0,186500.0,55.949999999999996,0,
2022-04-01,000404.XSHE,sell,7700,4.9,37730.0,11.318999999999999,41200,
2022-04-01,000521.XSHE,sell,7800,3.68,28704.0,8.611199999999998,54900,
2022-04-01,600619.XSHG,sell,28300,6.67,188761.0,56.628299999999996,0,
2022-04-01,002676.XSHE,sell,52600,3.94,207244.0,62.173199999999994,0,
2022-04-01,600839.XSHG,buy,200,2.9,580.0,5.0,69700,
2022-04-01,000016.XSHE,buy,36700,5.5,201850.0,60.55499999999999,36700,
2022-04-01,002668.XSHE,buy,1100,4.72,5192.0,5.0,42800,
2022-04-01,000921.XSHE,buy,3100,11.0,34100.0,10.229999999999999,18300,
2022-04-01,002035.XSHE,buy,600,5.49,3294.0,5.0,36800,
2022-04-01,002242.XSHE,buy,12400,16.25,201500.0,60.449999999999996,12400,
2022-04-01,600690.XSHG,buy,8700,22.98,199926.0,59.977799999999995,8700,
2022-07-01,000404.XSHE,sell,41200,5.44,224128.00000000003,67.2384,0,
2022-07-01,000521.XSHE,sell,54900,3.8,208620.0,62.58599999999999,0,
2022-07-01,002668.XSHE,sell,42800,5.18,221704.0,66.51119999999999,0,
2022-07-01,000921.XSHE,sell,18300,14.2,259860.0,77.958,0,
2022-07-01,600839.XSHG,sell,69700,2.91,202827.0,60.848099999999995,0,
2022-07-01,000651.XSHE,sell,6200,33.68,208816.0,62.6448,0,
2022-07-01,002035.XSHE,sell,36800,5.84,214912.0,64.47359999999999,0,
2022-07-01,000016.XSHE,sell,36700,6.66,244422.0,73.3266,0,
2022-07-01,600690.XSHG,sell,8700,27.6,240120.0,72.03599999999999,0,
2022-07-01,003023.XSHE,buy,13200,17.19,226908.00000000003,68.0724,13200,
2022-07-01,603657.XSHG,buy,15300,14.9,227970.0,68.39099999999999,15300,
2022-07-01,002290.XSHE,buy,31600,7.22,228152.0,68.4456,31600,
2022-07-01,002429.XSHE,buy,59200,3.86,228512.0,68.55359999999999,59200,
2022-07-01,600060.XSHG,buy,18200,12.54,228227.99999999997,68.46839999999999,18200,
2022-07-01,605555.XSHG,buy,8900,25.4,226060.0,67.818,8900,
2022-07-01,002959.XSHE,buy,3600,61.85,222660.0,66.79799999999999,3600,
2022-07-01,600854.XSHG,buy,39600,5.77,228491.99999999997,68.54759999999999,39600,
2022-07-01,000333.XSHE,buy,3700,60.19,222703.0,66.81089999999999,3700,
2022-10-10,002242.XSHE,sell,12400,14.68,182032.0,54.60959999999999,0,
2022-10-10,003023.XSHE,sell,13200,33.0,435600.0,130.67999999999998,0,
2022-10-10,603657.XSHG,sell,15300,13.75,210375.0,63.1125,0,
2022-10-10,002290.XSHE,sell,31600,7.76,245216.0,73.56479999999999,0,
2022-10-10,605555.XSHG,sell,8900,21.66,192774.0,57.83219999999999,0,
2022-10-10,002959.XSHE,sell,3600,52.0,187200.0,56.16,0,
2022-10-10,600854.XSHG,sell,39600,4.72,186912.0,56.07359999999999,0,
2022-10-10,000333.XSHE,sell,3700,49.31,182447.0,54.7341,0,
2022-10-10,000521.XSHE,buy,50800,4.4,223520.00000000003,67.056,50800,
2022-10-10,600983.XSHG,buy,31600,7.08,223728.0,67.1184,31600,
2022-10-10,000404.XSHE,buy,46900,4.77,223712.99999999997,67.11389999999999,46900,
2022-10-10,600839.XSHG,buy,86000,2.6,223600.0,67.08,86000,
2022-10-10,600060.XSHG,buy,1800,11.18,20124.0,6.0371999999999995,20000,
2022-10-10,002418.XSHE,buy,76100,2.94,223734.0,67.1202,76100,
2022-10-10,688609.XSHG,buy,32000,6.99,223680.0,67.104,32000,
2022-10-10,002429.XSHE,buy,9400,3.26,30643.999999999996,9.193199999999997,68600,
2022-10-10,601956.XSHG,buy,39100,5.72,223652.0,67.09559999999999,39100,
2022-10-10,002723.XSHE,buy,20200,11.07,223614.0,67.0842,20200,
2023-01-03,002429.XSHE,sell,68600,3.49,239414.00000000003,71.8242,0,
2023-01-03,600060.XSHG,sell,20000,13.5,270000.0,81.0,0,
2023-01-03,600983.XSHG,sell,31600,6.86,216776.0,65.0328,0,
2023-01-03,000404.XSHE,sell,46900,5.42,254198.0,76.2594,0,
2023-01-03,688609.XSHG,sell,32000,6.66,213120.0,63.93599999999999,0,
2023-01-03,601956.XSHG,sell,39100,5.91,231081.0,69.3243,0,
2023-01-03,002723.XSHE,sell,20200,13.95,281790.0,84.53699999999999,0,
2023-01-03,000521.XSHE,buy,5400,4.21,22734.0,6.8202,56200,
2023-01-03,600839.XSHG,buy,3700,2.64,9768.0,5.0,89700,
2023-01-03,605555.XSHG,buy,11600,20.39,236524.0,70.9572,11600,
