trade_date,order_health_status,selected_count,selected_codes,executed_order_count,buy_order_count,sell_order_count,skipped_order_count,buy_skipped_count,sell_skipped_count,buy_turnover,sell_turnover,holding_count_after_rebalance,cash_weight_after_rebalance,portfolio_value_after_rebalance,diagnosis
2021-07-01,normal_ordered,10,000543.XSHE;000669.XSHE;001896.XSHE;600011.XSHG;600021.XSHG;600027.XSHG;600396.XSHG;600617.XSHG;600795.XSHG;601991.XSHG,10,10,0,0,0,0,1988007.0,0,10,0.005780507601018749,1971556.5978999997,At least one order executed and holdings exist after rebalance.
2021-10-08,normal_ordered,10,000421.XSHE;000539.XSHE;000543.XSHE;600011.XSHG;600617.XSHG;600795.XSHG;600803.XSHG;600969.XSHG;601985.XSHG;601991.XSHG,15,7,8,0,0,0,1405347.0,1384890.0,10,0.0062355698836139934,2651902.121,At least one order executed and holdings exist after rebalance.
2022-01-04,normal_ordered,10,000421.XSHE;002039.XSHE;002267.XSHE;002893.XSHE;003816.XSHE;600310.XSHG;600617.XSHG;600795.XSHG;601985.XSHG;601991.XSHG,15,9,6,0,0,0,1560968.0,1561658.0,10,0.0057944900174431435,2811176.3331999998,At least one order executed and holdings exist after rebalance.
2022-04-01,normal_ordered,10,000407.XSHE;000421.XSHE;002267.XSHE;002893.XSHE;600310.XSHG;600617.XSHG;600681.XSHG;600795.XSHG;600803.XSHG;600886.XSHG,14,7,7,0,0,0,1054712.0,1055424.0,10,0.006599445465176803,2479723.8019999997,At least one order executed and holdings exist after rebalance.
2022-07-01,normal_ordered,10,000543.XSHE;000669.XSHE;000883.XSHE;002608.XSHE;600011.XSHG;600027.XSHG;600744.XSHG;600795.XSHG;601985.XSHG;601991.XSHG,19,9,10,0,0,0,2342831.0,2318554.0,10,0.005786557536808937,2653699.7865,At least one order executed and holdings exist after rebalance.
2022-10-10,normal_ordered,10,000421.XSHE;000600.XSHE;002039.XSHE;600021.XSHG;600310.XSHG;600617.XSHG;600719.XSHG;600795.XSHG;600803.XSHG;600969.XSHG,19,10,9,0,0,0,2509562.0,2489947.0,10,0.006504428415486224,2784947.4916000003,At least one order executed and holdings exist after rebalance.
2023-01-03,normal_ordered,10,000600.XSHE;002039.XSHE;002893.XSHE;600098.XSHG;600283.XSHG;600310.XSHG;600617.XSHG;600795.XSHG;601985.XSHG;601991.XSHG,15,6,9,0,0,0,1483425.0,1482363.0,10,0.0055230921521623325,2925002.0559,At least one order executed and holdings exist after rebalance.
2023-04-03,normal_ordered,10,000600.XSHE;002893.XSHE;600021.XSHG;600098.XSHG;600168.XSHG;600283.XSHG;600617.XSHG;600795.XSHG;600956.XSHG;601985.XSHG,13,6,7,0,0,0,906311.0,907972.0,10,0.005939696245320683,2905522.9236000003,At least one order executed and holdings exist after rebalance.
2023-07-03,normal_ordered,10,000027.XSHE;000421.XSHE;000669.XSHE;000883.XSHE;002039.XSHE;600617.XSHG;600642.XSHG;600795.XSHG;601985.XSHG;601991.XSHG,17,10,7,0,0,0,2301698.0,2288940.0,10,0.005809530467794298,3264531.3945999998,At least one order executed and holdings exist after rebalance.
2023-10-09,normal_ordered,10,000421.XSHE;000539.XSHE;003816.XSHE;600396.XSHG;600617.XSHG;600795.XSHG;600969.XSHG;600982.XSHG;601985.XSHG;601991.XSHG,15,8,7,0,0,0,1626142.0,1607454.0,10,0.005682102213055374,3133008.0720999995,At least one order executed and holdings exist after rebalance.
