trade_date,order_health_status,selected_count,selected_codes,executed_order_count,buy_order_count,sell_order_count,skipped_order_count,buy_skipped_count,sell_skipped_count,buy_turnover,sell_turnover,holding_count_after_rebalance,cash_weight_after_rebalance,portfolio_value_after_rebalance,diagnosis
2021-10-08,normal_ordered,26,000421.XSHE;000429.XSHE;000539.XSHE;000543.XSHE;000598.XSHE;000900.XSHE;002040.XSHE;600017.XSHG;600033.XSHG;600035.XSHG;600187.XSHG;600617.XSHG;600803.XSHG;600928.XSHG;600969.XSHG;601006.XSHG;601018.XSHG;601077.XSHG;601199.XSHG;601288.XSHG;601368.XSHG;601398.XSHG;601985.XSHG;601988.XSHG;601991.XSHG;603323.XSHG,25,25,0,1,1,0,1911600.0,0,25,0.04407272569903334,1992763.5200000003,At least one order executed and holdings exist after rebalance.
2022-01-04,normal_ordered,25,000421.XSHE;000429.XSHE;000598.XSHE;000900.XSHE;002267.XSHE;002807.XSHE;002893.XSHE;003816.XSHE;600017.XSHG;600033.XSHG;600617.XSHG;600717.XSHG;600928.XSHG;600969.XSHG;601006.XSHG;601008.XSHG;601077.XSHG;601158.XSHG;601229.XSHG;601288.XSHG;601368.XSHG;601398.XSHG;601985.XSHG;601988.XSHG;603053.XSHG,30,15,15,0,0,0,744940.0,673898.0,25,0.008130010078548583,2007137.0444000002,At least one order executed and holdings exist after rebalance.
2022-04-01,normal_ordered,25,000407.XSHE;000421.XSHE;001872.XSHE;002267.XSHE;002807.XSHE;003816.XSHE;600033.XSHG;600350.XSHG;600617.XSHG;600681.XSHG;600717.XSHG;600795.XSHG;600803.XSHG;600886.XSHG;601006.XSHG;601077.XSHG;601229.XSHG;601288.XSHG;601298.XSHG;601326.XSHG;601398.XSHG;601939.XSHG;601985.XSHG;601988.XSHG;605368.XSHG,36,15,21,0,0,0,933560.0,934751.0,25,0.008436235945692587,2003650.2664000003,At least one order executed and holdings exist after rebalance.
2022-07-01,normal_ordered,28,000598.XSHE;000669.XSHE;000883.XSHE;002267.XSHE;002608.XSHE;002700.XSHE;003816.XSHE;600017.XSHG;600033.XSHG;600035.XSHG;600795.XSHG;600886.XSHG;601000.XSHG;601006.XSHG;601077.XSHG;601158.XSHG;601169.XSHG;601288.XSHG;601298.XSHG;601326.XSHG;601398.XSHG;601825.XSHG;601939.XSHG;601985.XSHG;601988.XSHG;601991.XSHG;603053.XSHG;605368.XSHG,38,25,13,0,0,0,990257.0,944694.0,28,0.008495762681045474,2045977.1362000003,At least one order executed and holdings exist after rebalance.
2022-10-10,normal_ordered,25,000027.XSHE;000421.XSHE;000598.XSHE;002267.XSHE;003816.XSHE;600008.XSHG;600017.XSHG;600033.XSHG;600035.XSHG;600350.XSHG;600617.XSHG;600717.XSHG;600719.XSHG;600795.XSHG;600803.XSHG;601006.XSHG;601077.XSHG;601158.XSHG;601169.XSHG;601288.XSHG;601298.XSHG;601398.XSHG;601825.XSHG;601939.XSHG;601988.XSHG,30,16,14,1,0,1,792492.0,737274.0,25,3.66214027504061e-05,2047381.9780000004,At least one order executed and holdings exist after rebalance.
2023-01-03,normal_ordered,27,000598.XSHE;000905.XSHE;002039.XSHE;003816.XSHE;600008.XSHG;600018.XSHG;600035.XSHG;600098.XSHG;600283.XSHG;600461.XSHG;600681.XSHG;600717.XSHG;600803.XSHG;600886.XSHG;601006.XSHG;601077.XSHG;601139.XSHG;601158.XSHG;601288.XSHG;601298.XSHG;601398.XSHG;601825.XSHG;601880.XSHG;601939.XSHG;601985.XSHG;601988.XSHG;601997.XSHG,37,16,21,0,0,0,954150.0,968578.0,27,0.008712271011799918,2066593.7246000003,At least one order executed and holdings exist after rebalance.
2023-04-03,normal_ordered,23,000598.XSHE;600017.XSHG;600018.XSHG;600033.XSHG;600035.XSHG;600098.XSHG;600168.XSHG;600283.XSHG;600617.XSHG;600681.XSHG;600717.XSHG;600956.XSHG;601006.XSHG;601077.XSHG;601139.XSHG;601288.XSHG;601298.XSHG;601398.XSHG;601825.XSHG;601880.XSHG;601939.XSHG;601985.XSHG;601988.XSHG,29,13,16,0,0,0,706146.0,706058.0,23,0.008086186858158845,2155909.0837000003,At least one order executed and holdings exist after rebalance.
2023-07-03,normal_ordered,25,000027.XSHE;000421.XSHE;000429.XSHE;000598.XSHE;000669.XSHE;000883.XSHE;002267.XSHE;002807.XSHE;600017.XSHG;600018.XSHG;600020.XSHG;600035.XSHG;600617.XSHG;600635.XSHG;600642.XSHG;600908.XSHG;601006.XSHG;601018.XSHG;601077.XSHG;601228.XSHG;601229.XSHG;601825.XSHG;601985.XSHG;601997.XSHG;603053.XSHG,39,22,17,0,0,0,1506778.0,1474371.0,25,0.007383573851665217,2325405.8055000002,At least one order executed and holdings exist after rebalance.
2023-10-09,normal_ordered,25,000407.XSHE;000421.XSHE;000429.XSHE;000582.XSHE;000598.XSHE;002807.XSHE;003816.XSHE;600008.XSHG;600017.XSHG;600020.XSHG;600033.XSHG;600396.XSHG;600461.XSHG;600617.XSHG;600717.XSHG;600908.XSHG;600917.XSHG;600969.XSHG;601077.XSHG;601166.XSHG;601229.XSHG;601825.XSHG;601880.XSHG;601985.XSHG;603323.XSHG,38,18,20,0,0,0,1184413.0,1155558.0,25,0.0072810932958551145,2331247.0271,At least one order executed and holdings exist after rebalance.
2024-01-02,normal_ordered,27,000027.XSHE;000598.XSHE;000692.XSHE;000791.XSHE;000900.XSHE;000905.XSHE;002039.XSHE;002807.XSHE;002911.XSHE;600008.XSHG;600017.XSHG;600033.XSHG;600333.XSHG;600461.XSHG;600617.XSHG;600717.XSHG;600795.XSHG;601006.XSHG;601018.XSHG;601077.XSHG;601169.XSHG;601229.XSHG;601398.XSHG;601825.XSHG;601991.XSHG;603053.XSHG;603323.XSHG,40,24,16,0,0,0,1286045.0,1287508.0,27,0.007475628285235609,2357568.3043,At least one order executed and holdings exist after rebalance.
