trade_date,code,target_weight,actual_weight,amount,close
2026-07-01,600795.XSHG,0.03553571428145,0.034928648468775456,15200,4.66
2026-07-01,600027.XSHG,0.03553571428145,0.03613580528280813,16000,4.58
2026-07-01,600886.XSHG,0.03553571428145,0.03499521961660814,5300,13.39
2026-07-01,000543.XSHE,0.03553571428145,0.035541596148449726,9300,7.75
2026-07-01,600011.XSHG,0.03553571428145,0.03518211195015323,9400,7.59
2026-07-01,600642.XSHG,0.03553571428145,0.03614813327314752,8100,9.05
2026-07-01,000828.XSHE,0.03553571428145,0.03639025500341306,7600,9.71
2026-07-01,600035.XSHG,0.03553571428145,0.03520874040928631,21000,3.4
2026-07-01,601985.XSHG,0.03553571428145,0.03443750133365432,7900,8.84
2026-07-01,600018.XSHG,0.03553571428145,0.035578580119467886,15000,4.81
2026-07-01,600548.XSHG,0.03553571428145,0.03565106870266348,8700,8.31
2026-07-01,001213.XSHE,0.03553571428145,0.03575314446267359,21200,3.42
2026-07-01,600125.XSHG,0.03553571428145,0.035574142042945706,13900,5.19
2026-07-01,600017.XSHG,0.03553571428145,0.03586508261495521,28300,2.57
2026-07-01,600269.XSHG,0.03553571428145,0.035925243207811416,17900,4.07
2026-07-01,600717.XSHG,0.03553571428145,0.03582563304586918,18300,3.97
2026-07-01,600908.XSHG,0.03553571428145,0.03529996753779776,13900,5.15
2026-07-01,600020.XSHG,0.03553571428145,0.035683121477545876,19400,3.73
2026-07-01,000429.XSHE,0.03553571428145,0.03390098719408424,5100,13.48
2026-07-01,601658.XSHG,0.03553571428145,0.03500754760694753,14400,4.93
2026-07-01,601169.XSHG,0.03553571428145,0.03532215792040866,14500,4.94
2026-07-01,601816.XSHG,0.03553571428145,0.0351485798164301,15700,4.54
2026-07-01,000001.XSHE,0.03553571428145,0.035070666917485185,7000,10.16
2026-07-01,600377.XSHG,0.03553571428145,0.03495330444945423,6100,11.62
2026-07-01,601818.XSHG,0.03553571428145,0.03539859146051285,24500,2.93
2026-07-01,600036.XSHG,0.03553571428145,0.03541585064698799,2000,35.91
2026-07-01,601008.XSHG,0.03553571428145,0.03590009410751907,17800,4.09
2026-07-01,601328.XSHG,0.03553571428145,0.03493259342568406,11000,6.44
