trade_date,code,side,amount,price,value,commission,target_amount,reason
2026-07-01,600795.XSHG,buy,15200,4.65,70680.0,21.203999999999997,15200,
2026-07-01,600027.XSHG,buy,16000,4.42,70720.0,21.215999999999998,16000,
2026-07-01,600886.XSHG,buy,5300,13.25,70225.0,21.0675,5300,
2026-07-01,000543.XSHE,buy,9300,7.57,70401.0,21.120299999999997,9300,
2026-07-01,600011.XSHG,buy,9400,7.54,70876.0,21.2628,9400,
2026-07-01,600642.XSHG,buy,8100,8.75,70875.0,21.2625,8100,
2026-07-01,000828.XSHE,buy,7600,9.35,71060.0,21.317999999999998,7600,
2026-07-01,600035.XSHG,buy,21000,3.37,70770.0,21.230999999999998,21000,
2026-07-01,601985.XSHG,buy,7900,8.97,70863.0,21.258899999999997,7900,
2026-07-01,600018.XSHG,buy,15000,4.72,70800.0,21.24,15000,
2026-07-01,600548.XSHG,buy,8700,8.16,70992.0,21.2976,8700,
2026-07-01,001213.XSHE,buy,21200,3.35,71020.0,21.305999999999997,21200,
2026-07-01,600125.XSHG,buy,13900,5.08,70612.0,21.1836,13900,
2026-07-01,600017.XSHG,buy,28300,2.51,71033.0,21.3099,28300,
2026-07-01,600269.XSHG,buy,17900,3.96,70884.0,21.265199999999997,17900,
2026-07-01,600717.XSHG,buy,18300,3.88,71004.0,21.301199999999998,18300,
2026-07-01,600908.XSHG,buy,13900,5.09,70751.0,21.225299999999997,13900,
2026-07-01,600020.XSHG,buy,19400,3.66,71004.0,21.301199999999998,19400,
2026-07-01,000429.XSHE,buy,5100,13.68,69768.0,20.9304,5100,
2026-07-01,601658.XSHG,buy,14400,4.91,70704.0,21.211199999999998,14400,
2026-07-01,601169.XSHG,buy,14500,4.89,70905.0,21.2715,14500,
2026-07-01,601816.XSHG,buy,15700,4.52,70964.0,21.289199999999997,15700,
2026-07-01,000001.XSHE,buy,7000,10.05,70350.0,21.104999999999997,7000,
2026-07-01,600377.XSHG,buy,6100,11.6,70760.0,21.227999999999998,6100,
2026-07-01,601818.XSHG,buy,24500,2.89,70805.0,21.2415,24500,
2026-07-01,600036.XSHG,buy,2000,35.52,71040.0,21.311999999999998,2000,
2026-07-01,601008.XSHG,buy,17800,3.99,71022.0,21.3066,17800,
2026-07-01,601328.XSHG,buy,11000,6.42,70620.0,21.185999999999996,11000,
