code,name,low_price_to_book,operating_cash_flow_yield,dividend_cash_per_share,close_pre,dividend_yield
000027.XSHE,深圳能源,0.8817,0.04099262313846505,0.16,6.2,0.025806451612903226
000037.XSHE,深南电A,3.0175,-0.003346328915140498,0.032,8.46,0.0037825059101654845
000407.XSHE,胜利股份,1.1069,-0.03221130428242194,0.06,3.89,0.015424164524421594
000421.XSHE,南京公用,1.0905,0.056407781245118964,0.06,5.35,0.011214953271028038
000531.XSHE,穗恒运A,0.8662,0.03503477540411675,0.11,5.78,0.01903114186851211
000539.XSHE,粤电力A,1.2342,0.11371979002876452,0.0,5.48,0.0
000543.XSHE,皖能电力,1.0161,0.09608521729284578,0.0,7.49,0.0
000593.XSHE,德龙汇能,8.7439,0.005809604740251005,0.0,21.56,0.0
000598.XSHE,兴蓉环境,1.0166,0.008448811898788032,0.2352,6.9,0.034086956521739126
000600.XSHE,建投能源,1.156,0.08361070016941774,0.32000000000000006,8.0,0.04000000000000001
000601.XSHE,韶能股份,1.6273,0.006137214167527671,0.0,6.32,0.0
000605.XSHE,渤海股份,0.9473,0.01493238745440135,0.012,5.76,0.0020833333333333333
000631.XSHE,顺发恒能,1.1939,0.0020028468972332018,0.015,2.86,0.005244755244755245
000685.XSHE,中山公用,0.8537,-0.0016396365786222648,0.46699999999999997,11.19,0.041733690795352996
000690.XSHE,宝新能源,0.7763,0.07810902992501034,0.25,4.67,0.05353319057815846
000692.XSHE,惠天热电,10.9755,-0.3730990782688586,0.0,3.82,0.0
000722.XSHE,湖南发展,2.1641,0.0029136869342761213,0.05,12.0,0.004166666666666667
000753.XSHE,漳州发展,1.6111,-0.009175765149190418,0.035,4.47,0.007829977628635349
000767.XSHE,晋控电力,1.7369999999999999,0.01483891852746329,0.0,3.41,0.0
000791.XSHE,甘肃能源,1.5330000000000001,0.05988134531306229,0.22999999999999998,7.35,0.03129251700680272
000875.XSHE,电投绿能,1.0175,0.05240057722268326,0.056999999999999995,4.93,0.011561866125760649
000883.XSHE,湖北能源,0.8675,0.03314093585489585,0.0,4.63,0.0
000899.XSHE,赣能股份,1.4412,0.11270068624353685,0.567,9.83,0.057680569684638854
000958.XSHE,电投产融,2.1861,0.008024525591972744,0.11000000000000001,5.41,0.02033271719038817
000966.XSHE,长源电力,1.0452,0.013297705804010131,0.0,4.04,0.0
000993.XSHE,闽东电力,1.7457,-0.007418208574429185,0.0,9.71,0.0
001210.XSHE,金房能源,3.0928,-0.028442211393043555,0.45,20.77,0.021665864227250843
001286.XSHE,陕西能源,1.4186,0.03553549727205128,0.41,10.4,0.03942307692307692
001299.XSHE,美能能源,2.5808,0.004479124125192278,0.65,10.2,0.06372549019607844
001376.XSHE,百通能源,3.5932,0.006686374693428099,0.15000000000000002,9.97,0.015045135406218657
001896.XSHE,豫能控股,6.4016,0.028833881746201193,0.0,14.95,0.0
