code,dividend_yield,dividend_cash_per_share,close_pre,operating_cash_flow_yield,target_weight,pb_ratio,pe_ratio,market_cap,roe,roa,inc_revenue_year_on_year,inc_net_profit_year_on_year,gross_profit_margin,net_profit_margin,ocf_to_revenue,net_operate_cash_flow,total_liability,total_assets,name,asset_liability_ratio
600803.XSHG,0.1330472103004291,2.17,16.31,0.0001871573979853,0.0995,2.0868,11.5811,504.9226,2.68,1.28,-7.65,-3.62,12.37,5.63,0.03,9450000.0,75195630000.0,139121410000.0,新奥股份,0.5405036507321195
001299.XSHE,0.0637254901960784,0.65,10.2,0.0044791241251922,0.0995,2.5808,30.9141,32.0499,2.26,1.62,-9.98,5.61,19.49,12.57,6.51,14355548.03,458176293.42,1700021729.4,美能能源,0.26951202181498424
600575.XSHG,0.0597484276729559,0.19,3.18,0.0358719399944713,0.0995,1.0214,14.6515,227.90400000000002,1.46,0.86,35.45,49.78,9.5,4.52,8.39,817535861.25,25497538776.11,51640873027.64,淮河能源,0.49374724479314724
605368.XSHG,0.0594353640416047,0.4,6.73,0.0233396052500259,0.0995,1.4484,20.3963,48.095,2.58,1.46,-12.3,-34.86,14.58,7.06,9.17,112251831.45,2474292839.86,5912906140.39,蓝天燃气,0.4184563023854801
600011.XSHG,0.0579710144927536,0.4,6.9,0.114818439275001,0.0995,1.5461,7.781000000000001,1083.1684,3.24,1.06,-5.89,-6.5,19.52,11.46,21.9,12436770516.0,407690988572.0,614698358430.0,华能国际,0.6632374773430059
000899.XSHE,0.0576805696846388,0.567,9.83,0.1127006862435368,0.0995,1.4412,9.443,95.9091,3.08,1.18,52.44,35.98,17.49,11.36,48.24,1080902138.7,13484870104.74,21292808810.63,赣能股份,0.6333063065877881
600098.XSHG,0.0558213716108452,0.35,6.27,0.0274317577351596,0.0995,0.7912,9.1493,219.8177,1.95,0.69,7.81,20.26,8.28,4.91,5.16,602998589.23,53256444008.1,84163831513.6,广州发展,0.6327711446869467
600642.XSHG,0.0554216867469879,0.4599999999999999,8.3,0.058624678433199,0.0995,1.0659,10.7164,406.2086,1.87,0.96,-7.08,-15.32,19.68,15.7,34.93,2381384855.18,60733682247.41,112191400740.42,申能股份,0.5413399052564735
000690.XSHE,0.0535331905781584,0.25,4.67,0.0781090299250103,0.0995,0.7763,9.82,101.61399999999999,2.4,1.42,5.98,3.43,23.4,14.76,37.83,793697096.68,8833871715.43,21923356532.83,宝新能源,0.4029433951959577
600475.XSHG,0.0526711813393529,0.7,13.29,-0.0154752988143045,0.0995,1.4671,33.9111,127.0478,1.35,0.62,-6.39,-8.51,23.26,9.12,-10.69,-196610266.87,16181083716.54,26863620475.72,华光环能,0.6023418820692789
