code,name,low_price_to_book,operating_cash_flow_yield,dividend_cash_per_share,close_pre,dividend_yield,target_weight
600803.XSHG,新奥股份,2.0868,0.00018715739798535458,2.17,16.31,0.13304721030042918,0.0995
001299.XSHE,美能能源,2.5808,0.004479124125192278,0.65,10.2,0.06372549019607844,0.0995
600575.XSHG,淮河能源,1.0214,0.03587193999447135,0.19,3.18,0.059748427672955975,0.0995
605368.XSHG,蓝天燃气,1.4484,0.023339605250025992,0.4,6.73,0.05943536404160475,0.0995
600011.XSHG,华能国际,1.5461,0.114818439275001,0.4,6.9,0.057971014492753624,0.0995
000899.XSHE,赣能股份,1.4412,0.11270068624353685,0.567,9.83,0.057680569684638854,0.0995
600098.XSHG,广州发展,0.7912,0.027431757735159636,0.35,6.27,0.05582137161084529,0.0995
600642.XSHG,申能股份,1.0659,0.058624678433199094,0.45999999999999996,8.3,0.05542168674698794,0.0995
000690.XSHE,宝新能源,0.7763,0.07810902992501034,0.25,4.67,0.05353319057815846,0.0995
600475.XSHG,华光环能,1.4671,-0.015475298814304537,0.7,13.29,0.0526711813393529,0.0995
