trade_date,strategy_return,benchmark_return,excess_return,strategy_nav,benchmark_nav,excess_nav,portfolio_value,cash,invested_value,cash_weight,selected_count,holding_count,buy_turnover,sell_turnover,commission,dividend_cash,corporate_action_share_value,benchmark_constituent_count,rebalance
2021-05-06,0.007683820743749958,0.0,0.007683820743749958,1.00768382074375,1.0,1.00768382074375,2015367.6414875,16126.641487499975,1999241.0,0.00800183606976901,28,28,1983278.375,0.0,594.9835125000001,0.0,0.0,0,1
2021-05-07,0.009430041253402743,0.006567782631933932,0.0028622586214688116,1.01718632074375,1.006567782631934,1.0105680724473884,2034372.6414875,16126.641487499975,2018246.0,0.007927083346789623,0,28,0.0,0.0,0.0,0.0,0.0,189,0
2021-05-10,0.001975056053183044,0.00843690517418576,-0.006461849121002715,1.0191953207437499,1.01506009956539,1.004037934036731,2038390.6414875,16126.641487499975,2022264.0,0.00791145777422314,0,28,0.0,0.0,0.0,0.0,0.0,189,0
2021-05-11,0.005304184477667118,0.009037357429505745,-0.003733172951838627,1.0246013207437499,1.024233560497592,1.0002896867787652,2049202.6414875,16126.641487499975,2033076.0,0.007869715352208298,0,28,0.0,0.0,0.0,0.0,0.0,189,0
2021-05-12,0.003527225591878569,0.001384784026484567,0.0021424415653940017,1.0282153207437499,1.0256519027715587,1.0024327489811549,2056430.6414875,16126.641487499975,2040304.0,0.007842054656331575,0,28,0.0,0.0,0.0,0.0,0.0,189,0
2021-05-13,-0.0060036063220053615,-0.008576488132017071,0.0025728818100117096,1.02204232074375,1.0168554113998578,1.0050118899667686,2044084.6414875,16126.641487499975,2027958.0,0.007889419625874427,0,28,0.0,0.0,0.0,0.0,0.0,189,0
2021-05-14,0.00658681139064865,0.010856936494306217,-0.0042701251036575665,1.0287743207437499,1.0278953460253177,1.0007203634659472,2057548.6414875,16126.641487499975,2041422.0,0.007837793557989112,0,28,0.0,0.0,0.0,0.0,0.0,189,0
2021-05-17,-0.0037301669789208125,-0.005937390007527523,0.0022072230286067102,1.02493682074375,1.0217923304690428,1.0029291764973849,2049873.6414875,16126.641487499975,2033747.0,0.007867139301229127,0,28,0.0,0.0,0.0,0.0,0.0,189,0
2021-05-18,0.00028196859957696496,0.003984742210484651,-0.003702773610907686,1.02522582074375,1.0258639094986122,0.9992155568090411,2050451.6414875,20366.641487499975,2030085.0,0.009932758751981586,0,28,0.0,0.0,0.0,4240.0,0.0,189,0
2021-05-19,-0.008128940796627737,0.0007001737477340388,-0.008829114544361775,1.0168918207437498,1.026582192476791,0.9903933682034658,2033783.6414875,20366.641487499975,2013417.0,0.010014163292514196,0,28,0.0,0.0,0.0,0.0,0.0,189,0
2021-05-20,-0.002896571631233802,-0.0033327169933113645,0.00043614536207756257,1.0139463207437498,1.0231608845588929,0.9908253236776401,2027892.6414875,20366.641487499975,2007526.0,0.010043254297999047,0,28,0.0,0.0,0.0,0.0,0.0,189,0
2021-05-21,0.002153467057702141,0.01195083833781372,-0.009797371280111579,1.0161298207437497,1.0353885148838307,0.9811178401078335,2032259.6414875,20366.641487499975,2011893.0,0.010021672955426471,0,28,0.0,0.0,0.0,0.0,0.0,189,0
2021-05-24,0.003252045095557987,0.0013669768542167574,0.0018850682413412297,1.0194343207437495,1.036803867018799,0.982967314189234,2038868.6414875,21392.641487499975,2017476.0,0.010492407922803952,0,28,0.0,0.0,0.0,1026.0,0.0,189,0
2021-05-25,0.0038393841764563508,0.003762238777397173,7.714539905917788e-05,1.0233483207437495,1.0407045707318525,0.9830431455949492,2046696.6414875,21392.641487499975,2025304.0,0.01045227761352665,0,28,0.0,0.0,0.0,0.0,0.0,189,0
2021-05-26,0.0021864500626471717,0.004752295698827732,-0.0025658456361805602,1.0255858207437496,1.045650306587092,0.9805208086296472,2051171.6414875,21392.641487499975,2029779.0,0.010429474089250832,0,28,0.0,0.0,0.0,0.0,0.0,190,0
2021-05-27,0.0003476062098259902,0.0010463475208304003,-0.0006987413110044101,1.0259423207437497,1.046744420193045,0.9798356782343581,2051884.6414875,21392.641487499975,2030492.0,0.010425849999048447,0,28,0.0,0.0,0.0,0.0,0.0,190,0
2021-05-28,-0.004458827662634834,-0.004705700748875771,0.00024687308624093615,1.0213678207437498,1.041818754191061,0.9800775732922528,2042735.6414875,21392.641487499975,2021343.0,0.010472545273612627,0,28,0.0,0.0,0.0,0.0,0.0,190,0
2021-05-31,-0.004330956889535442,0.0029665301752143758,-0.007297487064749818,1.0169443207437499,1.0449093409624732,0.9729254698787011,2033888.6414875,21392.641487499975,2012496.0,0.010518098705666749,0,28,0.0,0.0,0.0,0.0,0.0,190,0
2021-06-01,0.0004951106857371546,-0.0028304022703879712,0.0033255129561251258,1.0174478207437498,1.0419518271914634,0.9761609461341269,2034895.6414875,21392.641487499975,2013503.0,0.010512893659677823,0,28,0.0,0.0,0.0,0.0,0.0,190,0
2021-06-02,0.00348813956612104,0.003963121823956535,-0.0004749822578354948,1.0209968207437496,1.0460812092173173,0.9756972870039212,2041993.6414875,21392.641487499975,2020601.0,0.01047635068634024,0,28,0.0,0.0,0.0,0.0,0.0,190,0
2021-06-03,0.007066133658226725,-0.00028772327352083807,0.007353856931747563,1.0282113207437495,1.0457802273074326,0.9828724252612422,2056422.6414875,21392.641487499975,2035030.0,0.010402842808628944,0,28,0.0,0.0,0.0,0.0,0.0,190,0
2021-06-04,-0.005867626506617318,-0.007429571035968384,0.0015619445293510656,1.0221781607437495,1.0380105288206407,0.984407617468929,2044356.3214874999,25556.321487499976,2018800.0,0.012500913475252137,0,28,0.0,0.0,0.0,4163.68,0.0,190,0
2021-06-07,0.0004681180036676391,-0.0014527984097543938,0.0019209164134220329,1.0226566607437495,1.0365025087750617,0.9862985822188227,2045313.3214874999,25556.321487499976,2019757.0,0.012495064310691317,0,28,0.0,0.0,0.0,0.0,0.0,190,0
2021-06-08,-0.0008663709278103893,0.000885460146265683,-0.0017518310740760722,1.0217706607437496,1.0374202904380865,0.9845707537141746,2043541.3214874999,25556.321487499976,2017985.0,0.012505899058061352,0,28,0.0,0.0,0.0,0.0,0.0,190,0
2021-06-09,0.0007801163515694931,0.001543783476063974,-0.0007636671244944809,1.0225677607437498,1.0390218427401983,0.9838188693978243,2045135.5214875,26883.521487499977,2018252.0,0.013145105155645936,0,28,0.0,0.0,0.0,1327.2,0.0,190,0
2021-06-10,-0.0037161351510203167,-0.003928665835488322,0.00021253068446800555,1.0187677607437498,1.0349398731242987,0.9840279610955299,2037535.5214875,26883.521487499977,2010652.0,0.013194136349521749,0,28,0.0,0.0,0.0,0.0,0.0,190,0
2021-06-11,-0.0013069710794813005,0.0017240083166774577,-0.003030979396158758,1.0174362607437497,1.036724118072826,0.9810453926202053,2034872.5214875,26883.521487499977,2007989.0,0.013211403271516986,0,28,0.0,0.0,0.0,0.0,0.0,190,0
2021-06-15,-0.010466405032798498,-0.015179779282126098,0.0047133742493276,1.0067873607437496,1.0209868747840236,0.9856694267112027,2013574.7214875,28294.721487499977,1985280.0,0.014051984853384358,0,28,0.0,0.0,0.0,1411.1999999999998,0.0,190,0
2021-06-16,-0.0027503325011494217,-0.00937820986862355,0.006627877367474128,1.0040183607437496,1.011411845599189,0.9922023227963132,2008036.7214875,28294.721487499977,1979742.0,0.014090739071016592,0,28,0.0,0.0,0.0,0.0,0.0,190,0
2021-06-17,-0.0017781666847980215,-0.00012052446374068339,-0.0016576422210573382,1.0022330487437496,1.011289945728877,0.9905576063342149,2004466.0974875,31582.097487499977,1972884.0,0.015755865128917166,0,28,0.0,0.0,0.0,3287.3759999999997,0.0,190,0
2021-06-18,-0.003391426778692308,0.0005795276531136729,-0.003970954431805981,0.9988340487437496,1.011876016217743,0.9866241472173829,1997668.0974875,31582.097487499977,1966086.0,0.015809481828949114,0,28,0.0,0.0,0.0,0.0,0.0,190,0
2021-06-21,-0.0012459527201392762,0.005339716915809161,-0.006585669635948437,0.9975895487437496,1.0172791476982423,0.9801265665289599,1995179.0974875,31582.097487499977,1963597.0,0.015829204269065797,0,28,0.0,0.0,0.0,0.0,0.0,191,0
2021-06-22,0.006281641590863973,0.009346755584090006,-0.003065113993226032,1.0038560487437496,1.0267874072525693,0.9771223668747594,2007712.0974875,31582.097487499977,1976130.0,0.015730391587032117,0,28,0.0,0.0,0.0,0.0,0.0,191,0
2021-06-23,0.005128894731912137,0.0026707586099693364,0.0024581361219428006,1.0090047207437496,1.029529708561097,0.9795242666603325,2018009.4414875,32812.241487499974,1985197.2,0.016259706626205704,0,28,0.0,0.0,0.0,1230.144,11741.2,191,0
2021-06-24,0.004506718260592679,0.0008470589717028917,0.0036596592888897875,1.0135520207437496,1.0304017809373684,0.983108991741509,2027104.0414875,32812.241487499974,1994291.8,0.016186757470732567,0,28,0.0,0.0,0.0,0.0,0.0,191,0
2021-06-25,0.0026705881342070636,0.004624248073486207,-0.001953659939279143,1.0162588007437494,1.0351666143877847,0.9811883310883985,2032517.6014875,39312.40148749997,1993205.2,0.01934172745108291,0,28,0.0,0.0,0.0,6500.16,0.0,191,0
2021-06-28,-0.0018105624262770847,0.00043156675357611653,-0.002242129179853201,1.0144188007437493,1.0356133578829665,0.9789883801003337,2028837.6014875,41416.40148749997,1987421.2,0.02041385740146691,0,28,0.0,0.0,0.0,2104.0,0.0,192,0
2021-06-29,-0.008344009391184515,-0.012471942059988656,0.004127932668804141,1.0059544807437493,1.0226972480868999,0.9830295782169296,2011908.9614875,44453.36148749997,1967455.6,0.02209511580217501,0,28,0.0,0.0,0.0,3036.96,0.0,192,0
2021-06-30,0.0005765668438308946,-0.0015072141220929035,0.002083780965923798,1.0065344807437493,1.0211558243519578,0.9850779965409581,2013068.9614875,44453.36148749997,1968615.6,0.02208238383182483,0,28,0.0,0.0,0.0,0.0,0.0,192,0
2021-07-01,-0.002112879415147817,-0.008870418244343205,0.006757538829195388,1.0044077947587493,1.012097745097309,0.9917346993523696,2008815.5895175,15760.58951749999,1993055.0,0.007845712468452889,28,28,468652.5,440319.65,359.92197,0.0,0.0,193,1
2021-07-02,-0.0017359682084294725,-0.005498335831906993,0.0037623676234775204,1.0026641747587495,1.0065328918000482,0.9954659698762921,2005328.3495175,17286.349517499988,1988042.0,0.008620209015475814,0,28,0.0,0.0,0.0,1525.76,0.0,193,0
2021-07-05,0.0028090162897040916,0.002221774463715676,0.0005872418259884158,1.0054806747587495,1.0087691808759394,0.9960505491301517,2010961.3495175,17286.349517499988,1993675.0,0.008596062535785478,0,28,0.0,0.0,0.0,0.0,0.0,193,0
2021-07-06,0.005418125018968656,0.010467803725137113,-0.005049678706168457,1.0109284947587494,1.019328778665316,0.9910208138819417,2021856.9895175,22974.989517499987,1998882.0,0.011363310875406072,0,28,0.0,0.0,0.0,5688.639999999999,0.0,193,0
2021-07-07,-0.003408351844728874,-0.0013419965838313327,-0.002066355260897541,1.0074828947587493,1.017960842926546,0.9889730128095179,2014965.7895175,26363.789517499987,1988602.0,0.013083988648667336,0,28,0.0,0.0,0.0,3388.8,0.0,193,0
2021-07-08,-0.007357941299613979,-0.006512740938483221,-0.0008452003611307581,1.0000698947587492,1.0113311276710455,0.9881371324619427,2000139.7895175,32219.789517499987,1967920.0,0.016108768840238145,0,28,0.0,0.0,0.0,5856.0,0.0,194,0
2021-07-09,0.0009134361556002446,0.005410956593943054,-0.00449752043834281,1.0009833947587492,1.016803396504977,0.9836929655128096,2001966.7895175,32219.789517499987,1969747.0,0.016094067936694084,0,28,0.0,0.0,0.0,0.0,0.0,194,0
2021-07-12,-0.002345193748759189,-7.624253342375096e-05,-0.002268951215335438,0.9986358947587493,1.0167258728380335,0.9814610141631924,1997271.7895175,32219.789517499987,1965052.0,0.016131900368594115,0,28,0.0,0.0,0.0,0.0,0.0,194,0
2021-07-13,0.0019046982088095632,0.013408905561570995,-0.011504207352761432,1.0005379947587492,1.0303590540489245,0.9701700831476074,2001075.9895175,35896.989517499984,1965179.0,0.017938843754831856,0,28,0.0,0.0,0.0,3677.2,0.0,195,0
2021-07-14,-0.004143750683850533,-0.0032815407601069304,-0.0008622099237436029,0.9963920147587492,1.0269778888155177,0.9693335928741984,1992784.0295175,37264.029517499985,1955520.0,0.018699482214599283,0,28,0.0,0.0,0.0,1367.04,0.0,195,0
2021-07-15,-0.0009756601674847376,-0.0014335993640490435,0.00045793919656430594,0.9954198747587492,1.0255056139672192,0.969777488720922,1990839.7495175,39568.749517499986,1951271.0,0.019875406610245686,0,28,0.0,0.0,0.0,2304.7200000000003,0.0,195,0
2021-07-16,-0.0006248619459710003,-0.0008000573710853475,0.0001751954251143472,0.9947978747587491,1.0246851506416752,0.9699473893003248,1989595.7495175,43072.749517499986,1946523.0,0.02164899554492194,0,28,0.0,0.0,0.0,3504.0,0.0,195,0
2021-07-19,-0.003183561284515246,-0.006873582189077468,0.0036900209045622216,0.9916308747587491,1.0176418930408124,0.9735265154431686,1983261.7495175,43072.749517499986,1940189.0,0.021718136563657817,0,28,0.0,0.0,0.0,0.0,0.0,195,0
2021-07-20,-0.0020420905112426,-0.006324016678103279,0.004281926166860679,0.9896058747587491,1.0112063087368859,0.9776950841037775,1979211.7495175,43072.749517499986,1936139.0,0.021762577717114113,0,28,0.0,0.0,0.0,0.0,0.0,195,0
2021-07-21,-0.0005609303806278776,0.000542952454533974,-0.0011038828351618516,0.989050774758749,1.0117553456842547,0.9766158232824133,1978101.5495175,44349.54951749999,1933752.0,0.02242025922699356,0,28,0.0,0.0,0.0,1276.8,0.0,195,0
2021-07-22,0.0037530934657075132,0.003074379210404084,0.0006787142553034294,0.9927627747587491,1.0148658652850415,0.97727866636363,1985525.5495175,44349.54951749999,1941176.0,0.022336428523056433,0,28,0.0,0.0,0.0,0.0,0.0,195,0
2021-07-23,-0.001837800576722226,-0.009358732872976954,0.007520932296254728,0.9909382747587491,1.0053680067499362,0.9846287130479251,1981876.5495175,48509.54951749999,1933367.0,0.02447657475401782,0,28,0.0,0.0,0.0,4160.0,0.0,195,0
2021-07-26,-0.010604091362358847,-0.013383122468496806,0.002779031106137959,0.980430274758749,0.9919130435896932,0.9873650268694819,1960860.5495175,48509.54951749999,1912351.0,0.02473890839888462,0,28,0.0,0.0,0.0,0.0,0.0,195,0
2021-07-27,-0.009277049305967289,-0.014197959837544724,0.004920910531577435,0.9713347747587491,0.9778299020344701,0.9922237618287153,1942669.5495175,48509.54951749999,1894160.0,0.024970561529390464,0,28,0.0,0.0,0.0,0.0,0.0,195,0
