trade_date,code,side,amount,price,value,commission,target_amount,reason
2021-05-06,000429.XSHE,buy,9700,7.3,70810.0,21.243,9700,
2021-05-06,000755.XSHE,buy,21000,3.37125,70796.25,21.238874999999997,21000,
2021-05-06,000900.XSHE,buy,16700,4.237500000000001,70766.25000000001,21.229875000000003,16700,
2021-05-06,001872.XSHE,buy,4800,14.7225,70668.0,21.2004,4800,
2021-05-06,002039.XSHE,buy,4900,14.33625,70247.625,21.074287499999997,4900,
2021-05-06,600011.XSHG,buy,16700,4.2475000000000005,70933.25000000001,21.279975000000004,16700,
2021-05-06,600017.XSHG,buy,26000,2.7325,71045.0,21.313499999999998,26000,
2021-05-06,600018.XSHG,buy,15200,4.65625,70775.0,21.232499999999998,15200,
2021-05-06,600027.XSHG,buy,20900,3.385,70746.5,21.22395,20900,
2021-05-06,600033.XSHG,buy,26300,2.695,70878.5,21.26355,26300,
2021-05-06,600035.XSHG,buy,23700,2.9987500000000002,71070.375,21.321112499999998,23700,
2021-05-06,600106.XSHG,buy,27100,2.62125,71035.875,21.3107625,27100,
2021-05-06,600168.XSHG,buy,10600,6.661250000000001,70609.25000000001,21.182775000000003,10600,
2021-05-06,600310.XSHG,buy,17100,4.1475,70922.25,21.276674999999997,17100,
2021-05-06,600368.XSHG,buy,19200,3.6950000000000003,70944.0,21.283199999999997,19200,
2021-05-06,600717.XSHG,buy,14900,4.74125,70644.625,21.193387499999996,14900,
2021-05-06,600795.XSHG,buy,31300,2.26625,70933.625,21.280087499999997,31300,
2021-05-06,601000.XSHG,buy,26500,2.6774999999999998,70953.75,21.286125,26500,
2021-05-06,601006.XSHG,buy,10300,6.865,70709.5,21.21285,10300,
2021-05-06,601077.XSHG,buy,17100,4.145,70879.49999999999,21.263849999999994,17100,
2021-05-06,601169.XSHG,buy,14800,4.77375,70651.5,21.195449999999997,14800,
2021-05-06,601229.XSHG,buy,8600,8.1775,70326.5,21.097949999999997,8600,
2021-05-06,601288.XSHG,buy,22200,3.20125,71067.75,21.320324999999997,22200,
2021-05-06,601326.XSHG,buy,26600,2.67125,71055.25,21.316574999999997,26600,
2021-05-06,601328.XSHG,buy,14700,4.81375,70762.125,21.228637499999998,14700,
2021-05-06,601398.XSHG,buy,13900,5.11125,71046.375,21.313912499999997,13900,
2021-05-06,601985.XSHG,buy,13700,5.1775,70931.75,21.279525,13700,
2021-05-06,601988.XSHG,buy,21800,3.26,71068.0,21.3204,21800,
2021-07-01,601985.XSHG,sell,13700,5.11625,70092.625,21.0277875,0,
2021-07-01,600168.XSHG,sell,10600,6.62875,70264.75,21.079424999999997,0,
2021-07-01,600027.XSHG,sell,100,3.44125,344.125,5.0,20800,
2021-07-01,001872.XSHE,sell,600,16.89875,10139.25,5.0,4200,
2021-07-01,002039.XSHE,sell,4900,14.40375,70578.375,21.173512499999998,0,
2021-07-01,600018.XSHG,sell,300,4.7775,1433.25,5.0,14900,
2021-07-01,600106.XSHG,sell,27100,2.5175,68224.25,20.467274999999997,0,
2021-07-01,600795.XSHG,sell,1900,2.43375,4624.125,5.0,29400,
2021-07-01,601398.XSHG,sell,100,5.18125,518.125,5.0,13800,
2021-07-01,601169.XSHG,sell,200,4.88125,976.2499999999999,5.0,14600,
2021-07-01,601328.XSHG,sell,200,4.90875,981.7500000000001,5.0,14500,
2021-07-01,600310.XSHG,sell,17100,4.21625,72097.875,21.6293625,0,
2021-07-01,600717.XSHG,sell,17880,3.9175,70044.9,21.013469999999998,0,
2021-07-01,000429.XSHE,buy,200,7.202500000000001,1440.5,5.0,9900,
