trade_date,strategy_return,benchmark_return,excess_return,strategy_nav,benchmark_nav,excess_nav,portfolio_value,cash,invested_value,cash_weight,selected_count,holding_count,buy_turnover,sell_turnover,commission,dividend_cash,corporate_action_share_value,benchmark_constituent_count,rebalance
2021-05-06,-0.00029745989999985234,0.0,-0.00029745989999985234,0.9997025401000001,1.0,0.9997025401000001,1999405.0802000002,16339.080200000113,1983066.0,0.008171970933656784,28,28,1983066.0,0.0,594.9197999999999,0.0,0.0,0,1
2021-05-07,0.009409298889106577,0.006567782631933932,0.002841516257172645,1.0091090401,1.006567782631934,1.0025432111200312,2018218.0802000002,16339.080200000113,2001879.0,0.008095795177090552,0,28,0.0,0.0,0.0,0.0,0.0,189,0
2021-05-10,0.0019819463710302188,0.00843690517418576,-0.0064549588031555406,1.0111090401,1.01506009956539,0.9960718359938682,2022218.0802000002,16339.080200000113,2005879.0,0.00807978148350061,0,28,0.0,0.0,0.0,0.0,0.0,189,0
2021-05-11,0.005304571304663108,0.009037357429505745,-0.0037327861248426363,1.0164725400999999,1.024233560497592,0.9923537128651237,2032945.0802000002,16339.080200000113,2016606.0,0.008037147859593276,0,28,0.0,0.0,0.0,0.0,0.0,189,0
2021-05-12,0.0035244434637138333,0.001384784026484567,0.002139659437229266,1.0200550401,1.0256519027715587,0.994477011851925,2040110.0802000002,16339.080200000113,2023771.0,0.008008920870778858,0,28,0.0,0.0,0.0,0.0,0.0,189,0
2021-05-13,-0.005997225404033357,-0.008576488132017071,0.002579262727983714,1.0139375401,1.0168554113998578,0.9970420293424314,2027875.0802000002,16339.080200000113,2011536.0,0.008057241966989733,0,28,0.0,0.0,0.0,0.0,0.0,189,0
2021-05-14,0.00656647942963362,0.010856936494306217,-0.004290457064672596,1.0205955401,1.0278953460253177,0.9927642633238637,2041191.0802000002,16339.080200000113,2024852.0,0.00800467940434032,0,28,0.0,0.0,0.0,0.0,0.0,189,0
2021-05-17,-0.003734584220921211,-0.005937390007527523,0.0022028057866063117,1.0167840401,1.0217923304690428,0.9949511301878495,2033568.0802000002,16339.080200000113,2017229.0,0.008034685614456132,0,28,0.0,0.0,0.0,0.0,0.0,189,0
2021-05-18,0.0002714440718136757,0.003984742210484651,-0.003713298138670975,1.0170600400999998,1.0258639094986122,0.9912565800080544,2034120.0802000002,20499.080200000113,2013621.0,0.010077615574191956,0,28,0.0,0.0,0.0,4160.0,0.0,189,0
2021-05-19,-0.008110632287931518,0.0007001737477340388,-0.008810806035665556,1.0088110401,1.026582192476791,0.9825228105500262,2017622.0802000002,20499.080200000113,1997123.0,0.010160019758491198,0,28,0.0,0.0,0.0,0.0,0.0,189,0
