trade_date,code,amount,net_cash_per_share,dividend_cash
2021-05-18,601000.XSHG,26000,0.16,4160.0
2021-05-24,600310.XSHG,16900,0.06,1014.0
2021-06-04,601988.XSHG,21800,0.1576,3435.68
2021-06-04,600017.XSHG,25800,0.028,722.4
2021-06-09,600035.XSHG,23200,0.056,1299.2
2021-06-15,002039.XSHE,4800,0.288,1382.3999999999999
2021-06-17,601288.XSHG,22100,0.14808,3272.5679999999998
2021-06-23,600717.XSHG,17880,0.0688,1230.144
2021-06-25,600168.XSHG,10500,0.0864,907.2
2021-06-25,000900.XSHE,16500,0.128,2112.0
2021-06-25,600106.XSHG,27000,0.0416,1123.2
2021-06-25,600368.XSHG,18700,0.1208,2258.96
2021-06-28,600033.XSHG,26000,0.08,2080.0
2021-06-29,601077.XSHG,17000,0.1776,3019.2000000000003
2021-07-02,600018.XSHG,14800,0.1024,1515.52
2021-07-06,601229.XSHG,8600,0.32,2752.0
2021-07-06,601398.XSHG,13400,0.2128,2851.52
2021-07-07,600011.XSHG,16800,0.144,2419.2
2021-07-07,600795.XSHG,29600,0.032,947.2
2021-07-08,003816.XSHE,26500,0.064,1696.0
2021-07-08,601006.XSHG,10700,0.384,4108.8
2021-07-13,601328.XSHG,14400,0.2536,3651.8399999999997
2021-07-14,601326.XSHG,26600,0.0512,1361.92
2021-07-15,000429.XSHE,9800,0.2328,2281.44
2021-07-16,601169.XSHG,14400,0.24,3456.0
2021-07-21,001872.XSHE,4200,0.304,1276.8
2021-07-23,600027.XSHG,20500,0.2,4100.0
2021-07-30,002267.XSHE,10300,0.16,1648.0
2021-08-10,600350.XSHG,11500,0.304,3496.0
2021-08-27,601991.XSHG,27400,0.0728,1994.72
2022-04-25,600681.XSHG,16100,0.2,3220.0
2022-05-13,002807.XSHE,18200,0.144,2620.7999999999997
2022-05-17,001872.XSHE,5200,0.344,1788.8
2022-05-20,000582.XSHE,10800,0.1472,1589.76
2022-05-27,601228.XSHG,25100,0.0456,1144.56
2022-06-15,600350.XSHG,15200,0.32,4864.0
2022-06-21,002267.XSHE,13200,0.24,3168.0
2022-06-23,600717.XSHG,18500,0.0808,1494.8
2022-06-29,601077.XSHG,20700,0.202,4181.400000000001
2022-06-29,600033.XSHG,28400,0.12,3408.0
2022-06-30,000421.XSHE,16500,0.08,1320.0
2022-07-07,003816.XSHE,30200,0.0672,2029.4399999999998
2022-07-07,000429.XSHE,10200,0.456,4651.2
2022-07-07,601006.XSHG,12800,0.384,4915.2
2022-07-08,601939.XSHG,13900,0.2912,4047.6800000000003
2022-07-12,601398.XSHG,17700,0.23464,4153.128
2022-07-15,601169.XSHG,18600,0.244,4538.4
2022-07-15,601288.XSHG,28100,0.16544,4648.8640000000005
2022-07-15,601988.XSHG,26000,0.1768,4596.8
2022-07-15,000883.XSHE,16300,0.12,1956.0
2022-07-15,601985.XSHG,12100,0.12,1452.0
2022-07-19,601326.XSHG,30000,0.0448,1344.0
2022-07-20,600012.XSHG,11200,0.44,4928.0
2022-07-29,600886.XSHG,7900,0.1308,1033.32
2022-08-26,601298.XSHG,15400,0.20512,3158.848
2023-04-25,600681.XSHG,20900,0.12,2508.0
2023-05-31,600017.XSHG,32100,0.032,1027.2
2023-06-15,600350.XSHG,14600,0.32,4672.0
2023-06-16,600035.XSHG,25900,0.112,2900.8
2023-06-19,600956.XSHG,9700,0.1544,1497.68
2023-06-20,600717.XSHG,22200,0.0616,1367.52
2023-06-28,601825.XSHG,15700,0.2736,4295.52
2023-06-28,600098.XSHG,15300,0.16,2448.0
2023-06-28,001872.XSHE,5400,0.36,1944.0
2023-06-29,601077.XSHG,24800,0.21712,5384.576
2023-07-05,601880.XSHG,62200,0.01392,865.824
2023-07-06,600908.XSHG,18200,0.16,2912.0
2023-07-13,601006.XSHG,13000,0.384,4992.0
2023-07-14,002267.XSHE,12200,0.24,2928.0
2023-07-14,601985.XSHG,13700,0.136,1863.2
2023-07-14,000429.XSHE,12500,0.3424,4280.0
2023-07-19,600012.XSHG,9300,0.44,4092.0
2023-07-26,600377.XSHG,9900,0.368,3643.2
2023-07-28,600033.XSHG,31000,0.12,3720.0
2023-08-11,600018.XSHG,18500,0.112,2072.0
2023-08-16,000883.XSHE,21100,0.048,1012.8000000000001
2024-05-10,002807.XSHE,27000,0.152,4104.0
2024-05-14,000690.XSHE,20500,0.24,4920.0
2024-05-15,600018.XSHG,19300,0.1376,2655.68
2024-05-28,600020.XSHG,27900,0.1192,3325.68
2024-06-07,603323.XSHG,22700,0.144,3268.7999999999997
2024-06-07,600035.XSHG,24000,0.152,3648.0
2024-06-13,000900.XSHE,27800,0.12,3336.0
2024-06-14,601187.XSHG,19700,0.248,4885.6
2024-06-14,600017.XSHG,37500,0.052,1950.0
2024-06-18,000027.XSHE,14500,0.112,1624.0
2024-06-20,600717.XSHG,23800,0.0816,1942.0800000000002
2024-06-25,600350.XSHG,12700,0.336,4267.2
2024-06-27,601229.XSHG,15300,0.368,5630.4
