trade_date,code,side,amount,price,value,commission,target_amount,reason
2021-05-06,000429.XSHE,buy,9800,7.23,70854.0,21.2562,9800,
2021-05-06,000755.XSHE,buy,21000,3.38,70980.0,21.293999999999997,21000,
2021-05-06,000900.XSHE,buy,16500,4.29,70785.0,21.2355,16500,
2021-05-06,001872.XSHE,buy,4700,14.81,69607.0,20.882099999999998,4700,
2021-05-06,002039.XSHE,buy,4800,14.52,69696.0,20.9088,4800,
2021-05-06,600011.XSHG,buy,16800,4.23,71064.0,21.3192,16800,
2021-05-06,600017.XSHG,buy,25800,2.75,70950.0,21.284999999999997,25800,
2021-05-06,600018.XSHG,buy,15100,4.7,70970.0,21.290999999999997,15100,
2021-05-06,600027.XSHG,buy,20700,3.42,70794.0,21.2382,20700,
2021-05-06,600033.XSHG,buy,26000,2.73,70980.0,21.293999999999997,26000,
2021-05-06,600035.XSHG,buy,23200,3.06,70992.0,21.2976,23200,
2021-05-06,600106.XSHG,buy,27000,2.63,71010.0,21.302999999999997,27000,
2021-05-06,600168.XSHG,buy,10500,6.74,70770.0,21.230999999999998,10500,
2021-05-06,600310.XSHG,buy,16900,4.2,70980.0,21.293999999999997,16900,
2021-05-06,600368.XSHG,buy,18700,3.8,71060.0,21.317999999999998,18700,
2021-05-06,600717.XSHG,buy,14900,4.75,70775.0,21.232499999999998,14900,
2021-05-06,600795.XSHG,buy,30700,2.31,70917.0,21.2751,30700,
2021-05-06,601000.XSHG,buy,26000,2.73,70980.0,21.293999999999997,26000,
2021-05-06,601006.XSHG,buy,10300,6.9,71070.0,21.320999999999998,10300,
2021-05-06,601077.XSHG,buy,17000,4.18,71060.0,21.317999999999998,17000,
2021-05-06,601169.XSHG,buy,14800,4.8,71040.0,21.311999999999998,14800,
2021-05-06,601229.XSHG,buy,8600,8.23,70778.0,21.2334,8600,
2021-05-06,601288.XSHG,buy,22100,3.21,70941.0,21.2823,22100,
2021-05-06,601326.XSHG,buy,26500,2.68,71020.0,21.305999999999997,26500,
2021-05-06,601328.XSHG,buy,14600,4.84,70664.0,21.199199999999998,14600,
2021-05-06,601398.XSHG,buy,13800,5.12,70656.0,21.1968,13800,
2021-05-06,601985.XSHG,buy,13500,5.23,70605.0,21.1815,13500,
2021-05-06,601988.XSHG,buy,21800,3.26,71068.0,21.3204,21800,
2021-07-01,601985.XSHG,sell,13500,5.09,68715.0,20.6145,0,
2021-07-01,600168.XSHG,sell,10500,6.62,69510.0,20.852999999999998,0,
2021-07-01,600027.XSHG,sell,200,3.45,690.0,5.0,20500,
2021-07-01,001872.XSHE,sell,500,16.61,8305.0,5.0,4200,
2021-07-01,002039.XSHE,sell,4800,14.29,68592.0,20.577599999999997,0,
2021-07-01,600018.XSHG,sell,300,4.76,1428.0,5.0,14800,
2021-07-01,600106.XSHG,sell,27000,2.5,67500.0,20.25,0,
2021-07-01,600795.XSHG,sell,1100,2.39,2629.0,5.0,29600,
2021-07-01,601398.XSHG,sell,400,5.26,2104.0,5.0,13400,
2021-07-01,601169.XSHG,sell,400,4.89,1955.9999999999998,5.0,14400,
2021-07-01,601328.XSHG,sell,200,4.9,980.0000000000001,5.0,14400,
2021-07-01,600310.XSHG,sell,16900,4.19,70811.0,21.243299999999998,0,
2021-07-01,600717.XSHG,sell,17880,3.9,69732.0,20.9196,0,
2021-07-01,000543.XSHE,buy,18800,3.76,70688.0,21.2064,18800,
2021-07-01,000755.XSHE,buy,300,3.32,996.0,5.0,21300,
2021-07-01,000900.XSHE,buy,600,4.14,2484.0,5.0,17100,
2021-07-01,002267.XSHE,buy,10300,6.87,70761.0,21.228299999999997,10300,
2021-07-01,003816.XSHE,buy,26500,2.67,70755.0,21.226499999999998,26500,
2021-07-01,600017.XSHG,buy,900,2.65,2385.0,5.0,26700,
2021-07-01,600033.XSHG,buy,1200,2.6,3120.0,5.0,27200,
2021-07-01,600035.XSHG,buy,400,2.99,1196.0,5.0,23600,
2021-07-01,600350.XSHG,buy,11500,6.11,70265.0,21.0795,11500,
2021-07-01,600368.XSHG,buy,1800,3.45,6210.0,5.0,20500,
2021-07-01,601000.XSHG,buy,3300,2.41,7953.000000000001,5.0,29300,
2021-07-01,601006.XSHG,buy,400,6.6,2640.0,5.0,10700,
2021-07-01,601077.XSHG,buy,700,3.98,2786.0,5.0,17700,
2021-07-01,601228.XSHG,buy,22400,3.15,70560.0,21.168,22400,
2021-07-01,601288.XSHG,buy,1200,3.04,3648.0,5.0,23300,
2021-07-01,601326.XSHG,buy,100,2.66,266.0,5.0,26600,
2021-07-01,601988.XSHG,buy,1200,3.08,3696.0,5.0,23000,
2021-07-01,601991.XSHG,buy,27400,2.58,70692.0,21.2076,27400,
2021-10-08,601229.XSHG,sell,8600,7.45,64070.0,19.221,0,
2021-10-08,003816.XSHE,sell,26500,3.29,87185.0,26.155499999999996,0,
2021-10-08,601326.XSHG,sell,200,3.03,606.0,5.0,26400,
2021-10-08,600011.XSHG,sell,16800,7.44,124992.0,37.4976,0,
2021-10-08,601991.XSHG,sell,3600,3.36,12096.0,5.0,23800,
2021-10-08,000543.XSHE,sell,500,4.37,2185.0,5.0,18300,
2021-10-08,002267.XSHE,sell,10300,8.86,91258.0,27.377399999999998,0,
2021-10-08,000755.XSHE,sell,21300,3.82,81366.0,24.409799999999997,0,
2021-10-08,601000.XSHG,sell,29300,2.78,81454.0,24.4362,0,
2021-10-08,600027.XSHG,sell,20500,4.35,89174.99999999999,26.752499999999994,0,
2021-10-08,601228.XSHG,sell,22400,3.47,77728.0,23.318399999999997,0,
2021-10-08,600018.XSHG,sell,14800,6.11,90428.0,27.1284,0,
2021-10-08,600795.XSHG,sell,29600,3.13,92648.0,27.794399999999996,0,
2021-10-08,601169.XSHG,sell,14400,4.46,64224.0,19.2672,0,
2021-10-08,601328.XSHG,sell,14400,4.55,65520.0,19.656,0,
2021-10-08,600368.XSHG,sell,1000,4.1,4100.0,5.0,19500,
2021-10-08,600350.XSHG,sell,11500,5.62,64630.0,19.389,0,
2021-10-08,000421.XSHE,buy,15000,5.35,80250.0,24.075,15000,
2021-10-08,000429.XSHE,buy,1100,7.31,8041.0,5.0,10900,
2021-10-08,000539.XSHE,buy,16200,4.94,80028.0,24.008399999999998,16200,
2021-10-08,000900.XSHE,buy,1200,4.38,5256.0,5.0,18300,
2021-10-08,001872.XSHE,buy,400,17.37,6948.0,5.0,4600,
2021-10-08,002040.XSHE,buy,13000,6.15,79950.0,23.985,13000,
2021-10-08,002807.XSHE,buy,20600,3.89,80134.0,24.0402,20600,
2021-10-08,600017.XSHG,buy,1600,2.83,4528.0,5.0,28300,
2021-10-08,600033.XSHG,buy,600,2.88,1728.0,5.0,27800,
2021-10-08,600035.XSHG,buy,900,3.27,2943.0,5.0,24500,
2021-10-08,600106.XSHG,buy,28900,2.77,80053.0,24.0159,28900,
2021-10-08,600377.XSHG,buy,9000,8.85,79650.0,23.895,9000,
2021-10-08,600617.XSHG,buy,14200,5.62,79804.0,23.9412,14200,
2021-10-08,600928.XSHG,buy,18000,4.45,80100.0,24.029999999999998,18000,
2021-10-08,600969.XSHG,buy,10200,7.86,80172.0,24.051599999999997,10200,
2021-10-08,601006.XSHG,buy,2000,6.32,12640.0,5.0,12700,
2021-10-08,601018.XSHG,buy,19900,4.02,79997.99999999999,23.999399999999994,19900,
2021-10-08,601077.XSHG,buy,2800,3.91,10948.0,5.0,20500,
2021-10-08,601288.XSHG,buy,3800,2.96,11248.0,5.0,27100,
2021-10-08,601333.XSHG,buy,33500,2.39,80065.0,24.019499999999997,33500,
2021-10-08,601398.XSHG,buy,3600,4.71,16956.0,5.086799999999999,17000,
2021-10-08,601985.XSHG,buy,11200,7.12,79744.0,23.923199999999998,11200,
2021-10-08,601988.XSHG,buy,3100,3.07,9517.0,5.0,26100,
2021-10-08,603323.XSHG,buy,15100,5.29,79879.0,23.9637,15100,
2022-01-04,601326.XSHG,sell,26400,2.83,74712.0,22.4136,0,
2022-01-04,601991.XSHG,sell,23800,3.09,73542.0,22.0626,0,
2022-01-04,601985.XSHG,sell,1200,8.16,9792.0,5.0,10000,
2022-01-04,000543.XSHE,sell,18300,5.42,99186.0,29.755799999999997,0,
2022-01-04,000539.XSHE,sell,16200,5.79,93798.0,28.1394,0,
2022-01-04,600969.XSHG,sell,100,8.12,811.9999999999999,5.0,10100,
2022-01-04,001872.XSHE,sell,4600,17.31,79626.0,23.8878,0,
2022-01-04,600106.XSHG,sell,28900,4.67,134963.0,40.488899999999994,0,
2022-01-04,603323.XSHG,sell,15100,4.91,74141.0,22.242299999999997,0,
2022-01-04,601333.XSHG,sell,33500,2.3,77050.0,23.115,0,
2022-01-04,000421.XSHE,buy,1400,5.0,7000.0,5.0,16400,
2022-01-04,000429.XSHE,buy,200,7.4,1480.0,5.0,11100,
2022-01-04,000755.XSHE,buy,17500,4.68,81900.0,24.569999999999997,17500,
2022-01-04,000900.XSHE,buy,900,4.28,3852.0,5.0,19200,
2022-01-04,002807.XSHE,buy,500,3.88,1940.0,5.0,21100,
2022-01-04,002893.XSHE,buy,8900,9.18,81702.0,24.510599999999997,8900,
2022-01-04,003816.XSHE,buy,26100,3.14,81954.0,24.586199999999998,26100,
2022-01-04,600017.XSHG,buy,300,2.87,861.0,5.0,28600,
2022-01-04,600033.XSHG,buy,800,2.87,2296.0,5.0,28600,
2022-01-04,600035.XSHG,buy,900,3.23,2907.0,5.0,25400,
2022-01-04,600368.XSHG,buy,100,4.19,419.00000000000006,5.0,19600,
2022-01-04,600377.XSHG,buy,400,8.74,3496.0,5.0,9400,
2022-01-04,600617.XSHG,buy,5000,4.28,21400.0,6.419999999999999,19200,
2022-01-04,600717.XSHG,buy,19300,4.25,82025.0,24.607499999999998,19300,
2022-01-04,600928.XSHG,buy,900,4.34,3906.0,5.0,18900,
2022-01-04,601008.XSHG,buy,20800,3.94,81952.0,24.5856,20800,
2022-01-04,601018.XSHG,buy,400,4.04,1616.0,5.0,20300,
2022-01-04,601077.XSHG,buy,700,3.87,2709.0,5.0,21200,
2022-01-04,601229.XSHG,buy,11400,7.17,81738.0,24.521399999999996,11400,
2022-01-04,601288.XSHG,buy,800,2.94,2352.0,5.0,27900,
2022-01-04,601368.XSHG,buy,14700,5.56,81732.0,24.519599999999997,14700,
2022-01-04,601398.XSHG,buy,600,4.67,2802.0,5.0,17600,
2022-01-04,601880.XSHG,buy,46400,1.77,82128.0,24.638399999999997,46400,
2022-01-04,601988.XSHG,buy,600,3.07,1842.0,5.0,26700,
2022-04-01,601018.XSHG,sell,20300,4.12,83636.0,25.090799999999998,0,
2022-04-01,601288.XSHG,sell,700,3.08,2156.0,5.0,27200,
2022-04-01,601880.XSHG,sell,46400,1.78,82592.0,24.777599999999996,0,
2022-04-01,601368.XSHG,sell,14700,5.66,83202.0,24.9606,0,
2022-04-01,601008.XSHG,sell,20800,4.57,95056.0,28.516799999999996,0,
2022-04-01,600035.XSHG,sell,25400,3.39,86106.0,25.831799999999998,0,
2022-04-01,600928.XSHG,sell,18900,4.05,76545.0,22.963499999999996,0,
2022-04-01,000755.XSHE,sell,17500,4.46,78050.0,23.415,0,
2022-04-01,600377.XSHG,sell,9400,8.53,80182.0,24.054599999999997,0,
2022-04-01,600033.XSHG,sell,200,2.95,590.0,5.0,28400,
2022-04-01,000429.XSHE,sell,500,7.91,3955.0,5.0,10600,
2022-04-01,600617.XSHG,sell,19200,4.29,82368.0,24.710399999999996,0,
2022-04-01,600969.XSHG,sell,10100,7.95,80295.0,24.088499999999996,0,
2022-04-01,002893.XSHE,sell,8900,8.22,73158.0,21.9474,0,
2022-04-01,601988.XSHG,sell,1300,3.29,4277.0,5.0,25400,
2022-04-01,600017.XSHG,sell,28600,3.0,85800.0,25.74,0,
2022-04-01,601006.XSHG,sell,600,6.88,4128.0,5.0,12100,
2022-04-01,601398.XSHG,sell,100,4.79,479.0,5.0,17500,
2022-04-01,002040.XSHE,sell,13000,6.9,89700.0,26.909999999999997,0,
2022-04-01,601077.XSHG,sell,500,4.04,2020.0,5.0,20700,
2022-04-01,002807.XSHE,sell,2900,4.59,13311.0,5.0,18200,
2022-04-01,600368.XSHG,sell,19600,4.3,84280.0,25.284,0,
2022-04-01,000900.XSHE,sell,19200,4.28,82176.0,24.6528,0,
2022-04-01,600717.XSHG,sell,800,4.51,3608.0,5.0,18500,
2022-04-01,000421.XSHE,buy,100,5.06,505.99999999999994,5.0,16500,
2022-04-01,000582.XSHE,buy,10800,7.7,83160.0,24.947999999999997,10800,
2022-04-01,001872.XSHE,buy,5200,15.98,83096.0,24.9288,5200,
2022-04-01,002267.XSHE,buy,13200,6.32,83424.0,25.027199999999997,13200,
2022-04-01,003816.XSHE,buy,4500,2.74,12330.000000000002,5.0,30600,
2022-04-01,600012.XSHG,buy,10400,7.99,83096.0,24.9288,10400,
2022-04-01,600350.XSHG,buy,15200,5.51,83752.0,25.1256,15200,
2022-04-01,600681.XSHG,buy,16100,5.19,83559.0,25.0677,16100,
2022-04-01,600795.XSHG,buy,32700,2.56,83712.0,25.113599999999998,32700,
2022-04-01,600886.XSHG,buy,8900,9.38,83482.0,25.0446,8900,
2022-04-01,601228.XSHG,buy,25100,3.34,83834.0,25.150199999999998,25100,
2022-04-01,601229.XSHG,buy,1000,6.74,6740.0,5.0,12400,
2022-04-01,601298.XSHG,buy,14600,5.71,83366.0,25.0098,14600,
2022-04-01,601326.XSHG,buy,29300,2.86,83798.0,25.1394,29300,
2022-04-01,601939.XSHG,buy,13300,6.3,83790.0,25.136999999999997,13300,
2022-04-01,601985.XSHG,buy,400,7.99,3196.0,5.0,10400,
2022-07-01,003816.XSHE,sell,400,2.8,1120.0,5.0,30200,
2022-07-01,601229.XSHG,sell,12400,6.55,81220.0,24.365999999999996,0,
2022-07-01,600681.XSHG,sell,16100,4.44,71484.0,21.4452,0,
2022-07-01,600886.XSHG,sell,1000,10.7,10700.0,5.0,7900,
2022-07-01,002267.XSHE,sell,13200,6.93,91476.0,27.4428,0,
2022-07-01,000429.XSHE,sell,400,8.25,3300.0,5.0,10200,
2022-07-01,601228.XSHG,sell,25100,3.63,91113.0,27.333899999999996,0,
2022-07-01,000582.XSHE,sell,10800,7.68,82944.0,24.8832,0,
2022-07-01,600795.XSHG,sell,11400,3.98,45372.0,13.6116,21300,
2022-07-01,000421.XSHE,sell,16500,4.75,78375.0,23.5125,0,
2022-07-01,002807.XSHE,sell,18200,4.45,80990.0,24.296999999999997,0,
2022-07-01,600717.XSHG,sell,18500,3.99,73815.0,22.144499999999997,0,
2022-07-01,000755.XSHE,buy,20700,4.09,84663.0,25.398899999999998,20700,
2022-07-01,000883.XSHE,buy,16300,5.19,84597.0,25.379099999999998,16300,
2022-07-01,001872.XSHE,buy,300,15.41,4623.0,5.0,5500,
2022-07-01,002608.XSHE,buy,12900,6.54,84366.0,25.3098,12900,
2022-07-01,600012.XSHG,buy,800,7.51,6008.0,5.0,11200,
2022-07-01,600017.XSHG,buy,28000,3.02,84560.0,25.368,28000,
2022-07-01,600033.XSHG,buy,2200,2.77,6094.0,5.0,30600,
2022-07-01,600035.XSHG,buy,26000,3.26,84760.0,25.427999999999997,26000,
2022-07-01,600350.XSHG,buy,900,5.25,4725.0,5.0,16100,
2022-07-01,601000.XSHG,buy,32800,2.58,84624.0,25.387199999999996,32800,
2022-07-01,601006.XSHG,buy,700,6.61,4627.0,5.0,12800,
2022-07-01,601018.XSHG,buy,21800,3.89,84802.0,25.440599999999996,21800,
2022-07-01,601077.XSHG,buy,2300,3.68,8464.0,5.0,23000,
2022-07-01,601169.XSHG,buy,18600,4.54,84444.0,25.333199999999998,18600,
2022-07-01,601288.XSHG,buy,900,3.01,2709.0,5.0,28100,
2022-07-01,601298.XSHG,buy,800,5.48,4384.0,5.0,15400,
2022-07-01,601326.XSHG,buy,700,2.82,1974.0,5.0,30000,
2022-07-01,601398.XSHG,buy,200,4.77,953.9999999999999,5.0,17700,
2022-07-01,601825.XSHG,buy,13400,6.31,84554.0,25.3662,13400,
2022-07-01,601939.XSHG,buy,600,6.08,3648.0,5.0,13900,
2022-07-01,601985.XSHG,buy,1700,6.97,11849.0,5.0,12100,
2022-07-01,601988.XSHG,buy,600,3.26,1955.9999999999998,5.0,26000,
2022-07-01,601991.XSHG,buy,34600,2.45,84770.0,25.430999999999997,34600,
2022-10-10,601018.XSHG,sell,21800,3.62,78916.0,23.674799999999998,0,
2022-10-10,600886.XSHG,sell,7900,10.73,84767.0,25.4301,0,
2022-10-10,601991.XSHG,sell,34600,3.34,115564.0,34.6692,0,
2022-10-10,000883.XSHE,sell,16300,4.37,71231.0,21.3693,0,
2022-10-10,000755.XSHE,sell,3900,4.99,19461.0,5.838299999999999,16800,
2022-10-10,601000.XSHG,sell,32800,2.6,85280.0,25.583999999999996,0,
2022-10-10,002608.XSHE,sell,12900,5.75,74175.0,22.252499999999998,0,
2022-10-10,601006.XSHG,sell,300,6.71,2013.0,5.0,12500,
2022-10-10,600795.XSHG,sell,1100,4.15,4565.0,5.0,20200,
2022-10-10,600350.XSHG,sell,900,5.52,4968.0,5.0,15200,
2022-10-10,601985.XSHG,sell,12100,5.86,70906.0,21.2718,0,
2022-10-10,000027.XSHE,buy,15000,5.56,83400.0,25.02,15000,
2022-10-10,000429.XSHE,buy,1200,7.3,8760.0,5.0,11400,
2022-10-10,000598.XSHE,buy,16900,4.95,83655.0,25.0965,16900,
2022-10-10,001872.XSHE,buy,100,14.76,1476.0,5.0,5600,
2022-10-10,003816.XSHE,buy,1300,2.66,3458.0,5.0,31500,
2022-10-10,600008.XSHG,buy,32100,2.61,83781.0,25.134299999999996,32100,
2022-10-10,600012.XSHG,buy,1200,6.75,8100.0,5.0,12400,
2022-10-10,600017.XSHG,buy,2500,2.75,6875.0,5.0,30500,
2022-10-10,600035.XSHG,buy,500,3.16,1580.0,5.0,26500,
2022-10-10,600717.XSHG,buy,20800,4.02,83615.99999999999,25.084799999999994,20800,
2022-10-10,600719.XSHG,buy,19500,4.3,83850.0,25.154999999999998,19500,
2022-10-10,600803.XSHG,buy,4200,19.87,83454.0,25.036199999999997,4200,
2022-10-10,601008.XSHG,buy,21900,3.83,83877.0,25.163099999999996,21900,
2022-10-10,601077.XSHG,buy,100,3.62,362.0,5.0,23100,
2022-10-10,601169.XSHG,buy,1700,4.12,7004.0,5.0,20300,
2022-10-10,601288.XSHG,buy,1100,2.87,3157.0,5.0,29200,
2022-10-10,601326.XSHG,buy,1500,2.66,3990.0,5.0,31500,
2022-10-10,601398.XSHG,buy,1500,4.36,6540.000000000001,5.0,19200,
2022-10-10,601825.XSHG,buy,2200,5.35,11770.0,5.0,15600,
2022-10-10,601939.XSHG,buy,1300,5.52,7175.999999999999,5.0,15200,
2022-10-10,601988.XSHG,buy,1300,3.07,3991.0,5.0,27300,
2023-01-03,600012.XSHG,sell,500,7.33,3665.0,5.0,11900,
2023-01-03,601326.XSHG,sell,31500,2.75,86625.0,25.987499999999997,0,
2023-01-03,600008.XSHG,sell,32100,2.88,92448.0,27.734399999999997,0,
2023-01-03,601008.XSHG,sell,21900,4.85,106214.99999999999,31.864499999999992,0,
2023-01-03,600035.XSHG,sell,600,3.38,2028.0,5.0,25900,
2023-01-03,601825.XSHG,sell,800,5.9,4720.0,5.0,14800,
2023-01-03,000755.XSHE,sell,1200,5.61,6732.0,5.0,15600,
2023-01-03,600803.XSHG,sell,4200,16.02,67284.0,20.1852,0,
2023-01-03,600033.XSHG,sell,600,2.92,1752.0,5.0,30000,
2023-01-03,000429.XSHE,sell,100,7.76,776.0,5.0,11300,
2023-01-03,001872.XSHE,sell,5600,14.45,80920.0,24.275999999999996,0,
2023-01-03,600017.XSHG,sell,30500,2.82,86010.0,25.802999999999997,0,
2023-01-03,600719.XSHG,sell,19500,5.28,102960.0,30.887999999999998,0,
2023-01-03,600795.XSHG,sell,20200,4.34,87668.0,26.300399999999996,0,
2023-01-03,000598.XSHE,sell,16900,4.92,83148.0,24.944399999999998,0,
2023-01-03,601169.XSHG,sell,20300,4.29,87087.0,26.126099999999997,0,
2023-01-03,000027.XSHE,sell,15000,6.17,92550.0,27.764999999999997,0,
2023-01-03,600350.XSHG,sell,200,5.83,1166.0,5.0,15000,
2023-01-03,000905.XSHE,buy,12000,7.29,87480.0,26.243999999999996,12000,
2023-01-03,002039.XSHE,buy,5700,15.14,86298.0,25.8894,5700,
2023-01-03,003816.XSHE,buy,800,2.71,2168.0,5.0,32300,
2023-01-03,600018.XSHG,buy,16300,5.36,87368.0,26.210399999999996,16300,
2023-01-03,600098.XSHG,buy,15600,5.61,87516.0,26.2548,15600,
2023-01-03,600283.XSHG,buy,7000,12.39,86730.0,26.019,7000,
2023-01-03,600461.XSHG,buy,12500,6.97,87125.0,26.1375,12500,
2023-01-03,600717.XSHG,buy,500,4.1,2050.0,5.0,21300,
2023-01-03,600886.XSHG,buy,8000,10.84,86720.0,26.016,8000,
2023-01-03,601000.XSHG,buy,32100,2.73,87633.0,26.2899,32100,
2023-01-03,601006.XSHG,buy,700,6.62,4634.0,5.0,13200,
2023-01-03,601077.XSHG,buy,1700,3.53,6001.0,5.0,24800,
2023-01-03,601288.XSHG,buy,1000,2.9,2900.0,5.0,30200,
2023-01-03,601298.XSHG,buy,300,5.57,1671.0,5.0,15700,
2023-01-03,601398.XSHG,buy,1100,4.31,4741.0,5.0,20300,
2023-01-03,601880.XSHG,buy,54100,1.62,87642.0,26.292599999999997,54100,
2023-01-03,601939.XSHG,buy,300,5.63,1689.0,5.0,15500,
2023-01-03,601985.XSHG,buy,14300,6.09,87087.0,26.126099999999997,14300,
2023-01-03,601988.XSHG,buy,400,3.16,1264.0,5.0,27700,
2023-01-03,601997.XSHG,buy,15900,5.49,87291.0,26.187299999999997,15900,
2023-04-03,003816.XSHE,sell,32300,2.86,92378.0,27.713399999999996,0,
2023-04-03,600012.XSHG,sell_skipped,1700,8.93,0.0,0.0,10200,paused
2023-04-03,601939.XSHG,sell,200,5.95,1190.0,5.0,15300,
2023-04-03,601288.XSHG,sell,900,3.1,2790.0,5.0,29300,
2023-04-03,600886.XSHG,sell,8000,10.77,86160.0,25.848,0,
2023-04-03,601997.XSHG,sell,15900,5.52,87768.0,26.330399999999997,0,
2023-04-03,600098.XSHG,sell,300,5.94,1782.0000000000002,5.0,15300,
2023-04-03,600461.XSHG,sell,12500,7.17,89625.0,26.8875,0,
2023-04-03,601000.XSHG,sell,32100,3.14,100794.0,30.2382,0,
2023-04-03,601988.XSHG,sell,600,3.36,2016.0,5.0,27100,
2023-04-03,601006.XSHG,sell,600,7.22,4332.0,5.0,12600,
2023-04-03,002039.XSHE,sell,5700,14.86,84702.0,25.4106,0,
2023-04-03,000905.XSHE,sell,12000,7.28,87360.0,26.208,0,
2023-04-03,601298.XSHG,sell,1300,6.32,8216.0,5.0,14400,
2023-04-03,600350.XSHG,sell,400,6.23,2492.0,5.0,14600,
2023-04-03,601985.XSHG,sell,100,6.4,640.0,5.0,14200,
2023-04-03,000429.XSHE,buy,600,7.63,4578.0,5.0,11900,
2023-04-03,000755.XSHE,buy,800,5.54,4432.0,5.0,16400,
2023-04-03,001872.XSHE,buy,5400,16.73,90342.0,27.1026,5400,
2023-04-03,600017.XSHG,buy,32100,2.83,90843.0,27.252899999999997,32100,
2023-04-03,600018.XSHG,buy,200,5.49,1098.0,5.0,16500,
2023-04-03,600033.XSHG,buy,1000,2.93,2930.0,5.0,31000,
2023-04-03,600168.XSHG,buy,14900,6.11,91039.0,27.3117,14900,
