trade_date,order_health_status,selected_count,selected_codes,executed_order_count,buy_order_count,sell_order_count,skipped_order_count,buy_skipped_count,sell_skipped_count,buy_turnover,sell_turnover,holding_count_after_rebalance,cash_weight_after_rebalance,portfolio_value_after_rebalance,diagnosis
2021-05-06,normal_ordered,28,000429.XSHE;000755.XSHE;000900.XSHE;001872.XSHE;002039.XSHE;600011.XSHG;600017.XSHG;600018.XSHG;600027.XSHG;600033.XSHG;600035.XSHG;600106.XSHG;600168.XSHG;600310.XSHG;600368.XSHG;600717.XSHG;600795.XSHG;601000.XSHG;601006.XSHG;601077.XSHG;601169.XSHG;601229.XSHG;601288.XSHG;601326.XSHG;601328.XSHG;601398.XSHG;601985.XSHG;601988.XSHG,28,28,0,0,0,0,1982889.0,0,28,0.008185684191956893,2017685.1333000003,At least one order executed and holdings exist after rebalance.
2021-07-01,normal_ordered,28,000429.XSHE;000543.XSHE;000755.XSHE;000900.XSHE;001872.XSHE;002267.XSHE;003816.XSHE;600011.XSHG;600017.XSHG;600018.XSHG;600027.XSHG;600033.XSHG;600035.XSHG;600350.XSHG;600368.XSHG;600795.XSHG;601000.XSHG;601006.XSHG;601077.XSHG;601169.XSHG;601228.XSHG;601229.XSHG;601288.XSHG;601326.XSHG;601328.XSHG;601398.XSHG;601988.XSHG;601991.XSHG,34,21,13,0,0,0,469053.0,440539.6,28,0.007962671117940958,2011032.1879200002,At least one order executed and holdings exist after rebalance.
2021-10-08,normal_ordered,28,000421.XSHE;000429.XSHE;000539.XSHE;000543.XSHE;000900.XSHE;001872.XSHE;002040.XSHE;002807.XSHE;600017.XSHG;600033.XSHG;600035.XSHG;600106.XSHG;600368.XSHG;600377.XSHG;600617.XSHG;600928.XSHG;600969.XSHG;601006.XSHG;601018.XSHG;601077.XSHG;601288.XSHG;601326.XSHG;601333.XSHG;601398.XSHG;601985.XSHG;601988.XSHG;601991.XSHG;603323.XSHG,41,25,16,0,0,0,1171105.0,1132449.0,28,0.007205809716298106,2304700.2313200003,At least one order executed and holdings exist after rebalance.
2022-01-04,normal_ordered,28,000421.XSHE;000429.XSHE;000755.XSHE;000900.XSHE;002040.XSHE;002807.XSHE;002893.XSHE;003816.XSHE;600017.XSHG;600033.XSHG;600035.XSHG;600368.XSHG;600377.XSHG;600617.XSHG;600717.XSHG;600928.XSHG;600969.XSHG;601006.XSHG;601008.XSHG;601018.XSHG;601077.XSHG;601229.XSHG;601288.XSHG;601368.XSHG;601398.XSHG;601880.XSHG;601985.XSHG;601988.XSHG,35,26,9,0,0,0,723769.0,727986.0,28,0.008547817352644834,2376384.90412,At least one order executed and holdings exist after rebalance.
2022-04-01,normal_ordered,25,000421.XSHE;000429.XSHE;000582.XSHE;001872.XSHE;002267.XSHE;002807.XSHE;003816.XSHE;600012.XSHG;600033.XSHG;600350.XSHG;600681.XSHG;600717.XSHG;600795.XSHG;600886.XSHG;601006.XSHG;601077.XSHG;601228.XSHG;601229.XSHG;601288.XSHG;601298.XSHG;601326.XSHG;601398.XSHG;601939.XSHG;601985.XSHG;601988.XSHG,39,16,23,0,0,0,1032385.0,1285372.0,25,0.11275055230648734,2417376.54002,At least one order executed and holdings exist after rebalance.
2022-07-01,normal_ordered,27,000429.XSHE;000755.XSHE;000883.XSHE;001872.XSHE;002608.XSHE;003816.XSHE;600012.XSHG;600017.XSHG;600033.XSHG;600035.XSHG;600350.XSHG;600795.XSHG;600886.XSHG;601000.XSHG;601006.XSHG;601018.XSHG;601077.XSHG;601169.XSHG;601288.XSHG;601298.XSHG;601326.XSHG;601398.XSHG;601825.XSHG;601939.XSHG;601985.XSHG;601988.XSHG;601991.XSHG,34,24,10,0,0,0,931816.0,736689.0,27,0.04352938239530323,2450887.6246200004,At least one order executed and holdings exist after rebalance.
2022-10-10,normal_ordered,27,000027.XSHE;000429.XSHE;000598.XSHE;000755.XSHE;001872.XSHE;003816.XSHE;600008.XSHG;600012.XSHG;600017.XSHG;600033.XSHG;600035.XSHG;600350.XSHG;600717.XSHG;600719.XSHG;600795.XSHG;600803.XSHG;601006.XSHG;601008.XSHG;601077.XSHG;601169.XSHG;601288.XSHG;601298.XSHG;601326.XSHG;601398.XSHG;601825.XSHG;601939.XSHG;601988.XSHG,34,22,12,0,0,0,683411.0,634264.0,27,0.043653248983542135,2427309.96632,At least one order executed and holdings exist after rebalance.
2023-01-03,normal_ordered,27,000429.XSHE;000755.XSHE;000905.XSHE;002039.XSHE;003816.XSHE;600012.XSHG;600018.XSHG;600033.XSHG;600035.XSHG;600098.XSHG;600283.XSHG;600350.XSHG;600461.XSHG;600717.XSHG;600886.XSHG;601000.XSHG;601006.XSHG;601077.XSHG;601288.XSHG;601298.XSHG;601398.XSHG;601825.XSHG;601880.XSHG;601939.XSHG;601985.XSHG;601988.XSHG;601997.XSHG,38,21,17,0,0,0,1006440.0,1010760.0,27,0.04328821661209505,2532044.69942,At least one order executed and holdings exist after rebalance.
2023-04-03,normal_ordered,28,000429.XSHE;000755.XSHE;001872.XSHE;600012.XSHG;600017.XSHG;600018.XSHG;600033.XSHG;600035.XSHG;600098.XSHG;600168.XSHG;600283.XSHG;600350.XSHG;600377.XSHG;600617.XSHG;600681.XSHG;600717.XSHG;600956.XSHG;601006.XSHG;601077.XSHG;601169.XSHG;601288.XSHG;601298.XSHG;601398.XSHG;601825.XSHG;601880.XSHG;601939.XSHG;601985.XSHG;601988.XSHG,34,18,16,1,0,1,774007.0,669051.0,28,0.0015745167904302943,2629821.6984200003,At least one order executed and holdings exist after rebalance.
2023-07-03,normal_ordered,28,000027.XSHE;000421.XSHE;000429.XSHE;000557.XSHE;000883.XSHE;002267.XSHE;002807.XSHE;600012.XSHG;600017.XSHG;600018.XSHG;600020.XSHG;600033.XSHG;600035.XSHG;600350.XSHG;600377.XSHG;600617.XSHG;600642.XSHG;600908.XSHG;601006.XSHG;601018.XSHG;601077.XSHG;601228.XSHG;601229.XSHG;601825.XSHG;601880.XSHG;601985.XSHG;601997.XSHG;603323.XSHG,42,22,20,0,0,0,1447697.0,1437871.0,28,0.007849438012134367,2829306.46572,At least one order executed and holdings exist after rebalance.
