trade_date,code,amount,net_cash_per_share,dividend_cash
2021-05-18,601000.XSHG,25800,0.16,4128.0
2021-05-24,600310.XSHG,16500,0.06,990.0
2021-06-04,601988.XSHG,21800,0.1576,3435.68
2021-06-04,600017.XSHG,25800,0.028,722.4
2021-06-09,600035.XSHG,23100,0.056,1293.6000000000001
2021-06-15,002039.XSHE,4900,0.288,1411.1999999999998
2021-06-17,601288.XSHG,22000,0.14808,3257.7599999999998
2021-06-23,600717.XSHG,17880,0.0688,1230.144
2021-06-25,600168.XSHG,10600,0.0864,915.84
2021-06-25,000900.XSHE,16600,0.128,2124.8
2021-06-25,600106.XSHG,27000,0.0416,1123.2
2021-06-25,600368.XSHG,18600,0.1208,2246.88
2021-06-28,600033.XSHG,25900,0.08,2072.0
2021-06-29,601077.XSHG,17100,0.1776,3036.96
2021-07-02,600018.XSHG,14800,0.1024,1515.52
2021-07-06,601229.XSHG,8600,0.32,2752.0
2021-07-06,601398.XSHG,13500,0.2128,2872.7999999999997
2021-07-07,600011.XSHG,16700,0.144,2404.7999999999997
2021-07-07,600795.XSHG,29600,0.032,947.2
2021-07-08,003816.XSHE,26400,0.064,1689.6000000000001
2021-07-08,601006.XSHG,10700,0.384,4108.8
2021-07-13,601328.XSHG,14400,0.2536,3651.8399999999997
2021-07-14,601326.XSHG,26700,0.0512,1367.04
2021-07-15,000429.XSHE,9800,0.2328,2281.44
2021-07-16,601169.XSHG,14500,0.24,3480.0
2021-07-21,001872.XSHE,4200,0.304,1276.8
2021-07-23,600027.XSHG,20600,0.2,4120.0
2021-07-30,002267.XSHE,10300,0.16,1648.0
2021-08-10,600350.XSHG,11600,0.304,3526.4
2021-08-27,601991.XSHG,27500,0.0728,2002.0
2022-04-25,600681.XSHG,15800,0.2,3160.0
2022-05-13,002807.XSHE,18700,0.144,2692.7999999999997
2022-05-17,001872.XSHE,5300,0.344,1823.1999999999998
2022-05-20,000582.XSHE,11000,0.1472,1619.2
2022-05-27,601228.XSHG,25000,0.0456,1140.0
2022-06-15,600350.XSHG,15100,0.32,4832.0
2022-06-21,002267.XSHE,13200,0.24,3168.0
2022-06-23,600717.XSHG,18800,0.0808,1519.04
2022-06-29,601077.XSHG,20800,0.202,4201.6
2022-06-29,600033.XSHG,28300,0.12,3396.0
2022-06-30,000421.XSHE,16200,0.08,1296.0
2022-07-07,003816.XSHE,29900,0.0672,2009.28
2022-07-07,000429.XSHE,10400,0.456,4742.400000000001
2022-07-07,601006.XSHG,12900,0.384,4953.6
2022-07-08,601939.XSHG,14100,0.2912,4105.92
2022-07-12,601398.XSHG,18000,0.23464,4223.5199999999995
2022-07-15,601169.XSHG,19000,0.244,4636.0
2022-07-15,601288.XSHG,28500,0.16544,4715.04
2022-07-15,601988.XSHG,26200,0.1768,4632.160000000001
2022-07-15,000883.XSHE,16600,0.12,1992.0
2022-07-15,601985.XSHG,12000,0.12,1440.0
2022-07-19,601326.XSHG,30200,0.0448,1352.96
2022-07-20,600012.XSHG,11500,0.44,5060.0
2022-07-29,600886.XSHG,7900,0.1308,1033.32
2022-08-26,601298.XSHG,15600,0.20512,3199.872
2023-04-25,600681.XSHG,21400,0.12,2568.0
2023-05-31,600017.XSHG,32500,0.032,1040.0
2023-06-15,600350.XSHG,14400,0.32,4608.0
2023-06-16,600035.XSHG,26000,0.112,2912.0
2023-06-19,600956.XSHG,9900,0.1544,1528.5600000000002
2023-06-20,600717.XSHG,22300,0.0616,1373.68
2023-06-28,601825.XSHG,16000,0.2736,4377.6
2023-06-28,600098.XSHG,15300,0.16,2448.0
2023-06-28,001872.XSHE,5100,0.36,1836.0
2023-06-29,601077.XSHG,25100,0.21712,5449.712
2023-07-05,601880.XSHG,62500,0.01392,870.0
