trade_date,code,side,amount,price,value,commission,target_amount,reason
2021-05-06,000429.XSHE,buy,3200,7.31,23392.0,7.017599999999999,3200,
2021-05-06,000755.XSHE,buy,7000,3.37,23590.0,7.076999999999999,7000,
2021-05-06,000900.XSHE,buy,5600,4.23,23688.000000000004,7.106400000000001,5600,
2021-05-06,001872.XSHE,buy,1600,14.71,23536.0,7.0607999999999995,1600,
2021-05-06,002039.XSHE,buy,1600,14.31,22896.0,6.868799999999999,1600,
2021-05-06,600011.XSHG,buy,5500,4.25,23375.0,7.012499999999999,5500,
2021-05-06,600017.XSHG,buy,8600,2.73,23478.0,7.043399999999999,8600,
2021-05-06,600018.XSHG,buy,5000,4.65,23250.0,6.975,5000,
2021-05-06,600027.XSHG,buy,7000,3.38,23660.0,7.097999999999999,7000,
2021-05-06,600033.XSHG,buy,8800,2.69,23672.0,7.1015999999999995,8800,
2021-05-06,600035.XSHG,buy,7900,2.99,23621.0,7.0863,7900,
2021-05-06,600106.XSHG,buy,9000,2.62,23580.0,7.073999999999999,9000,
2021-05-06,600168.XSHG,buy,3500,6.65,23275.0,6.982499999999999,3500,
2021-05-06,600310.XSHG,buy,5700,4.14,23597.999999999996,7.079399999999998,5700,
2021-05-06,600368.XSHG,buy,6400,3.68,23552.0,7.065599999999999,6400,
2021-05-06,600717.XSHG,buy,4900,4.74,23226.0,6.9677999999999995,4900,
2021-05-06,600795.XSHG,buy,10400,2.26,23503.999999999996,7.051199999999998,10400,
2021-05-06,601000.XSHG,buy,8800,2.67,23496.0,7.048799999999999,8800,
2021-05-06,601006.XSHG,buy,3400,6.86,23324.0,6.997199999999999,3400,
2021-05-06,601077.XSHG,buy,5700,4.14,23597.999999999996,7.079399999999998,5700,
2021-05-06,601169.XSHG,buy,4900,4.77,23372.999999999996,7.011899999999998,4900,
2021-05-06,601229.XSHG,buy,2800,8.17,22876.0,6.862799999999999,2800,
2021-05-06,601288.XSHG,buy,7400,3.2,23680.0,7.103999999999999,7400,
2021-05-06,601326.XSHG,buy,8800,2.67,23496.0,7.048799999999999,8800,
