trade_date,code,amount,net_cash_per_share,dividend_cash
2021-05-18,601000.XSHG,26100,0.16,4176.0
2021-05-24,600310.XSHG,17000,0.06,1020.0
2021-06-04,601988.XSHG,21800,0.1576,3435.68
2021-06-04,600017.XSHG,25900,0.028,725.2
2021-06-09,600035.XSHG,23000,0.056,1288.0
2021-06-15,002039.XSHE,4800,0.288,1382.3999999999999
2021-06-17,601288.XSHG,22100,0.14808,3272.5679999999998
2021-06-23,600717.XSHG,17880,0.0688,1230.144
2021-06-25,600168.XSHG,10500,0.0864,907.2
2021-06-25,000900.XSHE,16500,0.128,2112.0
2021-06-25,600106.XSHG,27100,0.0416,1127.36
2021-06-25,600368.XSHG,18400,0.1208,2222.7200000000003
2021-06-28,600033.XSHG,25900,0.08,2072.0
2021-06-29,601077.XSHG,17000,0.1776,3019.2000000000003
2021-07-02,600018.XSHG,14700,0.1024,1505.28
2021-07-06,601229.XSHG,8600,0.32,2752.0
2021-07-06,601398.XSHG,13600,0.2128,2894.08
2021-07-07,600011.XSHG,16800,0.144,2419.2
2021-07-07,600795.XSHG,29600,0.032,947.2
2021-07-08,003816.XSHE,26400,0.064,1689.6000000000001
2021-07-08,601006.XSHG,10700,0.384,4108.8
2021-07-13,601328.XSHG,14400,0.2536,3651.8399999999997
2021-07-14,601326.XSHG,26600,0.0512,1361.92
2021-07-15,000429.XSHE,9800,0.2328,2281.44
2021-07-16,601169.XSHG,14500,0.24,3480.0
2021-07-21,001872.XSHE,4100,0.304,1246.3999999999999
2021-07-23,600027.XSHG,20500,0.2,4100.0
2021-07-30,002267.XSHE,10300,0.16,1648.0
2021-08-10,600350.XSHG,11600,0.304,3526.4
2021-08-27,601991.XSHG,27400,0.0728,1994.72
2022-04-25,600681.XSHG,16000,0.2,3200.0
2022-05-13,002807.XSHE,18800,0.144,2707.2
2022-05-17,001872.XSHE,5200,0.344,1788.8
2022-05-20,000582.XSHE,10900,0.1472,1604.48
2022-05-27,601228.XSHG,25100,0.0456,1144.56
2022-06-15,600350.XSHG,15200,0.32,4864.0
2022-06-21,002267.XSHE,13300,0.24,3192.0
2022-06-23,600717.XSHG,18600,0.0808,1502.8799999999999
2022-06-29,601077.XSHG,20800,0.202,4201.6
2022-06-29,600033.XSHG,28500,0.12,3420.0
2022-06-30,000421.XSHE,16600,0.08,1328.0
2022-07-07,003816.XSHE,30300,0.0672,2036.1599999999999
2022-07-07,000429.XSHE,10300,0.456,4696.8
2022-07-07,601006.XSHG,12800,0.384,4915.2
2022-07-08,601939.XSHG,13900,0.2912,4047.6800000000003
2022-07-12,601398.XSHG,17800,0.23464,4176.592
2022-07-15,601169.XSHG,18700,0.244,4562.8
2022-07-15,601288.XSHG,28200,0.16544,4665.408
2022-07-15,601988.XSHG,26000,0.1768,4596.8
2022-07-15,000883.XSHE,16300,0.12,1956.0
2022-07-15,601985.XSHG,12100,0.12,1452.0
2022-07-19,601326.XSHG,30100,0.0448,1348.48
2022-07-20,600012.XSHG,11300,0.44,4972.0
2022-07-29,600886.XSHG,7900,0.1308,1033.32
2022-08-26,601298.XSHG,15500,0.20512,3179.36
2023-04-25,600681.XSHG,21000,0.12,2520.0
2023-05-31,600017.XSHG,32100,0.032,1027.2
2023-06-15,600350.XSHG,14600,0.32,4672.0
2023-06-16,600035.XSHG,26000,0.112,2912.0
2023-06-19,600956.XSHG,9700,0.1544,1497.68
2023-06-20,600717.XSHG,22300,0.0616,1373.68
2023-06-28,601825.XSHG,15700,0.2736,4295.52
2023-06-28,600098.XSHG,15300,0.16,2448.0
2023-06-28,001872.XSHE,5400,0.36,1944.0
2023-06-29,601077.XSHG,24900,0.21712,5406.2880000000005
2023-07-05,601880.XSHG,62400,0.01392,868.6080000000001
2023-07-06,600908.XSHG,18300,0.16,2928.0
2023-07-13,601006.XSHG,13100,0.384,5030.400000000001
2023-07-14,002267.XSHE,12300,0.24,2952.0
2023-07-14,601985.XSHG,13700,0.136,1863.2
2023-07-14,000429.XSHE,12500,0.3424,4280.0
2023-07-19,600012.XSHG,9300,0.44,4092.0
2023-07-26,600377.XSHG,9900,0.368,3643.2
2023-07-28,600033.XSHG,31200,0.12,3744.0
2023-08-11,600018.XSHG,18600,0.112,2083.2
2023-08-16,000883.XSHE,21200,0.048,1017.6
2024-05-10,002807.XSHE,27100,0.152,4119.2
2024-05-14,000690.XSHE,20500,0.24,4920.0
2024-05-15,600018.XSHG,19300,0.1376,2655.68
2024-05-28,600020.XSHG,27900,0.1192,3325.68
2024-06-07,603323.XSHG,22800,0.144,3283.2
2024-06-07,600035.XSHG,23900,0.152,3632.7999999999997
2024-06-13,000900.XSHE,27800,0.12,3336.0
2024-06-14,601187.XSHG,19700,0.248,4885.6
2024-06-14,600017.XSHG,37500,0.052,1950.0
2024-06-18,000027.XSHE,14500,0.112,1624.0
2024-06-20,600717.XSHG,23900,0.0816,1950.2400000000002
2024-06-25,600350.XSHG,12700,0.336,4267.2
2024-06-27,601229.XSHG,15300,0.368,5630.4
2024-06-27,600033.XSHG,31200,0.096,2995.2000000000003
2024-06-28,601077.XSHG,22500,0.2308,5193.0
2024-06-28,601816.XSHG,20500,0.08928,1830.24
2024-07-05,600908.XSHG,20800,0.16,3328.0
2024-07-05,600795.XSHG,18900,0.056,1058.4
2024-07-10,601169.XSHG,19300,0.256,4940.8
2024-07-11,600011.XSHG,11600,0.16,1856.0
2024-07-12,601939.XSHG,15000,0.32,4800.0
2024-07-15,000429.XSHE,10800,0.4376,4726.08
2024-07-16,601398.XSHG,19500,0.24512,4779.84
2024-07-17,601326.XSHG,35100,0.0664,2330.64
2024-07-18,600000.XSHG,13700,0.2568,3518.1599999999994
2024-07-26,600377.XSHG,8700,0.376,3271.2
2024-08-08,000883.XSHE,18500,0.072,1332.0
2024-08-23,601991.XSHG,36500,0.006,219.0
2024-10-21,000905.XSHE,18400,0.0424,780.16
2024-10-25,600681.XSHG,32300,0.072,2325.6
2024-10-31,600795.XSHG,22600,0.072,1627.1999999999998
2024-12-20,600033.XSHG,32500,0.04,1300.0
2025-01-22,601818.XSHG,32200,0.0832,2679.04
2025-04-25,601988.XSHG,22600,0.09728,2198.5280000000002
2025-04-30,002807.XSHE,28100,0.16,4496.0
2025-05-09,601008.XSHG,32000,0.048,1536.0
2025-05-14,000828.XSHE,12100,0.26,3146.0
2025-05-16,601018.XSHG,33400,0.0864,2885.76
2025-05-29,000900.XSHE,29500,0.12,3540.0
2025-06-04,000791.XSHE,18000,0.144,2592.0
2025-06-05,002966.XSHE,15600,0.16,2496.0
2025-06-06,601997.XSHG,21100,0.232,4895.2
2025-06-13,600017.XSHG,40200,0.0688,2765.76
2025-06-16,000905.XSHE,16100,0.044,708.4
2025-06-19,600717.XSHG,26100,0.0832,2171.52
2025-06-25,000543.XSHE,16100,0.2552,4108.719999999999
2025-06-27,601825.XSHG,14700,0.1544,2269.6800000000003
2025-06-27,002039.XSHE,7600,0.048,364.8
2025-06-27,600098.XSHG,19200,0.216,4147.2
2025-06-27,600035.XSHG,28000,0.136,3808.0000000000005
2025-07-04,600908.XSHG,20800,0.176,3660.7999999999997
2025-07-10,600011.XSHG,18600,0.216,4017.6
2025-07-10,600795.XSHG,26700,0.088,2349.6
2025-07-11,600033.XSHG,37600,0.04,1504.0
2025-07-14,601398.XSHG,17300,0.13168,2278.064
2025-07-14,600027.XSHG,24200,0.104,2516.7999999999997
2025-07-14,000429.XSHE,9900,0.4184,4142.16
2025-07-15,600020.XSHG,27500,0.136,3740.0000000000005
2025-07-17,600018.XSHG,23200,0.116,2691.2000000000003
2025-07-18,601326.XSHG,41100,0.068,2794.8
2025-07-30,600377.XSHG,8600,0.392,3371.2000000000003
2025-08-05,600350.XSHG,12400,0.336,4166.400000000001
2025-08-08,601228.XSHG,40800,0.0312,1272.96
2025-08-15,601333.XSHG,46200,0.056,2587.2000000000003
2025-08-22,601991.XSHG,40600,0.04968,2017.008
