trade_date,code,side,amount,price,value,commission,target_amount,reason
2021-05-07,000429.XSHE,buy,9800,7.23,70854.0,21.2562,9800,
2021-05-07,000755.XSHE,buy,20900,3.4,71060.0,21.317999999999998,20900,
2021-05-07,000900.XSHE,buy,16500,4.29,70785.0,21.2355,16500,
2021-05-07,001872.XSHE,buy,4800,14.7,70560.0,21.168,4800,
2021-05-07,002039.XSHE,buy,4800,14.57,69936.0,20.9808,4800,
2021-05-07,600011.XSHG,buy,16900,4.2,70980.0,21.293999999999997,16900,
2021-05-07,600017.XSHG,buy,25900,2.74,70966.0,21.2898,25900,
2021-05-07,600018.XSHG,buy,15000,4.71,70650.0,21.194999999999997,15000,
2021-05-07,600027.XSHG,buy,20900,3.4,71060.0,21.317999999999998,20900,
2021-05-07,600033.XSHG,buy,25900,2.74,70966.0,21.2898,25900,
2021-05-07,600035.XSHG,buy,23000,3.08,70840.0,21.252,23000,
2021-05-07,600106.XSHG,buy,27100,2.62,71002.0,21.3006,27100,
2021-05-07,600168.XSHG,buy,10500,6.74,70770.0,21.230999999999998,10500,
2021-05-07,600310.XSHG,buy,17000,4.18,71060.0,21.317999999999998,17000,
2021-05-07,600368.XSHG,buy,18400,3.85,70840.0,21.252,18400,
2021-05-07,600717.XSHG,buy,14900,4.75,70775.0,21.232499999999998,14900,
2021-05-07,600795.XSHG,buy,30900,2.3,71070.0,21.320999999999998,30900,
2021-05-07,601000.XSHG,buy,26100,2.72,70992.0,21.2976,26100,
2021-05-07,601006.XSHG,buy,10200,6.92,70584.0,21.175199999999997,10200,
2021-05-07,601077.XSHG,buy,17000,4.17,70890.0,21.267,17000,
2021-05-07,601169.XSHG,buy,14700,4.81,70707.0,21.2121,14700,
2021-05-07,601229.XSHG,buy,8600,8.23,70778.0,21.2334,8600,
2021-05-07,601288.XSHG,buy,22100,3.21,70941.0,21.2823,22100,
2021-05-07,601326.XSHG,buy,26500,2.68,71020.0,21.305999999999997,26500,
2021-05-07,601328.XSHG,buy,14600,4.84,70664.0,21.199199999999998,14600,
2021-05-07,601398.XSHG,buy,13800,5.12,70656.0,21.1968,13800,
2021-05-07,601985.XSHG,buy,13500,5.23,70605.0,21.1815,13500,
2021-05-07,601988.XSHG,buy,21800,3.25,70850.0,21.255,21800,
2021-07-02,600011.XSHG,sell,100,4.21,421.0,5.0,16800,
2021-07-02,601985.XSHG,sell,13500,5.1,68850.0,20.654999999999998,0,
2021-07-02,600168.XSHG,sell,10500,6.65,69825.0,20.947499999999998,0,
2021-07-02,600027.XSHG,sell,400,3.45,1380.0,5.0,20500,
2021-07-02,001872.XSHE,sell,700,16.9,11829.999999999998,5.0,4100,
2021-07-02,002039.XSHE,sell,4800,14.2,68160.0,20.447999999999997,0,
2021-07-02,600018.XSHG,sell,300,4.8,1440.0,5.0,14700,
2021-07-02,600106.XSHG,sell,27100,2.5,67750.0,20.325,0,
2021-07-02,600795.XSHG,sell,1300,2.39,3107.0,5.0,29600,
2021-07-02,601398.XSHG,sell,200,5.21,1042.0,5.0,13600,
2021-07-02,601169.XSHG,sell,200,4.88,976.0,5.0,14500,
2021-07-02,601328.XSHG,sell,200,4.89,977.9999999999999,5.0,14400,
2021-07-02,600310.XSHG,sell,17000,4.18,71060.0,21.317999999999998,0,
2021-07-02,600717.XSHG,sell,17880,3.91,69910.8,20.97324,0,
2021-07-02,000543.XSHE,buy,18800,3.76,70688.0,21.2064,18800,
2021-07-02,000755.XSHE,buy,400,3.32,1328.0,5.0,21300,
2021-07-02,000900.XSHE,buy,600,4.13,2478.0,5.0,17100,
2021-07-02,002267.XSHE,buy,10300,6.87,70761.0,21.228299999999997,10300,
2021-07-02,003816.XSHE,buy,26400,2.68,70752.0,21.225599999999996,26400,
2021-07-02,600017.XSHG,buy,800,2.65,2120.0,5.0,26700,
2021-07-02,600033.XSHG,buy,1100,2.62,2882.0,5.0,27000,
2021-07-02,600035.XSHG,buy,800,2.97,2376.0,5.0,23800,
2021-07-02,600350.XSHG,buy,11600,6.09,70644.0,21.193199999999997,11600,
2021-07-02,600368.XSHG,buy,2100,3.45,7245.0,5.0,20500,
2021-07-02,601000.XSHG,buy,3300,2.41,7953.000000000001,5.0,29400,
2021-07-02,601006.XSHG,buy,500,6.6,3300.0,5.0,10700,
2021-07-02,601077.XSHG,buy,800,3.98,3184.0,5.0,17800,
2021-07-02,601228.XSHG,buy,22500,3.15,70875.0,21.2625,22500,
2021-07-02,601288.XSHG,buy,1200,3.04,3648.0,5.0,23300,
2021-07-02,601326.XSHG,buy,100,2.66,266.0,5.0,26600,
2021-07-02,601988.XSHG,buy,1200,3.08,3696.0,5.0,23000,
2021-07-02,601991.XSHG,buy,27400,2.58,70692.0,21.2076,27400,
2021-10-11,601229.XSHG,sell,8600,7.45,64070.0,19.221,0,
