trade_date,order_health_status,selected_count,selected_codes,executed_order_count,buy_order_count,sell_order_count,skipped_order_count,buy_skipped_count,sell_skipped_count,buy_turnover,sell_turnover,holding_count_after_rebalance,cash_weight_after_rebalance,portfolio_value_after_rebalance,diagnosis
2021-05-06,normal_ordered,28,000429.XSHE;000755.XSHE;000900.XSHE;001872.XSHE;002039.XSHE;600011.XSHG;600017.XSHG;600018.XSHG;600027.XSHG;600033.XSHG;600035.XSHG;600106.XSHG;600168.XSHG;600310.XSHG;600368.XSHG;600717.XSHG;600795.XSHG;601000.XSHG;601006.XSHG;601077.XSHG;601169.XSHG;601229.XSHG;601288.XSHG;601326.XSHG;601328.XSHG;601398.XSHG;601985.XSHG;601988.XSHG,28,28,0,0,0,0,1982889.0,0,28,0.008185684191956715,2017685.1332999999,At least one order executed and holdings exist after rebalance.
2021-07-01,normal_ordered,28,000429.XSHE;000543.XSHE;000755.XSHE;000900.XSHE;001872.XSHE;002267.XSHE;003816.XSHE;600011.XSHG;600017.XSHG;600018.XSHG;600027.XSHG;600033.XSHG;600035.XSHG;600350.XSHG;600368.XSHG;600795.XSHG;601000.XSHG;601006.XSHG;601077.XSHG;601169.XSHG;601228.XSHG;601229.XSHG;601288.XSHG;601326.XSHG;601328.XSHG;601398.XSHG;601988.XSHG;601991.XSHG,34,21,13,0,0,0,469053.0,440539.6,28,0.007962671117940814,2011032.18792,At least one order executed and holdings exist after rebalance.
2021-10-08,normal_ordered,28,000421.XSHE;000429.XSHE;000539.XSHE;000543.XSHE;000900.XSHE;001872.XSHE;002040.XSHE;002807.XSHE;600017.XSHG;600033.XSHG;600035.XSHG;600106.XSHG;600368.XSHG;600377.XSHG;600617.XSHG;600928.XSHG;600969.XSHG;601006.XSHG;601018.XSHG;601077.XSHG;601288.XSHG;601326.XSHG;601333.XSHG;601398.XSHG;601985.XSHG;601988.XSHG;601991.XSHG;603323.XSHG,41,25,16,0,0,0,1171105.0,1132449.0,28,0.007205809716297956,2304700.23132,At least one order executed and holdings exist after rebalance.
2022-01-04,normal_ordered,28,000421.XSHE;000429.XSHE;000755.XSHE;000900.XSHE;002040.XSHE;002807.XSHE;002893.XSHE;003816.XSHE;600017.XSHG;600033.XSHG;600035.XSHG;600368.XSHG;600377.XSHG;600617.XSHG;600717.XSHG;600928.XSHG;600969.XSHG;601006.XSHG;601008.XSHG;601018.XSHG;601077.XSHG;601229.XSHG;601288.XSHG;601368.XSHG;601398.XSHG;601880.XSHG;601985.XSHG;601988.XSHG,35,21,14,0,0,0,768908.0,769627.0,28,0.007079485822419362,2375835.69512,At least one order executed and holdings exist after rebalance.
2022-04-01,normal_ordered,25,000421.XSHE;000429.XSHE;000582.XSHE;001872.XSHE;002267.XSHE;002807.XSHE;003816.XSHE;600012.XSHG;600033.XSHG;600350.XSHG;600681.XSHG;600717.XSHG;600795.XSHG;600886.XSHG;601006.XSHG;601077.XSHG;601228.XSHG;601229.XSHG;601288.XSHG;601298.XSHG;601326.XSHG;601398.XSHG;601939.XSHG;601985.XSHG;601988.XSHG,40,22,18,0,0,0,1228568.0,1231454.0,25,0.007807403976639584,2426933.04672,At least one order executed and holdings exist after rebalance.
2022-07-01,normal_ordered,27,000429.XSHE;000755.XSHE;000883.XSHE;001872.XSHE;002608.XSHE;003816.XSHE;600012.XSHG;600017.XSHG;600033.XSHG;600035.XSHG;600350.XSHG;600795.XSHG;600886.XSHG;601000.XSHG;601006.XSHG;601018.XSHG;601077.XSHG;601169.XSHG;601288.XSHG;601298.XSHG;601326.XSHG;601398.XSHG;601825.XSHG;601939.XSHG;601985.XSHG;601988.XSHG;601991.XSHG,35,17,18,0,0,0,914368.0,878516.0,27,0.007485121234614719,2444362.3485199995,At least one order executed and holdings exist after rebalance.
2022-10-10,normal_ordered,27,000027.XSHE;000429.XSHE;000598.XSHE;000755.XSHE;001872.XSHE;003816.XSHE;600008.XSHG;600012.XSHG;600017.XSHG;600033.XSHG;600035.XSHG;600350.XSHG;600717.XSHG;600719.XSHG;600795.XSHG;600803.XSHG;601006.XSHG;601008.XSHG;601077.XSHG;601169.XSHG;601288.XSHG;601298.XSHG;601326.XSHG;601398.XSHG;601825.XSHG;601939.XSHG;601988.XSHG,33,21,12,0,0,0,626389.0,571489.0,27,0.0078017528018905,2414594.06602,At least one order executed and holdings exist after rebalance.
2023-01-03,normal_ordered,27,000429.XSHE;000755.XSHE;000905.XSHE;002039.XSHE;003816.XSHE;600012.XSHG;600018.XSHG;600033.XSHG;600035.XSHG;600098.XSHG;600283.XSHG;600350.XSHG;600461.XSHG;600717.XSHG;600886.XSHG;601000.XSHG;601006.XSHG;601077.XSHG;601288.XSHG;601298.XSHG;601398.XSHG;601825.XSHG;601880.XSHG;601939.XSHG;601985.XSHG;601988.XSHG;601997.XSHG,38,20,18,0,0,0,970085.0,971992.0,27,0.007988340238802462,2518506.6883199997,At least one order executed and holdings exist after rebalance.
2023-04-03,normal_ordered,28,000429.XSHE;000755.XSHE;001872.XSHE;600012.XSHG;600017.XSHG;600018.XSHG;600033.XSHG;600035.XSHG;600098.XSHG;600168.XSHG;600283.XSHG;600350.XSHG;600377.XSHG;600617.XSHG;600681.XSHG;600717.XSHG;600956.XSHG;601006.XSHG;601077.XSHG;601169.XSHG;601288.XSHG;601298.XSHG;601398.XSHG;601825.XSHG;601880.XSHG;601939.XSHG;601985.XSHG;601988.XSHG,34,13,21,1,0,1,756166.0,737165.0,28,0.00023664027231747373,2618326.6015199996,At least one order executed and holdings exist after rebalance.
2023-07-03,normal_ordered,28,000027.XSHE;000421.XSHE;000429.XSHE;000557.XSHE;000883.XSHE;002267.XSHE;002807.XSHE;600012.XSHG;600017.XSHG;600018.XSHG;600020.XSHG;600033.XSHG;600035.XSHG;600350.XSHG;600377.XSHG;600617.XSHG;600642.XSHG;600908.XSHG;601006.XSHG;601018.XSHG;601077.XSHG;601228.XSHG;601229.XSHG;601825.XSHG;601880.XSHG;601985.XSHG;601997.XSHG;603323.XSHG,42,20,22,0,0,0,1608117.0,1598966.0,28,0.007337879424875965,2821525.01032,At least one order executed and holdings exist after rebalance.
