trade_date,code,side,amount,price,value,commission,target_amount,reason
2021-05-06,601077.XSHG,buy,17100,4.14,70794.0,21.2382,17100,
2021-05-06,601988.XSHG,buy,21800,3.26,71068.0,21.3204,21800,
2021-05-06,601288.XSHG,buy,22200,3.2,71040.0,21.311999999999998,22200,
2021-05-06,601229.XSHG,buy,8600,8.17,70262.0,21.078599999999998,8600,
2021-05-06,601169.XSHG,buy,14800,4.77,70596.0,21.1788,14800,
2021-05-06,601328.XSHG,buy,14700,4.81,70707.0,21.2121,14700,
2021-05-06,601398.XSHG,buy,13900,5.11,71029.0,21.308699999999998,13900,
2021-05-06,600795.XSHG,buy,31400,2.26,70964.0,21.289199999999997,31400,
2021-05-06,600168.XSHG,buy,10600,6.65,70490.0,21.147,10600,
2021-05-06,002039.XSHE,buy,4900,14.31,70119.0,21.0357,4900,
2021-05-06,600027.XSHG,buy,21000,3.38,70980.0,21.293999999999997,21000,
2021-05-06,600011.XSHG,buy,16700,4.25,70975.0,21.292499999999997,16700,
2021-05-06,600310.XSHG,buy,17100,4.14,70794.0,21.2382,17100,
2021-05-06,601985.XSHG,buy,13700,5.17,70829.0,21.2487,13700,
2021-05-06,600033.XSHG,buy,26400,2.69,71016.0,21.304799999999997,26400,
2021-05-06,000900.XSHE,buy,16800,4.23,71064.0,21.3192,16800,
2021-05-06,600035.XSHG,buy,23700,2.99,70863.0,21.258899999999997,23700,
2021-05-06,600368.XSHG,buy,19300,3.68,71024.0,21.307199999999998,19300,
2021-05-06,000755.XSHE,buy,21000,3.37,70770.0,21.230999999999998,21000,
2021-05-06,000429.XSHE,buy,9700,7.31,70907.0,21.2721,9700,
2021-05-06,600106.XSHG,buy,27100,2.62,71002.0,21.3006,27100,
2021-05-06,601006.XSHG,buy,10300,6.86,70658.0,21.1974,10300,
2021-05-06,600017.XSHG,buy,26000,2.73,70980.0,21.293999999999997,26000,
2021-05-06,601326.XSHG,buy,26600,2.67,71022.0,21.3066,26600,
2021-05-06,600717.XSHG,buy,14900,4.74,70626.0,21.1878,14900,
2021-05-06,601000.XSHG,buy,26600,2.67,71022.0,21.3066,26600,
2021-05-06,001872.XSHE,buy,4800,14.71,70608.0,21.182399999999998,4800,
2021-05-06,600018.XSHG,buy,15200,4.65,70680.0,21.203999999999997,15200,
2021-07-01,601169.XSHG,sell,200,4.88,976.0,5.0,14600,
2021-07-01,601328.XSHG,sell,100,4.91,491.0,5.0,14600,
2021-07-01,601398.XSHG,sell,100,5.17,517.0,5.0,13800,
2021-07-01,600795.XSHG,sell,2100,2.44,5124.0,5.0,29300,
2021-07-01,600168.XSHG,sell,10600,6.63,70278.0,21.083399999999997,0,
2021-07-01,002039.XSHE,sell,4900,14.42,70658.0,21.1974,0,
2021-07-01,600027.XSHG,sell,200,3.44,688.0,5.0,20800,
2021-07-01,600310.XSHG,sell,17100,4.22,72162.0,21.6486,0,
2021-07-01,601985.XSHG,sell,13700,5.12,70144.0,21.0432,0,
2021-07-01,600106.XSHG,sell,27100,2.52,68292.0,20.487599999999997,0,
2021-07-01,600717.XSHG,sell,17880,3.92,70089.6,21.02688,0,
2021-07-01,001872.XSHE,sell,600,16.94,10164.0,5.0,4200,
2021-07-01,600018.XSHG,sell,200,4.78,956.0,5.0,15000,
2021-07-01,601077.XSHG,buy,800,3.99,3192.0,5.0,17900,
2021-07-01,601988.XSHG,buy,1400,3.08,4312.0,5.0,23200,
2021-07-01,601229.XSHG,buy,100,8.23,823.0,5.0,8700,
2021-07-01,601288.XSHG,buy,1300,3.04,3952.0,5.0,23500,
2021-07-01,600011.XSHG,buy,300,4.21,1263.0,5.0,17000,
2021-07-01,003816.XSHE,buy,26700,2.68,71556.0,21.4668,26700,
2021-07-01,002267.XSHE,buy,10400,6.85,71240.0,21.372,10400,
2021-07-01,601991.XSHG,buy,27100,2.64,71544.0,21.463199999999997,27100,
2021-07-01,000543.XSHE,buy,18900,3.79,71631.0,21.489299999999997,18900,
2021-07-01,600033.XSHG,buy,800,2.63,2104.0,5.0,27200,
2021-07-01,000900.XSHE,buy,700,4.09,2863.0,5.0,17500,
2021-07-01,600035.XSHG,buy,100,3.01,301.0,5.0,23800,
2021-07-01,600368.XSHG,buy,1400,3.46,4844.0,5.0,20700,
2021-07-01,000429.XSHE,buy,200,7.2,1440.0,5.0,9900,
2021-07-01,600350.XSHG,buy,11600,6.15,71340.0,21.401999999999997,11600,
2021-07-01,000755.XSHE,buy,500,3.33,1665.0,5.0,21500,
2021-07-01,601006.XSHG,buy,500,6.6,3300.0,5.0,10800,
2021-07-01,600017.XSHG,buy,900,2.66,2394.0,5.0,26900,
2021-07-01,601326.XSHG,buy,100,2.68,268.0,5.0,26700,
