trade_date,code,amount,net_cash_per_share,dividend_cash
2021-05-18,601000.XSHG,26600,0.16,4256.0
2021-05-24,600310.XSHG,17100,0.06,1026.0
2021-06-04,601988.XSHG,21800,0.1576,3435.68
2021-06-04,600017.XSHG,26000,0.028,728.0
2021-06-09,600035.XSHG,23700,0.056,1327.2
2021-06-15,002039.XSHE,4900,0.288,1411.1999999999998
2021-06-17,601288.XSHG,22200,0.14808,3287.3759999999997
2021-06-23,600717.XSHG,17880,0.0688,1230.144
2021-06-25,600168.XSHG,10600,0.0864,915.84
2021-06-25,000900.XSHE,16800,0.128,2150.4
2021-06-25,600106.XSHG,27100,0.0416,1127.36
2021-06-25,600368.XSHG,19300,0.1208,2331.44
2021-06-28,600033.XSHG,26400,0.08,2112.0
2021-06-29,601077.XSHG,17100,0.1776,3036.96
2021-07-02,600018.XSHG,15000,0.1024,1536.0
2021-07-06,601229.XSHG,8700,0.32,2784.0
2021-07-06,601398.XSHG,13800,0.2128,2936.64
2021-07-07,600011.XSHG,17000,0.144,2448.0
2021-07-07,600795.XSHG,29300,0.032,937.6
2021-07-08,003816.XSHE,26700,0.064,1708.8
2021-07-08,601006.XSHG,10800,0.384,4147.2
2021-07-13,601328.XSHG,14600,0.2536,3702.56
2021-07-14,601326.XSHG,26700,0.0512,1367.04
2021-07-15,000429.XSHE,9900,0.2328,2304.7200000000003
2021-07-16,601169.XSHG,14600,0.24,3504.0
2021-07-21,001872.XSHE,4200,0.304,1276.8
2021-07-23,600027.XSHG,20800,0.2,4160.0
2021-07-30,002267.XSHE,10400,0.16,1664.0
2021-08-10,600350.XSHG,11600,0.304,3526.4
2021-08-27,601991.XSHG,27100,0.0728,1972.88
2022-04-25,600681.XSHG,14400,0.2,2880.0
2022-05-13,002807.XSHE,21200,0.144,3052.7999999999997
2022-05-17,001872.XSHE,5600,0.344,1926.3999999999999
2022-05-20,000582.XSHE,11700,0.1472,1722.24
2022-05-27,601228.XSHG,26900,0.0456,1226.64
2022-06-15,600350.XSHG,28400,0.32,9088.0
2022-06-21,002267.XSHE,11800,0.24,2832.0
2022-06-23,600717.XSHG,20400,0.0808,1648.32
2022-06-29,601077.XSHG,22500,0.202,4545.0
2022-06-29,600033.XSHG,52400,0.12,6288.0
2022-06-30,000421.XSHE,14800,0.08,1184.0
2022-07-07,003816.XSHE,31000,0.0672,2083.2
2022-07-07,000429.XSHE,12500,0.456,5700.0
2022-07-07,601006.XSHG,13100,0.384,5030.400000000001
2022-07-08,601939.XSHG,14300,0.2912,4164.16
2022-07-12,601398.XSHG,18200,0.23464,4270.447999999999
2022-07-15,601169.XSHG,19100,0.244,4660.4
2022-07-15,601288.XSHG,28700,0.16544,4748.128
2022-07-15,601988.XSHG,26600,0.1768,4702.88
2022-07-15,000883.XSHE,17000,0.12,2040.0
2022-07-15,601985.XSHG,12600,0.12,1512.0
2022-07-19,601326.XSHG,30700,0.0448,1375.36
2022-07-20,600012.XSHG,13500,0.44,5940.0
2022-07-29,600886.XSHG,8200,0.1308,1072.56
2022-08-26,601298.XSHG,15800,0.20512,3240.8959999999997
2023-04-25,600681.XSHG,21500,0.12,2580.0
2023-05-31,600017.XSHG,33400,0.032,1068.8
2023-06-15,600350.XSHG,15200,0.32,4864.0
2023-06-16,600035.XSHG,26800,0.112,3001.6
2023-06-19,600956.XSHG,10000,0.1544,1544.0
2023-06-20,600717.XSHG,23000,0.0616,1416.8
2023-06-28,601825.XSHG,16200,0.2736,4432.32
2023-06-28,600098.XSHG,15900,0.16,2544.0
2023-06-28,001872.XSHE,4600,0.36,1656.0
2023-06-29,601077.XSHG,25400,0.21712,5514.848
2023-07-05,601880.XSHG,64000,0.01392,890.88
2023-07-06,600908.XSHG,18800,0.16,3008.0
2023-07-13,601006.XSHG,13500,0.384,5184.0
2023-07-14,002267.XSHE,12600,0.24,3024.0
2023-07-14,601985.XSHG,14100,0.136,1917.6000000000001
2023-07-14,000429.XSHE,12900,0.3424,4416.96
2023-07-19,600012.XSHG,9500,0.44,4180.0
2023-07-26,600377.XSHG,10200,0.368,3753.6
2023-07-28,600033.XSHG,32100,0.12,3852.0
2023-08-11,600018.XSHG,19100,0.112,2139.2
2023-08-16,000883.XSHE,21700,0.048,1041.6
2024-05-10,002807.XSHE,30200,0.152,4590.4
2024-05-14,000690.XSHE,18900,0.24,4536.0
2024-05-15,600018.XSHG,20800,0.1376,2862.08
2024-05-28,600020.XSHG,29800,0.1192,3552.16
2024-06-07,603323.XSHG,25100,0.144,3614.3999999999996
2024-06-07,600035.XSHG,25300,0.152,3845.6
2024-06-13,000900.XSHE,30200,0.12,3624.0
2024-06-14,601187.XSHG,21600,0.248,5356.8
2024-06-14,600017.XSHG,40700,0.052,2116.4
2024-06-18,000027.XSHE,13400,0.112,1500.8
2024-06-20,600717.XSHG,26000,0.0816,2121.6000000000004
2024-06-25,600350.XSHG,13100,0.336,4401.6
2024-06-27,601229.XSHG,16800,0.368,6182.4
2024-06-27,600033.XSHG,33400,0.096,3206.4
2024-06-28,601077.XSHG,24400,0.2308,5631.52
