sector_id,panel_csv,audit_date,candidate_rows,missing_low_vol_score,missing_volatility_120d,missing_max_drawdown_120d,missing_dividend_yield,current_required_fields_first_candidate_date,panel_earliest_date,panel_latest_date
bank,数据库\processed\low_volatility_factors_v57\bank_v3_repaired\panel_with_low_vol.csv,2021-05-06,0,0,0,0,0,2021-10-08,2014-01-02,2026-04-01
bank,数据库\processed\low_volatility_factors_v57\bank_v3_repaired\panel_with_low_vol.csv,2021-07-01,40,40,40,40,0,2021-10-08,2014-01-02,2026-04-01
bank,数据库\processed\low_volatility_factors_v57\bank_v3_repaired\panel_with_low_vol.csv,2021-10-08,41,1,1,1,0,2021-10-08,2014-01-02,2026-04-01
utilities_electricity,数据库\processed\low_volatility_factors_v56\utilities_v51f\panel_with_low_vol.csv,2021-05-06,0,0,0,0,0,2021-10-08,2017-01-03,2026-04-01
utilities_electricity,数据库\processed\low_volatility_factors_v56\utilities_v51f\panel_with_low_vol.csv,2021-07-01,96,96,96,96,0,2021-10-08,2017-01-03,2026-04-01
utilities_electricity,数据库\processed\low_volatility_factors_v56\utilities_v51f\panel_with_low_vol.csv,2021-10-08,99,0,0,0,0,2021-10-08,2017-01-03,2026-04-01
highway_infrastructure,数据库\processed\low_volatility_factors_v56\highway_v54h\panel_with_low_vol.csv,2021-05-06,11,11,11,11,0,2021-10-08,2021-05-06,2026-04-01
highway_infrastructure,数据库\processed\low_volatility_factors_v56\highway_v54h\panel_with_low_vol.csv,2021-07-01,11,11,11,11,0,2021-10-08,2021-05-06,2026-04-01
highway_infrastructure,数据库\processed\low_volatility_factors_v56\highway_v54h\panel_with_low_vol.csv,2021-10-08,11,0,0,0,0,2021-10-08,2021-05-06,2026-04-01
port_rail_infrastructure,数据库\processed\low_volatility_factors_v56\port_rail_v55j\panel_with_low_vol.csv,2021-05-06,18,18,18,18,0,2021-10-08,2021-05-06,2026-04-01
port_rail_infrastructure,数据库\processed\low_volatility_factors_v56\port_rail_v55j\panel_with_low_vol.csv,2021-07-01,18,18,18,18,0,2021-10-08,2021-05-06,2026-04-01
port_rail_infrastructure,数据库\processed\low_volatility_factors_v56\port_rail_v55j\panel_with_low_vol.csv,2021-10-08,18,0,0,0,0,2021-10-08,2021-05-06,2026-04-01
