code,report_period,sleeve_ids,source_pdf,availability_status,future_annual_report_substitution_allowed,price_proxy_allowed,usable_for_exact_target
000027.XSHE,2017-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000027_XSHE_2017-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000027.XSHE,2018-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000027_XSHE_2018-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000027.XSHE,2018-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000027_XSHE_2018-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000027.XSHE,2019-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000027_XSHE_2019-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000027.XSHE,2020-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000027_XSHE_2020-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000027.XSHE,2020-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000027_XSHE_2020-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000037.XSHE,2017-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000037_XSHE_2017-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000037.XSHE,2018-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000037_XSHE_2018-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000037.XSHE,2019-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000037_XSHE_2019-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000037.XSHE,2020-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000037_XSHE_2020-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000088.XSHE,2018-09-30,highway_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000088_XSHE_2018-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000088.XSHE,2020-09-30,highway_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000088_XSHE_2020-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000155.XSHE,2019-09-30,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000155_XSHE_2019-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000301.XSHE,2018-03-31,utilities_electricity,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000301_XSHE_2018-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000429.XSHE,2019-09-30,highway_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000429_XSHE_2019-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000507.XSHE,2019-03-31,port_rail_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000507_XSHE_2019-03-31.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000507.XSHE,2020-09-30,port_rail_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000507_XSHE_2020-09-30.pdf,genuine_disclosure_unavailable_candidate,False,False,False
000520.XSHE,2017-06-30,port_rail_infrastructure,v5j_pre2021_infra_original_cashflow_panel\current\pdf\000520_XSHE_2017-06-30.pdf,needs_original_table_layout_review,False,False,False
