artifact,path,exists,size_bytes,sha256,classification
qmt_no_order_script,v5_qmt_model_retest_packet\current\qmt_scripts\v5_qmt_no_order_nav_replay.py,True,6861,4b96cb9ef69276c6ea56302b3a453c54859664ab9a852f331fceb44929ead3aa,no_order_replay_input_or_output
qmt_no_order_target_schedule,v5_qmt_model_retest_packet\current\qmt_inputs\v5_qmt_target_weight_schedule.csv,True,19314894,299866abbe7f8be26188656568b03af9995548083eb16765d003ef080ac8a49a,no_order_replay_input_or_output
qmt_no_order_daily_result,v5_qmt_model_retest_packet\current\qmt_results\v5_qmt_nav_replay_daily.csv,True,756926,c1de3810401859cd0a7b350ddecb78bfe3af1b44b8fed3ce5b426fb53860195c,no_order_replay_input_or_output
qmt_no_order_metrics,v5_qmt_model_retest_packet\current\qmt_results\v5_qmt_nav_replay_metrics.csv,True,948,7f6b58ccacaf91d537910f9913fb7565faf8146425e3291e5cf69a5e69e9d3fd,no_order_replay_input_or_output
aggregate_engine_comparison,v5_qmt_model_retest_packet\current\v5_qmt_prior_engine_result_comparison.csv,True,684,f08c6d9e8ad387b0393c566158ddcfd813edca6ff9e17ce942ea480d6d663dd7,engine_contract_requirement
submitted_engine_script,v5m_missing_no_file,False,,,engine_contract_requirement
submitted_engine_config_fee,v5m_missing_no_file,False,,,engine_contract_requirement
engine_target_snapshot_per_rebalance,v5m_missing_no_file,False,,,engine_contract_requirement
engine_order_export,v5m_missing_no_file,False,,,engine_contract_requirement
engine_fill_export,v5m_missing_no_file,False,,,engine_contract_requirement
engine_position_cash_export,v5m_missing_no_file,False,,,engine_contract_requirement
