canonical_model_id,formal_window,comparison_status
airport_transport_cashflow_operating_state_v58,2021-05-01_to_2026-05-31,not_ranked_cross_model
airport_transport_franchise_state_v58b,2021-05-01_to_2026-05-31,not_ranked_cross_model
bank_high_dividend_sustainability_v3,2021-05-01_to_2026-05-31,not_ranked_cross_model
bank_value_15y,2021-05-01_to_2026-05-31,not_ranked_cross_model
bank_value_quality_v2,2021-05-01_to_2026-05-31,not_ranked_cross_model
cement_cycle_aware_ocf_low_vol_v5a9,2021-05-01_to_2026-05-31,not_ranked_cross_model
coal_cashflow_cycle_value_v52b,2021-05-01_to_2026-05-31,not_ranked_cross_model
coal_cashflow_cycle_value_v52b_capex_policy,2021-05-01_to_2026-05-31,not_ranked_cross_model
coal_high_dividend_cycle_value_v52,2021-05-01_to_2026-05-31,not_ranked_cross_model
consumer_staples_ocf_low_vol_v5a5,2021-05-01_to_2026-05-31,not_ranked_cross_model
dividend_low_vol_fcf_basket_v56,2021-05-01_to_2026-05-31,not_ranked_cross_model
dividend_low_vol_ocf_enhanced_etf_v57,2021-05-01_to_2026-05-31,not_ranked_cross_model
dividend_low_vol_sector_adaptive_etf_v57b,2021-05-01_to_2026-05-31,not_ranked_cross_model
dividend_low_vol_sector_neutral_equal_sleeve_etf_v57e,2021-05-01_to_2026-05-31,not_ranked_cross_model
dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f,2021-05-01_to_2026-05-31,not_ranked_cross_model
dividend_low_vol_sector_neutral_etf_v57c,2021-05-01_to_2026-05-31,not_ranked_cross_model
dividend_low_vol_sector_neutral_etf_v57d,2021-05-01_to_2026-05-31,not_ranked_cross_model
dividend_ocf_low_vol_basket_v56b,2021-05-01_to_2026-05-31,not_ranked_cross_model
dividend_ocf_vol_guard_basket_v56c,2021-05-01_to_2026-05-31,not_ranked_cross_model
food_beverage_low_vol_diagnostic_v5a5b,2021-05-01_to_2026-05-31,not_ranked_cross_model
food_beverage_ocf_low_vol_v5a5,2021-05-01_to_2026-05-31,not_ranked_cross_model
gas_water_cashflow_dividend_v55a,2021-05-01_to_2026-05-31,not_ranked_cross_model
gas_water_collection_debt_guard_v57c,2021-05-01_to_2026-05-31,not_ranked_cross_model
gas_water_ocf_dividend_guard_v57a,2021-05-01_to_2026-05-31,not_ranked_cross_model
gas_water_true_operating_state_diagnostic_v59,2021-05-01_to_2026-05-31,not_ranked_cross_model
gas_water_v57b_text_debt_state_guard_v59b,2021-05-01_to_2026-05-31,not_ranked_cross_model
gas_water_value_serviceability_v57b,2021-05-01_to_2026-05-31,not_ranked_cross_model
