canonical_model_id,execution_evidence_type,source,status
airport_transport_cashflow_operating_state_v58,not_available,not_available,local_historical_series_or_unavailable
airport_transport_franchise_state_v58b,not_available,not_available,local_historical_series_or_unavailable
bank_high_dividend_sustainability_v3,local_price_or_nav_series,local_daily_backtests_v3_formal_candidate\bank_high_dividend_sustainability_v3\daily_returns.csv,local_historical_series_or_unavailable
bank_value_15y,local_price_or_nav_series,local_daily_backtests\bank_value_15y\daily_returns.csv,local_historical_series_or_unavailable
bank_value_quality_v2,local_price_or_nav_series,local_daily_backtests_v2_real_jq\bank_value_quality_v2\daily_returns.csv,local_historical_series_or_unavailable
cement_cycle_aware_ocf_low_vol_v5a9,not_available,not_available,local_historical_series_or_unavailable
coal_cashflow_cycle_value_v52b,local_price_or_nav_series,local_daily_backtests_coal_v52b\coal_cashflow_cycle_value_v52b_capex_policy\daily_returns.csv,local_historical_series_or_unavailable
coal_cashflow_cycle_value_v52b_capex_policy,local_price_or_nav_series,local_daily_backtests_coal_v52b\coal_cashflow_cycle_value_v52b_capex_policy\daily_returns.csv,local_historical_series_or_unavailable
coal_high_dividend_cycle_value_v52,not_available,not_available,local_historical_series_or_unavailable
consumer_staples_ocf_low_vol_v5a5,not_available,not_available,local_historical_series_or_unavailable
dividend_low_vol_fcf_basket_v56,not_available,not_available,local_historical_series_or_unavailable
dividend_low_vol_ocf_enhanced_etf_v57,local_price_or_nav_series,local_daily_backtests_v57_etf\dividend_low_vol_ocf_enhanced_etf_v57\daily_returns.csv,local_historical_series_or_unavailable
dividend_low_vol_sector_adaptive_etf_v57b,local_price_or_nav_series,local_daily_backtests_v57b_etf\dividend_low_vol_sector_adaptive_etf_v57b\daily_returns.csv,local_historical_series_or_unavailable
dividend_low_vol_sector_neutral_equal_sleeve_etf_v57e,local_price_or_nav_series,local_daily_backtests_v57e_etf\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57e\daily_returns.csv,local_historical_series_or_unavailable
dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f,local_price_or_nav_series,v5_startup_preload_repair\current\runs\v57f_repaired_daily_backtest\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f\daily_returns.csv,local_historical_series_or_unavailable
dividend_low_vol_sector_neutral_etf_v57c,local_price_or_nav_series,local_daily_backtests_v57c_etf\dividend_low_vol_sector_neutral_etf_v57c\daily_returns.csv,local_historical_series_or_unavailable
dividend_low_vol_sector_neutral_etf_v57d,local_price_or_nav_series,local_daily_backtests_v57d_etf\dividend_low_vol_sector_neutral_etf_v57d\daily_returns.csv,local_historical_series_or_unavailable
dividend_ocf_low_vol_basket_v56b,not_available,not_available,local_historical_series_or_unavailable
dividend_ocf_vol_guard_basket_v56c,not_available,not_available,local_historical_series_or_unavailable
food_beverage_low_vol_diagnostic_v5a5b,not_available,not_available,local_historical_series_or_unavailable
food_beverage_ocf_low_vol_v5a5,not_available,not_available,local_historical_series_or_unavailable
gas_water_cashflow_dividend_v55a,not_available,not_available,local_historical_series_or_unavailable
gas_water_collection_debt_guard_v57c,not_available,not_available,local_historical_series_or_unavailable
gas_water_ocf_dividend_guard_v57a,not_available,not_available,local_historical_series_or_unavailable
gas_water_true_operating_state_diagnostic_v59,not_available,not_available,local_historical_series_or_unavailable
gas_water_v57b_text_debt_state_guard_v59b,local_price_or_nav_series,local_daily_backtests_v59b_gas_water_state_guard\gas_water_v57b_text_debt_state_guard_v59b\daily_returns.csv,local_historical_series_or_unavailable
gas_water_value_serviceability_v57b,local_price_or_nav_series,local_daily_backtests_v57_gas_water\gas_water_value_serviceability_v57b\daily_returns.csv,local_historical_series_or_unavailable
highway_cashflow_dividend_v54,not_available,not_available,local_historical_series_or_unavailable
highway_dividend_operating_state_v54c,not_available,not_available,local_historical_series_or_unavailable
highway_dividend_reviewed_operating_v54f,not_available,not_available,local_historical_series_or_unavailable
highway_dividend_reviewed_operating_v54g,local_price_or_nav_series,local_daily_backtests_highway_v54g\highway_dividend_reviewed_operating_v54g\daily_returns.csv,local_historical_series_or_unavailable
highway_dividend_reviewed_operating_v54h_repaired_2021,local_price_or_nav_series,local_daily_backtests_highway_v54h_repaired_2021_final\highway_dividend_reviewed_operating_v54h_repaired_2021\daily_returns.csv,local_historical_series_or_unavailable
highway_dividend_segment_purity_v54d,not_available,not_available,local_historical_series_or_unavailable
highway_dividend_segment_purity_v54e,not_available,not_available,local_historical_series_or_unavailable
highway_high_dividend_cashflow_diagnostics_v54b,not_available,not_available,local_historical_series_or_unavailable
home_appliances_ocf_low_vol_v5a5,not_available,not_available,local_historical_series_or_unavailable
home_appliances_ocf_quality_v5a5b,not_available,not_available,local_historical_series_or_unavailable
home_appliances_ocf_quality_v5a5c,local_price_or_nav_series,local_daily_backtests_home_appliances_v5a5e\home_appliances_ocf_quality_v5a5c\daily_returns.csv,local_historical_series_or_unavailable
insurance_low_pb_dividend_v53b,not_available,not_available,local_historical_series_or_unavailable
insurance_low_pb_only_v53c,local_price_or_nav_series,local_daily_backtests_insurance_v53c\insurance_low_pb_only_v53c\daily_returns.csv,local_historical_series_or_unavailable
