canonical_model_id,report_status,daily_series_status,benchmark_status,validation_status,limitations
airport_transport_cashflow_operating_state_v58,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
airport_transport_franchise_state_v58b,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
cement_cycle_aware_ocf_low_vol_v5a9,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
coal_high_dividend_cycle_value_v52,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
consumer_staples_ocf_low_vol_v5a5,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
dividend_low_vol_fcf_basket_v56,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
dividend_ocf_low_vol_basket_v56b,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
dividend_ocf_vol_guard_basket_v56c,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
food_beverage_low_vol_diagnostic_v5a5b,diagnostic_only_no_nav_claim,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
food_beverage_ocf_low_vol_v5a5,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
gas_water_cashflow_dividend_v55a,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
gas_water_collection_debt_guard_v57c,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
gas_water_ocf_dividend_guard_v57a,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
gas_water_true_operating_state_diagnostic_v59,diagnostic_only_no_nav_claim,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
highway_cashflow_dividend_v54,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
highway_dividend_operating_state_v54c,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
highway_dividend_reviewed_operating_v54f,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
highway_dividend_segment_purity_v54d,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
highway_dividend_segment_purity_v54e,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
highway_high_dividend_cashflow_diagnostics_v54b,diagnostic_only_no_nav_claim,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
home_appliances_ocf_low_vol_v5a5,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
home_appliances_ocf_quality_v5a5b,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
insurance_low_pb_dividend_v53b,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
insurance_low_pb_solvency_guard_v53e,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
insurance_pev_nbv_v53f_diagnostic,diagnostic_only_no_nav_claim,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
insurance_value_investment_solvency_v53d,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
insurance_value_quality_v53_test1,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
locked_pool_monthly_mom12_70_30,diagnostic_only_no_nav_claim,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
mr_borrow_paired_drop_spike_net0_cap10_next2,diagnostic_only_no_nav_claim,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
oil_gas_ocf_dividend_cycle_probe_v58a,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
oil_gas_ocf_low_vol_value_v58b,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
oil_gas_state_conditioned_ocf_v58d,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
port_rail_cashflow_dividend_v55a,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
port_rail_cashflow_operating_state_v55b,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
pressure_positive_1000_else_1400_buy,execution_only_no_strategy_nav,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable
telecom_operators_cashflow_dividend_v55a,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
utilities_cashflow_value_v51b,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
utilities_conditional_low_pb_cashflow_v51d,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
utilities_low_pb_cashflow_v51c,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
utilities_value_quality_v51,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
v4_bank_candidate1,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
v5b_etf_holdings_reference_audit,diagnostic_only_no_nav_claim,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
v5b_etf_pit_sector_gate_audit,diagnostic_only_no_nav_claim,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
v5b_forward_paper_handoff,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
v5b_no_jq_1234_execution,execution_only_no_strategy_nav,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
v5b_no_jq_next_actions,execution_only_no_strategy_nav,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
v5b_no_jq_sleeve_promotion,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
v5b_non_core_sector_disposition,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
v5b_non_core_sector_queue_execution,execution_only_no_strategy_nav,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
v5b_telecom_sidecar_attribution,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
v5b_telecom_specialist_policy,diagnostic_only_no_nav_claim,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
v5b_three_track_execution,execution_only_no_strategy_nav,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
v5b_three_track_execution_plan,execution_only_no_strategy_nav,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
v5c_50w_execution_micro_audit,execution_only_no_strategy_nav,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
v5c_bank_power_dedicated_book_card_collection,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
v5c_bank_power_financial_report_batch_extraction,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
v5c_bank_power_financial_report_data_gate,diagnostic_only_no_nav_claim,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
v5c_bank_power_financial_report_pit_panel,report_complete_validation_not_independent,daily_nav_unavailable,benchmark_coverage_insufficient,validation_not_independent_or_overlapping,companion_reporting_only;no_model_status_change;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
v5c_bank_power_industry_factor_weight_test,report_complete_validation_not_independent,daily_nav_unavailable,benchmark_coverage_insufficient,validation_not_independent_or_overlapping,companion_reporting_only;no_model_status_change;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
v5c_bank_power_single_factor_cross_section_test,report_complete_validation_not_independent,daily_nav_unavailable,benchmark_coverage_insufficient,validation_not_independent_or_overlapping,companion_reporting_only;no_model_status_change;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
v5c_bank_power_v5f_attribution,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
v5c_bank_special_mention_pre2021_train_test,diagnostic_only_no_nav_claim,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
v5c_closeout,archived_or_superseded,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
v5c_closeout_defense_addendum,archived_or_superseded,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
v5c_continuation_decision,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
v5c_core_infra_cashflow_field_repair,performance_data_unavailable,daily_nav_unavailable,benchmark_coverage_insufficient,daily_nav_unavailable,companion_reporting_only;no_model_status_change;daily_nav_or_returns_unavailable;eligible_benchmark_unavailable;comparison_does_not_repair_cash_or_order_contract
