model_id,canonical_model_id,relationship
airport_transport_cashflow_operating_state_v58,airport_transport_cashflow_operating_state_v58,canonical
airport_transport_franchise_state_v58b,airport_transport_franchise_state_v58b,canonical
bank_high_dividend_sustainability_v3,bank_high_dividend_sustainability_v3,canonical
bank_value_15y,bank_value_15y,canonical
bank_value_quality_v2,bank_value_quality_v2,canonical
cement_cycle_aware_ocf_low_vol_v5a9,cement_cycle_aware_ocf_low_vol_v5a9,canonical
coal_cashflow_cycle_value_v52b,coal_cashflow_cycle_value_v52b,canonical
coal_cashflow_cycle_value_v52b_capex_policy,coal_cashflow_cycle_value_v52b_capex_policy,canonical
coal_high_dividend_cycle_value_v52,coal_high_dividend_cycle_value_v52,canonical
consumer_staples_ocf_low_vol_v5a5,consumer_staples_ocf_low_vol_v5a5,canonical
dividend_low_vol_fcf_basket_v56,dividend_low_vol_fcf_basket_v56,canonical
dividend_low_vol_ocf_enhanced_etf_v57,dividend_low_vol_ocf_enhanced_etf_v57,canonical
dividend_low_vol_sector_adaptive_etf_v57b,dividend_low_vol_sector_adaptive_etf_v57b,canonical
dividend_low_vol_sector_neutral_equal_sleeve_etf_v57e,dividend_low_vol_sector_neutral_equal_sleeve_etf_v57e,canonical
dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f,v57f_startup_preload_repaired_baseline,alias_of
dividend_low_vol_sector_neutral_etf_v57c,dividend_low_vol_sector_neutral_etf_v57c,canonical
dividend_low_vol_sector_neutral_etf_v57d,dividend_low_vol_sector_neutral_etf_v57d,canonical
dividend_ocf_low_vol_basket_v56b,dividend_ocf_low_vol_basket_v56b,canonical
dividend_ocf_vol_guard_basket_v56c,dividend_ocf_vol_guard_basket_v56c,canonical
food_beverage_low_vol_diagnostic_v5a5b,food_beverage_low_vol_diagnostic_v5a5b,canonical
food_beverage_ocf_low_vol_v5a5,food_beverage_ocf_low_vol_v5a5,canonical
gas_water_cashflow_dividend_v55a,gas_water_cashflow_dividend_v55a,canonical
gas_water_collection_debt_guard_v57c,gas_water_collection_debt_guard_v57c,canonical
gas_water_ocf_dividend_guard_v57a,gas_water_ocf_dividend_guard_v57a,canonical
gas_water_true_operating_state_diagnostic_v59,gas_water_true_operating_state_diagnostic_v59,canonical
gas_water_v57b_text_debt_state_guard_v59b,gas_water_v57b_text_debt_state_guard_v59b,canonical
gas_water_value_serviceability_v57b,gas_water_value_serviceability_v57b,canonical
highway_cashflow_dividend_v54,highway_cashflow_dividend_v54,canonical
highway_dividend_operating_state_v54c,highway_dividend_operating_state_v54c,canonical
highway_dividend_reviewed_operating_v54f,highway_dividend_reviewed_operating_v54f,canonical
highway_dividend_reviewed_operating_v54g,highway_dividend_reviewed_operating_v54g,canonical
highway_dividend_reviewed_operating_v54h_repaired_2021,highway_dividend_reviewed_operating_v54h_repaired_2021,canonical
highway_dividend_segment_purity_v54d,highway_dividend_segment_purity_v54d,canonical
highway_dividend_segment_purity_v54e,highway_dividend_segment_purity_v54e,canonical
highway_high_dividend_cashflow_diagnostics_v54b,highway_high_dividend_cashflow_diagnostics_v54b,canonical
home_appliances_ocf_low_vol_v5a5,home_appliances_ocf_low_vol_v5a5,canonical
home_appliances_ocf_quality_v5a5b,home_appliances_ocf_quality_v5a5b,canonical
home_appliances_ocf_quality_v5a5c,home_appliances_ocf_quality_v5a5c,canonical
insurance_low_pb_dividend_v53b,insurance_low_pb_dividend_v53b,canonical
insurance_low_pb_only_v53c,insurance_low_pb_only_v53c,canonical
insurance_low_pb_solvency_guard_v53e,insurance_low_pb_solvency_guard_v53e,canonical
insurance_pev_nbv_v53f_diagnostic,insurance_pev_nbv_v53f_diagnostic,canonical
insurance_pev_value_v53g,insurance_pev_value_v53g,canonical
insurance_value_investment_solvency_v53d,insurance_value_investment_solvency_v53d,canonical
insurance_value_quality_v53_test1,insurance_value_quality_v53_test1,canonical
internal_subsleeve_mom12_70_30,internal_subsleeve_mom12_70_30,canonical
locked_pool_monthly_mom12_70_30,locked_pool_monthly_mom12_70_30,canonical
mr_borrow_paired_drop_spike_net0_cap10_next2,mr_borrow_paired_drop_spike_net0_cap10_next2,canonical
oil_gas_ocf_dividend_cycle_probe_v58a,oil_gas_ocf_dividend_cycle_probe_v58a,canonical
oil_gas_ocf_low_vol_value_v58b,oil_gas_ocf_low_vol_value_v58b,canonical
oil_gas_state_conditioned_ocf_v58d,oil_gas_state_conditioned_ocf_v58d,canonical
oil_gas_state_conditioned_ocf_v58g,oil_gas_state_conditioned_ocf_v58g,canonical
port_rail_cashflow_dividend_v55a,port_rail_cashflow_dividend_v55a,canonical
port_rail_cashflow_operating_state_v55b,port_rail_cashflow_operating_state_v55b,canonical
port_rail_cashflow_value_operating_diagnostic_v55c,port_rail_cashflow_value_operating_diagnostic_v55c,canonical
port_rail_cashflow_value_operating_diagnostic_v55g_repaired_2021,port_rail_cashflow_value_operating_diagnostic_v55g_repaired_2021,canonical
port_rail_cashflow_value_operating_diagnostic_v55i_business_purity_gate,port_rail_cashflow_value_operating_diagnostic_v55i_business_purity_gate,canonical
port_rail_cashflow_value_operating_diagnostic_v55j_reviewed_business_sources,port_rail_cashflow_value_operating_diagnostic_v55j_reviewed_business_sources,canonical
pressure_positive_1000_else_1400_buy,pressure_positive_1000_else_1400_buy,canonical
telecom_operators_cashflow_dividend_v55a,telecom_operators_cashflow_dividend_v55a,canonical
utilities_cashflow_value_v51b,utilities_cashflow_value_v51b,canonical
