canonical_model_id,has_source_evidence,has_addendum,report_status,missing_reason
airport_transport_cashflow_operating_state_v58,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
airport_transport_franchise_state_v58b,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
bank_high_dividend_sustainability_v3,True,True,report_complete_validation_not_independent,
bank_value_15y,True,True,report_complete_validation_not_independent,
bank_value_quality_v2,True,True,report_complete_validation_not_independent,
cement_cycle_aware_ocf_low_vol_v5a9,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
coal_cashflow_cycle_value_v52b,True,True,report_complete_validation_not_independent,
coal_cashflow_cycle_value_v52b_capex_policy,True,True,report_complete_validation_not_independent,
coal_high_dividend_cycle_value_v52,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
consumer_staples_ocf_low_vol_v5a5,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
dividend_low_vol_fcf_basket_v56,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
dividend_low_vol_ocf_enhanced_etf_v57,True,True,report_complete_validation_not_independent,
dividend_low_vol_sector_adaptive_etf_v57b,True,True,report_complete_validation_not_independent,
dividend_low_vol_sector_neutral_equal_sleeve_etf_v57e,True,True,report_complete_validation_not_independent,
dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f,True,True,duplicate_or_alias_of_canonical_model,
dividend_low_vol_sector_neutral_etf_v57c,True,True,report_complete_validation_not_independent,
dividend_low_vol_sector_neutral_etf_v57d,True,True,report_complete_validation_not_independent,
dividend_ocf_low_vol_basket_v56b,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
dividend_ocf_vol_guard_basket_v56c,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
food_beverage_low_vol_diagnostic_v5a5b,True,True,diagnostic_only_no_nav_claim,daily_nav_or_return_series_not_found_or_not_eligible
food_beverage_ocf_low_vol_v5a5,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
gas_water_cashflow_dividend_v55a,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
gas_water_collection_debt_guard_v57c,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
gas_water_ocf_dividend_guard_v57a,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
gas_water_true_operating_state_diagnostic_v59,True,True,diagnostic_only_no_nav_claim,daily_nav_or_return_series_not_found_or_not_eligible
gas_water_v57b_text_debt_state_guard_v59b,True,True,report_complete_validation_not_independent,
gas_water_value_serviceability_v57b,True,True,report_complete_validation_not_independent,
highway_cashflow_dividend_v54,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
highway_dividend_operating_state_v54c,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
highway_dividend_reviewed_operating_v54f,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
highway_dividend_reviewed_operating_v54g,True,True,report_complete_validation_not_independent,
highway_dividend_reviewed_operating_v54h_repaired_2021,True,True,report_complete_validation_not_independent,
highway_dividend_segment_purity_v54d,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
highway_dividend_segment_purity_v54e,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
highway_high_dividend_cashflow_diagnostics_v54b,True,True,diagnostic_only_no_nav_claim,daily_nav_or_return_series_not_found_or_not_eligible
home_appliances_ocf_low_vol_v5a5,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
home_appliances_ocf_quality_v5a5b,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
home_appliances_ocf_quality_v5a5c,True,True,report_complete_validation_not_independent,
insurance_low_pb_dividend_v53b,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
insurance_low_pb_only_v53c,True,True,report_complete_validation_not_independent,
insurance_low_pb_solvency_guard_v53e,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
insurance_pev_nbv_v53f_diagnostic,True,True,diagnostic_only_no_nav_claim,daily_nav_or_return_series_not_found_or_not_eligible
insurance_pev_value_v53g,True,True,report_complete_validation_not_independent,
insurance_value_investment_solvency_v53d,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
insurance_value_quality_v53_test1,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
internal_subsleeve_mom12_70_30,True,True,report_complete_validation_not_independent,
locked_pool_monthly_mom12_70_30,True,True,diagnostic_only_no_nav_claim,daily_nav_or_return_series_not_found_or_not_eligible
mr_borrow_paired_drop_spike_net0_cap10_next2,True,True,diagnostic_only_no_nav_claim,daily_nav_or_return_series_not_found_or_not_eligible
oil_gas_ocf_dividend_cycle_probe_v58a,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
oil_gas_ocf_low_vol_value_v58b,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
oil_gas_state_conditioned_ocf_v58d,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
oil_gas_state_conditioned_ocf_v58g,True,True,report_complete_validation_not_independent,
port_rail_cashflow_dividend_v55a,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
port_rail_cashflow_operating_state_v55b,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
port_rail_cashflow_value_operating_diagnostic_v55c,True,True,report_complete_validation_not_independent,
port_rail_cashflow_value_operating_diagnostic_v55g_repaired_2021,True,True,report_complete_validation_not_independent,
port_rail_cashflow_value_operating_diagnostic_v55i_business_purity_gate,True,True,report_complete_validation_not_independent,
port_rail_cashflow_value_operating_diagnostic_v55j_reviewed_business_sources,True,True,report_complete_validation_not_independent,
pressure_positive_1000_else_1400_buy,True,True,execution_only_no_strategy_nav,daily_nav_or_return_series_not_found_or_not_eligible
telecom_operators_cashflow_dividend_v55a,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
utilities_cashflow_value_v51b,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
utilities_conditional_low_pb_cashflow_v51d,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
utilities_demand_state_v51f,True,True,report_complete_validation_not_independent,
utilities_low_pb_cashflow_v51c,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
utilities_value_quality_v51,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
v4_bank_candidate1,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
v57f_startup_preload_repaired_baseline,True,True,report_complete_validation_not_independent,
v5b_etf_holdings_reference_audit,True,True,diagnostic_only_no_nav_claim,daily_nav_or_return_series_not_found_or_not_eligible
v5b_etf_pit_sector_gate_audit,True,True,diagnostic_only_no_nav_claim,daily_nav_or_return_series_not_found_or_not_eligible
v5b_forward_paper_handoff,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
v5b_no_jq_1234_execution,True,True,execution_only_no_strategy_nav,daily_nav_or_return_series_not_found_or_not_eligible
v5b_no_jq_next_actions,True,True,execution_only_no_strategy_nav,daily_nav_or_return_series_not_found_or_not_eligible
v5b_no_jq_sleeve_promotion,True,True,performance_data_unavailable,daily_nav_or_return_series_not_found_or_not_eligible
