canonical_model_id,source_evidence_paths,addendum_path,status
airport_transport_cashflow_operating_state_v58,examples\airport_transport_cashflow_operating_state_v58_strategy.json,v5n_model_performance_reporting\current\model_addenda\airport_transport_cashflow_operating_state_v58\model_performance_addendum.md,performance_data_unavailable
airport_transport_franchise_state_v58b,examples\airport_transport_franchise_state_v58b_strategy.json,v5n_model_performance_reporting\current\model_addenda\airport_transport_franchise_state_v58b\model_performance_addendum.md,performance_data_unavailable
bank_high_dividend_sustainability_v3,examples\bank_high_dividend_sustainability_v3_strategy.json,v5n_model_performance_reporting\current\model_addenda\bank_high_dividend_sustainability_v3\model_performance_addendum.md,report_complete_validation_not_independent
bank_value_15y,examples\bank_value_15y_strategy.json,v5n_model_performance_reporting\current\model_addenda\bank_value_15y\model_performance_addendum.md,report_complete_validation_not_independent
bank_value_quality_v2,examples\bank_value_quality_v2_strategy.json,v5n_model_performance_reporting\current\model_addenda\bank_value_quality_v2\model_performance_addendum.md,report_complete_validation_not_independent
cement_cycle_aware_ocf_low_vol_v5a9,examples\cement_cycle_aware_ocf_low_vol_v5a9_strategy.json,v5n_model_performance_reporting\current\model_addenda\cement_cycle_aware_ocf_low_vol_v5a9\model_performance_addendum.md,performance_data_unavailable
coal_cashflow_cycle_value_v52b,examples\coal_cashflow_cycle_value_v52b_strategy.json,v5n_model_performance_reporting\current\model_addenda\coal_cashflow_cycle_value_v52b\model_performance_addendum.md,report_complete_validation_not_independent
coal_cashflow_cycle_value_v52b_capex_policy,examples\coal_cashflow_cycle_value_v52b_capex_policy_strategy.json,v5n_model_performance_reporting\current\model_addenda\coal_cashflow_cycle_value_v52b_capex_policy\model_performance_addendum.md,report_complete_validation_not_independent
coal_high_dividend_cycle_value_v52,examples\coal_high_dividend_cycle_value_v52_strategy.json,v5n_model_performance_reporting\current\model_addenda\coal_high_dividend_cycle_value_v52\model_performance_addendum.md,performance_data_unavailable
consumer_staples_ocf_low_vol_v5a5,examples\consumer_staples_ocf_low_vol_v5a5_strategy.json,v5n_model_performance_reporting\current\model_addenda\consumer_staples_ocf_low_vol_v5a5\model_performance_addendum.md,performance_data_unavailable
dividend_low_vol_fcf_basket_v56,examples\dividend_low_vol_fcf_basket_v56_strategy.json,v5n_model_performance_reporting\current\model_addenda\dividend_low_vol_fcf_basket_v56\model_performance_addendum.md,performance_data_unavailable
dividend_low_vol_ocf_enhanced_etf_v57,examples\dividend_low_vol_ocf_enhanced_etf_v57_strategy.json,v5n_model_performance_reporting\current\model_addenda\dividend_low_vol_ocf_enhanced_etf_v57\model_performance_addendum.md,report_complete_validation_not_independent
dividend_low_vol_sector_adaptive_etf_v57b,examples\dividend_low_vol_sector_adaptive_etf_v57b_strategy.json,v5n_model_performance_reporting\current\model_addenda\dividend_low_vol_sector_adaptive_etf_v57b\model_performance_addendum.md,report_complete_validation_not_independent
dividend_low_vol_sector_neutral_equal_sleeve_etf_v57e,examples\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57e_strategy.json,v5n_model_performance_reporting\current\model_addenda\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57e\model_performance_addendum.md,report_complete_validation_not_independent
dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f,examples\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f_strategy.json,v5n_model_performance_reporting\current\model_addenda\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f\model_performance_addendum.md,duplicate_or_alias_of_canonical_model
dividend_low_vol_sector_neutral_etf_v57c,examples\dividend_low_vol_sector_neutral_etf_v57c_strategy.json,v5n_model_performance_reporting\current\model_addenda\dividend_low_vol_sector_neutral_etf_v57c\model_performance_addendum.md,report_complete_validation_not_independent
dividend_low_vol_sector_neutral_etf_v57d,examples\dividend_low_vol_sector_neutral_etf_v57d_strategy.json,v5n_model_performance_reporting\current\model_addenda\dividend_low_vol_sector_neutral_etf_v57d\model_performance_addendum.md,report_complete_validation_not_independent
dividend_ocf_low_vol_basket_v56b,examples\dividend_ocf_low_vol_basket_v56b_strategy.json,v5n_model_performance_reporting\current\model_addenda\dividend_ocf_low_vol_basket_v56b\model_performance_addendum.md,performance_data_unavailable
dividend_ocf_vol_guard_basket_v56c,examples\dividend_ocf_vol_guard_basket_v56c_strategy.json,v5n_model_performance_reporting\current\model_addenda\dividend_ocf_vol_guard_basket_v56c\model_performance_addendum.md,performance_data_unavailable
food_beverage_low_vol_diagnostic_v5a5b,examples\food_beverage_low_vol_diagnostic_v5a5b_strategy.json,v5n_model_performance_reporting\current\model_addenda\food_beverage_low_vol_diagnostic_v5a5b\model_performance_addendum.md,diagnostic_only_no_nav_claim
food_beverage_ocf_low_vol_v5a5,examples\food_beverage_ocf_low_vol_v5a5_strategy.json,v5n_model_performance_reporting\current\model_addenda\food_beverage_ocf_low_vol_v5a5\model_performance_addendum.md,performance_data_unavailable
gas_water_cashflow_dividend_v55a,examples\gas_water_cashflow_dividend_v55a_strategy.json,v5n_model_performance_reporting\current\model_addenda\gas_water_cashflow_dividend_v55a\model_performance_addendum.md,performance_data_unavailable
gas_water_collection_debt_guard_v57c,examples\gas_water_collection_debt_guard_v57c_strategy.json,v5n_model_performance_reporting\current\model_addenda\gas_water_collection_debt_guard_v57c\model_performance_addendum.md,performance_data_unavailable
gas_water_ocf_dividend_guard_v57a,examples\gas_water_ocf_dividend_guard_v57a_strategy.json,v5n_model_performance_reporting\current\model_addenda\gas_water_ocf_dividend_guard_v57a\model_performance_addendum.md,performance_data_unavailable
gas_water_true_operating_state_diagnostic_v59,examples\gas_water_true_operating_state_diagnostic_v59_strategy.json,v5n_model_performance_reporting\current\model_addenda\gas_water_true_operating_state_diagnostic_v59\model_performance_addendum.md,diagnostic_only_no_nav_claim
gas_water_v57b_text_debt_state_guard_v59b,examples\gas_water_v57b_text_debt_state_guard_v59b_strategy.json,v5n_model_performance_reporting\current\model_addenda\gas_water_v57b_text_debt_state_guard_v59b\model_performance_addendum.md,report_complete_validation_not_independent
gas_water_value_serviceability_v57b,examples\gas_water_value_serviceability_v57b_strategy.json,v5n_model_performance_reporting\current\model_addenda\gas_water_value_serviceability_v57b\model_performance_addendum.md,report_complete_validation_not_independent
highway_cashflow_dividend_v54,examples\highway_cashflow_dividend_v54_strategy.json,v5n_model_performance_reporting\current\model_addenda\highway_cashflow_dividend_v54\model_performance_addendum.md,performance_data_unavailable
highway_dividend_operating_state_v54c,examples\highway_dividend_operating_state_v54c_strategy.json,v5n_model_performance_reporting\current\model_addenda\highway_dividend_operating_state_v54c\model_performance_addendum.md,performance_data_unavailable
highway_dividend_reviewed_operating_v54f,examples\highway_dividend_reviewed_operating_v54f_strategy.json,v5n_model_performance_reporting\current\model_addenda\highway_dividend_reviewed_operating_v54f\model_performance_addendum.md,performance_data_unavailable
highway_dividend_reviewed_operating_v54g,examples\highway_dividend_reviewed_operating_v54g_strategy.json,v5n_model_performance_reporting\current\model_addenda\highway_dividend_reviewed_operating_v54g\model_performance_addendum.md,report_complete_validation_not_independent
highway_dividend_reviewed_operating_v54h_repaired_2021,examples\highway_dividend_reviewed_operating_v54h_repaired_2021_strategy.json,v5n_model_performance_reporting\current\model_addenda\highway_dividend_reviewed_operating_v54h_repaired_2021\model_performance_addendum.md,report_complete_validation_not_independent
highway_dividend_segment_purity_v54d,examples\highway_dividend_segment_purity_v54d_strategy.json,v5n_model_performance_reporting\current\model_addenda\highway_dividend_segment_purity_v54d\model_performance_addendum.md,performance_data_unavailable
highway_dividend_segment_purity_v54e,examples\highway_dividend_segment_purity_v54e_strategy.json,v5n_model_performance_reporting\current\model_addenda\highway_dividend_segment_purity_v54e\model_performance_addendum.md,performance_data_unavailable
highway_high_dividend_cashflow_diagnostics_v54b,examples\highway_high_dividend_cashflow_diagnostics_v54b_strategy.json,v5n_model_performance_reporting\current\model_addenda\highway_high_dividend_cashflow_diagnostics_v54b\model_performance_addendum.md,diagnostic_only_no_nav_claim
home_appliances_ocf_low_vol_v5a5,examples\home_appliances_ocf_low_vol_v5a5_strategy.json,v5n_model_performance_reporting\current\model_addenda\home_appliances_ocf_low_vol_v5a5\model_performance_addendum.md,performance_data_unavailable
home_appliances_ocf_quality_v5a5b,examples\home_appliances_ocf_quality_v5a5b_strategy.json,v5n_model_performance_reporting\current\model_addenda\home_appliances_ocf_quality_v5a5b\model_performance_addendum.md,performance_data_unavailable
home_appliances_ocf_quality_v5a5c,examples\home_appliances_ocf_quality_v5a5c_strategy.json,v5n_model_performance_reporting\current\model_addenda\home_appliances_ocf_quality_v5a5c\model_performance_addendum.md,report_complete_validation_not_independent
insurance_low_pb_dividend_v53b,examples\insurance_low_pb_dividend_v53b_strategy.json,v5n_model_performance_reporting\current\model_addenda\insurance_low_pb_dividend_v53b\model_performance_addendum.md,performance_data_unavailable
insurance_low_pb_only_v53c,examples\insurance_low_pb_only_v53c_strategy.json,v5n_model_performance_reporting\current\model_addenda\insurance_low_pb_only_v53c\model_performance_addendum.md,report_complete_validation_not_independent
insurance_low_pb_solvency_guard_v53e,examples\insurance_low_pb_solvency_guard_v53e_strategy.json,v5n_model_performance_reporting\current\model_addenda\insurance_low_pb_solvency_guard_v53e\model_performance_addendum.md,performance_data_unavailable
insurance_pev_nbv_v53f_diagnostic,examples\insurance_pev_nbv_v53f_diagnostic_strategy.json,v5n_model_performance_reporting\current\model_addenda\insurance_pev_nbv_v53f_diagnostic\model_performance_addendum.md,diagnostic_only_no_nav_claim
insurance_pev_value_v53g,examples\insurance_pev_value_v53g_strategy.json,v5n_model_performance_reporting\current\model_addenda\insurance_pev_value_v53g\model_performance_addendum.md,report_complete_validation_not_independent
insurance_value_investment_solvency_v53d,examples\insurance_value_investment_solvency_v53d_strategy.json,v5n_model_performance_reporting\current\model_addenda\insurance_value_investment_solvency_v53d\model_performance_addendum.md,performance_data_unavailable
insurance_value_quality_v53_test1,examples\insurance_value_quality_v53_test1_strategy.json,v5n_model_performance_reporting\current\model_addenda\insurance_value_quality_v53_test1\model_performance_addendum.md,performance_data_unavailable
internal_subsleeve_mom12_70_30,v5f_internal_subsleeve_pm_quant_review/current/v5f_internal_subsleeve_review_summary.json,v5n_model_performance_reporting\current\model_addenda\internal_subsleeve_mom12_70_30\model_performance_addendum.md,report_complete_validation_not_independent
locked_pool_monthly_mom12_70_30,config/v5_experiment_catalog.json,v5n_model_performance_reporting\current\model_addenda\locked_pool_monthly_mom12_70_30\model_performance_addendum.md,diagnostic_only_no_nav_claim
mr_borrow_paired_drop_spike_net0_cap10_next2,config/v5_experiment_catalog.json,v5n_model_performance_reporting\current\model_addenda\mr_borrow_paired_drop_spike_net0_cap10_next2\model_performance_addendum.md,diagnostic_only_no_nav_claim
oil_gas_ocf_dividend_cycle_probe_v58a,examples\oil_gas_ocf_dividend_cycle_probe_v58a_strategy.json,v5n_model_performance_reporting\current\model_addenda\oil_gas_ocf_dividend_cycle_probe_v58a\model_performance_addendum.md,performance_data_unavailable
oil_gas_ocf_low_vol_value_v58b,examples\oil_gas_ocf_low_vol_value_v58b_strategy.json,v5n_model_performance_reporting\current\model_addenda\oil_gas_ocf_low_vol_value_v58b\model_performance_addendum.md,performance_data_unavailable
oil_gas_state_conditioned_ocf_v58d,examples\oil_gas_state_conditioned_ocf_v58d_strategy.json,v5n_model_performance_reporting\current\model_addenda\oil_gas_state_conditioned_ocf_v58d\model_performance_addendum.md,performance_data_unavailable
oil_gas_state_conditioned_ocf_v58g,examples\oil_gas_state_conditioned_ocf_v58g_strategy.json,v5n_model_performance_reporting\current\model_addenda\oil_gas_state_conditioned_ocf_v58g\model_performance_addendum.md,report_complete_validation_not_independent
port_rail_cashflow_dividend_v55a,examples\port_rail_cashflow_dividend_v55a_strategy.json,v5n_model_performance_reporting\current\model_addenda\port_rail_cashflow_dividend_v55a\model_performance_addendum.md,performance_data_unavailable
port_rail_cashflow_operating_state_v55b,examples\port_rail_cashflow_operating_state_v55b_strategy.json,v5n_model_performance_reporting\current\model_addenda\port_rail_cashflow_operating_state_v55b\model_performance_addendum.md,performance_data_unavailable
port_rail_cashflow_value_operating_diagnostic_v55c,examples\port_rail_cashflow_value_operating_diagnostic_v55c_strategy.json,v5n_model_performance_reporting\current\model_addenda\port_rail_cashflow_value_operating_diagnostic_v55c\model_performance_addendum.md,report_complete_validation_not_independent
port_rail_cashflow_value_operating_diagnostic_v55g_repaired_2021,examples\port_rail_cashflow_value_operating_diagnostic_v55g_repaired_2021_strategy.json,v5n_model_performance_reporting\current\model_addenda\port_rail_cashflow_value_operating_diagnostic_v55g_repaired_2021\model_performance_addendum.md,report_complete_validation_not_independent
port_rail_cashflow_value_operating_diagnostic_v55i_business_purity_gate,examples\port_rail_cashflow_value_operating_diagnostic_v55i_business_purity_gate_strategy.json,v5n_model_performance_reporting\current\model_addenda\port_rail_cashflow_value_operating_diagnostic_v55i_business_purity_gate\model_performance_addendum.md,report_complete_validation_not_independent
