canonical_model_id,has_unique_tier,has_v5n_addendum_link
airport_transport_cashflow_operating_state_v58,True,True
airport_transport_franchise_state_v58b,True,True
bank_high_dividend_sustainability_v3,True,True
bank_value_15y,True,True
bank_value_quality_v2,True,True
cement_cycle_aware_ocf_low_vol_v5a9,True,True
coal_cashflow_cycle_value_v52b,True,True
coal_cashflow_cycle_value_v52b_capex_policy,True,True
coal_high_dividend_cycle_value_v52,True,True
consumer_staples_ocf_low_vol_v5a5,True,True
dividend_low_vol_fcf_basket_v56,True,True
dividend_low_vol_ocf_enhanced_etf_v57,True,True
dividend_low_vol_sector_adaptive_etf_v57b,True,True
dividend_low_vol_sector_neutral_equal_sleeve_etf_v57e,True,True
dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f,True,True
dividend_low_vol_sector_neutral_etf_v57c,True,True
dividend_low_vol_sector_neutral_etf_v57d,True,True
dividend_ocf_low_vol_basket_v56b,True,True
dividend_ocf_vol_guard_basket_v56c,True,True
food_beverage_low_vol_diagnostic_v5a5b,True,True
food_beverage_ocf_low_vol_v5a5,True,True
gas_water_cashflow_dividend_v55a,True,True
gas_water_collection_debt_guard_v57c,True,True
gas_water_ocf_dividend_guard_v57a,True,True
gas_water_true_operating_state_diagnostic_v59,True,True
gas_water_v57b_text_debt_state_guard_v59b,True,True
gas_water_value_serviceability_v57b,True,True
highway_cashflow_dividend_v54,True,True
highway_dividend_operating_state_v54c,True,True
highway_dividend_reviewed_operating_v54f,True,True
highway_dividend_reviewed_operating_v54g,True,True
highway_dividend_reviewed_operating_v54h_repaired_2021,True,True
highway_dividend_segment_purity_v54d,True,True
highway_dividend_segment_purity_v54e,True,True
highway_high_dividend_cashflow_diagnostics_v54b,True,True
home_appliances_ocf_low_vol_v5a5,True,True
home_appliances_ocf_quality_v5a5b,True,True
home_appliances_ocf_quality_v5a5c,True,True
insurance_low_pb_dividend_v53b,True,True
insurance_low_pb_only_v53c,True,True
insurance_low_pb_solvency_guard_v53e,True,True
insurance_pev_nbv_v53f_diagnostic,True,True
insurance_pev_value_v53g,True,True
insurance_value_investment_solvency_v53d,True,True
insurance_value_quality_v53_test1,True,True
internal_subsleeve_mom12_70_30,True,True
locked_pool_monthly_mom12_70_30,True,True
mr_borrow_paired_drop_spike_net0_cap10_next2,True,True
oil_gas_ocf_dividend_cycle_probe_v58a,True,True
oil_gas_ocf_low_vol_value_v58b,True,True
oil_gas_state_conditioned_ocf_v58d,True,True
oil_gas_state_conditioned_ocf_v58g,True,True
