canonical_model_id,tier,comparability_status,benchmark_quality_grade,validation_independence_status,execution_evidence_status,promotion_eligibility,reporting_interpretation_limit
bank_high_dividend_sustainability_v3,tier_a2_comparable_proxy_benchmark_limited,comparable_reporting_only,static_proxy_limited,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
bank_value_15y,tier_a2_comparable_proxy_benchmark_limited,comparable_reporting_only,static_proxy_limited,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
bank_value_quality_v2,tier_a2_comparable_proxy_benchmark_limited,comparable_reporting_only,static_proxy_limited,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
coal_cashflow_cycle_value_v52b,tier_a2_comparable_proxy_benchmark_limited,comparable_reporting_only,static_proxy_limited,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
coal_cashflow_cycle_value_v52b_capex_policy,tier_a2_comparable_proxy_benchmark_limited,comparable_reporting_only,static_proxy_limited,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
dividend_low_vol_ocf_enhanced_etf_v57,tier_a2_comparable_proxy_benchmark_limited,comparable_reporting_only,static_proxy_limited,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
dividend_low_vol_sector_adaptive_etf_v57b,tier_a2_comparable_proxy_benchmark_limited,comparable_reporting_only,static_proxy_limited,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
dividend_low_vol_sector_neutral_equal_sleeve_etf_v57e,tier_a2_comparable_proxy_benchmark_limited,comparable_reporting_only,static_proxy_limited,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
dividend_low_vol_sector_neutral_etf_v57c,tier_a2_comparable_proxy_benchmark_limited,comparable_reporting_only,static_proxy_limited,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
dividend_low_vol_sector_neutral_etf_v57d,tier_a2_comparable_proxy_benchmark_limited,comparable_reporting_only,static_proxy_limited,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
gas_water_v57b_text_debt_state_guard_v59b,tier_a2_comparable_proxy_benchmark_limited,comparable_reporting_only,static_proxy_limited,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
gas_water_value_serviceability_v57b,tier_a2_comparable_proxy_benchmark_limited,comparable_reporting_only,static_proxy_limited,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
highway_dividend_reviewed_operating_v54g,tier_a2_comparable_proxy_benchmark_limited,comparable_reporting_only,static_proxy_limited,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
highway_dividend_reviewed_operating_v54h_repaired_2021,tier_a2_comparable_proxy_benchmark_limited,comparable_reporting_only,static_proxy_limited,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
home_appliances_ocf_quality_v5a5c,tier_a2_comparable_proxy_benchmark_limited,comparable_reporting_only,static_proxy_limited,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
insurance_low_pb_only_v53c,tier_a2_comparable_proxy_benchmark_limited,comparable_reporting_only,static_proxy_limited,validation_not_independent_or_overlapping,historical_execution_contract_incomplete,False,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion
