canonical_model_id,status,consistent
bank_high_dividend_sustainability_v3,v5n_common_daily_simple_return_definition,True
bank_value_15y,v5n_common_daily_simple_return_definition,True
bank_value_quality_v2,v5n_common_daily_simple_return_definition,True
coal_cashflow_cycle_value_v52b,v5n_common_daily_simple_return_definition,True
coal_cashflow_cycle_value_v52b_capex_policy,v5n_common_daily_simple_return_definition,True
dividend_low_vol_ocf_enhanced_etf_v57,v5n_common_daily_simple_return_definition,True
dividend_low_vol_sector_adaptive_etf_v57b,v5n_common_daily_simple_return_definition,True
dividend_low_vol_sector_neutral_equal_sleeve_etf_v57e,v5n_common_daily_simple_return_definition,True
dividend_low_vol_sector_neutral_etf_v57c,v5n_common_daily_simple_return_definition,True
dividend_low_vol_sector_neutral_etf_v57d,v5n_common_daily_simple_return_definition,True
gas_water_v57b_text_debt_state_guard_v59b,v5n_common_daily_simple_return_definition,True
gas_water_value_serviceability_v57b,v5n_common_daily_simple_return_definition,True
highway_dividend_reviewed_operating_v54g,v5n_common_daily_simple_return_definition,True
highway_dividend_reviewed_operating_v54h_repaired_2021,v5n_common_daily_simple_return_definition,True
home_appliances_ocf_quality_v5a5c,v5n_common_daily_simple_return_definition,True
insurance_low_pb_only_v53c,v5n_common_daily_simple_return_definition,True
insurance_pev_value_v53g,v5n_common_daily_simple_return_definition,True
internal_subsleeve_mom12_70_30,v5n_common_daily_simple_return_definition,True
oil_gas_state_conditioned_ocf_v58g,v5n_common_daily_simple_return_definition,True
port_rail_cashflow_value_operating_diagnostic_v55c,v5n_common_daily_simple_return_definition,True
port_rail_cashflow_value_operating_diagnostic_v55g_repaired_2021,v5n_common_daily_simple_return_definition,True
port_rail_cashflow_value_operating_diagnostic_v55i_business_purity_gate,v5n_common_daily_simple_return_definition,True
port_rail_cashflow_value_operating_diagnostic_v55j_reviewed_business_sources,v5n_common_daily_simple_return_definition,True
utilities_demand_state_v51f,v5n_common_daily_simple_return_definition,True
v57f_startup_preload_repaired_baseline,v5n_common_daily_simple_return_definition,True
v5c_50w_execution_optimization_test,v5n_common_daily_simple_return_definition,True
v5c_defense_overlay_exploration,v5n_common_daily_simple_return_definition,True
v5c_defense_overlay_formal_validation,v5n_common_daily_simple_return_definition,True
v5c_p0_local_data_gate,v5n_common_daily_simple_return_definition,True
v5c_risk_budget_overlay_engineering_comparison,v5n_common_daily_simple_return_definition,True
v5c_sleeve_weighting_diagnostic,v5n_common_daily_simple_return_definition,True
v5c_sleeve_weighting_rigorous_test,v5n_common_daily_simple_return_definition,True
v5c_topx_capital_rigorous_test,v5n_common_daily_simple_return_definition,True
v5d_l3_intraday_execution_engineering,v5n_common_daily_simple_return_definition,True
v5d_minute_execution_robustness,v5n_common_daily_simple_return_definition,True
v5d_order_scheduling_engineering_test,v5n_common_daily_simple_return_definition,True
