canonical_model_id,research_value,next_evidence,archive_wait_or_observe,duplicate_of_canonical
airport_transport_cashflow_operating_state_v58,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
airport_transport_franchise_state_v58b,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
cement_cycle_aware_ocf_low_vol_v5a9,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
coal_high_dividend_cycle_value_v52,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
consumer_staples_ocf_low_vol_v5a5,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
dividend_low_vol_fcf_basket_v56,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
dividend_ocf_low_vol_basket_v56b,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
dividend_ocf_vol_guard_basket_v56c,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
food_beverage_low_vol_diagnostic_v5a5b,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
food_beverage_ocf_low_vol_v5a5,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
gas_water_cashflow_dividend_v55a,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
gas_water_collection_debt_guard_v57c,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
gas_water_ocf_dividend_guard_v57a,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
gas_water_true_operating_state_diagnostic_v59,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
highway_cashflow_dividend_v54,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
highway_dividend_operating_state_v54c,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
highway_dividend_reviewed_operating_v54f,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
highway_dividend_segment_purity_v54d,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
highway_dividend_segment_purity_v54e,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
highway_high_dividend_cashflow_diagnostics_v54b,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
home_appliances_ocf_low_vol_v5a5,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
home_appliances_ocf_quality_v5a5b,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
insurance_low_pb_dividend_v53b,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
insurance_low_pb_solvency_guard_v53e,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
insurance_pev_nbv_v53f_diagnostic,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
insurance_value_investment_solvency_v53d,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
insurance_value_quality_v53_test1,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
locked_pool_monthly_mom12_70_30,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
mr_borrow_paired_drop_spike_net0_cap10_next2,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
oil_gas_ocf_dividend_cycle_probe_v58a,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
oil_gas_ocf_low_vol_value_v58b,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
oil_gas_state_conditioned_ocf_v58d,retain_evidence_without_performance_promotion,original_pit_daily_nav_benchmark_or_execution_contract_only_if_authorized,observe_or_archive_by_existing_governance,False
