canonical_model_id,may_participate_in_return_alpha_beta_sharpe_ir_comparison,reason
airport_transport_cashflow_operating_state_v58,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
airport_transport_franchise_state_v58b,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
cement_cycle_aware_ocf_low_vol_v5a9,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
coal_high_dividend_cycle_value_v52,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
consumer_staples_ocf_low_vol_v5a5,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
dividend_low_vol_fcf_basket_v56,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
dividend_ocf_low_vol_basket_v56b,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
dividend_ocf_vol_guard_basket_v56c,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
food_beverage_low_vol_diagnostic_v5a5b,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
food_beverage_ocf_low_vol_v5a5,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
gas_water_cashflow_dividend_v55a,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
gas_water_collection_debt_guard_v57c,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
gas_water_ocf_dividend_guard_v57a,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
gas_water_true_operating_state_diagnostic_v59,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
highway_cashflow_dividend_v54,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
highway_dividend_operating_state_v54c,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
highway_dividend_reviewed_operating_v54f,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
highway_dividend_segment_purity_v54d,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
highway_dividend_segment_purity_v54e,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
highway_high_dividend_cashflow_diagnostics_v54b,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
home_appliances_ocf_low_vol_v5a5,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
home_appliances_ocf_quality_v5a5b,False,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only
