canonical_model_id,comparison_group_id,comparison_allowed,parent_baseline,formal_window,model_layer,return_contract,reason
bank_high_dividend_sustainability_v3,context_only_not_global_comparison,False,local_same_pool_or_embedded_benchmark,2021-05-01_to_2026-05-31,sector_strategy_or_research,local_daily_series_embedded_or_parent_contract,no_global_cross_model_comparison; proxy/sector/execution/diagnostic boundary
bank_value_15y,context_only_not_global_comparison,False,local_same_pool_or_embedded_benchmark,2021-05-01_to_2026-05-31,sector_strategy_or_research,local_daily_series_embedded_or_parent_contract,no_global_cross_model_comparison; proxy/sector/execution/diagnostic boundary
bank_value_quality_v2,context_only_not_global_comparison,False,local_same_pool_or_embedded_benchmark,2021-05-01_to_2026-05-31,sector_strategy_or_research,local_daily_series_embedded_or_parent_contract,no_global_cross_model_comparison; proxy/sector/execution/diagnostic boundary
coal_cashflow_cycle_value_v52b,context_only_not_global_comparison,False,local_same_pool_or_embedded_benchmark,2021-05-01_to_2026-05-31,sector_strategy_or_research,local_daily_series_embedded_or_parent_contract,no_global_cross_model_comparison; proxy/sector/execution/diagnostic boundary
coal_cashflow_cycle_value_v52b_capex_policy,context_only_not_global_comparison,False,local_same_pool_or_embedded_benchmark,2021-05-01_to_2026-05-31,sector_strategy_or_research,local_daily_series_embedded_or_parent_contract,no_global_cross_model_comparison; proxy/sector/execution/diagnostic boundary
dividend_low_vol_ocf_enhanced_etf_v57,context_only_not_global_comparison,False,local_same_pool_or_embedded_benchmark,2021-05-01_to_2026-05-31,governance_or_research_artifact,local_daily_series_embedded_or_parent_contract,no_global_cross_model_comparison; proxy/sector/execution/diagnostic boundary
dividend_low_vol_sector_adaptive_etf_v57b,context_only_not_global_comparison,False,local_same_pool_or_embedded_benchmark,2021-05-01_to_2026-05-31,governance_or_research_artifact,local_daily_series_embedded_or_parent_contract,no_global_cross_model_comparison; proxy/sector/execution/diagnostic boundary
dividend_low_vol_sector_neutral_equal_sleeve_etf_v57e,context_only_not_global_comparison,False,local_same_pool_or_embedded_benchmark,2021-05-01_to_2026-05-31,governance_or_research_artifact,local_daily_series_embedded_or_parent_contract,no_global_cross_model_comparison; proxy/sector/execution/diagnostic boundary
dividend_low_vol_sector_neutral_etf_v57c,context_only_not_global_comparison,False,local_same_pool_or_embedded_benchmark,2021-05-01_to_2026-05-31,governance_or_research_artifact,local_daily_series_embedded_or_parent_contract,no_global_cross_model_comparison; proxy/sector/execution/diagnostic boundary
dividend_low_vol_sector_neutral_etf_v57d,context_only_not_global_comparison,False,local_same_pool_or_embedded_benchmark,2021-05-01_to_2026-05-31,governance_or_research_artifact,local_daily_series_embedded_or_parent_contract,no_global_cross_model_comparison; proxy/sector/execution/diagnostic boundary
