sector_id,display_name,reference_security,basket_role,availability,first_date,last_date,final_normalized_price,scope_note
bank,Bank,600036.SH,core_candidate,available,20130131,20260529,473.308136,"Local adjusted-price reference proxy only; not sector ETF, strategy performance, or total-return claim."
utilities_electricity,Utilities / Electricity,600900.SH,core_candidate,available,20130131,20260529,595.270318,"Local adjusted-price reference proxy only; not sector ETF, strategy performance, or total-return claim."
highway_infrastructure,Highway Infrastructure,600350.SH,core_candidate,available,20130131,20260529,636.556572,"Local adjusted-price reference proxy only; not sector ETF, strategy performance, or total-return claim."
port_rail_infrastructure,Port / Rail Infrastructure,601006.SH,candidate_after_platform_replication,available,20130131,20260529,155.136029,"Local adjusted-price reference proxy only; not sector ETF, strategy performance, or total-return claim."
gas_water_operators,Gas / Water Operators,600008.SH,observation_candidate,available,20130131,20260529,210.317106,"Local adjusted-price reference proxy only; not sector ETF, strategy performance, or total-return claim."
telecom_operators,Telecom Operators,600050.SH,observation_candidate,available,20130131,20260529,151.354025,"Local adjusted-price reference proxy only; not sector ETF, strategy performance, or total-return claim."
insurance,Insurance,601318.SH,specialist_observation_candidate,available,20130131,20260529,329.151113,"Local adjusted-price reference proxy only; not sector ETF, strategy performance, or total-return claim."
securities_brokerage,Securities / Brokerage,600030.SH,low_priority_watchlist,available,20130131,20260529,239.323599,"Local adjusted-price reference proxy only; not sector ETF, strategy performance, or total-return claim."
oil_gas_pipeline_integrated,Oil / Gas Pipeline and Integrated Energy,601857.SH,cycle_aware_observation_candidate,available,20130131,20260529,183.929567,"Local adjusted-price reference proxy only; not sector ETF, strategy performance, or total-return claim."
coal,Coal,601088.SH,blocked_observation_pool,available,20130131,20260529,460.231065,"Local adjusted-price reference proxy only; not sector ETF, strategy performance, or total-return claim."
steel,Steel,600019.SH,blocked_observation_pool,available,20130131,20260529,215.238849,"Local adjusted-price reference proxy only; not sector ETF, strategy performance, or total-return claim."
nonferrous_metals,Nonferrous Metals,601600.SH,blocked_observation_pool,available,20130131,20260529,236.345528,"Local adjusted-price reference proxy only; not sector ETF, strategy performance, or total-return claim."
chemical_materials,Basic Chemicals,600309.SH,low_priority_watchlist,available,20130131,20260529,760.860388,"Local adjusted-price reference proxy only; not sector ETF, strategy performance, or total-return claim."
building_materials_cement,Building Materials / Cement,600585.SH,manual_research_candidate,available,20130131,20260529,163.270019,"Local adjusted-price reference proxy only; not sector ETF, strategy performance, or total-return claim."
construction_engineering,Construction Engineering,601668.SH,blocked_until_research,available,20130131,20260529,299.252055,"Local adjusted-price reference proxy only; not sector ETF, strategy performance, or total-return claim."
environmental_project_operators,Environmental / Project Operators,000598.SZ,blocked_until_research,available,20130131,20260529,224.676248,"Local adjusted-price reference proxy only; not sector ETF, strategy performance, or total-return claim."
real_estate,Real Estate,000002.SZ,excluded,available,20130131,20260529,46.698497,"Local adjusted-price reference proxy only; not sector ETF, strategy performance, or total-return claim."
consumer_staples_cashflow,Consumer Staples Cash-Flow Leaders,000895.SZ,watchlist_candidate,available,20130131,20260529,222.119569,"Local adjusted-price reference proxy only; not sector ETF, strategy performance, or total-return claim."
food_beverage,Food / Beverage,600519.SH,manual_research_candidate,available,20130131,20260529,1193.146479,"Local adjusted-price reference proxy only; not sector ETF, strategy performance, or total-return claim."
home_appliances,Home Appliances,000651.SZ,manual_research_candidate,available,20130131,20260529,539.585265,"Local adjusted-price reference proxy only; not sector ETF, strategy performance, or total-return claim."
textile_apparel,Textile / Apparel,600398.SH,low_priority_watchlist,available,20130131,20260529,282.141865,"Local adjusted-price reference proxy only; not sector ETF, strategy performance, or total-return claim."
pharma_medical_services,Pharma / Medical Services,600276.SH,watchlist_candidate,available,20130131,20260529,814.204279,"Local adjusted-price reference proxy only; not sector ETF, strategy performance, or total-return claim."
agriculture_forestry_fishery,Agriculture / Forestry / Fishery,000998.SZ,excluded,available,20130131,20260529,79.353753,"Local adjusted-price reference proxy only; not sector ETF, strategy performance, or total-return claim."
logistics_express,Logistics / Express Delivery,002352.SZ,low_priority_watchlist,available,20130131,20260529,615.583632,"Local adjusted-price reference proxy only; not sector ETF, strategy performance, or total-return claim."
shipping,Shipping,601919.SH,blocked_observation_pool,available,20130131,20260529,761.740555,"Local adjusted-price reference proxy only; not sector ETF, strategy performance, or total-return claim."
retail_commerce,Retail / Commerce,600827.SH,low_priority_watchlist,available,20130131,20260529,117.435233,"Local adjusted-price reference proxy only; not sector ETF, strategy performance, or total-return claim."
media_entertainment,Media / Entertainment,300251.SZ,excluded,available,20130131,20260529,521.618371,"Local adjusted-price reference proxy only; not sector ETF, strategy performance, or total-return claim."
computer_software,Computer / Software,000938.SZ,excluded,available,20130131,20260529,692.655063,"Local adjusted-price reference proxy only; not sector ETF, strategy performance, or total-return claim."
electronics_semiconductor,Electronics / Semiconductor,002371.SZ,excluded,available,20130131,20260529,4831.938084,"Local adjusted-price reference proxy only; not sector ETF, strategy performance, or total-return claim."
auto_and_parts,Auto and Parts,600104.SH,low_priority_watchlist,available,20130131,20260529,129.450343,"Local adjusted-price reference proxy only; not sector ETF, strategy performance, or total-return claim."
machinery_equipment,Machinery / Equipment,600031.SH,low_priority_watchlist,available,20130131,20260529,195.534484,"Local adjusted-price reference proxy only; not sector ETF, strategy performance, or total-return claim."
power_equipment_new_energy,Power Equipment / New Energy,600406.SH,excluded,available,20130131,20260529,465.527996,"Local adjusted-price reference proxy only; not sector ETF, strategy performance, or total-return claim."
military_defense,Military / Defense,600893.SH,excluded,available,20130122,20260529,307.660563,"Local adjusted-price reference proxy only; not sector ETF, strategy performance, or total-return claim."
