case,status,signal_count,daily_count,trade_count,dividend_count,corporate_action_count,strategy_return,annualized_return,benchmark_return,excess_return,max_drawdown,sharpe,information_ratio,strategy_volatility,summary_path,signals_path,error,strategy_return_diff_vs_base,excess_return_diff_vs_base,max_drawdown_diff_vs_base,common_window_start,common_window_end,common_window_daily_count,common_window_strategy_return,common_window_benchmark_return,common_window_excess_return,common_window_max_drawdown,common_window_sharpe,common_window_strategy_return_diff_vs_base,common_window_excess_return_diff_vs_base,common_window_max_drawdown_diff_vs_base,comparable_to_base_window
base,completed,19,1125,709,130,2,0.7006712185,0.126312648,0.5300706122,0.1706006063,0.1214919466,0.8200736701,0.3129940828,0.1609168511,va_v57g\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57g_gas_water_observation\cases\base\daily\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57g_gas_water_observation_base\summary.json,va_v57g\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57g_gas_water_observation\cases\base\constructor\basket_rebalance_signals.csv,,0,0,0,2021-10-08,2026-05-29,1125,0.7006712185,0.5300706122,0.1706006063,0.1214919466,0.8200736701,0,0,0,yes
drop_low_pb,completed,19,1125,727,136,3,0.6247353456,0.1148471008,0.5300706122,0.09466473348,0.125592038,0.7598738759,0.157216209,0.1599944705,va_v57g\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57g_gas_water_observation\cases\drop_low_pb\daily\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57g_gas_water_observation_drop_low_pb\summary.json,va_v57g\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57g_gas_water_observation\cases\drop_low_pb\constructor\basket_rebalance_signals.csv,,-0.0759358729,-0.07593587282,0.0041000914,2021-10-08,2026-05-29,1125,0.6247353456,0.5300706122,0.09466473348,0.125592038,0.7598738759,-0.0759358729,-0.07593587282,0.0041000914,yes
drop_div_yield,completed,19,1125,709,130,2,0.7006712185,0.126312648,0.5300706122,0.1706006063,0.1214919466,0.8200736701,0.3129940828,0.1609168511,va_v57g\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57g_gas_water_observation\cases\drop_div_yield\daily\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57g_gas_water_observation_drop_div_yield\summary.json,va_v57g\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57g_gas_water_observation\cases\drop_div_yield\constructor\basket_rebalance_signals.csv,,0,0,0,2021-10-08,2026-05-29,1125,0.7006712185,0.5300706122,0.1706006063,0.1214919466,0.8200736701,0,0,0,yes
drop_div_yield_decimal,blocked,,,,,,,,,,,,,,,,[Errno 2] No such file or directory: 'va_v57g\\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57g_gas_water_observation\\cases\\drop_div_yield_decimal\\daily\\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57g_gas_water_observation_drop_div_yield_decimal\\same_pool_equal_weight_benchmark.csv',,,,2021-10-08,2026-05-29,,,,,,,,,,blocked
drop_fcf_yield,completed,19,1125,709,130,2,0.7006712185,0.126312648,0.5300706122,0.1706006063,0.1214919466,0.8200736701,0.3129940828,0.1609168511,va_v57g\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57g_gas_water_observation\cases\drop_fcf_yield\daily\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57g_gas_water_observation_drop_fcf_yield\summary.json,va_v57g\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57g_gas_water_observation\cases\drop_fcf_yield\constructor\basket_rebalance_signals.csv,,0,0,0,2021-10-08,2026-05-29,1125,0.7006712185,0.5300706122,0.1706006063,0.1214919466,0.8200736701,0,0,0,yes
drop_low_vol_score,blocked,,,,,,,,,,,,,,,,[Errno 2] No such file or directory: 'va_v57g\\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57g_gas_water_observation\\cases\\drop_low_vol_score\\daily\\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57g_gas_water_observation_drop_low_vol_score\\same_pool_equal_weight_benchmark.csv',,,,2021-10-08,2026-05-29,,,,,,,,,,blocked
drop_vol_120d,completed,19,1125,752,137,5,0.6309714871,0.1158041866,0.5300706122,0.100900875,0.1288992179,0.7383133403,0.1973802075,0.1675028852,va_v57g\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57g_gas_water_observation\cases\drop_vol_120d\daily\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57g_gas_water_observation_drop_vol_120d\summary.json,va_v57g\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57g_gas_water_observation\cases\drop_vol_120d\constructor\basket_rebalance_signals.csv,,-0.0696997314,-0.0696997313,0.0074072713,2021-10-08,2026-05-29,1125,0.6309714871,0.5300706122,0.100900875,0.1288992179,0.7383133403,-0.0696997314,-0.0696997313,0.0074072713,yes
drop_mdd_120d,completed,19,1125,718,122,4,0.5945959267,0.1101808857,0.5300706122,0.06452531453,0.1482093211,0.7101474289,0.1215069213,0.1669024849,va_v57g\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57g_gas_water_observation\cases\drop_mdd_120d\daily\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57g_gas_water_observation_drop_mdd_120d\summary.json,va_v57g\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57g_gas_water_observation\cases\drop_mdd_120d\constructor\basket_rebalance_signals.csv,,-0.1060752918,-0.1060752918,0.0267173745,2021-10-08,2026-05-29,1125,0.5945959267,0.5300706122,0.06452531453,0.1482093211,0.7101474289,-0.1060752918,-0.1060752918,0.0267173745,yes
drop_ocf_yield,completed,19,1125,650,123,0,0.4761142677,0.09114602548,0.5300706122,-0.05395634445,0.1065380277,0.6561582995,-0.158370741,0.1502211655,va_v57g\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57g_gas_water_observation\cases\drop_ocf_yield\daily\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57g_gas_water_observation_drop_ocf_yield\summary.json,va_v57g\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57g_gas_water_observation\cases\drop_ocf_yield\constructor\basket_rebalance_signals.csv,,-0.2245569508,-0.2245569508,-0.0149539189,2021-10-08,2026-05-29,1125,0.4761142677,0.5300706122,-0.05395634445,0.1065380277,0.6561582995,-0.2245569508,-0.2245569508,-0.0149539189,yes
low_vol_ocf_only,completed,19,1125,743,139,3,0.7146243046,0.1283760264,0.5300706122,0.1845536924,0.1145611613,0.8582920845,0.2921406027,0.1547313809,va_v57g\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57g_gas_water_observation\cases\low_vol_ocf_only\daily\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57g_gas_water_observation_low_vol_ocf_only\summary.json,va_v57g\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57g_gas_water_observation\cases\low_vol_ocf_only\constructor\basket_rebalance_signals.csv,,0.0139530861,0.0139530861,-0.0069307853,2021-10-08,2026-05-29,1125,0.7146243046,0.5300706122,0.1845536924,0.1145611613,0.8582920845,0.0139530861,0.0139530861,-0.0069307853,yes
value_cashflow_no_low_vol,blocked,,,,,,,,,,,,,,,,[Errno 2] No such file or directory: 'va_v57g\\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57g_gas_water_observation\\cases\\value_cashflow_no_low_vol\\daily\\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57g_gas_water_observation_value_cashflow_no_low_vol\\corporate_actions.csv',,,,2021-10-08,2026-05-29,,,,,,,,,,blocked
